,close,date,high,low,market_cap,open,volume
0,0.283081,"Jun 08, 2018",0.285419,0.260158,-,0.270425,"18,352"
1,0.270496,"Jun 07, 2018",0.288182,0.267598,-,0.281833,"18,437"
2,0.280258,"Jun 06, 2018",0.284466,0.262344,-,0.271714,"26,937"
3,0.271725,"Jun 05, 2018",0.276785,0.250949,-,0.258499,"23,360"
4,0.256531,"Jun 04, 2018",0.290923,0.254570,-,0.277790,"27,368"
5,0.277404,"Jun 03, 2018",0.282115,0.260631,-,0.260786,"22,130"
6,0.261800,"Jun 02, 2018",0.282260,0.259060,-,0.267174,"24,219"
7,0.264161,"Jun 01, 2018",0.276484,0.243618,-,0.264835,"25,259"
8,0.262121,"May 31, 2018",0.272994,0.240156,-,0.248138,"28,836"
9,0.249438,"May 30, 2018",0.290374,0.230249,-,0.233363,"30,541"
10,0.233228,"May 29, 2018",0.297029,0.230095,-,0.253940,"21,663"
11,0.252884,"May 28, 2018",0.278563,0.232235,-,0.275145,"22,789"
12,0.282101,"May 27, 2018",0.305574,0.281151,-,0.294382,"33,775"
13,0.293525,"May 26, 2018",0.310254,0.287104,-,0.299314,"27,974"
14,0.299688,"May 25, 2018",0.309096,0.291431,-,0.301084,"20,944"
15,0.300548,"May 24, 2018",0.304830,0.263459,-,0.285278,"57,921"
16,0.285971,"May 23, 2018",0.321378,0.280099,-,0.320394,"37,860"
17,0.320572,"May 22, 2018",0.353475,0.318746,-,0.344886,"45,061"
18,0.345893,"May 21, 2018",0.361337,0.343177,-,0.358067,"37,665"
19,0.357655,"May 20, 2018",0.378289,0.347491,-,0.347491,"49,806"
20,0.347103,"May 19, 2018",0.357432,0.345457,-,0.350118,"38,264"
21,0.351032,"May 18, 2018",0.354837,0.332865,-,0.339529,"43,818"
22,0.338468,"May 17, 2018",0.362527,0.338132,-,0.352059,"29,421"
23,0.351809,"May 16, 2018",0.364466,0.347859,-,0.364448,"32,945"
24,0.361700,"May 15, 2018",0.385518,0.358474,-,0.380149,"46,169"
25,0.378633,"May 14, 2018",0.392730,0.354366,-,0.369401,"36,575"
26,0.369981,"May 13, 2018",0.381642,0.360517,-,0.363763,"49,859"
27,0.363896,"May 12, 2018",0.395308,0.355017,-,0.381025,"65,847"
28,0.382048,"May 11, 2018",0.405950,0.380986,-,0.401422,"56,578"
29,0.400879,"May 10, 2018",0.418776,0.396594,-,0.411975,"45,090"
