,close,date,high,low,market_cap,open,volume
0,0.014077,"Jun 08, 2018",0.014795,0.013778,"6,853,210",0.014249,"11,657"
1,0.014233,"Jun 07, 2018",0.014667,0.013610,"6,545,890",0.013610,"21,463"
2,0.013602,"Jun 06, 2018",0.014318,0.013289,"6,847,650",0.014238,"23,401"
3,0.014252,"Jun 05, 2018",0.014330,0.013170,"6,833,610",0.014209,"22,466"
4,0.014204,"Jun 04, 2018",0.016166,0.013425,"7,423,690",0.015435,"32,958"
5,0.015756,"Jun 03, 2018",0.016968,0.015474,"7,713,150",0.016037,"16,125"
6,0.016042,"Jun 02, 2018",0.016723,0.015066,"7,905,690",0.016438,"12,513"
7,0.016443,"Jun 01, 2018",0.016459,0.014968,"7,542,270",0.015682,"18,255"
8,0.015665,"May 31, 2018",0.017184,0.014864,"7,504,500",0.015603,"25,403"
9,0.015611,"May 30, 2018",0.016685,0.013574,"6,746,530",0.014027,"47,777"
10,0.014018,"May 29, 2018",0.014295,0.012228,"5,880,960",0.012228,"29,509"
11,0.012413,"May 28, 2018",0.014074,0.012018,"6,202,510",0.012896,"20,481"
12,0.012894,"May 27, 2018",0.013415,0.012638,"6,451,820",0.013415,"9,113"
13,0.013401,"May 26, 2018",0.014883,0.013050,"6,290,780",0.013080,"22,683"
14,0.013093,"May 25, 2018",0.015055,0.012790,"7,083,230",0.014727,"45,652"
15,0.014705,"May 24, 2018",0.015227,0.012806,"6,602,660",0.013728,"27,094"
16,0.013769,"May 23, 2018",0.015379,0.012844,"7,359,190",0.015301,"31,506"
17,0.015268,"May 22, 2018",0.017929,0.014467,"8,253,070",0.017160,"39,148"
18,0.017173,"May 21, 2018",0.018823,0.016950,"8,281,020",0.017218,"20,963"
19,0.017196,"May 20, 2018",0.020300,0.017193,"8,661,030",0.018008,"32,731"
20,0.017994,"May 19, 2018",0.019940,0.014030,"6,821,470",0.014183,"75,524"
21,0.014616,"May 18, 2018",0.015378,0.014218,"7,070,740",0.014701,"18,298"
22,0.014687,"May 17, 2018",0.017877,0.014592,"7,665,990",0.015939,"46,248"
23,0.016380,"May 16, 2018",0.019043,0.015005,"7,895,200",0.016416,"34,827"
24,0.016484,"May 15, 2018",0.017689,0.014549,"7,090,310",0.014742,"57,809"
25,0.014766,"May 14, 2018",0.015953,0.014184,"7,659,420",0.015925,"20,779"
26,0.015930,"May 13, 2018",0.016344,0.014591,"7,333,300",0.015247,"26,180"
27,0.015266,"May 12, 2018",0.016779,0.014679,"7,886,970",0.016399,"15,622"
28,0.016441,"May 11, 2018",0.017930,0.015901,"8,436,840",0.017542,"24,699"
29,0.017526,"May 10, 2018",0.021357,0.017195,"8,976,930",0.018665,"41,348"
30,0.018662,"May 09, 2018",0.019500,0.017251,"9,296,300",0.019329,"26,371"
31,0.019356,"May 08, 2018",0.021066,0.018024,"9,225,790",0.019182,"38,907"
32,0.019096,"May 07, 2018",0.020310,0.017456,"8,852,720",0.018407,"35,620"
33,0.018394,"May 06, 2018",0.021636,0.017259,"8,802,950",0.018303,"77,654"
34,0.018296,"May 05, 2018",0.019971,0.018273,"9,388,570",0.019521,"43,426"
