,close,date,high,low,market_cap,open,volume
0,0.019569,"Jun 08, 2018",0.023415,0.017723,"5,166,260",0.022068,"180,190"
1,0.022030,"Jun 07, 2018",0.024094,0.017184,"4,887,540",0.020877,"136,256"
2,0.020903,"Jun 06, 2018",0.024155,0.019932,"4,854,130",0.020734,"274,455"
3,0.020877,"Jun 05, 2018",0.021744,0.016629,"4,115,880",0.017581,"806,100"
4,0.017582,"Jun 04, 2018",0.041795,0.017129,"4,973,200",0.021243,"721,602"
5,0.021276,"Jun 03, 2018",0.021678,0.014978,"3,913,730",0.016717,"741,593"
6,0.016743,"Jun 02, 2018",0.016979,0.013001,"3,538,450",0.015114,"950,605"
7,0.015118,"Jun 01, 2018",0.015593,0.014358,"3,477,220",0.014853,"230,484"
8,0.014821,"May 31, 2018",0.017537,0.012218,"4,048,660",0.017294,"79,438"
9,0.017310,"May 30, 2018",0.019526,0.012723,"4,095,740",0.017495,"139,104"
10,0.017484,"May 29, 2018",0.017977,0.014576,"3,613,090",0.015433,"80,495"
11,0.015478,"May 28, 2018",0.020737,0.015317,"4,382,170",0.018718,"437,409"
12,0.018720,"May 27, 2018",0.022773,0.018713,"4,811,270",0.020551,"731,624"
13,0.020512,"May 26, 2018",0.023378,0.018110,"4,959,540",0.021185,"209,887"
14,0.021161,"May 25, 2018",0.027377,0.018081,"6,193,480",0.026455,"49,411"
15,0.022174,"May 24, 2018",0.039678,0.022083,"6,368,700",0.027204,"261,206"
16,0.027277,"May 23, 2018",0.046391,0.023086,"6,695,650",0.028600,"632,534"
17,0.028646,"May 22, 2018",0.037555,0.027571,"6,502,980",0.027777,"844,216"
18,0.027798,"May 21, 2018",0.048703,0.026165,"8,804,510",0.037608,"315,054"
19,0.037661,"May 20, 2018",0.039097,0.034569,"8,199,800",0.035025,"295,551"
20,0.034998,"May 19, 2018",0.038948,0.029781,"7,144,170",0.030516,"895,593"
21,0.030521,"May 18, 2018",0.041924,0.029782,"8,601,110",0.036740,"587,764"
22,0.036775,"May 17, 2018",0.041301,0.035194,"8,784,010",0.037521,"160,929"
23,0.037485,"May 16, 2018",0.045445,0.036427,"10,625,000",0.045384,"932,759"
24,0.045395,"May 15, 2018",0.055882,0.045015,"11,360,500",0.048526,"1,061,870"
25,0.048594,"May 14, 2018",0.049443,0.039815,-,0.048223,"117,077"
26,0.047544,"May 13, 2018",0.069642,0.032848,-,0.034305,"3,067,290"
27,0.034352,"May 12, 2018",0.040784,0.029843,-,0.039147,"453,683"
28,0.039217,"May 11, 2018",0.058326,0.022210,-,0.029055,"1,895,280"
29,0.029034,"May 10, 2018",0.071890,0.024799,-,0.031552,"974,081"
30,0.031522,"May 09, 2018",0.047501,0.019430,-,0.019655,"419,897"
31,0.019680,"May 08, 2018",0.033616,0.015190,-,0.015194,"1,214,900"
32,0.015101,"May 07, 2018",0.027910,0.014089,-,0.018595,"771,896"
33,0.018620,"May 06, 2018",0.019047,0.014334,-,0.017924,"261,105"
34,0.017936,"May 05, 2018",0.019178,0.015592,-,0.018300,"529,140"
35,0.018360,"May 04, 2018",0.020777,0.016054,-,0.016385,"138,918"
36,0.016026,"May 03, 2018",0.017149,0.014341,-,0.014419,"116,188"
37,0.014395,"May 02, 2018",0.015279,0.013687,-,0.014993,"252,781"
38,0.014496,"May 01, 2018",0.014959,0.012730,-,0.014959,"189,468"
39,0.014910,"Apr 30, 2018",0.015473,0.013940,-,0.014483,"184,383"
40,0.014481,"Apr 29, 2018",0.016583,0.013840,-,0.016309,"247,292"
41,0.016446,"Apr 28, 2018",0.016844,0.013985,-,0.016281,"272,985"
42,0.016409,"Apr 27, 2018",0.017268,0.013916,-,0.015008,"341,527"
43,0.014998,"Apr 26, 2018",0.016223,0.012993,-,0.015512,"258,374"
44,0.015358,"Apr 25, 2018",0.018479,0.012997,-,0.017812,"379,613"
45,0.017784,"Apr 24, 2018",0.018360,0.013276,-,0.013276,"142,577"
46,0.013271,"Apr 23, 2018",0.013271,0.013128,-,0.013130,"300,285"
