,close,date,high,low,market_cap,open,volume
0,1.01,"Jun 08, 2018",1.08,0.992387,"262,729,000",1.05,"22,175,100"
1,1.05,"Jun 07, 2018",1.08,1.02,"258,299,000",1.03,"23,001,200"
2,1.02,"Jun 06, 2018",1.07,0.999086,"267,155,000",1.07,"18,434,200"
3,1.06,"Jun 05, 2018",1.07,0.984589,"258,904,000",1.04,"25,619,100"
4,1.04,"Jun 04, 2018",1.15,1.01,"282,023,000",1.13,"25,511,200"
5,1.12,"Jun 03, 2018",1.18,1.11,"280,276,000",1.12,"27,424,000"
6,1.12,"Jun 02, 2018",1.17,1.06,"267,773,000",1.07,"35,777,900"
7,1.07,"Jun 01, 2018",1.08,1.03,"258,697,000",1.03,"31,583,200"
8,1.03,"May 31, 2018",1.08,0.998447,"251,628,000",1.01,"34,958,000"
9,1.02,"May 30, 2018",1.02,0.946413,"247,503,000",0.990012,"33,128,100"
10,0.985599,"May 29, 2018",1.02,0.874404,"221,960,000",0.887839,"39,317,400"
11,0.893659,"May 28, 2018",1.05,0.887874,"253,153,000",1.01,"36,406,500"
12,1.02,"May 27, 2018",1.03,0.995972,"257,684,000",1.03,"29,528,500"
13,1.02,"May 26, 2018",1.07,1.02,"256,381,000",1.03,"25,735,600"
14,1.02,"May 25, 2018",1.08,1.01,"264,794,000",1.06,"33,956,600"
15,1.06,"May 24, 2018",1.08,0.966351,"247,205,000",0.988821,"53,145,200"
16,1.00,"May 23, 2018",1.19,0.986201,"290,378,000",1.16,"50,302,000"
17,1.17,"May 22, 2018",1.29,1.15,"322,844,000",1.29,"39,102,600"
18,1.29,"May 21, 2018",1.37,1.25,"340,372,000",1.36,"51,898,800"
19,1.36,"May 20, 2018",1.41,1.31,"330,571,000",1.32,"64,625,200"
20,1.32,"May 19, 2018",1.39,1.15,"295,198,000",1.18,"88,040,400"
21,1.18,"May 18, 2018",1.21,1.12,"293,260,000",1.17,"54,364,800"
22,1.17,"May 17, 2018",1.34,1.16,"320,263,000",1.28,"45,943,800"
23,1.28,"May 16, 2018",1.39,1.25,"340,742,000",1.36,"55,270,300"
24,1.36,"May 15, 2018",1.57,1.35,"348,189,000",1.39,"59,387,300"
25,1.39,"May 14, 2018",1.44,1.30,"358,819,000",1.44,"45,920,300"
26,1.43,"May 13, 2018",1.47,1.28,"326,529,000",1.31,"46,982,900"
27,1.31,"May 12, 2018",1.44,1.21,"347,875,000",1.39,"85,852,600"
28,1.39,"May 11, 2018",1.73,1.39,"397,993,000",1.59,"100,126,000"
29,1.60,"May 10, 2018",1.81,1.56,"394,622,000",1.58,"77,173,700"
30,1.58,"May 09, 2018",1.64,1.43,"386,794,000",1.55,"58,301,800"
31,1.55,"May 08, 2018",1.64,1.51,"401,348,000",1.61,"45,552,500"
32,1.60,"May 07, 2018",1.71,1.52,"426,519,000",1.71,"53,978,000"
33,1.71,"May 06, 2018",1.80,1.56,"450,883,000",1.80,"61,683,200"
34,1.81,"May 05, 2018",1.83,1.69,"429,117,000",1.72,"74,476,900"
35,1.72,"May 04, 2018",1.83,1.67,"455,568,000",1.82,"80,963,600"
36,1.83,"May 03, 2018",1.99,1.80,"495,652,000",1.98,"103,411,000"
37,1.98,"May 02, 2018",2.08,1.92,"516,993,000",2.07,"131,963,000"
38,2.07,"May 01, 2018",2.10,1.66,"476,668,000",1.91,"222,883,000"
39,1.90,"Apr 30, 2018",2.12,1.83,"457,917,000",1.83,"278,497,000"
40,1.82,"Apr 29, 2018",1.82,1.49,"378,507,000",1.51,"194,350,000"
41,1.52,"Apr 28, 2018",1.57,1.12,"282,712,000",1.13,"131,744,000"
42,1.14,"Apr 27, 2018",1.18,1.11,"284,529,000",1.14,"40,663,300"
43,1.13,"Apr 26, 2018",1.14,0.981134,"254,326,000",1.02,"57,091,300"
44,1.01,"Apr 25, 2018",1.20,0.992587,"299,227,000",1.20,"57,751,100"
45,1.20,"Apr 24, 2018",1.24,1.15,"287,868,000",1.15,"82,389,600"
46,1.15,"Apr 23, 2018",1.18,1.15,"288,808,000",1.16,"56,586,100"
47,1.16,"Apr 22, 2018",1.26,1.06,"269,205,000",1.08,"80,399,800"
48,1.08,"Apr 21, 2018",1.17,1.00,"292,065,000",1.17,"57,858,700"
49,1.17,"Apr 20, 2018",1.18,1.09,"284,618,000",1.14,"66,041,200"
50,1.14,"Apr 19, 2018",1.17,1.07,"278,543,000",1.11,"101,685,000"
51,1.07,"Apr 18, 2018",1.08,0.997427,"249,814,000",0.999255,"69,573,400"
52,1.00,"Apr 17, 2018",1.05,0.987230,"256,646,000",1.03,"60,370,300"
53,1.02,"Apr 16, 2018",1.03,0.979117,"251,176,000",1.00,"69,415,200"
54,1.01,"Apr 15, 2018",1.02,0.962629,"240,657,000",0.962629,"54,371,700"
55,0.962054,"Apr 14, 2018",1.03,0.942066,"248,204,000",0.992818,"56,417,600"
56,1.01,"Apr 13, 2018",1.16,0.988126,"262,535,000",1.05,"77,411,200"
57,1.04,"Apr 12, 2018",1.23,0.892582,"223,865,000",0.895460,"180,392,000"
58,0.895058,"Apr 11, 2018",0.923656,0.785815,"207,764,000",0.831055,"59,353,800"
59,0.833638,"Apr 10, 2018",0.877466,0.586568,"147,200,000",0.588799,"84,339,100"
60,0.588390,"Apr 09, 2018",0.647615,0.578653,"154,705,000",0.618818,"28,629,400"
61,0.618629,"Apr 08, 2018",0.661727,0.615820,"153,955,000",0.615820,"32,816,400"
62,0.615048,"Apr 07, 2018",0.637333,0.531680,"133,132,000",0.532529,"34,222,900"
63,0.532387,"Apr 06, 2018",0.557660,0.514701,"132,464,000",0.529857,"26,552,800"
64,0.532339,"Apr 05, 2018",0.555189,0.498126,"129,859,000",0.519436,"26,610,500"
65,0.519557,"Apr 04, 2018",0.577777,0.516171,"143,748,000",0.574993,"24,394,600"
66,0.573269,"Apr 03, 2018",0.582099,0.521844,"130,685,000",0.522738,"26,770,000"
