,close,date,high,low,market_cap,open,volume
0,0.163582,"Jun 08, 2018",0.167327,0.156284,"14,167,500",0.164779,"210,935"
1,0.164888,"Jun 07, 2018",0.174900,0.164126,"14,748,600",0.171538,"463,213"
2,0.172060,"Jun 06, 2018",0.182037,0.166922,"15,439,000",0.179567,"752,700"
3,0.179878,"Jun 05, 2018",0.180743,0.166915,"15,022,800",0.174726,"410,594"
4,0.174478,"Jun 04, 2018",0.196912,0.172750,"16,658,900",0.193756,"636,374"
5,0.193843,"Jun 03, 2018",0.199648,0.189015,"16,286,600",0.189426,"261,810"
6,0.189544,"Jun 02, 2018",0.196470,0.184783,"15,958,600",0.185611,"422,212"
7,0.185578,"Jun 01, 2018",0.210750,0.181520,"18,120,000",0.210750,"1,287,160"
8,0.204636,"May 31, 2018",0.204636,0.171354,"15,035,600",0.174875,"816,704"
9,0.174742,"May 30, 2018",0.182015,0.166099,"15,029,300",0.174802,"359,917"
10,0.175036,"May 29, 2018",0.177133,0.157556,"14,113,100",0.164146,"514,228"
11,0.166365,"May 28, 2018",0.176658,0.156629,"14,764,100",0.171718,"557,093"
12,0.172280,"May 27, 2018",0.178117,0.170335,"15,290,900",0.177845,"176,685"
13,0.177726,"May 26, 2018",0.193653,0.177166,"16,271,800",0.189253,"212,550"
14,0.187867,"May 25, 2018",0.200757,0.184682,"16,868,300",0.196191,"462,152"
15,0.196392,"May 24, 2018",0.198486,0.175272,"15,703,000",0.182638,"820,684"
16,0.183383,"May 23, 2018",0.223506,0.178312,"18,560,400",0.215872,"720,607"
17,0.215566,"May 22, 2018",0.248225,0.212063,"21,325,600",0.248033,"534,676"
18,0.248585,"May 21, 2018",0.261385,0.244187,"22,458,500",0.261210,"403,435"
19,0.260850,"May 20, 2018",0.263249,0.253881,"22,036,200",0.256298,"419,806"
20,0.257107,"May 19, 2018",0.273991,0.243223,"21,557,100",0.250726,"962,639"
21,0.250869,"May 18, 2018",0.251992,0.233305,"20,672,800",0.240441,"384,926"
22,0.241342,"May 17, 2018",0.268508,0.240628,"22,739,400",0.264476,"921,811"
23,0.264291,"May 16, 2018",0.279235,0.254456,"23,842,100",0.277302,"938,908"
24,0.277283,"May 15, 2018",0.309703,0.275305,"25,757,400",0.299579,"2,269,350"
25,0.299910,"May 14, 2018",0.356036,0.273669,"25,220,300",0.293331,"8,193,870"
26,0.293405,"May 13, 2018",0.306756,0.234412,"20,287,800",0.235963,"2,366,940"
27,0.235337,"May 12, 2018",0.262579,0.213943,"19,715,700",0.229309,"1,304,420"
28,0.230159,"May 11, 2018",0.271031,0.219884,"23,289,500",0.270875,"984,637"
29,0.272661,"May 10, 2018",0.304019,0.272069,"23,835,300",0.277223,"2,275,780"
30,0.277663,"May 09, 2018",0.288389,0.264942,"24,431,700",0.284160,"777,259"
31,0.283846,"May 08, 2018",0.307304,0.278191,"25,917,300",0.301438,"1,637,990"
32,0.300218,"May 07, 2018",0.307700,0.270170,"25,668,400",0.298543,"979,849"
33,0.297857,"May 06, 2018",0.327376,0.287668,"28,147,400",0.327376,"975,184"
34,0.328695,"May 05, 2018",0.352645,0.310825,"29,603,300",0.344309,"1,825,230"
35,0.344089,"May 04, 2018",0.347494,0.316501,"28,195,100",0.327930,"1,566,820"
36,0.328552,"May 03, 2018",0.339074,0.317381,"28,512,400",0.331621,"1,775,560"
37,0.331735,"May 02, 2018",0.345176,0.320949,"28,439,100",0.330769,"2,794,040"
