,close,date,high,low,market_cap,open,volume
0,0.000459,"Jun 08, 2018",0.000462,0.000454,"96,640",0.000461,15
1,0.000461,"Jun 07, 2018",0.000465,0.000459,"96,315",0.000459,15
2,0.000459,"Jun 06, 2018",0.000461,0.000450,"95,880",0.000457,704
3,0.000458,"Jun 05, 2018",0.000458,0.000443,"94,350",0.000450,0
4,0.000450,"Jun 04, 2018",0.000464,0.000448,"96,935",0.000463,50
5,0.000462,"Jun 03, 2018",0.000464,0.000456,"95,992",0.000458,58
6,0.000458,"Jun 02, 2018",0.000460,0.000374,"78,750",0.000376,"1,185"
7,0.000376,"Jun 01, 2018",0.000379,0.000224,"47,092",0.000225,651
8,0.000225,"May 31, 2018",0.000303,0.000223,"61,876",0.000295,10
9,0.000295,"May 30, 2018",0.000302,0.000292,"62,561",0.000299,59
10,0.000298,"May 29, 2018",0.000301,0.000283,"59,660",0.000285,60
11,0.000285,"May 28, 2018",0.000296,0.000284,"61,560",0.000294,0
12,0.000294,"May 27, 2018",0.000295,0.000289,"61,473",0.000293,59
13,0.000293,"May 26, 2018",0.000305,0.000292,"62,585",0.000299,72
14,0.000299,"May 25, 2018",0.000306,0.000294,"63,369",0.000303,0
15,0.000302,"May 24, 2018",0.000309,0.000291,"63,006",0.000301,10
16,0.000302,"May 23, 2018",0.000321,0.000299,"67,060",0.000320,440
17,0.000320,"May 22, 2018",0.000337,0.000319,"70,444",0.000336,21
18,0.000336,"May 21, 2018",0.000421,0.000252,"53,584",0.000256,900
19,0.000256,"May 20, 2018",0.000257,0.000246,"51,812",0.000247,41
20,0.000247,"May 19, 2018",0.000251,0.000245,"51,770",0.000247,2
21,0.000247,"May 18, 2018",0.000248,0.000239,"50,758",0.000242,6
22,0.000242,"May 17, 2018",0.000253,0.000167,"34,970",0.000167,13
23,0.000167,"May 16, 2018",0.000255,0.000163,"53,320",0.000255,12
24,0.000255,"May 15, 2018",0.000263,0.000174,"54,502",0.000260,42
25,0.000261,"May 14, 2018",0.000266,0.000250,"54,601",0.000261,19
26,0.000261,"May 13, 2018",0.000263,0.000251,"53,202",0.000254,3
27,0.000254,"May 12, 2018",0.000345,0.000166,"70,322",0.000336,500
