,close,date,high,low,market_cap,open,volume
0,0.123653,"Jun 08, 2018",0.133161,0.122460,"2,552,180",0.132092,"44,896"
1,0.134090,"Jun 07, 2018",0.137663,0.132963,"2,609,140",0.135040,"45,178"
2,0.135142,"Jun 06, 2018",0.142166,0.132396,"2,633,190",0.136285,"50,926"
3,0.135713,"Jun 05, 2018",0.138293,0.119754,"2,426,660",0.125596,"32,029"
4,0.125539,"Jun 04, 2018",0.141118,0.124328,"2,621,860",0.135698,"26,100"
5,0.134874,"Jun 03, 2018",0.140743,0.129137,"2,510,070",0.129913,"38,892"
6,0.129983,"Jun 02, 2018",0.131744,0.122681,"2,381,470",0.123257,"42,990"
7,0.123597,"Jun 01, 2018",0.134914,0.120939,"2,509,270",0.129871,"46,280"
8,0.128798,"May 31, 2018",0.134810,0.121644,"2,376,600",0.123005,"45,001"
9,0.123074,"May 30, 2018",0.128009,0.120182,"2,396,290",0.124024,"43,993"
10,0.124036,"May 29, 2018",0.129642,0.114727,"2,242,350",0.116056,"51,351"
11,0.116025,"May 28, 2018",0.121726,0.115021,"2,332,450",0.120720,"46,441"
12,0.120726,"May 27, 2018",0.126808,0.119066,"2,450,080",0.126808,"48,190"
13,0.126539,"May 26, 2018",0.141270,0.123718,"2,401,380",0.124287,"46,299"
14,0.124932,"May 25, 2018",0.138132,0.123880,"2,618,900",0.135545,"48,524"
15,0.135342,"May 24, 2018",0.141183,0.123742,"2,530,460",0.130968,"51,944"
16,0.134391,"May 23, 2018",0.149337,0.122267,"2,855,530",0.147793,"63,174"
17,0.147628,"May 22, 2018",0.167366,0.146386,"3,227,380",0.167038,"56,355"
18,0.167468,"May 21, 2018",0.176915,0.166494,"3,410,730",0.176528,"64,611"
19,0.175643,"May 20, 2018",0.185273,0.175002,"3,485,310",0.180388,"71,881"
20,0.180289,"May 19, 2018",0.182616,0.170985,"3,327,370",0.172213,"71,128"
21,0.172969,"May 18, 2018",0.175645,0.159797,"3,122,300",0.161600,"66,881"
22,0.161382,"May 17, 2018",0.177342,0.160133,"3,339,740",0.172854,"79,099"
23,0.174837,"May 16, 2018",0.184130,0.167108,"3,395,670",0.175748,"67,257"
24,0.177161,"May 15, 2018",0.194008,0.174227,"3,522,470",0.182311,"66,116"
25,0.182600,"May 14, 2018",0.197197,0.179791,"3,710,810",0.192059,"45,185"
26,0.192220,"May 13, 2018",0.198142,0.172746,"3,362,750",0.174044,"47,943"
27,0.174275,"May 12, 2018",0.203009,0.170164,"3,341,420",0.172940,"35,685"
28,0.173573,"May 11, 2018",0.195026,0.167404,"3,697,520",0.191371,"47,040"
29,0.191191,"May 10, 2018",0.225937,0.191053,"4,121,400",0.213310,"47,071"
30,0.213254,"May 09, 2018",0.237050,0.205386,"4,126,270",0.213561,"42,637"
31,0.214026,"May 08, 2018",0.226171,0.209547,"4,235,450",0.219213,"65,066"
32,0.218613,"May 07, 2018",0.243398,0.199568,"4,434,520",0.229515,"78,195"
33,0.229369,"May 06, 2018",0.250911,0.217487,"4,764,700",0.246605,"57,780"
34,0.238405,"May 05, 2018",0.259711,0.237127,"4,887,550",0.252963,"78,562"
35,0.253064,"May 04, 2018",0.284050,0.238422,"5,121,630",0.265078,"94,640"
36,0.265459,"May 03, 2018",0.279418,0.249064,"4,842,590",0.250636,"86,265"
37,0.250764,"May 02, 2018",0.267126,0.246804,"4,865,560",0.251825,"68,342"
38,0.251577,"May 01, 2018",0.262582,0.241676,"5,071,140",0.262465,"59,830"
39,0.261813,"Apr 30, 2018",0.298514,0.248600,"5,760,770",0.298158,"84,839"
40,0.296163,"Apr 29, 2018",0.314385,0.264273,"5,660,740",0.292980,"85,382"
41,0.293123,"Apr 28, 2018",0.294132,0.236482,"4,772,550",0.247011,"84,804"
42,0.250485,"Apr 27, 2018",0.273362,0.250451,"5,251,550",0.271802,"98,135"
43,0.270640,"Apr 26, 2018",0.277063,0.234855,"5,353,200",0.277063,"121,421"
44,0.274463,"Apr 25, 2018",0.336445,0.264614,"6,493,020",0.336057,"120,198"
45,0.336799,"Apr 24, 2018",0.346989,0.302255,"5,839,940",0.302255,"127,434"
46,0.300376,"Apr 23, 2018",0.308706,0.269984,"5,709,960",0.295528,"120,130"
47,0.296279,"Apr 22, 2018",0.306081,0.226016,"4,483,140",0.232032,"125,862"
48,0.234135,"Apr 21, 2018",0.245679,0.222851,"4,347,580",0.225016,"72,864"
49,0.225156,"Apr 20, 2018",0.233857,0.209785,"4,053,310",0.209785,"100,151"
50,0.210547,"Apr 19, 2018",0.232648,0.191815,"3,742,690",0.193709,"97,504"
51,0.193637,"Apr 18, 2018",0.205596,0.175736,"3,594,490",0.186039,"79,571"
52,0.185981,"Apr 17, 2018",0.193517,0.173648,"3,499,980",0.181147,"32,553"
53,0.181131,"Apr 16, 2018",0.211704,0.175089,"4,032,970",0.208733,"30,350"
54,0.208641,"Apr 15, 2018",0.211625,0.180074,"3,556,110",0.184052,"61,884"
55,0.184055,"Apr 14, 2018",0.216159,0.156004,"3,049,900",0.157853,"165,675"
56,0.157210,"Apr 13, 2018",0.167066,0.140898,"2,868,550",0.148466,"54,862"
57,0.148246,"Apr 12, 2018",0.149862,0.123163,"2,567,280",0.132874,"26,754"
58,0.133382,"Apr 11, 2018",0.133652,0.120895,"2,445,640",0.126578,"26,205"
