,close,date,high,low,market_cap,open,volume
0,0.005220,"Jun 08, 2018",0.007798,0.003960,"51,128",0.006235,418
1,0.006231,"Jun 07, 2018",0.006248,0.006049,"49,602",0.006049,66
2,0.006043,"Jun 06, 2018",0.008057,0.005926,"63,144",0.007700,64
3,0.007702,"Jun 05, 2018",0.007716,0.007247,"60,291",0.007352,4
4,0.007349,"Jun 04, 2018",0.007417,0.006616,"60,678",0.007399,5
5,0.007396,"Jun 03, 2018",0.007424,0.007033,"58,348",0.007115,34
6,0.007114,"Jun 02, 2018",0.007936,0.005893,"61,848",0.007542,43
7,0.007544,"Jun 01, 2018",0.008667,0.005895,"48,353",0.005896,40
8,0.005894,"May 31, 2018",0.008475,0.005889,"51,280",0.006253,86
9,0.006254,"May 30, 2018",0.007797,0.005773,"58,982",0.007193,122
10,0.007190,"May 29, 2018",0.008175,0.003674,"39,313",0.004794,663
11,0.004795,"May 28, 2018",0.008032,0.004783,"65,857",0.008031,474
12,0.008031,"May 27, 2018",0.008399,0.008030,"68,635",0.008370,69
13,0.008368,"May 26, 2018",0.008509,0.007754,"68,523",0.008356,165
14,0.008366,"May 25, 2018",0.008548,0.008272,"69,761",0.008507,12
15,0.008501,"May 24, 2018",0.010409,0.008383,"73,772",0.008996,2
16,0.009015,"May 23, 2018",0.009115,0.007839,"72,854",0.008884,208
17,0.008894,"May 22, 2018",0.010304,0.008092,"84,488",0.010303,33
18,0.010303,"May 21, 2018",0.010471,0.008743,"73,849",0.009006,231
19,0.008999,"May 20, 2018",0.010220,0.008100,"77,185",0.009412,406
20,0.009407,"May 19, 2018",0.013240,0.008694,"108,414",0.013221,557
21,0.013221,"May 18, 2018",0.013224,0.011144,"100,879",0.012302,16
22,0.012255,"May 17, 2018",0.013330,0.011383,"93,894",0.011450,"13,601"
23,0.011523,"May 16, 2018",0.012455,0.010477,"92,538",0.011285,"3,122"
24,0.011291,"May 15, 2018",0.012038,0.011233,"98,173",0.011972,12
25,0.011985,"May 14, 2018",0.012127,0.010889,"94,571",0.011533,24
26,0.011535,"May 13, 2018",0.012608,0.011451,"101,095",0.012328,25
27,0.012329,"May 12, 2018",0.012565,0.009543,"78,728",0.009601,100
28,0.009623,"May 11, 2018",0.009895,0.008765,"74,232",0.009052,32
29,0.009042,"May 10, 2018",0.009960,0.009033,"81,268",0.009910,265
30,0.009913,"May 09, 2018",0.010063,0.009092,"76,242",0.009297,80
31,0.009311,"May 08, 2018",0.009640,0.009211,"78,385",0.009559,25
32,0.009540,"May 07, 2018",0.009902,0.009483,"81,153",0.009896,35
33,0.009890,"May 06, 2018",0.011558,0.009711,"94,739",0.011553,103
34,0.011547,"May 05, 2018",0.013426,0.009753,"85,011",0.010367,"1,118"
35,0.010371,"May 04, 2018",0.011569,0.008934,"76,671",0.009350,21
36,0.009352,"May 03, 2018",0.010290,0.008983,"78,624",0.009588,50
37,0.009588,"May 02, 2018",0.009707,0.009447,"78,080",0.009522,1
38,0.009532,"May 01, 2018",0.010740,0.009206,"78,270",0.009545,9
39,0.009537,"Apr 30, 2018",0.011697,0.009495,"95,769",0.011679,20
40,0.011896,"Apr 29, 2018",0.011904,0.011360,"94,305",0.011500,22
41,0.010231,"Apr 28, 2018",0.011114,0.009610,"87,934",0.010723,44
42,0.010738,"Apr 27, 2018",0.010799,0.009683,"79,703",0.009719,19
43,0.009711,"Apr 26, 2018",0.009725,0.009397,"79,259",0.009665,13
44,0.009635,"Apr 25, 2018",0.012278,0.009630,"90,607",0.011049,26
45,0.011087,"Apr 24, 2018",0.012613,0.010372,"89,458",0.010909,83
46,0.010906,"Apr 23, 2018",0.011063,0.008970,"84,531",0.010308,174
47,0.010318,"Apr 22, 2018",0.011406,0.010294,"92,275",0.011253,13
48,0.011253,"Apr 21, 2018",0.011695,0.010275,"95,899",0.011695,60
49,0.011691,"Apr 20, 2018",0.013901,0.008266,"67,822",0.008271,"4,753"
50,0.008266,"Apr 19, 2018",0.009822,0.007973,"66,430",0.008101,95
51,0.008096,"Apr 18, 2018",0.012129,0.008096,"89,461",0.010909,358
52,0.010903,"Apr 17, 2018",0.012242,0.010581,"100,325",0.012234,141
53,0.012231,"Apr 16, 2018",0.013008,0.010092,"92,323",0.011258,474
54,0.011263,"Apr 15, 2018",0.011641,0.008180,"74,879",0.009131,"2,591"
55,0.009123,"Apr 14, 2018",0.009396,0.008837,"72,659",0.008861,34
56,0.008861,"Apr 13, 2018",0.009631,0.008686,"72,384",0.008827,24
57,0.008818,"Apr 12, 2018",0.009147,0.007605,"64,201",0.007829,126
58,0.007839,"Apr 11, 2018",0.008899,0.007745,"67,449",0.008225,45
59,0.008219,"Apr 10, 2018",0.009155,0.007515,"74,991",0.009145,115
60,0.009138,"Apr 09, 2018",0.011059,0.007561,"69,282",0.008449,"1,362"
61,0.008438,"Apr 08, 2018",0.017718,0.003065,"93,353",0.011384,"4,579"
62,0.011375,"Apr 07, 2018",0.012335,0.011334,"98,038",0.011955,74
63,0.011949,"Apr 06, 2018",0.012667,0.011904,"102,817",0.012538,19
64,0.012602,"Apr 05, 2018",0.015144,0.009726,"113,018",0.013782,862
65,0.013779,"Apr 04, 2018",0.018252,0.012775,"138,179",0.016851,424
66,0.016861,"Apr 03, 2018",0.018417,0.015880,"130,696",0.015938,993
67,0.015927,"Apr 02, 2018",0.017889,0.015444,"127,017",0.015489,16
68,0.015421,"Apr 01, 2018",0.018127,0.014647,"144,577",0.017631,6
69,0.017631,"Mar 31, 2018",0.018453,0.015761,"137,695",0.016791,388
70,0.016790,"Mar 30, 2018",0.018432,0.016441,"142,438",0.017370,43
71,0.017390,"Mar 29, 2018",0.020905,0.017162,"169,495",0.020669,30
72,0.020647,"Mar 28, 2018",0.021083,0.018985,"171,694",0.020938,350
73,0.020939,"Mar 27, 2018",0.021167,0.018262,"156,572",0.019093,6
74,0.019119,"Mar 26, 2018",0.026852,0.019107,"172,726",0.021063,45
75,0.021075,"Mar 25, 2018",0.027633,0.019094,"158,280",0.019302,31
76,0.019543,"Mar 24, 2018",0.034642,0.019501,"181,239",0.022101,968
77,0.021784,"Mar 23, 2018",0.021973,0.018211,"161,860",0.019738,214
78,0.019739,"Mar 22, 2018",0.026649,0.019326,"179,376",0.021874,116
79,0.021898,"Mar 21, 2018",0.027613,0.018979,"155,825",0.019002,132
80,0.018973,"Mar 20, 2018",0.019939,0.017611,"149,204",0.018195,35
81,0.017994,"Mar 19, 2018",0.021569,0.017698,"146,742",0.017895,82
82,0.017959,"Mar 18, 2018",0.033261,0.014785,"152,354",0.018579,633
83,0.018607,"Mar 17, 2018",0.021565,0.013998,"176,843",0.021565,370
84,0.021539,"Mar 16, 2018",0.023895,0.015472,"145,636",0.017760,155
85,0.017768,"Mar 15, 2018",0.018613,0.016404,"145,840",0.017785,154
86,0.017790,"Mar 14, 2018",0.020183,0.017425,"162,829",0.019856,25
87,0.019855,"Mar 13, 2018",0.023467,0.017750,"186,310",0.022720,882
88,0.022830,"Mar 12, 2018",0.041000,0.018646,"155,110",0.018915,"4,219"
89,0.018975,"Mar 11, 2018",0.024310,0.017906,"165,740",0.020211,"1,881"
90,0.020270,"Mar 10, 2018",0.024517,0.020103,"198,787",0.024241,128
91,0.024232,"Mar 09, 2018",0.024347,0.016942,"164,731",0.020088,803
92,0.020188,"Mar 08, 2018",0.028580,0.017742,"231,898",0.028279,124
93,0.028313,"Mar 07, 2018",0.029442,0.017090,"175,794",0.021438,"3,643"
94,0.021465,"Mar 06, 2018",0.026661,0.020799,"174,601",0.021292,361
95,0.021348,"Mar 05, 2018",0.028108,0.019929,"230,170",0.028068,354
96,0.028087,"Mar 04, 2018",0.028152,0.022431,"221,609",0.027024,439
97,0.027057,"Mar 03, 2018",0.028752,0.020047,"218,565",0.026653,701
98,0.026682,"Mar 02, 2018",0.033882,0.021273,"208,023",0.025368,"1,391"
99,0.025378,"Mar 01, 2018",0.033641,0.025126,"252,425",0.030782,660
100,0.030737,"Feb 28, 2018",0.037611,0.027870,"300,659",0.036664,689
101,0.036705,"Feb 27, 2018",0.042419,0.025116,"316,640",0.038613,"3,908"
102,0.038503,"Feb 26, 2018",0.045236,0.032198,"283,799",0.034608,"1,838"
103,0.034565,"Feb 25, 2018",0.034946,0.029294,"247,334",0.030162,"1,277"
104,0.030183,"Feb 24, 2018",0.030267,0.022958,"188,359",0.022970,131
105,0.022998,"Feb 23, 2018",0.032581,0.022932,"241,796",0.029486,582
106,0.029503,"Feb 22, 2018",0.041320,0.027653,"314,841",0.038394,202
107,0.038403,"Feb 21, 2018",0.043786,0.034572,"326,449",0.039809,216
108,0.039821,"Feb 20, 2018",0.048121,0.037990,"311,527",0.037990,"1,009"
109,0.037992,"Feb 19, 2018",0.048780,0.028302,"336,694",0.041059,"1,717"
110,0.042673,"Feb 18, 2018",0.053042,0.040735,"380,493",0.046400,608
111,0.046306,"Feb 17, 2018",0.055841,0.045267,"388,331",0.047356,212
112,0.047363,"Feb 16, 2018",0.059905,0.040115,"398,404",0.048584,"1,766"
113,0.048749,"Feb 15, 2018",0.061213,0.047653,"425,133",0.051844,"2,104"
114,0.051824,"Feb 14, 2018",0.063123,0.046965,"515,780",0.062898,"1,362"
115,0.051444,"Feb 13, 2018",0.075364,0.050419,"432,045",0.052686,"48,018"
116,0.052602,"Feb 12, 2018",0.060960,0.051331,"428,660",0.052274,647
117,0.051575,"Feb 11, 2018",0.064531,0.047258,"455,015",0.055488,984
118,0.055530,"Feb 10, 2018",0.065638,0.048958,"461,895",0.056327,"3,950"
119,0.056302,"Feb 09, 2018",0.060888,0.050179,"441,008",0.053779,"1,259"
120,0.053720,"Feb 08, 2018",0.063551,0.049911,"467,609",0.057023,"2,916"
121,0.057101,"Feb 07, 2018",0.063839,0.052111,"444,116",0.054158,"1,167"
122,0.054488,"Feb 06, 2018",0.059470,0.037855,"405,374",0.049434,"1,975"
123,0.049382,"Feb 05, 2018",0.064741,0.049021,"449,597",0.054827,"2,525"
124,0.055250,"Feb 04, 2018",0.091657,0.055250,"574,595",0.070070,"9,451"
125,0.069257,"Feb 03, 2018",0.126829,0.050795,"461,348",0.056260,"11,819"
126,0.056124,"Feb 02, 2018",0.073056,0.036192,"375,421",0.045781,"3,898"
127,0.045871,"Feb 01, 2018",0.077751,0.038060,"574,982",0.070117,"6,853"
128,0.069993,"Jan 31, 2018",0.107503,0.069536,"746,916",0.091084,"8,155"
129,0.090987,"Jan 30, 2018",0.120096,0.067689,"576,371",0.070287,"44,439"
130,0.070270,"Jan 29, 2018",0.077597,0.030524,"276,019",0.033660,"29,130"
131,0.033683,"Jan 28, 2018",0.033811,0.029002,"239,879",0.029252,"1,352"
132,0.029172,"Jan 27, 2018",0.034105,0.027830,"244,232",0.029783,972
133,0.029796,"Jan 26, 2018",0.032014,0.027022,"257,495",0.031401,"1,095"
134,0.031445,"Jan 25, 2018",0.036053,0.026794,"222,854",0.027176,"4,253"
135,0.027033,"Jan 24, 2018",0.028198,0.022804,"202,705",0.024719,573
136,0.024726,"Jan 23, 2018",0.026379,0.021122,"174,553",0.021286,471
137,0.021326,"Jan 22, 2018",0.027526,0.021060,"192,604",0.023487,309
138,0.023325,"Jan 21, 2018",0.027946,0.023325,"218,043",0.026590,387
139,0.026535,"Jan 20, 2018",0.028088,0.022553,"196,088",0.023912,"3,746"
140,0.023662,"Jan 19, 2018",0.025510,0.020107,"165,747",0.020212,"11,299"
141,0.020381,"Jan 18, 2018",0.024878,0.017957,"181,590",0.022614,"1,152"
142,0.022547,"Jan 17, 2018",0.028708,0.017176,"228,550",0.028462,"4,885"
143,0.028515,"Jan 16, 2018",0.030915,0.025390,"229,233",0.028547,"3,434"
144,0.028516,"Jan 15, 2018",0.032279,0.024408,"220,402",0.027447,"7,719"
145,0.027602,"Jan 14, 2018",0.029618,0.024123,"234,104",0.029154,"3,112"
146,0.029137,"Jan 13, 2018",0.032244,0.026881,"217,826",0.027127,"6,651"
147,0.027154,"Jan 12, 2018",0.031343,0.025287,"235,091",0.029277,"6,692"
148,0.029107,"Jan 11, 2018",0.034782,0.023296,"270,382",0.033672,"19,957"
149,0.033703,"Jan 10, 2018",0.035786,0.028657,"243,034",0.030266,"35,941"
150,0.030234,"Jan 09, 2018",0.033413,0.027095,"217,988",0.027147,"28,489"
151,0.027189,"Jan 08, 2018",0.028475,0.022313,"200,412",0.024958,"24,037"
152,0.024982,"Jan 07, 2018",0.027572,0.017783,"180,084",0.022426,"2,411"
153,0.022439,"Jan 06, 2018",0.022475,0.016954,"149,824",0.018658,"1,017"
154,0.018646,"Jan 05, 2018",0.018861,0.012977,"104,990",0.013075,"1,144"
155,0.013071,"Jan 04, 2018",0.014414,0.011904,"108,630",0.013528,"1,157"
156,0.013473,"Jan 03, 2018",0.013492,0.011165,"89,677",0.011168,"1,194"
157,0.011184,"Jan 02, 2018",0.011696,0.009835,"86,887",0.010820,430
158,0.010821,"Jan 01, 2018",0.011096,0.009548,"88,852",0.011065,65
159,0.011025,"Dec 31, 2017",0.011263,0.008578,"72,943",0.009084,205
160,0.009125,"Dec 30, 2017",0.011345,0.008984,"82,396",0.010261,68
161,0.010274,"Dec 29, 2017",0.011229,0.009353,"86,475",0.010769,40
162,0.010669,"Dec 28, 2017",0.011258,0.008709,"80,310",0.010001,341
163,0.010011,"Dec 27, 2017",0.012317,0.009555,"77,219",0.009616,690
164,0.009613,"Dec 26, 2017",0.009781,0.007617,"61,414",0.007648,681
165,0.007656,"Dec 25, 2017",0.017536,0.007453,"135,370",0.016858,95
166,0.016796,"Dec 24, 2017",0.016796,0.007653,"85,739",0.010677,82
167,0.010641,"Dec 23, 2017",0.010918,0.008420,"67,958",0.008463,32
168,0.008424,"Dec 22, 2017",0.009758,0.007511,"76,652",0.009546,866
169,0.009517,"Dec 21, 2017",0.016960,0.009237,"81,399",0.010137,"3,537"
170,0.010125,"Dec 20, 2017",0.012864,0.008582,"80,655",0.010044,347
171,0.010049,"Dec 19, 2017",0.012598,0.008408,"88,590",0.011032,766
172,0.011022,"Dec 18, 2017",0.012574,0.009606,"80,056",0.009970,313
173,0.009957,"Dec 17, 2017",0.014451,0.009431,"83,204",0.010362,989
174,0.010361,"Dec 16, 2017",0.013682,0.008863,"78,424",0.009766,465
175,0.009759,"Dec 15, 2017",0.009804,0.008083,"69,287",0.008628,120
176,0.008620,"Dec 14, 2017",0.011757,0.008416,"73,181",0.009113,94
177,0.009128,"Dec 13, 2017",0.012319,0.009082,"91,729",0.011423,374
178,0.011413,"Dec 12, 2017",0.014221,0.009315,"97,962",0.012200,485
179,0.012170,"Dec 11, 2017",0.015611,0.009207,"81,502",0.010150,"1,630"
180,0.010200,"Dec 10, 2017",0.014178,0.009542,"103,899",0.012939,170
181,0.012912,"Dec 09, 2017",0.015020,0.010733,"119,613",0.014896,797
182,0.014852,"Dec 08, 2017",0.015289,0.008455,"72,275",0.009001,242
183,0.008985,"Dec 07, 2017",0.018449,0.008931,"115,546",0.014389,"2,016"
184,0.014412,"Dec 06, 2017",0.020165,0.010622,"100,217",0.012480,"18,155"
185,0.012505,"Dec 05, 2017",0.016636,0.011508,"127,725",0.015906,431
186,0.015880,"Dec 04, 2017",0.017315,0.010088,"81,084",0.010098,"1,013"
187,0.010068,"Dec 03, 2017",0.020594,0.009488,"165,275",0.020582,727
188,0.020584,"Dec 02, 2017",0.021386,0.011365,"160,988",0.020048,810
189,0.020066,"Dec 01, 2017",0.029271,0.017581,"213,948",0.026644,"7,061"
190,0.026503,"Nov 30, 2017",0.026503,0.009995,"183,991",0.022913,"9,746"
191,0.022580,"Nov 29, 2017",0.045220,0.012707,"102,219",0.012730,837
192,0.012752,"Nov 28, 2017",0.013588,0.006769,"54,749",0.006818,138
193,0.006805,"Nov 27, 2017",0.007109,0.006656,"56,209",0.007000,187
194,0.006999,"Nov 26, 2017",0.007147,0.006116,"54,799",0.006824,59
195,0.006826,"Nov 25, 2017",0.007055,0.005680,"52,285",0.006511,216
196,0.006524,"Nov 24, 2017",0.007278,0.005235,"58,246",0.007253,174
197,0.007262,"Nov 23, 2017",0.007359,0.003356,"37,487",0.004668,372
198,0.004710,"Nov 22, 2017",0.006488,0.004124,"50,510",0.006290,64
199,0.006194,"Nov 21, 2017",0.006836,0.004979,"54,895",0.006836,40
200,0.006844,"Nov 20, 2017",0.006994,0.004826,"55,317",0.006889,151
201,0.006892,"Nov 19, 2017",0.006892,0.004817,"44,913",0.005593,239
202,0.005596,"Nov 18, 2017",0.005688,0.003844,"37,891",0.004719,106
203,0.004727,"Nov 17, 2017",0.006591,0.004651,"43,533",0.005421,37
204,0.005418,"Nov 16, 2017",0.057090,0.005249,"455,655",0.056744,408
205,0.056592,"Nov 15, 2017",0.087312,0.003563,"28,745",0.003580,"6,734"
206,0.003537,"Nov 14, 2017",0.013648,0.003517,"32,155",0.004004,553
207,0.004000,"Nov 13, 2017",0.004778,0.003809,"34,446",0.004290,18
208,0.004265,"Nov 12, 2017",0.004341,0.002693,"32,278",0.004020,6
209,0.004022,"Nov 11, 2017",0.005298,0.003982,"41,180",0.005128,96
210,0.005152,"Nov 10, 2017",0.005286,0.004753,"39,246",0.004887,42
211,0.004878,"Nov 09, 2017",0.005630,0.004505,"45,190",0.005628,81
212,0.005671,"Nov 08, 2017",0.006439,0.003836,"30,910",0.003849,718
213,0.003855,"Nov 07, 2017",0.003981,0.003545,"29,550",0.003680,10
214,0.003686,"Nov 06, 2017",0.004476,0.003389,"27,584",0.003435,9
215,0.003427,"Nov 05, 2017",0.004668,0.003146,"37,366",0.004653,22
216,0.004665,"Nov 04, 2017",0.007838,0.003366,"53,511",0.006664,124
217,0.006588,"Nov 03, 2017",0.006832,0.002971,"31,696",0.003947,65
218,0.003951,"Nov 02, 2017",0.004925,0.002492,"36,490",0.004544,91
219,0.004543,"Nov 01, 2017",0.004545,0.002488,"23,932",0.002980,51
220,0.003005,"Oct 31, 2017",0.004024,0.002863,"30,368",0.003782,135
221,0.003795,"Oct 30, 2017",0.005079,0.003740,"40,767",0.005077,174
222,0.005106,"Oct 29, 2017",0.005208,0.002702,"33,856",0.004216,535
223,0.004220,"Oct 28, 2017",0.005425,0.003960,"42,838",0.005335,8
224,0.005321,"Oct 27, 2017",0.005691,0.004458,"44,905",0.005592,266
225,0.005604,"Oct 26, 2017",0.006229,0.004834,"39,051",0.004863,24
226,0.004864,"Oct 25, 2017",0.007065,0.004348,"38,329",0.004773,57
227,0.004734,"Oct 24, 2017",0.005539,0.004707,"44,475",0.005539,78
228,0.005583,"Oct 23, 2017",0.007367,0.004500,"50,822",0.006329,58
229,0.006404,"Oct 22, 2017",0.006681,0.004511,"40,275",0.005015,101
230,0.005014,"Oct 21, 2017",0.005033,0.004053,"38,685",0.004818,247
231,0.004819,"Oct 20, 2017",0.005887,0.004817,"45,212",0.005630,64
232,0.005649,"Oct 19, 2017",0.005749,0.004676,"37,799",0.004707,48
233,0.004713,"Oct 18, 2017",0.005330,0.004637,"42,792",0.005329,80
234,0.005331,"Oct 17, 2017",0.006873,0.005310,"50,522",0.006292,81
235,0.006291,"Oct 16, 2017",0.029110,0.005674,"57,604",0.007174,29
236,0.007172,"Oct 15, 2017",0.007472,0.005755,"56,048",0.006980,115
237,0.006970,"Oct 14, 2017",0.010264,0.005560,"68,353",0.008512,80
238,0.008327,"Oct 13, 2017",0.009674,0.004600,"43,689",0.005441,"4,563"
239,0.005424,"Oct 12, 2017",0.006198,0.004779,"39,690",0.004943,133
240,0.004939,"Oct 11, 2017",0.006213,0.004843,"49,826",0.006205,270
241,0.006205,"Oct 10, 2017",0.006664,0.004571,"38,967",0.004853,"1,402"
242,0.004853,"Oct 09, 2017",0.005225,0.004751,"38,320",0.004772,61
243,0.004771,"Oct 08, 2017",0.005268,0.004434,"40,277",0.005016,58
244,0.005026,"Oct 07, 2017",0.005277,0.004835,"42,372",0.005277,22
245,0.005275,"Oct 06, 2017",0.005469,0.004429,"43,914",0.005469,441
246,0.005469,"Oct 05, 2017",0.014226,0.005425,"53,212",0.006627,"1,052"
247,0.006626,"Oct 04, 2017",0.006675,0.005418,"45,177",0.005626,9
