,close,date,high,low,market_cap,open,volume
0,26.67,"Jun 08, 2018",27.81,25.14,-,25.32,18
1,25.30,"Jun 07, 2018",30.91,25.23,-,30.55,57
2,30.52,"Jun 06, 2018",30.68,29.93,-,30.45,82
3,30.46,"Jun 05, 2018",30.51,24.43,-,26.92,90
4,26.91,"Jun 04, 2018",32.08,26.81,-,32.02,399
5,25.49,"Jun 03, 2018",25.56,25.15,-,25.26,6
6,25.25,"Jun 02, 2018",25.38,24.73,-,24.87,6
7,24.88,"Jun 01, 2018",25.28,24.49,-,24.95,46
8,23.64,"May 29, 2018",23.65,23.42,-,23.55,26
9,23.56,"May 28, 2018",31.02,23.49,-,30.74,26
10,30.73,"May 27, 2018",30.88,30.28,-,30.70,79
11,30.69,"May 26, 2018",31.72,29.85,-,30.17,57
12,30.21,"May 25, 2018",30.21,27.24,-,27.99,25
13,27.94,"May 24, 2018",28.13,25.55,-,26.41,86
14,26.47,"May 23, 2018",28.39,26.24,-,28.36,87
15,28.39,"May 22, 2018",29.64,28.23,-,29.62,6
16,29.62,"May 21, 2018",30.37,29.37,-,30.19,72
17,30.15,"May 20, 2018",30.38,28.86,-,28.96,72
18,28.94,"May 19, 2018",30.23,28.83,-,29.77,6
19,29.77,"May 18, 2018",29.88,28.05,-,29.21,75
20,29.19,"May 17, 2018",30.14,28.92,-,29.36,15
21,29.34,"May 16, 2018",31.47,29.05,-,31.44,45
22,31.46,"May 15, 2018",32.68,29.97,-,32.14,137
23,32.19,"May 14, 2018",39.18,30.95,-,39.10,19
24,39.10,"May 13, 2018",39.37,29.44,-,29.79,49
25,29.80,"May 12, 2018",36.80,29.72,-,31.05,157
26,31.51,"May 11, 2018",44.16,23.85,-,44.16,93
27,44.11,"May 10, 2018",54.88,25.71,-,54.60,"2,973"
28,54.62,"May 09, 2018",54.99,35.22,-,36.03,"4,697"
29,36.08,"May 08, 2018",55.27,35.76,-,54.89,"6,693"
30,54.78,"May 07, 2018",55.37,35.84,-,40.38,"10,634"
31,40.35,"May 06, 2018",58.32,39.81,-,57.78,22
32,57.74,"May 05, 2018",58.26,41.63,-,56.22,"9,973"
33,56.25,"May 04, 2018",57.57,34.73,-,56.85,"9,319"
34,56.87,"May 03, 2018",57.88,18.06,-,55.10,"11,589"
35,55.10,"May 02, 2018",55.31,41.09,-,54.22,"8,162"
36,54.30,"May 01, 2018",54.76,52.35,-,54.76,"21,471"
37,54.71,"Apr 30, 2018",56.26,54.43,-,56.04,"15,353"
38,56.06,"Apr 29, 2018",57.15,23.51,-,56.07,"21,529"
39,56.10,"Apr 28, 2018",56.61,53.41,-,53.54,"61,411"
40,53.72,"Apr 27, 2018",55.85,22.44,-,54.36,"33,121"
41,54.29,"Apr 26, 2018",54.41,39.40,-,52.91,904
42,52.47,"Apr 25, 2018",67.63,52.40,-,67.25,"1,652"
43,67.71,"Apr 24, 2018",67.71,22.03,-,58.21,"4,011"
44,58.16,"Apr 23, 2018",60.85,48.02,-,57.83,"2,579"
45,57.94,"Apr 22, 2018",62.73,57.65,-,61.81,"1,733"
46,61.81,"Apr 21, 2018",61.81,42.04,-,58.64,"1,311"
47,58.62,"Apr 20, 2018",59.17,38.45,-,57.47,"1,530"
48,57.43,"Apr 19, 2018",57.52,56.22,-,56.47,846
49,56.03,"Apr 18, 2018",56.57,53.91,-,54.02,"1,528"
50,54.35,"Apr 17, 2018",56.97,35.79,-,56.06,"1,462"
51,56.04,"Apr 16, 2018",57.56,45.19,-,57.24,"1,447"
52,57.26,"Apr 15, 2018",70.71,37.44,-,67.59,"4,275"
53,67.52,"Apr 14, 2018",69.25,40.22,-,66.65,"1,451"
54,66.65,"Apr 13, 2018",71.13,39.54,-,61.46,"4,735"
55,61.38,"Apr 12, 2018",61.67,33.10,-,34.00,"1,422"
56,34.08,"Apr 11, 2018",47.13,33.65,-,39.53,"1,005"
