,close,date,high,low,market_cap,open,volume
0,23.01,"Jun 08, 2018",23.27,20.63,"2,860,510",23.22,"4,036"
1,23.21,"Jun 07, 2018",23.34,22.73,"2,799,810",22.73,"4,519"
2,22.71,"Jun 06, 2018",23.13,22.29,"2,836,010",23.02,"5,077"
3,23.03,"Jun 05, 2018",23.10,20.56,"2,819,460",22.89,"4,288"
4,22.88,"Jun 04, 2018",23.29,14.05,"2,563,830",20.81,"3,957"
5,20.80,"Jun 03, 2018",23.75,20.72,"2,889,520",23.46,355
6,23.45,"Jun 02, 2018",23.53,21.61,"2,844,940",23.10,"3,947"
7,23.11,"Jun 01, 2018",23.35,22.67,"2,840,010",23.06,"4,381"
8,23.04,"May 31, 2018",25.06,18.01,"3,008,770",24.43,"4,605"
9,24.43,"May 30, 2018",25.40,19.74,"3,092,740",25.11,"5,215"
10,25.09,"May 29, 2018",25.66,24.14,"3,029,530",24.60,"5,276"
11,24.60,"May 28, 2018",29.81,24.53,"3,601,590",29.24,625
12,29.23,"May 27, 2018",29.30,22.95,"3,076,200",24.97,"13,005"
13,24.96,"May 26, 2018",42.43,21.49,"2,843,600",23.09,"19,348"
14,23.12,"May 25, 2018",92.16,12.69,"2,853,920",23.17,"29,718"
15,23.13,"May 24, 2018",24.15,14.68,"1,808,400",14.68,"5,024"
16,14.72,"May 23, 2018",23.08,14.21,"2,469,130",20.05,"2,210"
17,20.07,"May 22, 2018",24.16,19.95,"2,963,960",24.06,"4,156"
18,24.07,"May 21, 2018",24.21,23.15,"2,936,700",23.84,"3,203"
19,23.81,"May 20, 2018",24.00,22.70,"2,814,160",22.85,"4,331"
20,22.83,"May 19, 2018",25.03,22.75,"3,037,880",24.66,"1,837"
21,24.67,"May 18, 2018",25.13,19.60,"3,072,890",24.95,"4,225"
22,24.93,"May 17, 2018",25.77,19.95,"3,083,700",25.04,"4,310"
23,25.02,"May 16, 2018",25.02,22.08,"2,925,510",23.75,"4,373"
24,23.76,"May 15, 2018",24.49,23.63,"2,985,140",24.23,"4,424"
25,24.28,"May 14, 2018",24.75,23.21,"2,992,210",24.29,"4,863"
26,24.30,"May 13, 2018",24.48,23.44,"2,927,110",23.76,"4,427"
27,23.77,"May 12, 2018",24.16,23.03,"2,891,560",23.48,"1,071"
28,23.54,"May 11, 2018",25.26,23.39,"3,112,000",25.26,"4,506"
29,25.23,"May 10, 2018",26.24,25.21,"3,208,160",26.05,"4,879"
30,26.05,"May 09, 2018",26.13,22.67,"3,163,140",25.68,"4,856"
31,25.72,"May 08, 2018",26.26,22.87,"3,212,380",26.08,"7,611"
32,26.02,"May 07, 2018",26.42,22.19,"2,844,430",23.09,"7,502"
33,23.08,"May 06, 2018",27.74,22.77,"3,385,430",27.48,388
34,27.47,"May 05, 2018",27.72,24.19,"2,984,820",24.23,"4,973"
35,24.24,"May 04, 2018",25.29,24.04,"3,105,050",25.21,118
36,25.20,"May 03, 2018",30.72,25.20,"3,772,780",30.63,"7,041"
37,30.83,"May 02, 2018",31.33,25.68,"3,830,910",31.10,"7,717"
38,31.15,"May 01, 2018",31.98,24.24,"3,939,380",31.98,"10,759"
39,31.95,"Apr 30, 2018",32.35,22.99,"2,870,280",23.30,"4,942"
40,23.31,"Apr 29, 2018",25.12,22.88,"2,967,630",24.09,"5,658"
41,24.10,"Apr 28, 2018",24.25,15.08,"1,938,590",15.74,"7,413"
42,15.79,"Apr 27, 2018",22.93,15.08,"2,782,450",22.59,749
43,22.56,"Apr 26, 2018",22.61,16.64,"2,595,310",21.07,474
44,20.90,"Apr 25, 2018",25.69,20.47,"2,903,900",23.58,"1,770"
45,23.74,"Apr 24, 2018",24.61,17.11,"2,703,520",21.95,"4,802"
46,21.93,"Apr 23, 2018",22.18,17.08,"2,105,730",17.10,"3,851"
47,17.13,"Apr 22, 2018",17.67,17.04,"2,146,010",17.42,"1,140"
48,17.42,"Apr 21, 2018",17.52,13.70,"1,776,270",14.42,"3,457"
49,14.42,"Apr 20, 2018",17.44,13.47,"2,005,430",16.28,"2,035"
50,16.27,"Apr 19, 2018",16.27,15.96,"1,986,140",16.12,"1,515"
51,16.11,"Apr 18, 2018",17.64,15.09,"1,934,630",15.71,"1,601"
52,15.69,"Apr 17, 2018",16.62,15.69,"2,034,980",16.52,"1,580"
