,close,date,high,low,market_cap,open,volume
0,0.007294,"Jun 08, 2018",0.007787,0.007144,-,0.007446,"53,049"
1,0.007440,"Jun 07, 2018",0.007861,0.006897,-,0.006933,"89,839"
2,0.006930,"Jun 06, 2018",0.007841,0.006514,-,0.006542,"113,461"
3,0.006545,"Jun 05, 2018",0.006556,0.005894,-,0.006541,"167,267"
4,0.006538,"Jun 04, 2018",0.007207,0.005215,-,0.007188,"219,110"
5,0.007185,"Jun 03, 2018",0.007279,0.006770,-,0.006815,"209,837"
6,0.006812,"Jun 02, 2018",0.007049,0.006435,-,0.006839,"90,423"
7,0.006842,"Jun 01, 2018",0.007053,0.006335,-,0.006877,"418,593"
8,0.006872,"May 31, 2018",0.006979,0.006393,-,0.006455,"230,871"
9,0.006446,"May 30, 2018",0.006928,0.006321,-,0.006376,"663,634"
10,0.006372,"May 29, 2018",0.006818,0.006201,-,0.006763,"110,007"
11,0.006766,"May 28, 2018",0.008002,0.006700,-,0.007817,"54,855"
12,0.007815,"May 27, 2018",0.008482,0.007159,-,0.008432,"39,537"
13,0.008428,"May 26, 2018",0.008669,0.008156,-,0.008302,"16,035"
14,0.008311,"May 25, 2018",0.008795,0.007866,-,0.008778,"23,664"
15,0.008762,"May 24, 2018",0.009001,0.007625,-,0.007996,"23,877"
16,0.008021,"May 23, 2018",0.011167,0.007931,-,0.011111,"33,749"
17,0.011159,"May 22, 2018",0.012797,0.010330,-,0.011910,"104,554"
18,0.011921,"May 21, 2018",0.012812,0.011069,-,0.012653,"163,268"
19,0.012743,"May 20, 2018",0.013520,0.011260,-,0.011352,"239,396"
20,0.011344,"May 19, 2018",0.011385,0.010485,-,0.011107,"81,992"
21,0.011126,"May 18, 2018",0.011493,0.008125,-,0.008456,"119,150"
22,0.008453,"May 17, 2018",0.010237,0.007989,-,0.008188,"133,537"
23,0.008255,"May 16, 2018",0.008509,0.007298,-,0.007709,"38,604"
24,0.007629,"May 15, 2018",0.007787,0.006862,-,0.007258,"34,606"
25,0.007269,"May 14, 2018",0.007269,0.006130,-,0.006587,"15,402"
26,0.006589,"May 13, 2018",0.006829,0.006126,-,0.006323,"16,080"
27,0.006326,"May 12, 2018",0.006469,0.006083,-,0.006237,"11,780"
28,0.006254,"May 11, 2018",0.007110,0.006210,-,0.006708,"56,524"
29,0.006720,"May 10, 2018",0.007590,0.006600,-,0.007205,"59,295"
30,0.007205,"May 09, 2018",0.007555,0.006331,-,0.006936,"32,198"
31,0.006893,"May 08, 2018",0.007458,0.006572,-,0.007332,"32,438"
32,0.007289,"May 07, 2018",0.007732,0.007009,-,0.007315,"9,897"
33,0.007311,"May 06, 2018",0.008418,0.006606,-,0.007970,"37,390"
34,0.008010,"May 05, 2018",0.008448,0.007348,-,0.007456,"44,701"
35,0.007457,"May 04, 2018",0.008171,0.007234,-,0.007887,"50,237"
36,0.007895,"May 03, 2018",0.010808,0.006845,-,0.007659,"337,205"
37,0.007722,"May 02, 2018",0.008482,0.007189,-,0.008292,"66,231"
38,0.008402,"May 01, 2018",0.008792,0.007543,-,0.007725,"90,505"
39,0.007717,"Apr 30, 2018",0.008104,0.007296,-,0.007884,"44,835"
40,0.007886,"Apr 29, 2018",0.008463,0.007638,-,0.008389,"46,958"
41,0.008373,"Apr 28, 2018",0.008402,0.007676,-,0.007720,"43,185"
42,0.007780,"Apr 27, 2018",0.008843,0.007680,-,0.008540,"219,404"
43,0.008536,"Apr 26, 2018",0.009505,0.007499,-,0.008440,"603,447"
44,0.008362,"Apr 25, 2018",0.009235,0.007938,-,0.009027,"379,590"
45,0.009113,"Apr 24, 2018",0.010732,0.007112,-,0.007769,"703,160"
46,0.007769,"Apr 23, 2018",0.008427,0.007612,-,0.007744,"351,405"
47,0.007833,"Apr 22, 2018",0.009401,0.007548,-,0.009175,"449,224"
48,0.009175,"Apr 21, 2018",0.009515,0.008663,-,0.009361,"301,360"
49,0.009367,"Apr 20, 2018",0.009429,0.006177,-,0.006418,"576,699"
50,0.006482,"Apr 19, 2018",0.006772,0.006159,-,0.006772,"312,971"
51,0.006768,"Apr 18, 2018",0.007153,0.006176,-,0.006294,"277,933"
52,0.006291,"Apr 17, 2018",0.007013,0.006253,-,0.007006,"199,933"
53,0.006957,"Apr 16, 2018",0.007849,0.006314,-,0.006888,"350,711"
54,0.006931,"Apr 15, 2018",0.007798,0.006825,-,0.007029,"407,837"
55,0.007033,"Apr 14, 2018",0.007625,0.006934,-,0.007339,"223,317"
56,0.007339,"Apr 13, 2018",0.007845,0.006741,-,0.006870,"307,640"
57,0.006858,"Apr 12, 2018",0.006877,0.005831,-,0.006501,"218,035"
58,0.006534,"Apr 11, 2018",0.006812,0.006219,-,0.006764,"215,054"
59,0.006750,"Apr 10, 2018",0.007095,0.006016,-,0.006055,"276,501"
60,0.006028,"Apr 09, 2018",0.006494,0.005823,-,0.005883,"115,590"
61,0.005869,"Apr 08, 2018",0.006373,0.005385,-,0.006279,"260,909"
62,0.006319,"Apr 07, 2018",0.006703,0.006191,-,0.006437,"85,226"
63,0.006439,"Apr 06, 2018",0.007002,0.006277,-,0.006559,"216,248"
64,0.006584,"Apr 05, 2018",0.006849,0.006355,-,0.006558,"178,963"
65,0.006563,"Apr 04, 2018",0.007163,0.006505,-,0.006833,"399,748"
66,0.006791,"Apr 03, 2018",0.006918,0.005953,-,0.006558,"222,962"
67,0.006552,"Apr 02, 2018",0.006558,0.004362,-,0.005498,"191,564"
68,0.005480,"Apr 01, 2018",0.005990,0.005234,-,0.005723,"221,336"
69,0.005721,"Mar 31, 2018",0.006317,0.005698,-,0.005787,"337,100"
70,0.005792,"Mar 30, 2018",0.006875,0.005638,-,0.006846,"138,058"
71,0.006865,"Mar 29, 2018",0.008472,0.006795,-,0.008402,"145,136"
72,0.008387,"Mar 28, 2018",0.009274,0.007873,-,0.008860,"307,716"
73,0.008857,"Mar 27, 2018",0.009561,0.008735,-,0.009549,"268,340"
74,0.009556,"Mar 26, 2018",0.010302,0.008808,-,0.010192,"571,650"
75,0.010214,"Mar 25, 2018",0.010440,0.008275,-,0.008893,"487,663"
76,0.009001,"Mar 24, 2018",0.009406,0.008384,-,0.008731,"1,100,170"
77,0.008650,"Mar 23, 2018",0.009176,0.007515,-,0.008054,"961,905"
78,0.008055,"Mar 22, 2018",0.008465,0.006753,-,0.008006,"234,076"
79,0.007931,"Mar 21, 2018",0.008268,0.006822,-,0.007471,"579,719"
80,0.007425,"Mar 20, 2018",0.008456,0.006651,-,0.008392,"858,674"
81,0.008454,"Mar 19, 2018",0.009193,0.007021,-,0.007848,"903,384"
82,0.007933,"Mar 18, 2018",0.008267,0.005691,-,0.008000,"1,008,700"
83,0.007954,"Mar 17, 2018",0.010822,0.007914,-,0.010822,"1,405,000"
84,0.010411,"Mar 16, 2018",0.012665,0.009002,-,0.012570,"1,681,020"
85,0.012585,"Mar 15, 2018",0.013036,0.011130,-,0.012942,"1,217,740"
86,0.012993,"Mar 14, 2018",0.014620,0.012044,-,0.013791,"1,086,090"
87,0.013786,"Mar 13, 2018",0.014979,0.013462,-,0.014843,"517,929"
88,0.014860,"Mar 12, 2018",0.015542,0.013863,-,0.015118,"1,437,960"
89,0.014994,"Mar 11, 2018",0.015627,0.013617,-,0.014288,"1,974,240"
90,0.014330,"Mar 10, 2018",0.015503,0.013830,-,0.014567,"1,583,250"
91,0.014575,"Mar 09, 2018",0.014612,0.012929,-,0.014178,"607,693"
92,0.014135,"Mar 08, 2018",0.015716,0.014031,-,0.015220,"1,288,450"
93,0.015616,"Mar 07, 2018",0.016151,0.012846,-,0.016034,"2,681,100"
94,0.016019,"Mar 06, 2018",0.017510,0.015439,-,0.017464,"2,036,860"
95,0.017383,"Mar 05, 2018",0.018933,0.017335,-,0.018817,"2,161,210"
96,0.018811,"Mar 04, 2018",0.019979,0.017544,-,0.017952,"3,091,940"
97,0.017955,"Mar 03, 2018",0.018708,0.016710,-,0.017439,"3,082,200"
98,0.017624,"Mar 02, 2018",0.021679,0.015390,-,0.021644,"4,035,090"
99,0.021650,"Mar 01, 2018",0.023656,0.019518,-,0.021121,"4,405,360"
100,0.022138,"Feb 28, 2018",0.025068,0.019062,-,0.021298,"6,002,770"
101,0.021291,"Feb 27, 2018",0.021427,0.020030,-,0.020030,"2,976,620"
102,0.019975,"Feb 26, 2018",0.020258,0.018160,-,0.019120,"899,346"
103,0.019107,"Feb 25, 2018",0.020943,0.019040,-,0.020563,"189,804"
104,0.020611,"Feb 24, 2018",0.021571,0.019920,-,0.021317,"197,371"
105,0.021003,"Feb 23, 2018",0.021657,0.019068,-,0.020022,"167,057"
106,0.020046,"Feb 22, 2018",0.023946,0.017220,-,0.017629,"142,056"
107,0.017657,"Feb 21, 2018",0.019519,0.015519,-,0.017980,"112,034"
108,0.018088,"Feb 20, 2018",0.022551,0.017701,-,0.021369,"132,521"
109,0.021363,"Feb 19, 2018",0.027925,0.020261,-,0.027546,"162,482"
110,0.027726,"Feb 18, 2018",0.030442,0.026470,-,0.029967,"195,947"
111,0.029942,"Feb 17, 2018",0.038567,0.026562,-,0.037874,"248,787"
112,0.037855,"Feb 16, 2018",0.041191,0.027673,-,0.037707,"285,469"
113,0.038467,"Feb 15, 2018",0.043037,0.035388,-,0.038155,"361,009"
114,0.038190,"Feb 14, 2018",0.048008,0.036359,-,0.038094,"2,606,380"
115,0.038099,"Feb 13, 2018",0.039014,0.035752,-,0.037855,"688,032"
116,0.037703,"Feb 12, 2018",0.038152,0.032937,-,0.035816,"751,594"
117,0.035586,"Feb 11, 2018",0.037551,0.033923,-,0.036937,"724,706"
118,0.036884,"Feb 10, 2018",0.037392,0.035304,-,0.036845,"432,785"
