,close,date,high,low,market_cap,open,volume
0,0.012666,"Jun 08, 2018",0.013241,0.012428,-,0.013214,"3,851"
1,0.013204,"Jun 07, 2018",0.013569,0.012519,-,0.013017,"11,487"
2,0.013005,"Jun 06, 2018",0.013197,0.012527,-,0.012961,639
3,0.012964,"Jun 05, 2018",0.014095,0.011520,-,0.013279,"9,881"
4,0.013273,"Jun 04, 2018",0.014344,0.012566,-,0.012566,"4,145"
5,0.014794,"Jun 03, 2018",0.015519,0.012127,-,0.013208,"10,278"
6,0.013205,"Jun 02, 2018",0.013780,0.011989,-,0.013380,"5,274"
7,0.013385,"Jun 01, 2018",0.017600,0.012554,-,0.017530,"40,281"
8,0.016769,"May 31, 2018",0.016769,0.010432,-,0.010483,"88,534"
9,0.010485,"May 30, 2018",0.010823,0.010332,-,0.010525,401
10,0.010518,"May 29, 2018",0.011825,0.010006,-,0.010037,"12,196"
11,0.010040,"May 28, 2018",0.011061,0.010026,-,0.011018,"2,354"
12,0.011015,"May 27, 2018",0.011121,0.010489,-,0.010783,"3,845"
13,0.010778,"May 26, 2018",0.011529,0.010720,-,0.010903,648
14,0.010918,"May 25, 2018",0.011583,0.009862,-,0.011344,"5,329"
15,0.011323,"May 24, 2018",0.014424,0.010405,-,0.014212,"12,523"
16,0.014248,"May 23, 2018",0.015170,0.011621,-,0.015047,"10,180"
17,0.015062,"May 22, 2018",0.015167,0.010767,-,0.011855,"29,125"
18,0.012109,"May 21, 2018",0.014173,0.011614,-,0.012876,"12,633"
19,0.012860,"May 20, 2018",0.014261,0.012525,-,0.013110,"2,838"
20,0.013100,"May 19, 2018",0.013562,0.012425,-,0.013017,"1,906"
21,0.013019,"May 18, 2018",0.014917,0.012443,-,0.013490,"14,891"
22,0.013398,"May 17, 2018",0.015834,0.012248,-,0.014192,"19,172"
23,0.014183,"May 16, 2018",0.015305,0.012676,-,0.014596,"6,799"
24,0.014605,"May 15, 2018",0.016213,0.013248,-,0.015614,"3,418"
25,0.015641,"May 14, 2018",0.016460,0.014267,-,0.015121,"5,501"
