,close,date,high,low,market_cap,open,volume
0,1.53,"Jun 08, 2018",2.29,1.07,"3,080,380",1.46,"9,506"
1,1.46,"Jun 07, 2018",1.59,1.07,"3,312,430",1.57,"4,977"
2,1.57,"Jun 06, 2018",1.58,1.54,"3,314,300",1.57,919
3,1.57,"Jun 05, 2018",1.98,1.52,"3,245,610",1.54,"1,154"
4,1.54,"Jun 04, 2018",1.70,1.53,"3,416,330",1.62,960
5,1.62,"Jun 03, 2018",1.77,1.60,"3,383,510",1.60,"1,023"
6,1.60,"Jun 02, 2018",1.61,1.57,"3,339,050",1.58,"2,509"
7,1.58,"Jun 01, 2018",2.05,1.56,"3,683,670",1.75,"1,270"
8,1.74,"May 31, 2018",2.09,1.70,"4,206,380",1.99,726
9,1.99,"May 30, 2018",2.04,1.68,"4,253,220",2.02,"1,289"
10,2.01,"May 29, 2018",2.25,1.21,"3,057,190",1.45,"2,854"
11,1.45,"May 28, 2018",1.56,1.44,"3,270,740",1.55,"2,434"
12,1.55,"May 27, 2018",1.83,1.54,"3,866,280",1.83,335
13,1.83,"May 26, 2018",2.17,1.83,"4,492,310",2.13,"8,482"
14,2.13,"May 25, 2018",2.67,2.10,"5,585,940",2.65,"8,555"
15,2.64,"May 24, 2018",2.66,1.92,"4,054,430",1.92,"1,024"
16,1.93,"May 23, 2018",3.18,1.91,"4,729,140",2.24,"2,859"
17,2.24,"May 22, 2018",3.29,2.24,"6,738,730",3.19,"15,554"
18,3.19,"May 21, 2018",3.20,2.49,"6,118,480",2.90,"1,366"
19,2.90,"May 20, 2018",2.93,2.42,"5,135,050",2.43,421
20,2.43,"May 19, 2018",3.34,2.28,"6,085,380",2.88,"4,689"
21,2.88,"May 18, 2018",3.04,1.60,"5,284,640",2.50,"17,742"
22,2.50,"May 17, 2018",2.78,1.59,"3,395,800",1.61,"10,755"
23,1.61,"May 16, 2018",2.06,1.57,"4,293,920",2.03,"1,687"
24,2.04,"May 15, 2018",2.05,1.40,"3,661,170",1.73,"3,536"
25,2.21,"May 14, 2018",2.23,1.26,"3,986,960",1.89,"4,778"
26,1.89,"May 13, 2018",2.22,1.11,"4,643,590",2.20,"3,589"
27,2.20,"May 12, 2018",2.22,0.823581,"1,771,600",0.839493,"7,239"
28,0.841968,"May 11, 2018",2.02,0.841968,"4,253,260",2.02,"12,143"
29,2.01,"May 10, 2018",2.64,1.59,"3,637,580",1.72,"11,427"
30,1.72,"May 09, 2018",1.96,0.900329,"1,943,600",0.921000,"3,349"
31,0.922410,"May 08, 2018",1.79,0.889092,"2,667,570",1.26,"3,763"
32,1.26,"May 07, 2018",1.26,0.901051,"1,988,220",0.942141,"2,082"
33,0.941466,"May 06, 2018",1.03,0.925561,"2,074,160",0.982867,154
34,0.982202,"May 05, 2018",0.995890,0.929127,"1,963,840",0.930588,"1,489"
35,0.931030,"May 04, 2018",1.02,0.918003,"1,974,780",0.935774,"1,391"
36,0.936140,"May 03, 2018",1.02,0.867655,"1,945,540",0.921920,"1,062"
37,0.921887,"May 02, 2018",0.970219,0.844753,"1,801,850",0.853830,206
38,0.855118,"May 01, 2018",0.887119,0.833391,"1,872,100",0.887119,459
39,0.886344,"Apr 30, 2018",0.943895,0.881829,"1,984,020",0.940152,249
40,0.940466,"Apr 29, 2018",0.952532,0.919878,"1,972,190",0.934546,194
41,0.934910,"Apr 28, 2018",1.02,0.875654,"1,881,480",0.891562,194
42,0.894630,"Apr 27, 2018",0.937117,0.881772,"1,961,980",0.929711,664
43,0.928426,"Apr 26, 2018",0.930496,0.827056,"1,870,370",0.886298,148
44,0.879012,"Apr 25, 2018",1.01,0.792251,"1,862,400",0.882521,397
45,0.888558,"Apr 24, 2018",1.03,0.803329,"1,696,040",0.803691,306
46,0.803007,"Apr 23, 2018",0.982346,0.795527,"1,852,920",0.878029,593
47,0.879804,"Apr 22, 2018",0.895528,0.788721,"1,696,110",0.803724,124
48,0.892828,"Apr 21, 2018",0.897219,0.786983,"1,679,700",0.795948,520
49,0.795675,"Apr 20, 2018",0.934721,0.741245,"1,570,660",0.744276,496
50,0.743788,"Apr 19, 2018",0.939927,0.697380,"1,473,110",0.698050,"6,826"
51,0.697533,"Apr 18, 2018",0.776586,0.678913,"1,608,010",0.761974,"1,027"
52,0.761268,"Apr 17, 2018",0.789899,0.758788,"1,639,240",0.776776,175
53,0.776384,"Apr 16, 2018",0.955028,0.756555,"1,682,750",0.797392,168
54,0.797728,"Apr 15, 2018",0.915395,0.767502,"1,688,510",0.800123,388
55,0.799266,"Apr 14, 2018",1.14,0.705597,"1,494,160",0.708026,159
56,0.708027,"Apr 13, 2018",1.17,0.686376,"2,005,050",0.950117,"3,258"
57,0.948920,"Apr 12, 2018",1.01,0.676238,"2,125,560",1.01,873
58,1.01,"Apr 11, 2018",1.01,0.552875,"1,314,550",0.622917,"5,140"
59,0.622317,"Apr 10, 2018",0.673815,0.445721,"941,597",0.446187,362
60,0.445824,"Apr 09, 2018",0.716268,0.407531,"860,020",0.407531,734
61,0.406872,"Apr 08, 2018",0.830252,0.404126,"1,704,720",0.807801,188
62,0.807071,"Apr 07, 2018",1.02,0.429748,"908,252",0.430387,617
63,0.429873,"Apr 06, 2018",0.876347,0.426107,"1,830,290",0.867307,30
64,0.871750,"Apr 05, 2018",1.03,0.427411,"1,003,300",0.475425,170
65,0.475226,"Apr 04, 2018",1.26,0.422103,"2,660,650",1.26,124
66,1.26,"Apr 03, 2018",1.47,0.298741,"759,419",0.359860,"5,335"
67,0.359605,"Apr 02, 2018",0.369577,0.351405,"756,172",0.358321,480
68,0.356567,"Apr 01, 2018",0.421724,0.338534,"877,443",0.415787,495
69,0.415800,"Mar 31, 2018",0.431825,0.409030,"865,860",0.410298,73
70,0.410236,"Mar 30, 2018",0.432426,0.396605,"897,837",0.425451,167
71,0.426512,"Mar 29, 2018",0.477336,0.414106,"1,005,680",0.476554,10
72,0.475996,"Mar 28, 2018",0.485974,0.464690,"986,121",0.467286,81
73,0.467393,"Mar 27, 2018",0.621787,0.466795,"1,056,940",0.500845,251
74,0.501604,"Mar 26, 2018",0.631642,0.481417,"1,091,800",0.517365,77
75,0.517761,"Mar 25, 2018",0.687313,0.515437,"1,435,350",0.680161,32
76,0.689653,"Mar 24, 2018",0.719374,0.451010,"959,338",0.454594,81
77,0.448070,"Mar 23, 2018",0.822977,0.424166,"936,490",0.443768,286
78,0.443779,"Mar 22, 2018",0.582461,0.434620,"1,220,390",0.578298,356
79,0.579354,"Mar 21, 2018",0.599836,0.573908,"1,221,600",0.578871,137
80,0.577824,"Mar 20, 2018",0.585773,0.533091,"1,182,850",0.560510,469
81,0.554326,"Mar 19, 2018",0.826332,0.420538,"1,037,050",0.491418,120
82,0.493497,"Mar 18, 2018",0.662471,0.488468,"1,398,020",0.662471,820
83,0.664086,"Mar 17, 2018",0.692950,0.650771,"1,459,300",0.691508,174
84,0.690370,"Mar 16, 2018",0.714642,0.662347,"1,452,130",0.688108,217
85,0.688496,"Mar 15, 2018",0.841303,0.687094,"1,735,590",0.822431,680
86,0.822801,"Mar 14, 2018",1.18,0.801252,"1,933,890",0.916397,"1,546"
87,0.916270,"Mar 13, 2018",0.949495,0.888554,"1,920,510",0.910056,394
88,0.915312,"Mar 12, 2018",1.17,0.881929,"2,416,990",1.15,272
89,1.15,"Mar 11, 2018",1.15,0.848245,"1,853,340",0.878229,22
90,0.881268,"Mar 10, 2018",1.22,0.873259,"1,955,650",0.926707,756
91,0.926309,"Mar 09, 2018",0.963319,0.839504,"1,962,770",0.930084,143
92,0.936011,"Mar 08, 2018",1.13,0.906906,"2,088,690",0.989750,86
93,0.991155,"Mar 07, 2018",1.20,0.945153,"2,488,240",1.18,74
94,1.18,"Mar 06, 2018",1.42,1.17,"2,997,580",1.42,"2,088"
95,1.42,"Mar 05, 2018",1.51,1.41,"3,032,950",1.44,277
96,1.44,"Mar 04, 2018",1.89,1.42,"3,988,440",1.89,404
97,1.89,"Mar 03, 2018",1.90,1.12,"2,372,880",1.12,23
98,1.13,"Mar 02, 2018",2.51,1.10,"3,681,390",1.74,"6,650"
99,1.75,"Mar 01, 2018",2.75,1.64,"3,486,020",1.65,"1,863"
