,close,date,high,low,market_cap,open,volume
0,2.88,"Jun 08, 2018",3.15,2.77,"1,560,270",3.12,"201,255"
1,3.13,"Jun 07, 2018",3.46,2.66,"1,455,160",2.91,"263,646"
2,2.90,"Jun 06, 2018",3.39,2.59,"1,575,880",3.15,"252,824"
3,3.17,"Jun 05, 2018",3.61,2.97,"1,699,340",3.40,"193,929"
4,3.40,"Jun 04, 2018",3.79,3.14,"1,862,950",3.73,"91,216"
5,3.72,"Jun 03, 2018",3.84,3.02,"1,565,520",3.13,"84,060"
6,3.12,"Jun 02, 2018",3.13,2.49,"1,322,880",2.65,"62,797"
7,2.55,"Jun 01, 2018",3.48,2.14,"1,133,110",2.27,"80,876"
8,2.14,"May 31, 2018",2.55,2.03,"1,277,280",2.55,"82,819"
9,2.55,"May 30, 2018",2.63,2.27,"1,314,380",2.63,"62,643"
10,2.63,"May 29, 2018",2.68,1.65,"826,974",1.65,"66,981"
11,1.78,"May 28, 2018",2.18,1.65,"988,776",1.98,"74,775"
12,1.98,"May 27, 2018",2.33,1.76,"1,108,310",2.22,"30,502"
13,2.22,"May 26, 2018",2.80,2.21,"1,399,920",2.80,"68,429"
14,2.80,"May 25, 2018",3.00,2.23,"1,498,570",3.00,"73,494"
15,2.99,"May 24, 2018",3.03,2.43,"1,290,110",2.58,"56,713"
16,2.69,"May 23, 2018",3.21,2.47,"1,349,190",2.70,"56,505"
17,2.58,"May 22, 2018",3.49,2.58,"1,699,100",3.40,"107,670"
18,3.40,"May 21, 2018",3.86,2.97,"1,747,080",3.49,"100,640"
19,3.49,"May 20, 2018",3.78,3.17,"1,779,430",3.56,"54,243"
20,3.56,"May 19, 2018",3.95,2.93,"1,528,260",3.06,"59,233"
21,3.25,"May 18, 2018",3.96,2.37,"1,308,910",2.62,"87,125"
22,2.62,"May 17, 2018",4.41,2.41,-,3.97,"175,541"
23,3.97,"May 16, 2018",7.19,2.20,-,2.97,"193,828"
24,2.97,"May 15, 2018",2.99,1.52,-,1.83,"114,890"
25,1.83,"May 14, 2018",2.15,1.26,-,1.74,"100,110"
26,1.90,"May 13, 2018",3.19,1.53,-,2.12,"110,441"
27,2.36,"May 12, 2018",2.68,1.30,-,1.39,"34,511"
28,1.39,"May 11, 2018",1.65,1.27,-,1.58,"27,155"
29,1.58,"May 10, 2018",2.16,1.37,-,1.65,"103,256"
