,close,date,high,low,market_cap,open,volume
0,2.80,"Jun 08, 2018",2.87,2.79,"80,565,300",2.86,"164,422"
1,2.85,"Jun 07, 2018",2.87,2.83,"79,894,800",2.83,"166,328"
2,2.83,"Jun 06, 2018",2.87,2.80,"80,349,400",2.85,"165,023"
3,2.85,"Jun 05, 2018",2.87,2.74,"78,731,700",2.79,"170,838"
4,2.79,"Jun 04, 2018",3.04,2.78,"85,042,600",3.02,"173,751"
5,3.01,"Jun 03, 2018",3.12,2.99,"86,137,000",3.06,"217,906"
6,3.06,"Jun 02, 2018",3.20,3.05,"86,509,400",3.07,"163,950"
7,3.07,"Jun 01, 2018",3.15,3.01,"86,724,400",3.08,"228,017"
8,3.07,"May 31, 2018",3.21,3.01,"85,903,600",3.05,"224,194"
9,3.05,"May 30, 2018",3.15,2.84,"80,515,600",2.86,"381,032"
10,2.86,"May 29, 2018",2.90,2.61,"75,558,700",2.68,"197,654"
11,2.68,"May 28, 2018",2.91,2.66,"80,934,500",2.87,"189,913"
12,2.86,"May 27, 2018",3.11,2.85,"87,539,300",3.11,"271,084"
13,3.11,"May 26, 2018",3.23,3.07,"90,503,000",3.21,"229,439"
14,3.21,"May 25, 2018",3.54,3.15,"99,329,700",3.53,"302,704"
15,3.52,"May 24, 2018",3.68,3.42,"100,765,000",3.58,"235,130"
16,3.57,"May 23, 2018",3.87,3.52,"106,693,000",3.79,"595,995"
17,3.79,"May 22, 2018",4.03,3.79,"105,982,000",4.02,"402,653"
18,4.02,"May 21, 2018",4.05,3.87,"104,136,000",3.95,"376,158"
19,3.93,"May 20, 2018",4.22,3.84,"104,394,000",3.96,"882,106"
20,3.96,"May 19, 2018",4.04,3.93,"105,477,000",4.00,"261,377"
21,3.99,"May 18, 2018",4.02,3.92,"105,575,000",4.00,"234,252"
22,4.00,"May 17, 2018",4.34,3.98,"112,173,000",4.25,"350,311"
23,4.25,"May 16, 2018",4.30,3.83,"108,674,000",4.12,"714,016"
24,4.09,"May 15, 2018",4.36,4.00,"114,164,000",4.33,"460,628"
25,4.32,"May 14, 2018",4.64,4.30,"120,682,000",4.58,"521,128"
26,4.57,"May 13, 2018",4.60,4.27,"114,598,000",4.35,"359,728"
27,4.35,"May 12, 2018",4.47,4.12,"112,511,000",4.27,"346,730"
28,4.28,"May 11, 2018",4.60,4.12,"119,078,000",4.52,"802,077"
29,4.51,"May 10, 2018",4.91,4.48,"120,262,000",4.56,"595,950"
30,4.57,"May 09, 2018",4.78,4.27,"117,118,000",4.44,"591,611"
31,4.45,"May 08, 2018",4.93,4.39,"128,154,000",4.86,"647,199"
32,4.87,"May 07, 2018",4.88,4.42,"119,156,000",4.52,"1,726,970"
