,close,date,high,low,market_cap,open,volume
0,0.011827,"Jun 08, 2018",0.012615,0.011020,-,0.011677,"68,372"
1,0.011669,"Jun 07, 2018",0.014649,0.010098,-,0.012481,"79,334"
2,0.013234,"Jun 06, 2018",0.014752,0.012637,-,0.013113,"33,273"
3,0.013117,"Jun 05, 2018",0.015021,0.011155,-,0.014630,"40,950"
4,0.014247,"Jun 04, 2018",0.016184,0.008614,-,0.015803,"106,880"
5,0.015950,"Jun 03, 2018",0.016898,0.012020,-,0.013743,"42,177"
6,0.014121,"Jun 02, 2018",0.022435,0.012193,-,0.021046,"74,865"
7,0.021056,"Jun 01, 2018",0.024672,0.013608,-,0.022400,"190,199"
8,0.022458,"May 31, 2018",0.030229,0.014634,-,0.014691,"72,761"
9,0.014620,"May 30, 2018",0.016220,0.007510,-,0.007987,"66,974"
10,0.007982,"May 29, 2018",0.008929,0.004994,-,0.005481,"39,376"
11,0.005483,"May 28, 2018",0.008844,0.004780,-,0.005215,"33,229"
12,0.005214,"May 27, 2018",0.014640,0.005132,-,0.013203,"36,927"
13,0.012757,"May 26, 2018",0.015411,0.010791,-,0.012098,"45,883"
14,0.012114,"May 25, 2018",0.021216,0.010425,-,0.014369,"45,889"
15,0.015022,"May 24, 2018",0.026688,0.012924,-,0.023987,"20,825"
16,0.024048,"May 23, 2018",0.034422,0.023552,-,0.030893,"67,328"
17,0.029083,"May 22, 2018",0.043754,0.023350,-,0.043720,"108,358"
18,0.043728,"May 21, 2018",0.070163,0.039573,-,0.043575,"262,549"
19,0.044117,"May 20, 2018",0.045072,0.039235,-,0.042052,"69,139"
20,0.042020,"May 19, 2018",0.043783,0.036785,-,0.036993,"38,110"
21,0.036998,"May 18, 2018",0.044072,0.034107,-,0.040390,"70,948"
22,0.040355,"May 17, 2018",0.057565,0.040123,-,0.047252,"191,700"
23,0.047223,"May 16, 2018",0.062373,0.046413,-,0.062373,"96,755"
24,0.062409,"May 15, 2018",0.073457,0.051132,-,0.070610,"106,872"
25,0.070644,"May 14, 2018",0.087772,0.069563,-,0.087772,"114,263"
26,0.087788,"May 13, 2018",0.100115,0.087559,-,0.089927,"75,779"
27,0.090213,"May 12, 2018",0.101621,0.088399,-,0.088399,"68,947"
28,0.088659,"May 11, 2018",0.128196,0.088483,-,0.110715,"56,277"
29,0.110583,"May 10, 2018",0.146307,0.060593,-,0.063427,"172,271"
30,0.063445,"May 09, 2018",0.083255,0.045558,-,0.073592,"163,460"
31,0.073704,"May 08, 2018",0.103434,0.072760,-,0.075029,"89,649"
32,0.074870,"May 07, 2018",0.096332,0.074870,-,0.091426,"93,818"
33,0.091361,"May 06, 2018",0.132428,0.088401,-,0.101235,"81,447"
34,0.108042,"May 05, 2018",0.152707,0.093883,-,0.134921,"290,435"
35,0.134985,"May 04, 2018",0.173634,0.097127,-,0.170389,"233,648"
36,0.170455,"May 03, 2018",0.177301,0.106872,-,0.118006,"202,778"
37,0.118001,"May 02, 2018",0.164646,0.079388,-,0.079388,"264,435"
38,0.086512,"May 01, 2018",0.216122,0.086415,-,0.203391,"108,379"
39,0.203213,"Apr 30, 2018",0.258750,0.188023,-,0.206363,"204,933"
40,0.206714,"Apr 29, 2018",0.223829,0.186561,-,0.217749,"156,507"
41,0.217834,"Apr 28, 2018",0.243414,0.160787,-,0.196857,"425,700"
42,0.205765,"Apr 27, 2018",0.267647,0.183812,-,0.221178,"490,901"
43,0.220965,"Apr 26, 2018",0.348118,0.190992,-,0.237528,"808,974"
44,0.235575,"Apr 25, 2018",0.377305,0.225147,-,0.342826,"475,816"
45,0.359915,"Apr 24, 2018",0.447389,0.281544,-,0.293631,"491,855"
46,0.293381,"Apr 23, 2018",0.382336,0.272125,-,0.331577,"544,672"
47,0.332247,"Apr 22, 2018",0.374988,0.318243,-,0.374988,"125,499"
48,0.359810,"Apr 21, 2018",0.411767,0.336698,-,0.370741,"381,325"
49,0.370614,"Apr 20, 2018",0.408065,0.340221,-,0.387725,"251,013"
50,0.387470,"Apr 19, 2018",0.432205,0.369445,-,0.388622,"290,199"
51,0.388334,"Apr 18, 2018",0.391259,0.352997,-,0.371117,"404,311"
52,0.370773,"Apr 17, 2018",0.400977,0.340413,-,0.370116,"376,700"
53,0.375722,"Apr 16, 2018",0.378033,0.346183,-,0.363071,"427,347"
