,close,date,high,low,market_cap,open,volume
0,0.874965,"Jun 08, 2018",0.933259,0.865170,"85,426,000",0.916621,"22,864,800"
1,0.916033,"Jun 07, 2018",0.948193,0.906317,"86,064,900",0.923476,"29,965,100"
2,0.925543,"Jun 06, 2018",0.959496,0.907786,"89,013,600",0.955117,"21,325,800"
3,0.950209,"Jun 05, 2018",0.956098,0.894717,"86,738,200",0.930702,"22,506,600"
4,0.929378,"Jun 04, 2018",0.988255,0.885698,"91,312,700",0.979786,"20,764,200"
5,0.988549,"Jun 03, 2018",1.01,0.940670,"90,335,300",0.969298,"11,358,000"
6,0.969481,"Jun 02, 2018",0.992214,0.928684,"86,629,300",0.929533,"12,065,100"
7,0.935368,"Jun 01, 2018",0.939299,0.902951,"86,793,500",0.931295,"16,415,100"
8,0.932170,"May 31, 2018",0.969625,0.904945,"84,753,200",0.909402,"14,623,000"
9,0.920571,"May 30, 2018",0.977567,0.896894,"86,880,000",0.932222,"17,254,400"
10,0.931072,"May 29, 2018",0.953312,0.832714,"78,239,000",0.839505,"15,801,000"
11,0.839856,"May 28, 2018",0.917663,0.813542,"83,559,200",0.896591,"12,824,300"
12,0.894144,"May 27, 2018",0.927749,0.885653,"85,228,900",0.914507,"10,310,100"
13,0.916613,"May 26, 2018",0.969564,0.908502,"85,989,400",0.922667,"16,072,500"
14,0.923549,"May 25, 2018",0.961916,0.895538,"87,600,100",0.939950,"11,535,800"
15,0.943591,"May 24, 2018",0.974008,0.835958,"83,955,800",0.900846,"15,286,900"
16,0.907789,"May 23, 2018",1.03,0.852989,"95,387,300",1.02,"18,729,400"
17,1.03,"May 22, 2018",1.15,1.03,"105,071,000",1.13,"17,049,700"
18,1.13,"May 21, 2018",1.26,1.12,"113,174,000",1.21,"14,584,700"
19,1.22,"May 20, 2018",1.25,1.19,"114,161,000",1.22,"20,208,200"
20,1.21,"May 19, 2018",1.25,1.02,"97,842,800",1.05,"26,942,500"
21,1.05,"May 18, 2018",1.05,1.00,"94,818,900",1.02,"14,482,400"
22,1.02,"May 17, 2018",1.11,1.02,"95,785,500",1.03,"17,262,200"
23,1.03,"May 16, 2018",1.09,0.985198,"101,315,000",1.09,"18,155,500"
24,1.09,"May 15, 2018",1.17,1.07,"105,237,000",1.13,"19,261,400"
25,1.13,"May 14, 2018",1.19,1.05,"110,705,000",1.19,"21,174,500"
26,1.19,"May 13, 2018",1.19,1.07,"103,939,000",1.12,"15,960,200"
27,1.11,"May 12, 2018",1.17,1.03,"104,523,000",1.12,"23,209,900"
28,1.12,"May 11, 2018",1.28,1.11,"119,224,000",1.28,"27,824,700"
29,1.28,"May 10, 2018",1.41,1.28,"128,851,000",1.38,"25,243,300"
30,1.38,"May 09, 2018",1.38,1.30,"128,505,000",1.38,"25,708,400"
31,1.38,"May 08, 2018",1.48,1.34,"133,569,000",1.43,"26,566,500"
32,1.42,"May 07, 2018",1.51,1.34,"140,146,000",1.50,"29,504,800"
33,1.50,"May 06, 2018",1.66,1.42,"154,783,000",1.66,"34,362,800"
34,1.65,"May 05, 2018",1.66,1.45,"136,908,000",1.47,"38,697,800"
35,1.47,"May 04, 2018",1.51,1.42,"138,044,000",1.48,"34,764,000"
36,1.49,"May 03, 2018",1.52,1.31,"122,913,000",1.32,"36,327,900"
37,1.33,"May 02, 2018",1.35,1.25,"116,907,000",1.26,"41,099,300"
38,1.25,"May 01, 2018",1.26,1.17,"116,834,000",1.26,"28,420,700"
39,1.26,"Apr 30, 2018",1.35,1.25,"124,070,000",1.33,"33,309,100"
40,1.34,"Apr 29, 2018",1.34,1.18,"110,050,000",1.18,"40,804,900"
41,1.18,"Apr 28, 2018",1.21,1.10,"103,108,000",1.11,"44,302,200"
42,1.11,"Apr 27, 2018",1.17,1.10,"107,281,000",1.15,"48,708,600"
43,1.15,"Apr 26, 2018",1.15,1.00,"97,245,200",1.04,"54,152,200"
44,1.04,"Apr 25, 2018",1.22,0.974541,"111,455,000",1.20,"49,788,600"
45,1.20,"Apr 24, 2018",1.26,1.18,"111,489,000",1.20,"52,801,400"
46,1.20,"Apr 23, 2018",1.22,1.15,"113,355,000",1.22,"52,691,900"
47,1.21,"Apr 22, 2018",1.29,1.06,"100,955,000",1.08,"68,336,400"
48,1.09,"Apr 21, 2018",1.15,1.03,"98,405,600",1.06,"62,594,600"
49,1.06,"Apr 20, 2018",1.06,0.973079,"93,667,400",1.01,"52,553,900"
50,1.01,"Apr 19, 2018",1.02,0.958511,"89,997,900",0.966880,"38,160,700"
51,0.965696,"Apr 18, 2018",0.967413,0.906430,"84,371,100",0.906430,"38,137,900"
52,0.906043,"Apr 17, 2018",0.978864,0.886086,"86,298,200",0.927132,"46,016,800"
53,0.928472,"Apr 16, 2018",0.981471,0.880918,"91,301,200",0.980882,"49,551,300"
54,0.981040,"Apr 15, 2018",0.981040,0.876974,"82,108,300",0.882119,"66,278,900"
55,0.874530,"Apr 14, 2018",0.989093,0.840433,"84,008,600",0.902534,"63,869,000"
56,0.905473,"Apr 13, 2018",1.04,0.869790,"81,699,600",0.877728,"64,623,100"
57,0.866456,"Apr 12, 2018",0.867841,0.706937,"70,752,900",0.760124,"49,927,500"
58,0.758050,"Apr 11, 2018",0.760498,0.596689,"55,651,200",0.597881,"46,136,500"
59,0.595140,"Apr 10, 2018",0.595140,0.556424,"52,731,700",0.566516,"36,744,800"
60,0.564048,"Apr 09, 2018",0.607755,0.546473,"53,422,700",0.573940,"13,326,700"
61,0.568612,"Apr 08, 2018",0.572178,0.543676,"50,864,700",0.546458,"17,034,900"
62,0.546161,"Apr 07, 2018",0.575511,0.502306,"47,287,900",0.508031,"16,820,900"
63,0.507584,"Apr 06, 2018",0.548354,0.503515,"49,212,000",0.528703,"17,154,300"
64,0.532473,"Apr 05, 2018",0.532473,0.482928,"46,189,700",0.496233,"20,398,600"
65,0.497234,"Apr 04, 2018",0.572787,0.492652,"53,315,400",0.572787,"18,057,900"
66,0.571769,"Apr 03, 2018",0.576564,0.533962,"50,029,500",0.537485,"16,072,100"
67,0.536972,"Apr 02, 2018",0.567934,0.526332,"50,305,500",0.540450,"24,313,600"
68,0.538330,"Apr 01, 2018",0.580395,0.507366,"53,215,500",0.571713,"23,960,400"
69,0.572008,"Mar 31, 2018",0.616961,0.567140,"55,431,700",0.595523,"23,166,900"
70,0.593569,"Mar 30, 2018",0.614840,0.546513,"53,478,200",0.574536,"25,009,600"
71,0.574403,"Mar 29, 2018",0.654492,0.562762,"59,434,900",0.638530,"29,995,100"
72,0.637550,"Mar 28, 2018",0.672038,0.606481,"57,388,700",0.616548,"27,697,200"
73,0.616417,"Mar 27, 2018",0.672265,0.611205,"62,074,300",0.666886,"18,494,500"
74,0.668187,"Mar 26, 2018",0.730399,0.620284,"66,868,500",0.718393,"24,501,300"
75,0.719649,"Mar 25, 2018",0.738344,0.697239,"65,613,200",0.706843,"28,879,300"
76,0.715416,"Mar 24, 2018",0.758886,0.698274,"67,062,800",0.722460,"16,442,900"
77,0.712944,"Mar 23, 2018",0.743704,0.652471,"69,034,800",0.743704,"38,989,200"
78,0.743395,"Mar 22, 2018",0.802045,0.687638,"69,880,200",0.752811,"37,415,900"
79,0.754732,"Mar 21, 2018",0.805850,0.713987,"67,088,500",0.722737,"22,744,900"
80,0.720681,"Mar 20, 2018",0.729735,0.656992,"62,995,700",0.682683,"32,933,000"
81,0.674204,"Mar 19, 2018",0.689512,0.617677,"57,879,600",0.627239,"29,648,600"
82,0.627504,"Mar 18, 2018",0.644020,0.535421,"58,389,500",0.632766,"39,587,900"
83,0.631377,"Mar 17, 2018",0.726252,0.620215,"66,913,300",0.725137,"26,564,400"
84,0.723658,"Mar 16, 2018",0.762025,0.697737,"66,471,400",0.720348,"18,948,900"
85,0.721138,"Mar 15, 2018",0.731360,0.666322,"65,676,400",0.711733,"22,320,300"
86,0.712594,"Mar 14, 2018",0.845942,0.685255,"74,578,100",0.808200,"41,199,700"
87,0.806411,"Mar 13, 2018",0.850073,0.795215,"76,903,700",0.833403,"13,738,300"
88,0.836724,"Mar 12, 2018",0.886910,0.810409,"79,822,500",0.865034,"28,902,400"
89,0.867481,"Mar 11, 2018",0.883008,0.770230,"73,845,200",0.800258,"36,898,600"
90,0.802852,"Mar 10, 2018",0.908827,0.795949,"79,299,600",0.859367,"34,080,600"
91,0.858159,"Mar 09, 2018",0.859341,0.717760,"74,792,000",0.810518,"36,085,100"
92,0.813127,"Mar 08, 2018",0.954663,0.809138,"82,073,300",0.889426,"42,954,900"
93,0.891943,"Mar 07, 2018",1.06,0.840631,"94,148,700",1.02,"27,884,100"
94,1.02,"Mar 06, 2018",1.17,1.01,-,1.17,"43,622,400"
95,1.18,"Mar 05, 2018",1.21,1.16,-,1.17,"63,348,500"
96,1.17,"Mar 04, 2018",1.21,1.14,-,1.20,"31,313,600"
97,1.21,"Mar 03, 2018",1.27,1.20,-,1.24,"28,614,200"
98,1.24,"Mar 02, 2018",1.31,1.23,-,1.27,"51,234,100"
99,1.28,"Mar 01, 2018",1.32,1.16,-,1.17,"41,223,400"
100,1.17,"Feb 28, 2018",1.25,1.17,-,1.22,"46,021,800"
101,1.22,"Feb 27, 2018",1.30,1.17,-,1.27,"65,450,600"
102,1.27,"Feb 26, 2018",1.29,1.14,-,1.14,"94,865,600"
