,close,date,high,low,market_cap,open,volume
0,1.50,"Jun 08, 2018",1.51,1.45,"4,802,090",1.45,277
1,1.45,"Jun 07, 2018",1.46,1.36,"4,518,620",1.36,317
2,1.36,"Jun 06, 2018",1.68,1.13,"3,944,480",1.19,"2,699"
3,1.19,"Jun 05, 2018",1.33,1.12,"4,379,860",1.32,459
4,1.32,"Jun 04, 2018",1.49,1.11,"3,766,330",1.14,"1,862"
5,1.14,"Jun 03, 2018",1.18,1.09,"3,605,900",1.09,"1,532"
6,1.09,"Jun 02, 2018",1.30,1.05,"4,277,780",1.29,234
7,1.29,"Jun 01, 2018",1.32,1.03,"4,283,160",1.29,627
8,1.29,"May 31, 2018",1.31,1.24,"4,141,380",1.25,194
9,1.25,"May 30, 2018",1.30,1.22,"4,180,340",1.26,911
10,1.26,"May 29, 2018",1.28,1.14,"3,790,770",1.14,68
11,1.15,"May 28, 2018",1.27,1.13,"4,193,670",1.27,559
12,1.27,"May 27, 2018",1.31,1.24,"4,316,460",1.30,260
13,1.30,"May 26, 2018",1.34,1.16,"4,301,190",1.30,604
14,1.30,"May 25, 2018",1.30,1.05,"3,590,520",1.08,"1,314"
15,1.08,"May 24, 2018",1.16,1.01,"3,649,650",1.10,"6,733"
16,1.11,"May 23, 2018",1.22,1.08,"3,838,670",1.16,"9,044"
17,1.16,"May 22, 2018",1.30,1.15,"4,273,800",1.29,"13,022"
18,1.29,"May 21, 2018",2.38,1.28,"4,288,830",1.29,"11,587"
19,1.29,"May 20, 2018",1.86,1.24,"4,612,580",1.39,"1,635"
20,1.39,"May 19, 2018",1.62,1.23,"4,940,020",1.49,"11,077"
21,1.49,"May 18, 2018",1.61,1.42,"5,176,690",1.56,"2,962"
22,1.56,"May 17, 2018",1.65,1.48,"4,918,340",1.48,"2,408"
23,1.48,"May 16, 2018",2.00,1.48,"5,150,630",1.55,"1,607"
24,1.55,"May 15, 2018",1.80,1.53,"5,300,610",1.60,"9,059"
25,1.60,"May 14, 2018",2.02,1.52,"5,562,800",1.68,"9,667"
26,1.68,"May 13, 2018",1.93,1.61,"5,949,700",1.80,"2,151"
27,1.80,"May 12, 2018",1.82,1.48,"5,919,470",1.79,"3,999"
28,1.79,"May 11, 2018",1.84,1.50,"5,937,090",1.79,"2,578"
29,1.79,"May 10, 2018",2.03,1.79,"6,711,520",2.03,387
30,2.02,"May 09, 2018",2.05,1.65,"5,454,840",1.65,910
31,1.65,"May 08, 2018",2.24,1.65,"6,997,590",2.11,"9,140"
32,2.10,"May 07, 2018",2.14,1.86,"6,629,540",2.00,"5,750"
33,2.00,"May 06, 2018",2.34,1.89,"7,573,980",2.29,"8,528"
34,2.29,"May 05, 2018",2.32,2.02,"7,267,850",2.19,"11,401"
35,2.19,"May 04, 2018",2.41,2.03,"7,725,200",2.33,"7,346"
36,2.19,"May 03, 2018",2.46,1.92,"6,383,500",1.93,"13,891"
37,1.93,"May 02, 2018",2.05,1.89,"6,248,700",1.89,172
38,1.89,"May 01, 2018",1.99,1.74,"6,597,560",1.99,"7,894"
39,1.98,"Apr 30, 2018",2.09,1.83,"6,166,190",1.86,"6,991"
40,1.86,"Apr 29, 2018",1.98,1.80,"6,060,800",1.83,"1,743"
