,close,date,high,low,market_cap,open,volume
0,0.002562,"Jun 08, 2018",0.003393,0.002535,"12,939,300",0.002777,"93,064"
1,0.002774,"Jun 07, 2018",0.003593,0.002311,"12,050,500",0.002586,"18,263"
2,0.002586,"Jun 06, 2018",0.003118,0.002506,"12,295,800",0.002638,"73,984"
3,0.002643,"Jun 05, 2018",0.003119,0.002611,"13,294,000",0.002853,"92,368"
4,0.002852,"Jun 04, 2018",0.003769,0.002687,"17,367,300",0.003727,"27,853"
5,0.003730,"Jun 03, 2018",0.003763,0.002797,"16,763,900",0.003597,"140,278"
6,0.003607,"Jun 02, 2018",0.003614,0.002689,"14,121,100",0.003030,"120,253"
7,0.003038,"Jun 01, 2018",0.003578,0.002541,"14,729,500",0.003161,"36,267"
8,0.003156,"May 31, 2018",0.004281,0.002622,"17,960,200",0.003854,"253,326"
9,0.003904,"May 30, 2018",0.004753,0.002411,"11,705,600",0.002512,"260,737"
10,0.002511,"May 29, 2018",0.002851,0.002215,"11,754,000",0.002522,"100,638"
11,0.002507,"May 28, 2018",0.002804,0.002159,"12,466,300",0.002675,"107,777"
12,0.002675,"May 27, 2018",0.002922,0.002539,"13,008,300",0.002791,"111,443"
13,0.002790,"May 26, 2018",0.003142,0.002785,"13,508,600",0.002899,"20,838"
14,0.002899,"May 25, 2018",0.003327,0.002739,"15,502,800",0.003327,"87,487"
15,0.003324,"May 24, 2018",0.003364,0.002547,"11,869,100",0.002547,"56,851"
16,0.002557,"May 23, 2018",0.003189,0.002511,"12,595,600",0.002703,"101,882"
17,0.002709,"May 22, 2018",0.003660,0.002687,"16,893,200",0.003625,"112,060"
18,0.003625,"May 21, 2018",0.003851,0.003108,"17,540,500",0.003764,"108,808"
19,0.003794,"May 20, 2018",0.003823,0.003111,"16,018,200",0.003437,"23,715"
20,0.003435,"May 19, 2018",0.003859,0.003419,"17,935,000",0.003848,"22,299"
21,0.003849,"May 18, 2018",0.003851,0.002976,"17,480,800",0.003751,"61,918"
22,0.003754,"May 17, 2018",0.004072,0.002694,"16,086,000",0.003452,"190,279"
23,0.003448,"May 16, 2018",0.004027,0.003330,"18,767,700",0.004027,"333,497"
24,0.004034,"May 15, 2018",0.004327,0.003346,"17,559,100",0.003768,"487,539"
25,0.003773,"May 14, 2018",0.004091,0.003529,"18,057,100",0.003875,"298,556"
26,0.003876,"May 13, 2018",0.004056,0.003649,"18,518,600",0.003974,"210,770"
27,0.003978,"May 12, 2018",0.004018,0.003608,"16,813,600",0.003608,"66,188"
28,0.003614,"May 11, 2018",0.004255,0.003562,"18,842,100",0.004043,"207,642"
29,0.004040,"May 10, 2018",0.004504,0.004002,"18,649,200",0.004002,"732,845"
30,0.003998,"May 09, 2018",0.004629,0.003982,"20,758,700",0.004454,"482,576"
31,0.004482,"May 08, 2018",0.004567,0.004203,"21,145,500",0.004537,"116,141"
32,0.004509,"May 07, 2018",0.004580,0.003836,"21,082,000",0.004524,"511,994"
33,0.004521,"May 06, 2018",0.005019,0.004214,"23,141,700",0.004966,"495,248"
34,0.004969,"May 05, 2018",0.005051,0.004347,"20,320,200",0.004360,"653,628"
35,0.004356,"May 04, 2018",0.004821,0.004227,"20,129,200",0.004319,"395,080"
36,0.004333,"May 03, 2018",0.004497,0.003494,"16,317,800",0.003501,"609,979"
