,close,date,high,low,market_cap,open,volume
0,0.000382,"Jun 08, 2018",0.000385,0.000378,-,0.000384,1
1,0.000384,"Jun 07, 2018",0.000465,0.000383,-,0.000459,5
2,0.000459,"Jun 06, 2018",0.000461,0.000450,-,0.000457,1
3,0.000458,"Jun 05, 2018",0.000458,0.000443,-,0.000450,1
4,0.000450,"Jun 04, 2018",0.000452,0.000374,-,0.000385,15
5,0.000385,"Jun 03, 2018",0.000386,0.000380,-,0.000382,26
6,0.000382,"Jun 02, 2018",0.000460,0.000374,-,0.000376,28
7,0.000376,"Jun 01, 2018",0.000380,0.000368,-,0.000375,4
8,0.000374,"May 31, 2018",0.000455,0.000367,-,0.000369,9
9,0.000369,"May 30, 2018",0.000453,0.000365,-,0.000448,18
10,0.000448,"May 29, 2018",0.000519,0.000354,-,0.000356,177
11,0.000356,"May 28, 2018",0.000445,0.000355,-,0.000441,1
12,0.000441,"May 27, 2018",0.000443,0.000434,-,0.000440,2
13,0.000440,"May 26, 2018",0.000455,0.000370,-,0.000448,8
14,0.000449,"May 25, 2018",0.000459,0.000442,-,0.000454,3
15,0.000453,"May 24, 2018",0.000529,0.000437,-,0.000451,71
16,0.000452,"May 23, 2018",0.000482,0.000374,-,0.000480,11
17,0.000481,"May 22, 2018",0.000505,0.000409,-,0.000504,277
18,0.000505,"May 21, 2018",0.000515,0.000500,-,0.000512,2
19,0.000511,"May 20, 2018",0.000585,0.000417,-,0.000577,18
20,0.000577,"May 19, 2018",0.000577,0.000409,-,0.000412,4
21,0.000412,"May 18, 2018",0.000579,0.000411,-,0.000565,21
22,0.000565,"May 17, 2018",0.000583,0.000493,-,0.000501,110
23,0.000501,"May 16, 2018",0.000589,0.000488,-,0.000509,102
24,0.000509,"May 15, 2018",0.000529,0.000424,-,0.000434,115
25,0.000434,"May 14, 2018",0.000527,0.000432,-,0.000521,4
26,0.000522,"May 13, 2018",0.000525,0.000420,-,0.000423,2
27,0.000424,"May 12, 2018",0.000518,0.000417,-,0.000504,116
28,0.000505,"May 11, 2018",0.000542,0.000427,-,0.000542,34
29,0.000542,"May 10, 2018",0.000563,0.000541,-,0.000559,14
30,0.000559,"May 09, 2018",0.000561,0.000450,-,0.000460,1
31,0.000461,"May 08, 2018",0.000473,0.000454,-,0.000468,55
32,0.000467,"May 07, 2018",0.000481,0.000460,-,0.000481,5
33,0.000480,"May 06, 2018",0.000496,0.000472,-,0.000491,13
34,0.000491,"May 05, 2018",0.000596,0.000486,-,0.000582,21
35,0.000582,"May 04, 2018",0.000585,0.000383,-,0.000390,158
36,0.000390,"May 03, 2018",0.000392,0.000367,-,0.000369,5
37,0.000369,"May 02, 2018",0.000370,0.000359,-,0.000363,5
38,0.000364,"May 01, 2018",0.000462,0.000355,-,0.000462,7
39,0.000462,"Apr 30, 2018",0.000472,0.000457,-,0.000470,33
40,0.000470,"Apr 29, 2018",0.000476,0.000460,-,0.000467,1
41,0.000467,"Apr 28, 2018",0.000472,0.000445,-,0.000446,1
42,0.000447,"Apr 27, 2018",0.000469,0.000447,-,0.000465,5
43,0.000464,"Apr 26, 2018",0.000465,0.000432,-,0.000443,3
44,0.000440,"Apr 25, 2018",0.000459,0.000364,-,0.000388,3
45,0.000391,"Apr 24, 2018",0.000391,0.000367,-,0.000368,25
46,0.000446,"Apr 23, 2018",0.000447,0.000439,-,0.000439,9
47,0.000440,"Apr 22, 2018",0.000449,0.000438,-,0.000446,9
48,0.000446,"Apr 21, 2018",0.000446,0.000346,-,0.000354,9
49,0.000354,"Apr 20, 2018",0.000513,0.000329,-,0.000331,56
