,close,date,high,low,market_cap,open,volume
0,0.045626,"Jun 08, 2018",0.047213,0.045517,"13,810,500",0.047155,"399,815"
1,0.047022,"Jun 07, 2018",0.054324,0.046401,"15,873,200",0.054198,"587,940"
2,0.054056,"Jun 06, 2018",0.061820,0.045065,"13,020,400",0.061003,"1,012,180"
3,0.061063,"Jun 05, 2018",0.064869,0.057326,"9,470,740",0.060540,"165,824"
4,0.060538,"Jun 04, 2018",0.067033,0.057979,"10,374,100",0.066315,"260,280"
5,0.066409,"Jun 03, 2018",0.069031,0.065830,"10,566,100",0.067542,"1,545,360"
6,0.067583,"Jun 02, 2018",0.069256,0.065711,"10,590,700",0.067699,"2,000,530"
7,0.067542,"Jun 01, 2018",0.069214,0.064557,"10,099,100",0.064557,"2,016,870"
8,0.064464,"May 31, 2018",0.068249,0.061208,"10,341,500",0.066106,"1,248,620"
9,0.066180,"May 30, 2018",0.072746,0.064791,"11,069,200",0.070758,"1,190,570"
10,0.070653,"May 29, 2018",0.071503,0.063770,"10,025,300",0.064086,"1,240,330"
11,0.064208,"May 28, 2018",0.073289,0.063611,"11,286,900",0.072150,"1,293,070"
12,0.072076,"May 27, 2018",0.076446,0.071279,"11,888,100",0.075993,"1,539,000"
13,0.075986,"May 26, 2018",0.078539,0.071637,"11,331,200",0.072433,"1,737,970"
14,0.072429,"May 25, 2018",0.075671,0.069811,"11,106,600",0.070997,"1,506,120"
15,0.070958,"May 24, 2018",0.075643,0.065767,"10,889,700",0.069611,"1,231,870"
16,0.069644,"May 23, 2018",0.086258,0.064639,"13,271,500",0.084836,"1,272,480"
17,0.084866,"May 22, 2018",0.095790,0.084414,"14,934,300",0.095465,"1,891,910"
18,0.095547,"May 21, 2018",0.096850,0.091659,"14,488,900",0.092618,"2,049,630"
19,0.092811,"May 20, 2018",0.096498,0.090446,"14,894,600",0.095211,"1,656,950"
20,0.095333,"May 19, 2018",0.100334,0.093715,"15,482,800",0.098972,"1,785,580"
21,0.099065,"May 18, 2018",0.100660,0.095649,"15,326,200",0.097971,"1,946,840"
22,0.097742,"May 17, 2018",0.111786,0.095883,"17,364,700",0.111001,"2,368,680"
23,0.111105,"May 16, 2018",0.111105,0.104911,"17,138,900",0.109558,"2,681,280"
24,0.109451,"May 15, 2018",0.116728,0.108823,"17,816,400",0.113889,"2,661,300"
25,0.114080,"May 14, 2018",0.114469,0.104138,"16,903,800",0.108055,"2,394,040"
26,0.109857,"May 13, 2018",0.115014,0.107278,"17,064,700",0.109083,"1,890,870"
27,0.108995,"May 12, 2018",0.109293,0.095454,"16,488,500",0.105400,"2,809,090"
28,0.105573,"May 11, 2018",0.116694,0.102467,"17,964,100",0.114833,"2,951,070"
29,0.114729,"May 10, 2018",0.128718,0.114177,"18,742,400",0.119808,"3,145,980"
30,0.120612,"May 09, 2018",0.124450,0.119168,"19,444,400",0.124295,"3,181,230"
31,0.124400,"May 08, 2018",0.129524,0.120531,"19,493,600",0.124610,"3,497,820"
32,0.124404,"May 07, 2018",0.127219,0.116614,"19,087,000",0.122011,"2,752,440"
33,0.121925,"May 06, 2018",0.134261,0.118485,"19,464,500",0.124424,"2,076,870"
34,0.124334,"May 05, 2018",0.135476,0.109868,"17,402,400",0.111243,"2,053,210"
35,0.111286,"May 04, 2018",0.117048,0.109707,"17,838,400",0.114029,"1,346,390"
36,0.114335,"May 03, 2018",0.116310,0.101341,"15,988,600",0.102205,"1,701,560"
37,0.102456,"May 02, 2018",0.115699,0.095737,"17,955,100",0.114776,"1,115,680"
38,0.115750,"May 01, 2018",0.116613,0.102841,"17,196,200",0.109924,"1,324,490"
39,0.109797,"Apr 30, 2018",0.118154,0.107715,"18,420,000",0.117747,"1,531,650"
40,0.118035,"Apr 29, 2018",0.123969,0.113256,"18,830,900",0.120374,"1,732,660"
41,0.120143,"Apr 28, 2018",0.127206,0.113466,"18,470,000",0.118067,"1,571,390"
42,0.118619,"Apr 27, 2018",0.131052,0.116507,"20,090,400",0.128425,"1,386,720"
43,0.128003,"Apr 26, 2018",0.128786,0.108843,"17,427,800",0.111405,"1,574,990"
44,0.110472,"Apr 25, 2018",0.139536,0.107222,"21,828,500",0.139536,"1,942,270"
45,0.140072,"Apr 24, 2018",0.140339,0.113524,"17,759,400",0.113524,"4,035,480"
46,0.113311,"Apr 23, 2018",0.113614,0.103769,"16,307,700",0.104245,"2,246,380"
47,0.104770,"Apr 22, 2018",0.107130,0.099989,"16,533,200",0.105686,"1,526,940"
48,0.105294,"Apr 21, 2018",0.114792,0.100607,"16,507,400",0.105521,"1,579,790"
49,0.105967,"Apr 20, 2018",0.106610,0.093410,"16,520,900",0.105607,"2,302,710"
50,0.105697,"Apr 19, 2018",0.108026,0.102602,"16,165,100",0.103333,"1,726,200"
51,0.103176,"Apr 18, 2018",0.103743,0.096449,"15,108,600",0.096580,"1,162,190"
52,0.096499,"Apr 17, 2018",0.103026,0.096499,"15,929,200",0.101825,"1,021,200"
53,0.101897,"Apr 16, 2018",0.112545,0.094799,"17,482,200",0.111752,"1,318,320"
54,0.111762,"Apr 15, 2018",0.118809,0.108131,"17,380,300",0.111101,"1,568,740"
55,0.110998,"Apr 14, 2018",0.118944,0.110291,"17,271,800",0.110408,"1,033,620"
56,0.110374,"Apr 13, 2018",0.123958,0.108638,"19,293,500",0.123331,"1,775,980"
57,0.122867,"Apr 12, 2018",0.122867,0.095497,"14,939,200",0.095497,"2,798,430"
58,0.095836,"Apr 11, 2018",0.096494,0.081767,"12,802,600",0.081839,"1,574,150"
59,0.081814,"Apr 10, 2018",0.081840,0.076619,"12,140,200",0.077605,"1,172,450"
60,0.078093,"Apr 09, 2018",0.088838,0.077118,"12,855,300",0.082175,"2,056,260"
61,0.081978,"Apr 08, 2018",0.085340,0.080637,"12,632,600",0.080752,"2,030,150"
62,0.080809,"Apr 07, 2018",0.082058,0.071398,"11,285,700",0.072142,"1,773,270"
63,0.072254,"Apr 06, 2018",0.073871,0.069566,"11,297,300",0.072217,"928,261"
64,0.072546,"Apr 05, 2018",0.079717,0.069172,"12,240,900",0.078248,"1,751,250"
65,0.078251,"Apr 04, 2018",0.092662,0.077829,"12,632,400",0.092588,"2,248,950"
66,0.092683,"Apr 03, 2018",0.096734,0.089258,"12,939,300",0.094837,"2,537,100"
67,0.094946,"Apr 02, 2018",0.105478,0.090448,"12,519,000",0.091757,"1,089,050"
68,0.091441,"Apr 01, 2018",0.095000,0.081829,"12,288,300",0.090066,"817,882"
69,0.090009,"Mar 31, 2018",0.097287,0.087657,"11,959,700",0.087657,"1,437,300"
70,0.087755,"Mar 30, 2018",0.097591,0.085963,"13,016,100",0.095400,"1,435,080"
71,0.095881,"Mar 29, 2018",0.115061,0.095614,"15,639,700",0.114629,"1,525,850"
72,0.114436,"Mar 28, 2018",0.121551,0.109495,"15,337,800",0.112417,"1,888,600"
73,0.113086,"Mar 27, 2018",0.129046,0.112663,"17,606,600",0.129046,"2,947,140"
74,0.129941,"Mar 26, 2018",0.140473,0.108729,"18,977,800",0.139096,"5,591,660"
75,0.139347,"Mar 25, 2018",0.148077,0.130672,-,0.147482,"6,906,700"
76,0.149106,"Mar 24, 2018",0.163465,0.148142,-,0.153746,"10,151,600"
77,0.149102,"Mar 23, 2018",0.159860,0.129989,-,0.149753,"11,365,800"
78,0.149387,"Mar 22, 2018",0.156965,0.109760,-,0.112209,"8,556,960"
79,0.111583,"Mar 21, 2018",0.112081,0.099455,-,0.101145,"4,844,290"
