,close,date,high,low,market_cap,open,volume
0,0.027473,"Jun 08, 2018",0.057994,0.022756,"35,257",0.023124,683
1,0.023107,"Jun 07, 2018",0.026153,0.022984,"35,956",0.023583,115
2,0.029451,"Jun 06, 2018",0.055903,0.029451,"48,510",0.031816,80
3,0.031825,"Jun 05, 2018",0.031825,0.022222,"34,379",0.022548,947
4,0.022538,"Jun 04, 2018",0.055889,0.017119,"57,103",0.037452,425
5,0.037435,"Jun 03, 2018",0.038652,0.020599,"31,430",0.020614,38
6,0.020608,"Jun 02, 2018",0.020711,0.015696,"24,067",0.015785,9
7,0.015792,"Jun 01, 2018",0.065304,0.015611,"98,257",0.064444,32
8,0.064397,"May 31, 2018",0.065569,0.057477,"92,883",0.060919,140
9,0.060930,"May 30, 2018",0.060981,0.047400,"85,622",0.056157,71
10,0.056119,"May 29, 2018",0.064306,0.054172,"82,595",0.054172,111
11,0.054190,"May 28, 2018",0.069571,0.046323,"93,165",0.061104,933
12,0.061090,"May 27, 2018",0.072197,0.017139,"103,003",0.067557,110
13,0.067527,"May 26, 2018",0.078413,0.057015,"119,556",0.078413,110
14,0.078516,"May 25, 2018",0.078516,0.067266,"105,375",0.069112,19
15,0.068983,"May 24, 2018",0.070613,0.031718,"102,987",0.067546,32
16,0.067717,"May 23, 2018",0.083410,0.067165,"124,590",0.081715,61
17,0.081800,"May 22, 2018",0.147460,0.081256,"125,636",0.082401,738
18,0.082416,"May 21, 2018",0.093609,0.081224,"128,466",0.084258,340
19,0.084153,"May 20, 2018",0.089726,0.072068,"114,158",0.074873,156
20,0.074817,"May 19, 2018",0.077095,0.065418,"116,470",0.076389,438
21,0.076401,"May 18, 2018",0.076516,0.047927,"83,853",0.054997,276
22,0.055228,"May 17, 2018",0.073357,0.052246,"98,893",0.064862,504
23,0.064903,"May 16, 2018",0.153698,0.050855,"98,584",0.064658,"6,521"
24,0.064696,"May 15, 2018",0.064780,0.023569,"77,727",0.050979,880
25,0.051066,"May 14, 2018",0.066361,0.050760,"100,520",0.065929,60
26,0.065940,"May 13, 2018",0.080116,0.055755,"113,613",0.074516,322
27,0.074542,"May 12, 2018",0.075234,0.034681,"56,490",0.037050,32
28,0.037159,"May 11, 2018",0.056077,0.037159,"79,694",0.052269,236
29,0.052206,"May 10, 2018",0.075007,0.045074,"74,103",0.048602,123
30,0.048616,"May 09, 2018",0.080325,0.044952,"122,426",0.080296,271
31,0.080419,"May 08, 2018",0.084196,0.038102,"118,414",0.077664,856
32,0.077500,"May 07, 2018",0.097317,0.063002,"99,970",0.065568,307
33,0.065521,"May 06, 2018",0.103524,0.063283,"156,423",0.102594,114
34,0.102524,"May 05, 2018",0.106056,0.091063,"139,061",0.091206,"1,691"
35,0.091250,"May 04, 2018",0.235140,0.080821,"158,753",0.104122,"10,991"
36,0.104162,"May 03, 2018",0.125129,0.060668,"112,743",0.073945,186
37,0.073942,"May 02, 2018",0.114271,0.028024,"42,933",0.028158,413
38,0.028201,"May 01, 2018",0.106725,0.023443,"162,722",0.106725,65
39,0.106632,"Apr 30, 2018",0.107989,0.064049,"122,593",0.080405,"2,166"
40,0.080432,"Apr 29, 2018",0.125258,0.080370,"170,987",0.112145,133
41,0.112189,"Apr 28, 2018",0.112254,0.082415,"125,981",0.082627,153
42,0.082912,"Apr 27, 2018",0.085628,0.027204,"79,564",0.052184,374
43,0.052112,"Apr 26, 2018",0.100477,0.050832,"123,649",0.081098,211
44,0.080431,"Apr 25, 2018",0.095639,0.049923,"79,454",0.052112,278
45,0.052468,"Apr 24, 2018",0.066587,0.027922,"42,592",0.027935,128
46,0.027911,"Apr 23, 2018",0.084771,0.025619,"126,738",0.083124,34
47,0.083292,"Apr 22, 2018",0.106979,0.082796,"127,336",0.083516,395
48,0.083516,"Apr 21, 2018",0.083516,0.060371,"93,961",0.061626,39
49,0.061605,"Apr 20, 2018",0.080224,0.024211,"121,282",0.079546,90
50,0.079493,"Apr 19, 2018",0.089480,0.058969,"90,297",0.059223,568
51,0.059180,"Apr 18, 2018",0.065307,0.041032,"96,924",0.063570,29
52,0.063511,"Apr 17, 2018",0.070964,0.037133,"56,772",0.037235,262
53,0.037216,"Apr 16, 2018",0.085371,0.036909,"118,357",0.077627,316
54,0.077660,"Apr 15, 2018",0.077660,0.026924,"44,297",0.029053,47
55,0.029022,"Apr 14, 2018",0.075263,0.027614,"112,090",0.073516,531
56,0.073517,"Apr 13, 2018",0.088827,0.043486,"67,427",0.044223,13
57,0.044167,"Apr 12, 2018",0.085220,0.035825,"89,277",0.058554,111
58,0.058696,"Apr 11, 2018",0.058979,0.028262,"51,296",0.033644,455
59,0.033612,"Apr 10, 2018",0.052086,0.033587,"77,616",0.050906,159
60,0.050865,"Apr 09, 2018",0.082467,0.024706,"37,669",0.024706,651
61,0.024666,"Apr 08, 2018",0.071174,0.022579,"103,144",0.067649,139
62,0.067588,"Apr 07, 2018",0.074283,0.029470,"45,000",0.029514,13
63,0.029479,"Apr 06, 2018",0.052089,0.029221,"63,475",0.041631,31
64,0.041845,"Apr 05, 2018",0.079296,0.018740,"29,513",0.019357,80
65,0.019349,"Apr 04, 2018",0.054009,0.019172,"74,858",0.049097,31
66,0.049131,"Apr 03, 2018",0.064620,0.026843,"58,582",0.038422,82
