,close,date,high,low,market_cap,open,volume
0,0.041913,"Jun 08, 2018",0.042727,0.038980,"6,645,670",0.039241,"19,428"
1,0.039174,"Jun 07, 2018",0.047745,0.039042,"7,953,170",0.046961,"19,539"
2,0.046975,"Jun 06, 2018",0.048289,0.042361,"7,713,760",0.045547,"10,237"
3,0.045639,"Jun 05, 2018",0.050573,0.041554,"7,735,000",0.045673,"20,396"
4,0.045676,"Jun 04, 2018",0.052290,0.045550,"8,370,940",0.049434,"15,270"
5,0.049508,"Jun 03, 2018",0.052505,0.048989,"8,425,950",0.049759,"30,021"
6,0.049823,"Jun 02, 2018",0.052140,0.048355,"8,800,420",0.051970,"6,983"
7,0.051981,"Jun 01, 2018",0.052159,0.046532,"8,134,690",0.048039,"12,753"
8,0.047935,"May 31, 2018",0.053517,0.047074,"8,180,310",0.048308,"23,997"
9,0.048355,"May 30, 2018",0.053412,0.048228,"8,383,770",0.049510,"24,017"
10,0.050722,"May 29, 2018",0.052166,0.041184,"7,720,780",0.045679,"18,698"
11,0.045811,"May 28, 2018",0.051740,0.041680,"8,677,220",0.051338,"26,158"
12,0.051341,"May 27, 2018",0.061255,0.049594,"9,853,690",0.058298,"30,043"
13,0.057950,"May 26, 2018",0.072859,0.054134,"9,526,840",0.056364,"75,767"
14,0.064985,"May 25, 2018",0.077541,0.055542,"9,962,170",0.058940,"113,087"
15,0.058905,"May 24, 2018",0.062576,0.049149,"8,307,270",0.049149,"99,421"
16,0.051505,"May 23, 2018",0.057413,0.047056,"9,633,230",0.056994,"38,282"
17,0.057107,"May 22, 2018",0.064442,0.053988,"10,757,400",0.064222,"22,854"
18,0.064357,"May 21, 2018",0.067816,0.055574,"10,625,100",0.063432,"38,496"
19,0.063350,"May 20, 2018",0.074153,0.063189,"12,403,400",0.074049,"47,656"
20,0.073987,"May 19, 2018",0.076310,0.067472,"11,978,100",0.071509,"37,851"
21,0.071508,"May 18, 2018",0.078500,0.066138,"11,230,300",0.067045,"80,363"
22,0.067111,"May 17, 2018",0.077432,0.066459,"12,428,900",0.074201,"46,139"
23,0.074113,"May 16, 2018",0.076325,0.068615,"11,954,800",0.071371,"14,738"
24,0.071337,"May 15, 2018",0.082656,0.071337,"13,698,500",0.081781,"21,878"
25,0.081894,"May 14, 2018",0.083354,0.072469,"13,823,300",0.082525,"21,880"
26,0.082559,"May 13, 2018",0.084300,0.074654,"12,625,200",0.075373,"37,586"
27,0.075524,"May 12, 2018",0.083130,0.073101,"13,626,800",0.081352,"24,131"
28,0.081498,"May 11, 2018",0.088970,0.073821,"14,229,800",0.084952,"51,505"
