,close,date,high,low,market_cap,open,volume
0,0.181321,"Jun 08, 2018",0.183099,0.178936,"900,541",0.181984,"79,100"
1,0.181677,"Jun 07, 2018",0.203084,0.178381,"991,154",0.200295,"79,130"
2,0.200282,"Jun 06, 2018",0.201488,0.196328,"991,333",0.200331,"87,027"
3,0.200631,"Jun 05, 2018",0.201593,0.172235,"870,039",0.175820,"87,246"
4,0.175793,"Jun 04, 2018",0.208403,0.174722,"1,022,330",0.206596,"74,304"
5,0.206791,"Jun 03, 2018",0.208587,0.199426,"988,716",0.199803,"89,091"
6,0.199965,"Jun 02, 2018",0.277585,0.195017,"1,372,140",0.277287,"85,700"
7,0.277394,"Jun 01, 2018",0.280398,0.272661,"1,367,750",0.276398,"98,500"
8,0.276113,"May 31, 2018",0.369225,0.274243,"1,797,200",0.363183,"98,015"
9,0.363443,"May 30, 2018",0.377334,0.304213,"1,819,760",0.367742,"154,908"
10,0.367510,"May 29, 2018",0.753264,0.302655,"3,664,000",0.740431,"156,015"
11,0.742540,"May 28, 2018",0.744149,0.261739,"1,488,860",0.300874,"306,334"
12,0.300871,"May 27, 2018",0.309638,0.295424,"1,522,490",0.307669,"120,236"
13,0.307178,"May 26, 2018",0.358789,0.280372,"1,399,930",0.282901,"121,508"
14,0.282883,"May 25, 2018",0.297513,0.120183,"1,439,700",0.290939,"109,968"
15,0.290611,"May 24, 2018",0.306363,0.267789,"1,475,810",0.298236,"112,837"
16,0.299453,"May 23, 2018",0.306175,0.219998,"1,201,730",0.242848,"117,267"
17,0.243223,"May 22, 2018",0.257846,0.241702,"1,273,330",0.257318,"90,220"
18,0.257649,"May 21, 2018",0.302379,0.255159,-,0.282819,"190,714"
19,0.283089,"May 20, 2018",0.285471,0.272914,-,0.275266,"210,948"
20,0.275045,"May 19, 2018",0.281689,0.271374,-,0.274515,"205,143"
21,0.274527,"May 18, 2018",0.274732,0.262105,-,0.266280,"204,670"
22,0.266369,"May 17, 2018",0.273943,0.248807,-,0.253864,"197,857"
23,0.253583,"May 16, 2018",0.263125,0.245189,-,0.262238,"192,902"
24,0.262150,"May 15, 2018",0.342617,0.258756,-,0.338569,"194,872"
25,0.339047,"May 14, 2018",0.392833,0.259178,-,0.262945,"244,096"
26,0.263045,"May 13, 2018",0.277330,0.254712,-,0.270454,"186,655"
27,0.270939,"May 12, 2018",0.273514,0.254679,-,0.267892,"190,946"
28,0.268411,"May 11, 2018",0.291417,0.264742,-,0.287926,"189,177"
29,0.287699,"May 10, 2018",0.403352,0.260876,-,0.267299,"200,025"
30,0.267106,"May 09, 2018",0.419109,0.246298,-,0.275969,"184,978"
31,0.276391,"May 08, 2018",0.339313,0.275229,-,0.331382,"30,398"
32,0.329375,"May 07, 2018",0.362306,0.310378,-,0.360936,"220,956"
33,0.360723,"May 06, 2018",0.360774,0.302293,-,0.305993,"241,548"
34,0.306048,"May 05, 2018",0.413207,0.299132,-,0.391221,"171,042"
35,0.390791,"May 04, 2018",0.481418,0.380028,-,0.388536,"213,958"
36,0.389799,"May 03, 2018",0.522678,0.360903,-,0.489700,"211,725"
37,0.489737,"May 02, 2018",0.516948,0.279226,-,0.282319,"306,279"
38,0.282657,"May 01, 2018",0.377023,0.278809,-,0.377023,"82,661"
39,0.376050,"Apr 30, 2018",0.542168,0.374302,-,0.540250,"231,521"
40,0.540212,"Apr 29, 2018",0.558101,0.465942,-,0.473905,"308,521"
41,0.473911,"Apr 28, 2018",0.517022,0.448861,-,0.448861,"264,751"
42,0.452398,"Apr 27, 2018",0.505073,0.349319,-,0.470588,"248,446"
43,0.469794,"Apr 26, 2018",0.679318,0.444399,-,0.679318,"239,163"
44,0.672867,"Apr 25, 2018",0.710493,0.359046,-,0.402237,"301,897"
45,0.403384,"Apr 24, 2018",0.519852,0.389372,-,0.486199,"204,590"
46,0.486114,"Apr 23, 2018",0.699292,0.426999,-,0.681973,"253,027"
47,0.684379,"Apr 22, 2018",0.725022,0.454417,-,0.502102,"294,971"
48,0.502102,"Apr 21, 2018",0.568765,0.164946,-,0.318841,"184,745"
49,0.318991,"Apr 20, 2018",0.457799,0.307841,-,0.345758,"106,871"
