,close,date,high,low,market_cap,open,volume
0,0.002666,"Jun 08, 2018",0.002799,0.002426,"56,633",0.002793,171
1,0.002791,"Jun 07, 2018",0.002936,0.002576,"58,835",0.002902,267
2,0.002679,"Jun 06, 2018",0.003133,0.002679,"63,379",0.003126,465
3,0.003127,"Jun 05, 2018",0.003149,0.002953,"60,847",0.003001,98
4,0.002999,"Jun 04, 2018",0.003173,0.002977,"63,646",0.003139,32
5,0.003138,"Jun 03, 2018",0.003322,0.003133,"66,566",0.003283,51
6,0.003282,"Jun 02, 2018",0.003285,0.003048,"64,925",0.003202,18
7,0.003203,"Jun 01, 2018",0.003385,0.003066,"68,171",0.003362,56
8,0.003360,"May 31, 2018",0.003360,0.002939,"59,726",0.002946,477
9,0.002998,"May 30, 2018",0.003020,0.002982,"60,541",0.002986,7
10,0.002984,"May 29, 2018",0.003013,0.002832,"57,734",0.002847,7
11,0.002848,"May 28, 2018",0.003314,0.002840,"67,198",0.003314,314
12,0.002848,"May 27, 2018",0.002861,0.002821,"58,004",0.002861,14
13,0.002859,"May 26, 2018",0.003210,0.002854,"63,169",0.003115,15
14,0.003120,"May 25, 2018",0.003479,0.003086,"69,719",0.003438,63
15,0.003432,"May 24, 2018",0.003501,0.003047,"64,407",0.003176,61
16,0.003185,"May 23, 2018",0.003657,0.003057,"73,642",0.003632,31
17,0.003636,"May 22, 2018",0.003795,0.003494,"72,932",0.003597,84
18,0.003598,"May 21, 2018",0.004805,0.003584,"79,191",0.003906,30
19,0.003901,"May 20, 2018",0.005017,0.003650,"89,861",0.004432,905
20,0.004429,"May 19, 2018",0.005369,0.003199,"67,442",0.003326,"2,094"
21,0.003327,"May 18, 2018",0.003336,0.003161,"65,517",0.003231,7
22,0.003228,"May 17, 2018",0.003421,0.003210,"65,664",0.003238,28
23,0.003236,"May 16, 2018",0.003776,0.003224,"76,501",0.003773,42
24,0.003775,"May 15, 2018",0.004233,0.003373,"80,809",0.003985,942
25,0.003992,"May 14, 2018",0.004069,0.003273,"69,285",0.003417,101
26,0.003418,"May 13, 2018",0.006570,0.002994,"70,394",0.003472,655
27,0.003473,"May 12, 2018",0.003555,0.003386,"71,491",0.003526,21
28,0.003536,"May 11, 2018",0.003727,0.003513,"75,134",0.003706,16
29,0.003701,"May 10, 2018",0.003953,0.003698,"79,748",0.003933,22
30,0.003934,"May 09, 2018",0.004753,0.003921,"96,342",0.004751,174
31,0.004759,"May 08, 2018",0.004804,0.004200,"91,469",0.004511,90
32,0.004502,"May 07, 2018",0.004683,0.004100,"83,487",0.004118,422
33,0.004115,"May 06, 2018",0.004635,0.004062,"85,296",0.004207,125
34,0.004204,"May 05, 2018",0.004555,0.004159,"90,403",0.004459,103
35,0.004461,"May 04, 2018",0.004483,0.004071,"85,431",0.004213,36
36,0.004215,"May 03, 2018",0.004392,0.003922,"88,171",0.004348,97
37,0.004348,"May 02, 2018",0.004365,0.003411,"81,037",0.003997,251
38,0.004003,"May 01, 2018",0.004122,0.003901,"83,574",0.004122,9
39,0.004118,"Apr 30, 2018",0.004615,0.004078,"91,247",0.004500,29
40,0.004488,"Apr 29, 2018",0.004926,0.004019,"81,480",0.004019,505
41,0.004114,"Apr 28, 2018",0.005616,0.004080,"97,012",0.004785,210
42,0.004801,"Apr 27, 2018",0.004921,0.003981,"81,212",0.004005,282
43,0.004000,"Apr 26, 2018",0.004031,0.003825,"80,876",0.003989,82
44,0.003956,"Apr 25, 2018",0.004801,0.003894,"97,242",0.004796,72
45,0.004829,"Apr 24, 2018",0.004829,0.004027,"81,693",0.004029,110
46,0.004026,"Apr 23, 2018",0.004555,0.004021,"90,401",0.004458,80
47,0.004467,"Apr 22, 2018",0.004538,0.003730,"76,682",0.003782,220
48,0.003782,"Apr 21, 2018",0.004169,0.003241,"84,297",0.004157,188
49,0.004156,"Apr 20, 2018",0.004373,0.004100,"83,183",0.004103,58
50,0.004100,"Apr 19, 2018",0.004109,0.003875,"78,917",0.003892,47
51,0.003889,"Apr 18, 2018",0.004503,0.003869,"89,339",0.004406,80
52,0.004402,"Apr 17, 2018",0.004431,0.004011,"87,530",0.004317,237
53,0.004315,"Apr 16, 2018",0.004323,0.003747,"82,732",0.004080,68
54,0.004082,"Apr 15, 2018",0.004195,0.003902,"79,112",0.003902,41
55,0.003948,"Apr 14, 2018",0.004390,0.003797,"77,247",0.003810,84
56,0.003846,"Apr 13, 2018",0.003983,0.003735,"79,677",0.003930,86
57,0.003925,"Apr 12, 2018",0.004394,0.002955,"62,054",0.003060,643
58,0.003068,"Apr 11, 2018",0.003176,0.002648,"64,022",0.003158,125
59,0.003154,"Apr 10, 2018",0.003350,0.003088,"64,631",0.003188,7
60,0.003185,"Apr 09, 2018",0.003185,0.002624,"55,711",0.002748,194
61,0.002743,"Apr 08, 2018",0.003348,0.002685,"63,696",0.003141,439
62,0.003139,"Apr 07, 2018",0.003228,0.002843,"57,730",0.002847,53
63,0.002844,"Apr 06, 2018",0.002886,0.002660,"57,907",0.002856,9
64,0.002871,"Apr 05, 2018",0.002975,0.002691,"59,862",0.002952,135
65,0.002951,"Apr 04, 2018",0.003314,0.002746,"67,201",0.003314,36
66,0.003317,"Apr 03, 2018",0.003450,0.002868,"67,693",0.003339,252
67,0.003336,"Apr 02, 2018",0.003743,0.003191,"65,125",0.003212,312
68,0.003196,"Apr 01, 2018",0.003805,0.003083,"64,021",0.003157,191
69,0.003158,"Mar 31, 2018",0.004006,0.003118,"72,577",0.003579,36
70,0.003579,"Mar 30, 2018",0.003624,0.002703,"61,072",0.003012,14
71,0.003020,"Mar 29, 2018",0.004013,0.002932,"81,240",0.004007,28
72,0.004002,"Mar 28, 2018",0.004029,0.003383,"68,983",0.003402,10
73,0.003403,"Mar 27, 2018",0.003982,0.003349,"79,886",0.003940,830
74,0.003946,"Mar 26, 2018",0.004153,0.003780,"83,371",0.004112,58
75,0.004114,"Mar 25, 2018",0.004494,0.004095,"88,654",0.004372,332
76,0.004431,"Mar 24, 2018",0.004563,0.004331,"92,156",0.004545,69
77,0.004480,"Mar 23, 2018",0.004480,0.004221,"89,073",0.004393,67
78,0.004393,"Mar 22, 2018",0.004551,0.004302,"90,481",0.004462,78
79,0.004471,"Mar 21, 2018",0.004555,0.004281,"88,142",0.004347,111
80,0.004339,"Mar 20, 2018",0.004436,0.003976,"83,303",0.004108,361
81,0.004063,"Mar 19, 2018",0.004156,0.003872,"78,993",0.003896,17
82,0.003912,"Mar 18, 2018",0.003953,0.003372,"71,959",0.003549,311
83,0.003558,"Mar 17, 2018",0.005005,0.003486,"80,794",0.003985,"1,426"
84,0.003978,"Mar 16, 2018",0.004146,0.003925,"83,553",0.004121,148
85,0.004123,"Mar 15, 2018",0.004584,0.004027,"87,517",0.004316,235
86,0.004318,"Mar 14, 2018",0.005335,0.004159,"105,742",0.005215,152
87,0.005214,"Mar 13, 2018",0.005250,0.004530,"101,274",0.004995,8
88,0.005024,"Mar 12, 2018",0.005509,0.004555,"93,734",0.004623,302
89,0.004637,"Mar 11, 2018",0.005021,0.004566,"98,567",0.004861,73
90,0.004878,"Mar 10, 2018",0.005498,0.004834,"109,526",0.005402,259
91,0.005399,"Mar 09, 2018",0.005453,0.004771,"107,189",0.005286,46
92,0.005320,"Mar 08, 2018",0.005985,0.005093,"119,183",0.005878,9
93,0.005886,"Mar 07, 2018",0.006248,0.005526,"117,183",0.005779,291
94,0.005787,"Mar 06, 2018",0.006736,0.005719,"134,234",0.006620,141
95,0.006639,"Mar 05, 2018",0.006695,0.006209,"126,761",0.006252,206
96,0.006256,"Mar 04, 2018",0.006318,0.006003,"127,968",0.006311,188
97,0.006322,"Mar 03, 2018",0.006847,0.006028,"122,887",0.006061,878
98,0.006068,"Mar 02, 2018",0.007650,0.004476,"90,762",0.004476,"4,746"
99,0.004488,"Mar 01, 2018",0.005980,0.004488,"112,979",0.005572,150
100,0.005564,"Feb 28, 2018",0.006350,0.004948,"119,768",0.005907,867
101,0.005914,"Feb 27, 2018",0.006117,0.005374,"110,483",0.005449,127
102,0.005433,"Feb 26, 2018",0.005680,0.004900,"99,676",0.004916,220
103,0.004910,"Feb 25, 2018",0.005343,0.004909,"106,143",0.005235,175
104,0.005243,"Feb 24, 2018",0.006143,0.005025,"122,317",0.006033,"1,014"
105,0.006040,"Feb 23, 2018",0.006461,0.005750,"118,493",0.005844,238
106,0.005972,"Feb 22, 2018",0.006614,0.005460,"118,929",0.005865,437
107,0.005873,"Feb 21, 2018",0.008102,0.005849,"138,548",0.006833,"2,035"
108,0.006848,"Feb 20, 2018",0.007967,0.005969,"147,900",0.007294,769
109,0.007288,"Feb 19, 2018",0.009731,0.005054,"132,076",0.006514,"2,495"
110,0.006544,"Feb 18, 2018",0.007177,0.006274,"141,870",0.006997,463
111,0.006975,"Feb 17, 2018",0.007237,0.006341,"134,387",0.006628,213
112,0.006629,"Feb 16, 2018",0.007140,0.006445,"141,139",0.006961,540
113,0.006991,"Feb 15, 2018",0.007331,0.006391,"132,536",0.006537,989
114,0.006533,"Feb 14, 2018",0.008002,0.005232,"109,153",0.005383,"5,969"
115,0.005399,"Feb 13, 2018",0.007322,0.003934,"112,504",0.005549,"8,435"
116,0.005539,"Feb 12, 2018",0.008161,0.005023,"107,006",0.005277,"2,765"
117,0.005244,"Feb 11, 2018",0.006211,0.005118,"112,671",0.005557,210
118,0.005562,"Feb 10, 2018",0.006242,0.005317,"120,587",0.005947,583
119,0.005943,"Feb 09, 2018",0.006103,0.005178,"115,881",0.005715,"1,956"
120,0.005698,"Feb 08, 2018",0.006601,0.005112,"121,339",0.005984,"1,539"
121,0.006008,"Feb 07, 2018",0.007291,0.004703,"120,323",0.005934,"2,926"
122,0.005994,"Feb 06, 2018",0.006835,0.004098,"113,908",0.005618,"4,053"
123,0.005611,"Feb 05, 2018",0.006835,0.005024,"131,417",0.006481,"1,309"
124,0.006545,"Feb 04, 2018",0.009251,0.006030,"144,599",0.007132,"4,764"
125,0.007128,"Feb 03, 2018",0.013717,0.004127,"134,178",0.006618,"31,651"
126,0.006595,"Feb 02, 2018",0.007685,0.006046,"153,868",0.007589,653
127,0.007604,"Feb 01, 2018",0.009281,0.007165,"181,304",0.008942,284
128,0.008921,"Jan 31, 2018",0.009574,0.008107,"191,585",0.009449,693
129,0.009434,"Jan 30, 2018",0.013638,0.007975,"204,663",0.010094,"4,802"
130,0.010091,"Jan 29, 2018",0.011600,0.006752,"225,178",0.011106,"3,966"
131,0.010665,"Jan 28, 2018",0.011359,0.010360,"221,434",0.010921,"1,777"
132,0.010865,"Jan 27, 2018",0.013938,0.009625,"203,172",0.010020,"8,282"
133,0.010027,"Jan 26, 2018",0.014558,0.007307,"262,535",0.012948,"11,523"
134,0.012982,"Jan 25, 2018",0.013222,0.010800,"252,053",0.012431,"2,618"
135,0.012230,"Jan 24, 2018",0.012981,0.011296,"251,219",0.012390,"2,425"
136,0.012397,"Jan 23, 2018",0.015099,0.010151,"240,755",0.011874,"5,536"
137,0.011905,"Jan 22, 2018",0.031747,0.009355,"275,349",0.013580,"50,740"
138,0.013397,"Jan 21, 2018",0.015094,0.013152,"306,046",0.015094,"1,070"
139,0.015059,"Jan 20, 2018",0.017294,0.013583,"307,764",0.015179,"1,535"
140,0.015015,"Jan 19, 2018",0.016385,0.010306,"254,888",0.012571,"3,759"
141,0.012704,"Jan 18, 2018",0.014622,0.010415,"226,000",0.011146,"4,841"
142,0.011103,"Jan 17, 2018",0.018202,0.009602,"330,044",0.016278,"1,949"
143,0.016361,"Jan 16, 2018",0.019740,0.012314,"335,354",0.016539,"8,258"
144,0.016519,"Jan 15, 2018",0.020671,0.012564,"330,531",0.016302,"5,193"
145,0.016421,"Jan 14, 2018",0.019027,0.015288,"343,754",0.016954,"5,137"
146,0.016943,"Jan 13, 2018",0.019866,0.015373,"329,010",0.016227,"11,598"
147,0.016245,"Jan 12, 2018",0.019137,0.013119,"322,068",0.015884,"3,640"
148,0.015788,"Jan 11, 2018",0.019549,0.009119,"394,940",0.019478,"3,030"
149,0.019500,"Jan 10, 2018",0.024892,0.014506,"488,199",0.024078,"7,578"
150,0.024046,"Jan 09, 2018",0.029417,0.013985,"302,701",0.014929,"39,077"
