,close,date,high,low,market_cap,open,volume
0,0.003891,"Jun 08, 2018",0.003909,0.003100,-,0.003150,11
1,0.003147,"Jun 07, 2018",0.003163,0.003137,-,0.003161,15
2,0.003086,"Jun 06, 2018",0.003146,0.003082,-,0.003126,13
3,0.003127,"Jun 05, 2018",0.003207,0.002958,-,0.003001,16
4,0.002999,"Jun 04, 2018",0.003092,0.002988,-,0.003084,9
5,0.003082,"Jun 03, 2018",0.004554,0.003069,-,0.004505,10
6,0.004503,"Jun 02, 2018",0.004603,0.003802,-,0.004510,13
7,0.004512,"Jun 01, 2018",0.004522,0.003015,-,0.003072,27
8,0.003069,"May 31, 2018",0.003482,0.002718,-,0.002732,36
9,0.002732,"May 30, 2018",0.003624,0.002703,-,0.003583,60
10,0.003581,"May 29, 2018",0.003653,0.002703,-,0.002703,68
11,0.002820,"May 28, 2018",0.002890,0.002804,-,0.002865,9
12,0.002864,"May 27, 2018",0.003320,0.002844,-,0.003301,9
13,0.003299,"May 26, 2018",0.004107,0.003282,-,0.004107,1
14,0.004113,"May 25, 2018",0.004209,0.004048,-,0.004160,121
15,0.004152,"May 24, 2018",0.004247,0.004002,-,0.004136,93
16,0.004146,"May 23, 2018",0.004986,0.002978,-,0.003041,331
17,0.003044,"May 22, 2018",0.003366,0.003027,-,0.003363,5
18,0.003364,"May 21, 2018",0.004719,0.003335,-,0.004690,20
19,0.004684,"May 20, 2018",0.004720,0.003031,-,0.003051,131
20,0.003049,"May 19, 2018",0.004571,0.003024,-,0.003048,100
21,0.003049,"May 18, 2018",0.003740,0.002999,-,0.003393,434
22,0.003390,"May 17, 2018",0.003715,0.003370,-,0.003673,12
23,0.003671,"May 16, 2018",0.005595,0.003508,-,0.003904,110
24,0.003906,"May 15, 2018",0.004814,0.003883,-,0.004771,26
25,0.004779,"May 14, 2018",0.005445,0.003581,-,0.003737,89
26,0.003737,"May 13, 2018",0.004687,0.003515,-,0.003556,48
27,0.003558,"May 12, 2018",0.003765,0.003485,-,0.003610,142
28,0.003620,"May 11, 2018",0.004763,0.003620,-,0.004338,797
29,0.004333,"May 10, 2018",0.006666,0.004329,-,0.005130,"1,542"
30,0.007232,"May 09, 2018",0.007252,0.007014,-,0.007175,41
31,0.007186,"May 08, 2018",0.007217,0.005806,-,0.005995,49
32,0.005982,"May 07, 2018",0.006047,0.005525,-,0.005864,149
33,0.005860,"May 06, 2018",0.006342,0.005761,-,0.006192,83
34,0.006188,"May 05, 2018",0.009660,0.006120,-,0.007851,268
35,0.007855,"May 04, 2018",0.010160,0.007851,-,0.010138,81
36,0.010141,"May 03, 2018",0.013088,0.006070,-,0.008113,"1,159"
37,0.008113,"May 02, 2018",0.010546,0.006450,-,0.010537,253
38,0.010552,"May 01, 2018",0.012584,0.004306,-,0.006099,"8,213"
39,0.006094,"Apr 30, 2018",0.006607,0.004262,-,0.006581,381
40,0.006583,"Apr 29, 2018",0.013224,0.004702,-,0.008411,"2,925"
41,0.008414,"Apr 28, 2018",0.010901,0.003616,-,0.010164,510
42,0.010199,"Apr 27, 2018",0.012714,0.005954,-,0.009111,"1,376"
43,0.009099,"Apr 26, 2018",0.009629,0.003464,-,0.003900,"4,685"
44,0.003868,"Apr 25, 2018",0.004363,0.003196,-,0.003200,23
45,0.003222,"Apr 24, 2018",0.004221,0.003111,-,0.003927,105
46,0.003924,"Apr 23, 2018",0.003935,0.003597,-,0.003600,29
47,0.003608,"Apr 22, 2018",0.003928,0.003608,-,0.003928,5
48,0.003928,"Apr 21, 2018",0.003948,0.002896,-,0.002918,5
49,0.002917,"Apr 20, 2018",0.003742,0.002788,-,0.003556,65
50,0.003553,"Apr 19, 2018",0.003955,0.003541,-,0.003919,1
51,0.003916,"Apr 18, 2018",0.004286,0.002758,-,0.004264,54
52,0.004260,"Apr 17, 2018",0.004593,0.002152,-,0.004588,125
53,0.004586,"Apr 16, 2018",0.004717,0.003414,-,0.003755,26
54,0.003757,"Apr 15, 2018",0.003757,0.003726,-,0.003730,2
55,0.004803,"Apr 14, 2018",0.004903,0.004704,-,0.004720,4
56,0.004720,"Apr 13, 2018",0.005013,0.003236,-,0.004830,39
57,0.004824,"Apr 12, 2018",0.004847,0.002913,-,0.003334,50
58,0.003342,"Apr 11, 2018",0.004253,0.003276,-,0.003415,6
59,0.003412,"Apr 10, 2018",0.004205,0.003358,-,0.004191,24
60,0.004188,"Apr 09, 2018",0.004397,0.003344,-,0.004004,123
61,0.003998,"Apr 08, 2018",0.004131,0.003327,-,0.003521,187
62,0.003518,"Apr 07, 2018",0.003575,0.001521,-,0.001523,286
63,0.001521,"Apr 06, 2018",0.001643,0.001508,-,0.001626,5
64,0.001635,"Apr 05, 2018",0.001777,0.001592,-,0.001766,20
65,0.001765,"Apr 04, 2018",0.001928,0.001749,-,0.001928,17
66,0.001930,"Apr 03, 2018",0.001948,0.001616,-,0.001621,10
67,0.001620,"Apr 02, 2018",0.001701,0.001588,-,0.001638,21
68,0.001630,"Apr 01, 2018",0.001687,0.001548,-,0.001663,13
69,0.001663,"Mar 31, 2018",0.002126,0.001644,-,0.002051,8
70,0.002051,"Mar 30, 2018",0.002160,0.001585,-,0.001700,19
71,0.001704,"Mar 29, 2018",0.001909,0.001655,-,0.001906,20
72,0.001904,"Mar 28, 2018",0.002025,0.001885,-,0.001947,12
73,0.001947,"Mar 27, 2018",0.002459,0.001945,-,0.002451,72
74,0.002454,"Mar 26, 2018",0.003574,0.002356,-,0.002785,44
75,0.002787,"Mar 25, 2018",0.004201,0.002513,-,0.002551,46
76,0.002587,"Mar 24, 2018",0.004831,0.002345,-,0.004812,53
77,0.004743,"Mar 23, 2018",0.005047,0.001977,-,0.005047,339
78,0.005047,"Mar 22, 2018",0.005071,0.004159,-,0.004270,7
79,0.004278,"Mar 21, 2018",0.005495,0.004237,-,0.005343,5
