,close,date,high,low,market_cap,open,volume
0,16.27,"Jun 08, 2018",16.63,15.83,"1,864,510,000",16.35,"94,394,600"
1,16.26,"Jun 07, 2018",17.44,16.18,"1,969,090,000",17.27,"131,031,000"
2,17.25,"Jun 06, 2018",17.36,15.35,"1,778,930,000",15.60,"157,806,000"
3,15.60,"Jun 05, 2018",15.67,14.21,"1,625,540,000",14.25,"101,474,000"
4,14.26,"Jun 04, 2018",14.68,13.67,"1,673,630,000",14.68,"58,219,100"
5,14.57,"Jun 03, 2018",14.95,14.33,"1,674,350,000",14.68,"82,182,300"
6,14.68,"Jun 02, 2018",14.85,14.01,"1,632,980,000",14.32,"87,983,000"
7,14.24,"Jun 01, 2018",14.41,13.79,"1,625,290,000",14.25,"80,342,200"
8,14.19,"May 31, 2018",14.22,12.41,"1,432,560,000",12.56,"93,931,700"
9,12.57,"May 30, 2018",12.80,12.27,"1,437,880,000",12.61,"43,146,300"
10,12.57,"May 29, 2018",12.68,11.77,"1,363,420,000",11.96,"48,807,700"
11,11.89,"May 28, 2018",12.75,11.70,"1,436,870,000",12.60,"33,398,400"
12,12.61,"May 27, 2018",12.79,12.33,"1,458,100,000",12.79,"36,691,600"
13,12.76,"May 26, 2018",13.20,12.70,"1,478,320,000",12.96,"43,258,400"
14,13.01,"May 25, 2018",13.37,12.64,"1,486,250,000",13.03,"49,173,800"
15,13.00,"May 24, 2018",13.19,12.20,"1,438,060,000",12.61,"54,410,900"
16,12.63,"May 23, 2018",13.93,12.33,"1,579,810,000",13.85,"68,215,200"
17,13.93,"May 22, 2018",14.84,13.75,"1,661,680,000",14.57,"86,545,100"
18,14.72,"May 21, 2018",14.79,13.82,"1,610,880,000",14.13,"97,367,300"
19,14.12,"May 20, 2018",14.37,13.69,"1,636,510,000",14.35,"95,390,200"
20,14.25,"May 19, 2018",15.62,13.99,"1,725,970,000",15.13,"138,321,000"
21,15.14,"May 18, 2018",16.22,12.05,"1,409,710,000",12.36,"243,261,000"
22,12.46,"May 17, 2018",12.97,12.27,"1,404,490,000",12.32,"54,251,500"
23,12.26,"May 16, 2018",12.57,11.95,"1,432,140,000",12.56,"35,233,200"
24,12.57,"May 15, 2018",13.27,12.51,"1,465,880,000",12.85,"45,696,200"
25,12.87,"May 14, 2018",13.17,12.36,"1,500,590,000",13.16,"49,317,700"
26,13.12,"May 13, 2018",13.55,12.74,"1,483,450,000",13.01,"70,816,500"
27,12.94,"May 12, 2018",13.15,12.25,"1,479,430,000",12.97,"44,001,000"
28,12.99,"May 11, 2018",14.09,12.59,"1,582,950,000",13.88,"57,027,500"
29,13.82,"May 10, 2018",15.05,13.82,"1,673,560,000",14.68,"68,250,000"
30,14.66,"May 09, 2018",14.81,13.08,"1,542,350,000",13.52,"99,046,300"
31,13.53,"May 08, 2018",13.92,13.15,"1,562,880,000",13.70,"57,865,500"
