,close,date,high,low,market_cap,open,volume
0,0.000229,"Jun 08, 2018",0.000306,0.000227,-,0.000230,32
1,0.000230,"Jun 07, 2018",0.000309,0.000230,-,0.000230,642
2,0.000229,"Jun 06, 2018",0.000231,0.000225,-,0.000229,"1,123"
3,0.000229,"Jun 05, 2018",0.000229,0.000221,-,0.000225,3
4,0.000225,"Jun 04, 2018",0.000301,0.000225,-,0.000231,9
5,0.000231,"Jun 03, 2018",0.000309,0.000228,-,0.000229,30
6,0.000229,"Jun 02, 2018",0.000230,0.000224,-,0.000225,26
7,0.000226,"Jun 01, 2018",0.000303,0.000221,-,0.000227,17
8,0.000227,"May 31, 2018",0.000228,0.000220,-,0.000221,5
9,0.000222,"May 30, 2018",0.000227,0.000219,-,0.000224,16
10,0.000224,"May 29, 2018",0.000226,0.000212,-,0.000214,47
11,0.000214,"May 28, 2018",0.000296,0.000213,-,0.000294,5
12,0.000294,"May 27, 2018",0.000295,0.000217,-,0.000220,3
13,0.000220,"May 26, 2018",0.000381,0.000219,-,0.000373,5
14,0.000374,"May 25, 2018",0.000374,0.000221,-,0.000227,68
15,0.000226,"May 24, 2018",0.000232,0.000218,-,0.000226,57
16,0.000226,"May 23, 2018",0.000321,0.000224,-,0.000320,14
17,0.000320,"May 22, 2018",0.000330,0.000247,-,0.000252,3
18,0.000252,"May 21, 2018",0.000256,0.000250,-,0.000256,1
19,0.000256,"May 20, 2018",0.000414,0.000248,-,0.000412,3
20,0.000412,"May 19, 2018",0.000418,0.000246,-,0.000247,30
21,0.000247,"May 18, 2018",0.000406,0.000242,-,0.000323,103
22,0.000323,"May 17, 2018",0.000416,0.000321,-,0.000334,7
23,0.000334,"May 16, 2018",0.000340,0.000325,-,0.000339,5
24,0.000340,"May 15, 2018",0.000353,0.000338,-,0.000347,11
25,0.000348,"May 14, 2018",0.000354,0.000333,-,0.000348,209
26,0.000348,"May 13, 2018",0.000350,0.000335,-,0.000339,40
27,0.000339,"May 12, 2018",0.000345,0.000329,-,0.000336,7
28,0.000337,"May 11, 2018",0.000519,0.000335,-,0.000452,541
29,0.000451,"May 10, 2018",0.000563,0.000371,-,0.000373,"140,547"
30,0.000373,"May 09, 2018",0.000651,0.000271,-,0.000276,"2,773"
31,0.000276,"May 08, 2018",0.000284,0.000272,-,0.000281,3
32,0.000280,"May 07, 2018",0.000373,0.000276,-,0.000288,15
33,0.000288,"May 06, 2018",0.000383,0.000283,-,0.000295,43
34,0.000295,"May 05, 2018",0.000299,0.000290,-,0.000291,191
35,0.000291,"May 04, 2018",0.000293,0.000287,-,0.000292,6
36,0.000293,"May 03, 2018",0.000371,0.000276,-,0.000369,13
37,0.000369,"May 02, 2018",0.000370,0.000270,-,0.000272,17
38,0.000273,"May 01, 2018",0.000370,0.000266,-,0.000370,40
39,0.000369,"Apr 30, 2018",0.000472,0.000276,-,0.000470,465
40,0.000470,"Apr 29, 2018",0.000471,0.000368,-,0.000374,240
41,0.000374,"Apr 28, 2018",0.000472,0.000267,-,0.000267,488
42,0.000268,"Apr 27, 2018",0.000281,0.000268,-,0.000279,7
43,0.000279,"Apr 26, 2018",0.000358,0.000260,-,0.000355,92
44,0.000352,"Apr 25, 2018",0.000366,0.000264,-,0.000291,9
45,0.000293,"Apr 24, 2018",0.000370,0.000268,-,0.000268,47
46,0.000268,"Apr 23, 2018",0.000444,0.000265,-,0.000351,268
47,0.000352,"Apr 22, 2018",0.000359,0.000350,-,0.000357,16
48,0.000357,"Apr 21, 2018",0.000357,0.000260,-,0.000265,137
49,0.000265,"Apr 20, 2018",0.000340,0.000247,-,0.000248,26
50,0.000248,"Apr 19, 2018",0.000412,0.000244,-,0.000408,18
51,0.000408,"Apr 18, 2018",0.000410,0.000236,-,0.000237,109
52,0.000237,"Apr 17, 2018",0.000326,0.000236,-,0.000322,13
53,0.000322,"Apr 16, 2018",0.000322,0.000238,-,0.000250,6
54,0.000250,"Apr 15, 2018",0.000486,0.000242,-,0.000480,4
55,0.000480,"Apr 14, 2018",0.000490,0.000392,-,0.000393,93
56,0.000393,"Apr 13, 2018",0.000398,0.000233,-,0.000238,167
57,0.000237,"Apr 12, 2018",0.000278,0.000203,-,0.000278,132
58,0.000279,"Apr 11, 2018",0.000347,0.000204,-,0.000205,5
59,0.000205,"Apr 10, 2018",0.000407,0.000204,-,0.000338,73
60,0.000338,"Apr 09, 2018",0.000338,0.000201,-,0.000281,320
61,0.000281,"Apr 08, 2018",0.000282,0.000207,-,0.000207,1
62,0.000207,"Apr 07, 2018",0.000282,0.000198,-,0.000199,547
63,0.000198,"Apr 06, 2018",0.000205,0.000196,-,0.000203,20
64,0.000204,"Apr 05, 2018",0.000207,0.000197,-,0.000204,5
65,0.000204,"Apr 04, 2018",0.000297,0.000202,-,0.000297,6
66,0.000297,"Apr 03, 2018",0.000299,0.000211,-,0.000211,15
67,0.000211,"Apr 02, 2018",0.000213,0.000203,-,0.000205,170
68,0.000204,"Apr 01, 2018",0.000211,0.000193,-,0.000208,7
69,0.000208,"Mar 31, 2018",0.000216,0.000205,-,0.000205,20
70,0.000205,"Mar 30, 2018",0.000216,0.000198,-,0.000213,63
71,0.000213,"Mar 29, 2018",0.000227,0.000207,-,0.000226,286
72,0.000317,"Mar 28, 2018",0.000324,0.000310,-,0.000311,10
73,0.000312,"Mar 27, 2018",0.000328,0.000233,-,0.000327,33
74,0.000327,"Mar 26, 2018",0.000329,0.000236,-,0.000253,7
75,0.000253,"Mar 25, 2018",0.000260,0.000252,-,0.000252,1
76,0.000268,"Mar 24, 2018",0.000270,0.000261,-,0.000267,1
77,0.000264,"Mar 23, 2018",0.000348,0.000249,-,0.000348,15
78,0.000348,"Mar 22, 2018",0.000350,0.000256,-,0.000267,210
79,0.000267,"Mar 21, 2018",0.000275,0.000264,-,0.000267,2
80,0.000267,"Mar 20, 2018",0.000432,0.000250,-,0.000431,44
81,0.000426,"Mar 19, 2018",0.000434,0.000246,-,0.000246,444
82,0.000247,"Mar 18, 2018",0.000305,0.000219,-,0.000237,489
83,0.000237,"Mar 17, 2018",0.000250,0.000232,-,0.000249,47
84,0.000249,"Mar 16, 2018",0.000416,0.000245,-,0.000413,5
85,0.000413,"Mar 15, 2018",0.000417,0.000231,-,0.000246,214
86,0.000246,"Mar 14, 2018",0.000262,0.000240,-,0.000260,2
87,0.000274,"Mar 13, 2018",0.000284,0.000266,-,0.000273,3
88,0.000274,"Mar 12, 2018",0.000297,0.000264,-,0.000286,20
89,0.000287,"Mar 11, 2018",0.000389,0.000261,-,0.000351,13
90,0.000352,"Mar 10, 2018",0.000379,0.000275,-,0.000370,29
91,0.000370,"Mar 09, 2018",0.000441,0.000252,-,0.000279,361
92,0.000281,"Mar 08, 2018",0.000378,0.000278,-,0.000297,29
93,0.000297,"Mar 07, 2018",0.000321,0.000283,-,0.000318,2
94,0.000429,"Mar 06, 2018",0.000460,0.000429,-,0.000460,9
95,0.000461,"Mar 05, 2018",0.000467,0.000343,-,0.000345,239
96,0.000345,"Mar 04, 2018",0.000458,0.000333,-,0.000458,30
97,0.000458,"Mar 03, 2018",0.000460,0.000331,-,0.000331,29
98,0.000331,"Mar 02, 2018",0.000551,0.000326,-,0.000327,94
99,0.000328,"Mar 01, 2018",0.000332,0.000307,-,0.000310,1
100,0.000309,"Feb 28, 2018",0.000441,0.000309,-,0.000427,20
101,0.000427,"Feb 27, 2018",0.000433,0.000305,-,0.000309,154
102,0.000308,"Feb 26, 2018",0.000417,0.000290,-,0.000292,75
103,0.000383,"Feb 25, 2018",0.000395,0.000373,-,0.000388,32
104,0.000388,"Feb 24, 2018",0.000420,0.000282,-,0.000304,39
105,0.000305,"Feb 23, 2018",0.000414,0.000288,-,0.000394,284
106,0.000394,"Feb 22, 2018",0.000654,0.000390,-,0.000523,841
107,0.000524,"Feb 21, 2018",0.000663,0.000427,-,0.000449,"2,089"
108,0.000449,"Feb 20, 2018",0.000588,0.000335,-,0.000335,718
109,0.000335,"Feb 19, 2018",0.000543,0.000313,-,0.000416,833
110,0.000417,"Feb 18, 2018",0.000451,0.000306,-,0.000444,39
111,0.000442,"Feb 17, 2018",0.000445,0.000321,-,0.000408,929
112,0.000408,"Feb 16, 2018",0.000514,0.000397,-,0.000505,60
113,0.000507,"Feb 15, 2018",0.000508,0.000381,-,0.000474,687
114,0.000473,"Feb 14, 2018",0.000475,0.000340,-,0.000340,36
115,0.000341,"Feb 13, 2018",0.000626,0.000339,-,0.000623,449
116,0.000622,"Feb 12, 2018",0.000629,0.000336,-,0.000405,"2,895"
117,0.000403,"Feb 11, 2018",0.000488,0.000393,-,0.000427,159
118,0.000428,"Feb 10, 2018",0.000543,0.000409,-,0.000434,179
119,0.000434,"Feb 09, 2018",0.000501,0.000392,-,0.000413,100
120,0.000411,"Feb 08, 2018",0.000584,0.000335,-,0.000530,26
