,close,date,high,low,market_cap,open,volume
0,11.09,"Jun 08, 2018",12.84,11.09,"418,525",11.15,216
1,11.14,"Jun 07, 2018",12.92,10.91,"479,352",12.77,357
2,11.66,"Jun 06, 2018",11.71,11.16,"424,989",11.32,115
3,11.33,"Jun 05, 2018",11.72,11.07,"420,694",11.21,60
4,11.20,"Jun 04, 2018",12.69,10.53,"472,423",12.59,459
5,12.59,"Jun 03, 2018",13.02,12.41,"481,093",12.83,225
6,12.82,"Jun 02, 2018",13.42,12.80,"494,756",13.19,36
7,13.20,"Jun 01, 2018",14.59,12.29,"544,844",14.53,48
8,14.52,"May 31, 2018",14.72,11.96,"449,695",12.00,400
9,12.00,"May 30, 2018",14.74,11.91,"453,158",12.09,152
10,12.08,"May 29, 2018",13.14,11.50,"490,607",13.10,201
11,13.10,"May 28, 2018",13.11,11.50,"453,871",12.12,219
12,12.12,"May 27, 2018",12.32,11.98,"461,372",12.32,211
13,12.32,"May 26, 2018",14.94,11.96,"558,677",14.94,616
14,12.15,"May 25, 2018",15.30,11.30,"424,278",11.34,130
15,11.32,"May 24, 2018",15.13,11.32,"477,857",12.78,412
16,12.82,"May 23, 2018",15.93,12.71,"538,430",14.41,105
17,14.42,"May 22, 2018",16.53,14.35,"565,817",15.14,253
18,15.15,"May 21, 2018",15.85,15.04,"589,515",15.78,278
19,15.78,"May 20, 2018",16.87,15.44,"586,701",15.71,341
20,15.70,"May 19, 2018",16.56,15.64,"611,412",16.38,290
21,16.38,"May 18, 2018",16.42,15.41,"600,548",16.09,460
22,16.07,"May 17, 2018",16.83,15.29,"590,041",15.81,627
23,15.80,"May 16, 2018",16.62,15.09,"589,483",15.80,355
24,15.81,"May 15, 2018",17.01,15.81,"627,470",16.82,294
25,16.85,"May 14, 2018",18.62,15.91,"692,677",18.58,275
26,18.58,"May 13, 2018",18.71,15.90,"599,766",16.09,63
27,16.09,"May 12, 2018",17.32,15.89,"626,650",16.81,255
28,16.86,"May 11, 2018",18.49,16.75,"688,857",18.49,217
29,18.46,"May 10, 2018",20.31,18.24,"680,434",18.26,258
30,18.26,"May 09, 2018",22.44,17.04,"678,442",18.21,"1,091"
31,18.24,"May 08, 2018",18.82,17.96,"694,279",18.64,520
32,18.61,"May 07, 2018",20.31,18.38,"723,499",19.44,283
33,19.42,"May 06, 2018",23.71,17.70,"688,133",18.49,"1,551"
34,18.48,"May 05, 2018",20.25,18.38,"693,327",18.64,163
35,18.64,"May 04, 2018",20.76,18.32,"772,032",20.76,251
36,20.76,"May 03, 2018",20.86,18.58,"692,625",18.62,481
37,18.62,"May 02, 2018",21.67,18.28,"681,602",18.33,823
38,18.36,"May 01, 2018",20.47,17.64,"683,378",18.39,483
39,18.37,"Apr 30, 2018",22.21,18.28,"773,124",20.81,360
40,20.81,"Apr 29, 2018",23.49,16.63,"693,198",18.66,"1,159"
41,18.67,"Apr 28, 2018",20.30,15.17,"660,435",17.78,848
42,17.84,"Apr 27, 2018",20.89,17.27,"683,134",18.40,"1,239"
43,18.37,"Apr 26, 2018",18.42,15.15,"624,303",16.82,774
44,16.68,"Apr 25, 2018",18.64,16.55,"652,291",17.58,368
45,17.69,"Apr 24, 2018",18.05,17.26,"649,523",17.53,609
46,17.52,"Apr 23, 2018",18.43,17.04,"648,354",17.50,860
47,17.55,"Apr 22, 2018",20.10,17.46,"682,030",18.42,"1,100"
48,18.52,"Apr 21, 2018",20.42,17.69,"689,528",18.64,"1,694"
49,18.64,"Apr 20, 2018",23.12,15.92,"598,164",16.17,"4,823"
50,17.97,"Apr 19, 2018",18.28,15.26,"658,594",17.81,"1,060"
51,17.80,"Apr 18, 2018",23.12,16.78,"737,107",19.94,167
52,19.93,"Apr 17, 2018",20.11,16.54,"644,463",17.43,280
53,17.42,"Apr 16, 2018",17.51,15.41,"645,214",17.45,327
54,17.45,"Apr 15, 2018",18.04,16.38,"636,827",17.22,713
55,17.51,"Apr 14, 2018",17.69,15.88,"595,322",16.10,"1,656"
56,16.10,"Apr 13, 2018",70.91,15.02,"566,408",15.33,"14,144"
57,15.31,"Apr 12, 2018",18.69,14.14,"690,336",18.69,"2,714"
58,18.73,"Apr 11, 2018",30.40,12.42,"458,663",12.42,"4,387"
59,12.41,"Apr 10, 2018",14.19,12.07,"451,988",12.25,321
60,12.24,"Apr 09, 2018",13.53,11.99,"467,148",12.66,174
61,12.64,"Apr 08, 2018",13.02,12.23,"453,258",12.29,139
62,12.28,"Apr 07, 2018",13.37,11.45,"422,892",11.47,200
63,11.46,"Apr 06, 2018",14.26,11.36,"517,298",14.03,287
64,14.10,"Apr 05, 2018",16.35,13.80,"527,610",14.31,942
65,14.31,"Apr 04, 2018",16.25,9.93,"392,475",10.65,"3,344"
66,10.66,"Apr 03, 2018",11.87,9.40,"347,326",9.43,268
67,9.79,"Apr 02, 2018",10.07,9.62,"356,533",9.68,27
68,9.91,"Apr 01, 2018",11.74,9.11,"382,586",10.39,267
69,10.39,"Mar 31, 2018",11.45,9.65,"379,269",10.31,252
70,10.31,"Mar 30, 2018",11.28,9.53,"407,307",11.07,133
71,11.10,"Mar 29, 2018",11.52,9.02,"367,089",9.98,"1,199"
72,9.97,"Mar 28, 2018",13.83,9.76,"360,245",9.81,598
73,9.81,"Mar 27, 2018",11.45,9.41,"361,058",9.84,"1,790"
74,9.85,"Mar 26, 2018",14.21,9.43,"509,832",13.89,365
75,13.90,"Mar 25, 2018",15.28,13.84,"516,430",14.07,305
76,14.27,"Mar 24, 2018",15.75,14.23,"566,442",15.44,503
77,15.26,"Mar 23, 2018",15.46,14.67,"565,132",15.41,116
78,15.41,"Mar 22, 2018",16.01,14.74,"575,745",15.70,624
79,15.73,"Mar 21, 2018",16.01,14.46,"571,808",15.60,880
80,15.57,"Mar 20, 2018",15.78,14.46,"543,043",14.82,365
81,14.66,"Mar 19, 2018",16.56,14.02,"579,957",15.83,256
82,15.89,"Mar 18, 2018",16.14,13.80,"581,111",15.88,252
83,14.81,"Mar 17, 2018",15.98,14.16,"520,262",14.22,233
84,14.20,"Mar 16, 2018",19.15,14.20,"645,164",17.64,781
85,17.65,"Mar 15, 2018",19.94,16.87,"707,904",19.36,347
86,19.37,"Mar 14, 2018",24.73,17.72,"781,555",21.38,"1,483"
87,21.37,"Mar 13, 2018",24.58,21.21,"876,268",23.97,495
88,24.11,"Mar 12, 2018",28.58,21.23,"968,858",26.51,897
89,26.59,"Mar 11, 2018",35.49,19.65,"734,697",20.11,"4,446"
90,20.13,"Mar 10, 2018",26.38,20.03,"875,494",23.97,229
91,23.94,"Mar 09, 2018",25.95,22.44,"926,064",25.36,181
92,25.48,"Mar 08, 2018",28.21,25.07,"971,548",26.61,390
93,26.65,"Mar 07, 2018",31.51,26.55,"1,133,250",31.05,907
94,31.09,"Mar 06, 2018",35.54,30.78,"1,296,710",35.54,"1,154"
95,35.64,"Mar 05, 2018",39.34,35.44,"1,346,530",36.91,"1,123"
96,36.94,"Mar 04, 2018",41.43,36.43,"1,509,530",41.40,529
97,41.47,"Mar 03, 2018",41.49,33.06,"1,205,160",33.06,791
98,33.10,"Mar 02, 2018",39.87,32.47,"1,420,690",38.99,503
99,39.09,"Mar 01, 2018",39.13,31.02,"1,198,750",32.91,"2,879"
100,32.86,"Feb 28, 2018",33.31,28.42,"1,177,210",32.32,10
101,32.36,"Feb 27, 2018",35.96,30.55,"1,126,320",30.93,"1,340"
102,30.84,"Feb 26, 2018",31.80,28.42,"1,133,200",31.20,"1,432"
103,31.16,"Feb 25, 2018",33.40,30.40,"1,165,970",32.11,512
104,32.16,"Feb 24, 2018",38.88,31.08,"1,179,250",32.48,879
105,32.52,"Feb 23, 2018",36.03,29.24,"1,085,820",29.92,"1,244"
106,29.95,"Feb 22, 2018",37.40,29.45,"1,304,480",35.95,"1,191"
107,35.87,"Feb 21, 2018",39.70,35.30,"1,389,810",38.31,911
108,38.35,"Feb 20, 2018",40.14,36.19,"1,324,310",36.51,"2,854"
109,36.48,"Feb 19, 2018",38.06,34.05,"1,318,520",36.36,"1,093"
110,36.53,"Feb 18, 2018",41.94,33.10,"1,501,840",41.42,863
111,41.30,"Feb 17, 2018",45.34,37.18,"1,492,460",41.17,"2,193"
112,41.18,"Feb 16, 2018",45.75,37.20,"1,383,530",38.18,808
113,38.34,"Feb 15, 2018",43.67,38.10,"1,456,510",40.21,"1,482"
114,40.18,"Feb 14, 2018",46.41,33.01,"1,256,430",34.69,"7,503"
115,34.79,"Feb 13, 2018",36.93,28.90,"1,331,030",36.76,"1,847"
116,36.70,"Feb 12, 2018",38.16,24.35,"1,172,620",32.40,"1,378"
117,32.19,"Feb 11, 2018",35.68,25.01,"1,130,660",31.27,"1,316"
118,31.30,"Feb 10, 2018",34.08,26.84,"1,196,770",33.10,892
119,33.19,"Feb 09, 2018",33.71,27.28,"1,047,110",28.97,341
120,28.88,"Feb 08, 2018",30.35,26.55,"959,456",26.55,525
121,26.66,"Feb 07, 2018",31.31,26.61,"1,115,350",30.87,392
122,31.18,"Feb 06, 2018",31.43,21.08,"978,721",27.10,662
123,27.06,"Feb 05, 2018",32.92,25.86,"1,158,620",32.08,405
124,32.40,"Feb 04, 2018",40.45,30.97,"1,356,180",37.56,"1,559"
125,37.55,"Feb 03, 2018",43.62,33.76,"1,306,790",36.20,"1,303"
126,36.08,"Feb 02, 2018",43.88,30.84,"1,385,220",38.39,"2,057"
127,38.47,"Feb 01, 2018",45.56,35.28,"1,545,580",42.85,"2,276"
128,42.75,"Jan 31, 2018",44.90,35.43,"1,401,910",38.87,"2,702"
129,38.83,"Jan 30, 2018",52.78,37.10,"1,546,270",42.89,"2,080"
130,43.25,"Jan 29, 2018",51.71,41.03,"1,839,970",51.05,674
