,close,date,high,low,market_cap,open,volume
0,71.66,"Jun 08, 2018",72.00,66.82,"86,760,400",67.32,"284,770"
1,67.28,"Jun 07, 2018",67.61,65.62,"84,573,600",65.62,"326,641"
2,65.58,"Jun 06, 2018",68.25,65.43,"87,561,000",67.94,"308,776"
3,67.95,"Jun 05, 2018",68.34,66.65,"86,739,800",67.30,"283,014"
4,67.28,"Jun 04, 2018",69.38,66.76,"89,305,100",69.29,"353,688"
5,69.27,"Jun 03, 2018",70.08,68.91,"89,758,900",69.64,"257,467"
6,69.63,"Jun 02, 2018",69.74,66.75,"86,314,700",66.97,"257,097"
7,66.98,"Jun 01, 2018",68.18,66.53,"87,056,100",67.54,"237,086"
8,67.51,"May 31, 2018",68.20,64.86,"83,807,200",65.02,"204,157"
9,65.07,"May 30, 2018",65.70,63.04,"84,045,800",65.21,"347,358"
10,65.19,"May 29, 2018",65.43,62.55,"83,126,800",64.50,"415,792"
11,64.52,"May 28, 2018",71.30,63.97,"90,456,000",70.18,"204,679"
12,70.18,"May 27, 2018",74.11,69.44,"94,732,600",73.50,"277,357"
13,73.48,"May 26, 2018",75.40,69.99,"90,728,200",70.39,"210,411"
14,70.48,"May 25, 2018",72.75,69.74,"92,868,800",72.05,"296,048"
15,71.99,"May 24, 2018",76.67,71.73,"98,341,800",76.30,"230,750"
16,76.33,"May 23, 2018",76.44,70.66,"94,978,200",73.69,"505,822"
17,73.74,"May 22, 2018",79.02,73.46,"101,778,000",78.97,"291,945"
18,78.98,"May 21, 2018",86.66,78.23,"111,591,000",86.58,"182,592"
19,86.55,"May 20, 2018",86.64,81.91,"106,260,000",82.44,"95,013"
20,82.38,"May 19, 2018",95.13,82.18,"117,464,000",91.14,"94,109"
21,91.14,"May 18, 2018",91.57,87.91,"117,969,000",91.53,"158,385"
22,91.49,"May 17, 2018",93.80,88.68,"114,458,000",88.81,"195,280"
23,88.78,"May 16, 2018",92.12,88.40,"118,726,000",92.12,"200,909"
24,92.14,"May 15, 2018",97.23,91.84,"124,754,000",96.79,"106,421"
25,96.89,"May 14, 2018",97.04,92.31,"122,898,000",95.35,"273,523"
26,95.37,"May 13, 2018",96.52,94.46,"122,654,000",95.16,"183,123"
27,95.19,"May 12, 2018",96.18,90.03,"121,727,000",94.45,"250,127"
28,94.61,"May 11, 2018",113.72,94.61,"146,573,000",113.72,"314,652"
29,113.69,"May 10, 2018",120.24,112.74,"152,838,000",118.58,"432,476"
30,118.61,"May 09, 2018",120.09,108.60,"150,198,000",116.53,"197,438"
31,116.71,"May 08, 2018",123.53,108.90,"148,335,000",115.09,"41,529"
32,114.86,"May 07, 2018",189.19,114.63,"242,584,000",188.22,"63,132"
33,193.13,"May 06, 2018",194.60,109.36,"163,045,000",126.50,"60,600"
34,126.42,"May 05, 2018",129.30,122.59,"160,667,000",124.66,"19,686"
35,124.54,"May 04, 2018",236.29,122.47,"304,552,000",236.29,"115,499"
36,236.38,"May 03, 2018",254.58,103.40,"133,623,000",103.67,"363,938"
37,103.67,"May 02, 2018",106.51,100.67,"136,045,000",105.55,"280,794"
38,105.64,"May 01, 2018",106.58,86.69,"112,150,000",87.01,"324,836"
39,86.94,"Apr 30, 2018",188.10,86.64,"138,687,000",107.61,"260,000"
40,107.68,"Apr 29, 2018",110.56,102.86,"140,860,000",109.29,"335,022"
41,107.67,"Apr 28, 2018",113.00,90.94,"118,116,000",91.64,"448,378"
42,91.95,"Apr 27, 2018",98.05,90.31,"125,405,000",97.30,"6,545"
43,97.17,"Apr 26, 2018",97.38,91.12,"120,471,000",93.47,"4,614,180"
44,93.05,"Apr 25, 2018",101.71,92.96,"129,717,000",100.64,"229,500"
45,101.08,"Apr 24, 2018",127.32,86.62,"111,648,000",86.62,"498,415"
46,86.57,"Apr 23, 2018",87.05,71.03,"91,754,400",71.19,"341,485"
47,71.29,"Apr 22, 2018",72.20,67.88,"88,237,900",68.46,"222,265"
48,68.44,"Apr 21, 2018",69.36,66.32,"87,757,000",68.09,"399,095"
49,68.07,"Apr 20, 2018",68.33,63.76,"82,416,600",63.95,"173,937"
50,63.92,"Apr 19, 2018",65.61,63.45,"84,269,600",65.38,"217,089"
51,65.36,"Apr 18, 2018",65.42,60.18,"78,304,400",60.75,"319,660"
52,60.75,"Apr 17, 2018",61.67,57.14,"73,761,700",57.23,"406,295"
53,57.22,"Apr 16, 2018",62.02,55.38,"77,224,200",59.92,"443,545"
54,59.94,"Apr 15, 2018",59.95,55.22,"71,195,600",55.24,"363,405"
55,55.18,"Apr 14, 2018",56.44,54.47,"70,376,200",54.60,"124,451"
56,54.58,"Apr 13, 2018",55.79,51.63,"67,720,000",52.54,"327,329"
57,52.51,"Apr 12, 2018",53.27,45.48,"59,199,000",45.93,"328,877"
58,45.99,"Apr 11, 2018",46.99,44.66,"60,139,800",46.66,"237,047"
59,46.63,"Apr 10, 2018",46.66,43.35,"56,127,100",43.55,"126,429"
60,43.54,"Apr 09, 2018",46.20,43.00,"58,463,900",45.36,"142,884"
61,45.31,"Apr 08, 2018",48.04,44.74,"60,230,500",46.73,"164,502"
62,46.68,"Apr 07, 2018",47.30,43.79,"56,469,700",43.81,"59,293"
63,43.80,"Apr 06, 2018",46.04,43.76,"58,950,700",45.74,"213,669"
64,45.89,"Apr 05, 2018",47.60,44.73,"60,919,300",47.27,"221,547"
65,47.26,"Apr 04, 2018",52.15,47.05,"67,191,300",52.13,"213,592"
66,52.16,"Apr 03, 2018",53.12,47.26,"63,469,600",49.24,"251,817"
67,49.22,"Apr 02, 2018",52.93,48.55,"66,618,200",51.69,"185,216"
68,51.59,"Apr 01, 2018",64.92,51.08,"68,275,600",52.97,"232,670"
69,52.97,"Mar 31, 2018",53.99,50.80,"65,480,200",50.80,"182,952"
70,50.80,"Mar 30, 2018",52.85,50.07,"67,942,800",52.72,"180,159"
71,52.77,"Mar 29, 2018",58.73,52.07,"75,655,100",58.70,"94,181"
72,58.67,"Mar 28, 2018",69.10,58.50,"88,760,800",68.87,"247,636"
73,68.85,"Mar 27, 2018",69.17,64.90,"88,427,900",68.61,"117,830"
74,68.69,"Mar 26, 2018",74.44,66.19,"88,607,700",68.75,"21,221"
75,68.80,"Mar 25, 2018",137.73,68.49,"165,757,000",128.61,"16,878"
76,128.52,"Mar 24, 2018",142.66,116.54,"150,856,000",117.05,"54,615"
77,115.91,"Mar 23, 2018",118.60,82.26,"110,664,000",85.86,"152,082"
78,85.86,"Mar 22, 2018",86.11,72.54,"104,914,000",81.40,"242,629"
79,81.49,"Mar 21, 2018",124.82,80.95,"160,234,000",124.32,"210,208"
80,124.23,"Mar 20, 2018",126.05,73.29,"97,298,100",75.49,"159,217"
81,74.96,"Mar 19, 2018",75.02,68.55,"89,139,100",69.16,"212,264"
82,69.30,"Mar 18, 2018",72.02,65.34,"92,828,500",72.02,"131,928"
83,72.12,"Mar 17, 2018",77.40,71.39,"99,754,000",77.40,"125,276"
84,77.36,"Mar 16, 2018",78.78,74.01,"97,440,600",75.60,"118,404"
85,75.63,"Mar 15, 2018",77.47,74.10,"98,747,400",76.62,"113,420"
86,76.65,"Mar 14, 2018",84.04,75.95,"107,607,000",83.49,"66,045"
87,83.48,"Mar 13, 2018",87.58,83.19,"111,331,000",86.38,"115,105"
88,86.59,"Mar 12, 2018",90.34,85.95,"113,642,000",88.17,"88,291"
89,88.28,"Mar 11, 2018",88.89,80.19,"107,016,000",83.03,"93,075"
90,83.16,"Mar 10, 2018",87.92,82.84,"107,973,000",83.77,"72,581"
91,83.78,"Mar 09, 2018",87.33,80.87,"111,796,000",86.74,"103,405"
92,86.94,"Mar 08, 2018",95.47,85.52,"122,519,000",95.06,"102,989"
93,95.08,"Mar 07, 2018",99.98,91.33,"127,430,000",98.87,"103,621"
94,98.95,"Mar 06, 2018",110.42,97.91,"142,318,000",110.42,"87,213"
95,110.55,"Mar 05, 2018",110.98,108.97,"142,354,000",110.45,"191,924"
96,110.49,"Mar 04, 2018",111.58,106.84,"137,826,000",106.94,"68,495"
97,107.04,"Mar 03, 2018",111.82,105.80,"137,725,000",106.86,"63,024"
98,106.91,"Mar 02, 2018",109.56,101.67,"131,111,000",101.73,"104,700"
99,101.90,"Mar 01, 2018",105.33,101.28,"132,154,000",102.53,"35,510"
100,102.44,"Feb 28, 2018",106.20,102.15,"135,284,000",104.96,"49,683"
101,105.03,"Feb 27, 2018",107.91,100.83,"129,989,000",100.86,"56,885"
102,100.66,"Feb 26, 2018",101.36,91.14,"120,819,000",93.74,"51,409"
103,94.17,"Feb 25, 2018",95.49,90.42,"119,833,000",92.98,"53,847"
104,93.05,"Feb 24, 2018",100.70,91.97,"126,075,000",97.82,"40,475"
105,97.91,"Feb 23, 2018",99.67,94.10,"124,396,000",96.52,"54,484"
106,96.58,"Feb 22, 2018",107.97,96.40,"135,380,000",105.04,"41,824"
107,105.12,"Feb 21, 2018",114.92,104.73,"147,672,000",114.58,"42,845"
108,114.72,"Feb 20, 2018",123.77,114.53,"154,626,000",119.97,"41,949"
109,120.25,"Feb 19, 2018",122.28,114.24,"148,142,000",114.94,"56,237"
110,115.33,"Feb 18, 2018",127.53,115.06,"163,378,000",126.76,"46,579"
111,126.50,"Feb 17, 2018",127.03,116.70,"151,860,000",117.83,"23,935"
112,117.80,"Feb 16, 2018",121.12,114.89,"154,423,000",119.81,"26,385"
113,120.47,"Feb 15, 2018",120.54,110.91,"144,629,000",112.22,"54,678"
114,112.16,"Feb 14, 2018",112.56,101.43,"130,940,000",101.59,"38,411"
115,101.89,"Feb 13, 2018",108.74,100.91,"140,148,000",108.74,"17,909"
116,108.55,"Feb 12, 2018",109.77,98.04,"126,361,000",98.04,"43,743"
117,97.43,"Feb 11, 2018",109.47,96.73,"141,090,000",109.47,"36,994"
118,109.58,"Feb 10, 2018",118.00,104.71,"145,197,000",112.66,"34,207"
119,113.97,"Feb 09, 2018",113.97,99.78,"136,314,000",105.76,"21,293"
120,105.46,"Feb 08, 2018",110.25,87.39,"112,638,000",87.39,"66,522"
121,87.76,"Feb 07, 2018",96.57,81.11,"112,468,000",87.26,"49,805"
122,88.14,"Feb 06, 2018",88.95,65.48,"99,664,000",77.33,"185,696"
123,77.21,"Feb 05, 2018",95.64,72.41,"121,198,000",94.03,"40,733"
124,94.61,"Feb 04, 2018",112.70,91.44,"140,813,000",109.25,"36,145"
125,109.16,"Feb 03, 2018",111.76,96.16,"139,551,000",108.27,"34,762"
126,108.01,"Feb 02, 2018",113.78,88.35,"144,303,000",111.96,"57,258"
127,112.20,"Feb 01, 2018",133.11,107.24,"170,137,000",132.00,"25,099"
128,131.63,"Jan 31, 2018",138.39,125.80,"173,090,000",134.30,"28,545"
129,134.08,"Jan 30, 2018",154.21,132.37,"198,760,000",154.21,"51,823"
130,152.85,"Jan 29, 2018",163.16,151.75,"207,613,000",161.08,"64,126"
131,161.45,"Jan 28, 2018",175.85,152.04,"197,690,000",153.38,"133,340"
132,152.08,"Jan 27, 2018",156.18,144.70,"194,694,000",151.06,"246,378"
133,151.16,"Jan 26, 2018",160.72,136.93,"197,430,000",153.18,"190,450"
134,152.93,"Jan 25, 2018",174.41,145.93,"223,370,000",173.31,"291,069"
135,171.18,"Jan 24, 2018",182.57,155.12,"207,971,000",161.36,"305,398"
136,161.43,"Jan 23, 2018",176.59,151.31,"224,469,000",174.16,"176,326"
137,172.82,"Jan 22, 2018",206.27,161.39,"259,374,000",201.24,"175,383"
138,198.48,"Jan 21, 2018",244.59,191.12,"315,238,000",244.59,"277,892"
139,242.63,"Jan 20, 2018",266.56,214.97,"288,746,000",224.03,"532,560"
140,222.71,"Jan 19, 2018",328.97,176.93,"243,333,000",188.80,"2,356,830"
141,190.79,"Jan 18, 2018",210.69,170.60,"224,258,000",174.00,"373,563"
142,174.00,"Jan 17, 2018",197.88,139.86,"245,915,000",190.80,"373,141"
143,190.92,"Jan 16, 2018",222.68,160.67,"283,788,000",220.19,"162,308"
144,222.97,"Jan 15, 2018",266.31,221.49,"330,317,000",256.29,"536,314"
145,262.59,"Jan 14, 2018",323.31,258.47,"402,518,000",312.31,"961,306"
146,311.98,"Jan 13, 2018",342.38,307.73,"410,733,000",318.68,"324,757"
147,319.07,"Jan 12, 2018",322.18,282.19,"378,352,000",293.56,"269,052"
148,292.95,"Jan 11, 2018",357.63,285.49,"453,618,000",351.95,"616,062"
149,352.43,"Jan 10, 2018",399.63,337.06,"483,814,000",375.38,"1,265,720"
150,374.89,"Jan 09, 2018",399.71,345.51,"482,580,000",374.42,"1,113,940"
151,373.04,"Jan 08, 2018",376.41,312.90,"462,498,000",358.84,"784,325"
152,359.65,"Jan 07, 2018",388.93,338.67,"480,804,000",373.05,"840,741"
