,close,date,high,low,market_cap,open,volume
0,3.03,"Jun 08, 2018",3.59,2.82,"48,340,200",3.11,"340,119"
1,3.12,"Jun 07, 2018",3.14,3.03,"47,668,300",3.07,"335,083"
2,3.07,"Jun 06, 2018",3.12,2.90,"45,773,300",2.94,"313,328"
3,2.94,"Jun 05, 2018",2.99,2.77,"46,032,000",2.96,"330,349"
4,2.96,"Jun 04, 2018",3.09,2.87,"44,630,500",2.87,"355,355"
5,2.88,"Jun 03, 2018",2.97,2.54,"46,010,200",2.96,"303,312"
6,2.96,"Jun 02, 2018",3.13,2.87,"46,872,000",3.02,"271,130"
7,3.02,"Jun 01, 2018",3.12,2.82,"46,426,100",2.99,"377,099"
8,2.97,"May 31, 2018",3.24,2.57,"47,797,300",3.08,"357,896"
9,3.07,"May 30, 2018",3.51,2.66,"53,849,200",3.47,"373,729"
10,3.47,"May 29, 2018",3.53,3.33,"54,580,100",3.51,"288,204"
11,3.51,"May 28, 2018",3.80,3.51,"58,818,900",3.79,"440,442"
12,3.79,"May 27, 2018",3.82,3.61,"59,312,700",3.82,"296,877"
13,3.82,"May 26, 2018",4.00,3.79,"61,047,300",3.93,"326,371"
14,3.92,"May 25, 2018",4.10,3.86,"63,326,100",4.08,"401,458"
15,4.03,"May 24, 2018",4.09,3.41,"56,662,900",3.65,"414,854"
16,3.66,"May 23, 2018",4.10,3.63,"62,872,100",4.05,"372,692"
17,4.11,"May 22, 2018",4.62,3.67,"60,195,800",3.88,"631,849"
18,3.86,"May 21, 2018",3.96,3.56,"57,943,000",3.73,"462,831"
19,3.73,"May 20, 2018",4.04,3.62,"61,211,200",3.94,"440,651"
20,3.95,"May 19, 2018",4.11,3.89,"63,761,300",4.11,"418,287"
21,4.12,"May 18, 2018",4.25,3.97,"65,937,700",4.25,"405,438"
22,4.23,"May 17, 2018",4.62,4.04,"71,424,400",4.60,"539,768"
23,4.59,"May 16, 2018",4.79,4.49,"74,006,200",4.77,"611,032"
24,4.77,"May 15, 2018",5.15,4.72,"76,605,300",4.94,"463,911"
25,4.95,"May 14, 2018",5.17,4.57,"76,041,900",4.90,"711,236"
26,4.91,"May 13, 2018",5.13,4.52,"73,618,600",4.75,"421,458"
27,4.74,"May 12, 2018",5.08,4.63,"78,514,100",5.06,"402,011"
28,4.86,"May 11, 2018",5.58,4.74,"86,423,900",5.58,"443,030"
29,5.57,"May 10, 2018",6.01,5.55,"88,767,700",5.73,"512,735"
30,5.73,"May 09, 2018",5.96,5.59,"92,390,100",5.96,"575,682"
31,5.98,"May 08, 2018",6.64,5.71,"101,405,000",6.54,"534,466"
32,6.52,"May 07, 2018",7.09,6.24,"109,569,000",7.07,"561,332"
33,7.07,"May 06, 2018",7.86,6.44,"120,558,000",7.78,"614,050"
34,7.77,"May 05, 2018",8.33,7.15,"118,969,000",7.68,"618,699"
35,7.66,"May 04, 2018",8.42,7.49,"129,890,000",8.39,"679,913"
36,8.39,"May 03, 2018",8.84,8.05,"131,421,000",8.49,"907,381"
37,8.41,"May 02, 2018",8.41,6.56,"103,316,000",6.70,"1,323,100"
38,6.68,"May 01, 2018",7.07,5.62,"91,289,200",5.92,"907,390"
39,5.90,"Apr 30, 2018",7.46,5.41,"106,968,000",7.22,"927,403"
40,7.21,"Apr 29, 2018",7.62,6.57,"109,732,000",7.41,"932,701"
41,7.47,"Apr 28, 2018",8.16,6.84,"110,648,000",7.47,"689,727"
42,7.41,"Apr 27, 2018",8.43,7.41,"117,414,000",7.93,"655,860"
43,7.91,"Apr 26, 2018",8.03,6.71,"108,107,000",7.30,"761,446"
44,7.26,"Apr 25, 2018",8.93,7.12,"123,193,000",8.32,"640,330"
45,8.30,"Apr 24, 2018",8.78,7.96,"117,798,000",7.96,"841,551"
46,7.94,"Apr 23, 2018",9.40,7.66,"134,496,000",9.39,"938,691"
47,9.42,"Apr 22, 2018",9.93,8.90,"131,758,000",9.20,"726,370"
48,9.16,"Apr 21, 2018",9.33,8.51,"127,821,000",8.93,"643,972"
49,8.93,"Apr 20, 2018",8.98,7.80,"114,290,000",7.99,"659,588"
50,7.98,"Apr 19, 2018",9.02,6.50,"105,591,000",7.38,"929,819"
51,7.23,"Apr 18, 2018",7.23,5.76,"82,479,800",5.77,"626,847"
52,5.76,"Apr 17, 2018",6.12,5.66,"84,396,300",5.90,"474,035"
53,5.75,"Apr 16, 2018",6.71,5.50,"87,451,600",6.31,"541,126"
54,6.33,"Apr 15, 2018",6.79,5.20,"72,065,000",5.20,"944,477"
55,5.16,"Apr 14, 2018",5.76,5.03,"70,024,500",5.06,"769,156"
56,5.25,"Apr 13, 2018",5.77,5.00,"74,592,300",5.39,"837,094"
57,5.38,"Apr 12, 2018",5.39,4.34,"66,103,900",4.78,"922,705"
58,4.78,"Apr 11, 2018",5.23,4.36,"63,827,000",4.61,"789,582"
59,4.61,"Apr 10, 2018",5.16,4.34,"61,914,400",4.63,"884,084"
60,4.62,"Apr 09, 2018",5.15,4.34,"66,363,900",4.97,"892,689"
61,4.96,"Apr 08, 2018",5.30,4.73,"65,873,400",4.93,"1,119,810"
62,4.94,"Apr 07, 2018",5.03,4.65,"62,257,800",4.66,"1,389,210"
63,4.65,"Apr 06, 2018",4.86,4.52,"63,059,700",4.72,"1,329,260"
64,4.73,"Apr 05, 2018",5.04,4.62,"63,487,100",4.75,"1,363,140"
65,4.75,"Apr 04, 2018",5.38,4.72,"67,800,300",5.08,"1,492,320"
66,5.06,"Apr 03, 2018",6.05,4.99,"68,460,600",5.28,"1,627,030"
67,5.26,"Apr 02, 2018",5.92,3.63,"69,531,100",5.36,"1,733,070"
