,close,date,high,low,market_cap,open,volume
0,0.240359,"Jun 08, 2018",0.252249,0.236989,"5,562,470",0.240008,"14,693"
1,0.239826,"Jun 07, 2018",0.246541,0.236030,"5,566,070",0.240164,"6,653"
2,0.239954,"Jun 06, 2018",0.254047,0.234916,"5,796,190",0.250093,"3,475"
3,0.250302,"Jun 05, 2018",0.250302,0.231688,"5,732,410",0.247341,"9,489"
4,0.247267,"Jun 04, 2018",0.256499,0.242737,"5,944,660",0.256499,"5,014"
5,0.250064,"Jun 03, 2018",0.256641,0.247977,"5,790,360",0.249841,"7,630"
6,0.249780,"Jun 02, 2018",0.257373,0.243035,"5,679,210",0.245045,"14,583"
7,0.245142,"Jun 01, 2018",0.251068,0.241193,"5,672,630",0.244761,"20,626"
8,0.244597,"May 31, 2018",0.248825,0.236653,"5,598,840",0.241578,"10,025"
9,0.241603,"May 30, 2018",0.259492,0.236489,"5,908,110",0.254922,"24,125"
10,0.255544,"May 29, 2018",0.257693,0.241505,"5,614,030",0.242233,"8,412"
11,0.242312,"May 28, 2018",0.265610,0.241998,"6,107,530",0.263527,"11,090"
12,0.263474,"May 27, 2018",0.271476,0.261169,"6,210,770",0.267981,"17,299"
13,0.269798,"May 26, 2018",0.281619,0.266512,"6,402,450",0.276251,"6,826"
14,0.276595,"May 25, 2018",0.283847,0.270459,"6,506,780",0.280753,"5,457"
15,0.280374,"May 24, 2018",0.287218,0.257272,"6,458,850",0.278685,"10,832"
16,0.279345,"May 23, 2018",0.309842,0.276042,"7,180,940",0.309842,"10,629"
17,0.305787,"May 22, 2018",0.323459,0.304580,"7,496,540",0.323459,"23,791"
18,0.319011,"May 21, 2018",0.336533,0.316837,"7,630,460",0.329237,"20,088"
19,0.326899,"May 20, 2018",0.337771,0.314920,"7,440,610",0.321046,"18,307"
20,0.320851,"May 19, 2018",0.337287,0.316395,"7,547,280",0.325648,"13,257"
21,0.326074,"May 18, 2018",0.329411,0.307916,"7,234,420",0.312149,"18,065"
22,0.312100,"May 17, 2018",0.342758,0.311873,"7,751,400",0.334456,"15,035"
23,0.337199,"May 16, 2018",0.357061,0.317977,"8,275,310",0.357061,"21,018"
24,0.357246,"May 15, 2018",0.376024,0.349935,"8,569,180",0.369741,"30,399"
25,0.370405,"May 14, 2018",0.395170,0.323666,"8,122,110",0.350451,"60,092"
26,0.350505,"May 13, 2018",0.355042,0.329123,"7,693,030",0.331937,"10,988"
27,0.332008,"May 12, 2018",0.344696,0.325119,"7,844,900",0.338490,"13,453"
28,0.339415,"May 11, 2018",0.371117,0.334083,"8,601,060",0.371117,"20,563"
29,0.370744,"May 10, 2018",0.386756,0.369253,"8,869,760",0.382711,"12,374"
30,0.382844,"May 09, 2018",0.387924,0.366232,"8,856,210",0.382126,"19,486"
31,0.382705,"May 08, 2018",0.401965,0.368438,"9,026,160",0.389459,"21,055"
32,0.388917,"May 07, 2018",0.405770,0.382382,"9,386,570",0.405010,"21,155"
33,0.404669,"May 06, 2018",0.437786,0.394999,"9,634,900",0.415724,"37,212"
34,0.415454,"May 05, 2018",0.458676,0.395066,"9,169,680",0.395652,"128,867"
35,0.392805,"May 04, 2018",0.414759,0.392805,"9,390,290",0.405170,"30,470"
36,0.405498,"May 03, 2018",0.416118,0.393313,"9,297,750",0.401177,"36,882"
37,0.399059,"May 02, 2018",0.404158,0.385039,"9,104,160",0.392780,"23,358"
38,0.393400,"May 01, 2018",0.396658,0.379739,"9,188,490",0.396419,"44,924"
39,0.396085,"Apr 30, 2018",0.410513,0.383034,"9,455,270",0.407928,"29,045"
40,0.409805,"Apr 29, 2018",0.418554,0.394496,"9,233,130",0.398345,"19,581"
41,0.398450,"Apr 28, 2018",0.407586,0.371565,"8,665,390",0.373851,"20,177"
42,0.375027,"Apr 27, 2018",0.402576,0.370862,"9,104,760",0.392806,"20,673"
43,0.392335,"Apr 26, 2018",0.402966,0.366763,"8,844,460",0.381576,"38,813"
44,0.381242,"Apr 25, 2018",0.438895,0.377455,"10,173,000",0.438895,"39,562"
45,0.443875,"Apr 24, 2018",0.443875,0.416471,"9,658,670",0.416704,"67,685"
46,0.421574,"Apr 23, 2018",0.423325,0.374763,"9,110,380",0.393049,"192,822"
47,0.395114,"Apr 22, 2018",0.414423,0.389506,"9,283,490",0.400517,"59,111"
48,0.405733,"Apr 21, 2018",0.428766,0.394325,"9,743,760",0.420374,"50,193"
49,0.420740,"Apr 20, 2018",0.426592,0.387797,"9,190,920",0.396524,"44,796"
50,0.396292,"Apr 19, 2018",0.401965,0.373907,"8,860,610",0.382273,"84,425"
51,0.381995,"Apr 18, 2018",0.390018,0.359522,"8,333,260",0.359522,"70,108"
52,0.359239,"Apr 17, 2018",0.382004,0.354711,"8,441,260",0.364181,"116,603"
53,0.367815,"Apr 16, 2018",0.412145,0.358726,"9,468,100",0.408482,"135,333"
54,0.408511,"Apr 15, 2018",0.489248,0.321542,"7,517,820",0.324341,"865,969"
55,0.324050,"Apr 14, 2018",0.335496,0.313471,"7,265,880",0.313471,"44,485"
56,0.314260,"Apr 13, 2018",0.328264,0.302340,"7,032,920",0.303421,"31,366"
57,0.309242,"Apr 12, 2018",0.310463,0.268450,"6,433,790",0.277573,"60,261"
58,0.278204,"Apr 11, 2018",0.280887,0.247264,"5,754,460",0.248264,"50,700"
59,0.248037,"Apr 10, 2018",0.251054,0.228061,"5,338,610",0.230324,"25,703"
60,0.230116,"Apr 09, 2018",0.243042,0.224744,"5,457,110",0.235436,"7,478"
61,0.235047,"Apr 08, 2018",0.239902,0.230108,"5,364,120",0.231424,"6,061"
62,0.231215,"Apr 07, 2018",0.239620,0.229589,"5,348,320",0.230742,"6,505"
63,0.230867,"Apr 06, 2018",0.237631,0.222876,"5,365,490",0.231483,"14,947"
64,0.232350,"Apr 05, 2018",0.255583,0.232350,"5,744,860",0.247802,"29,062"
65,0.247714,"Apr 04, 2018",0.268244,0.245260,"6,093,530",0.262842,"21,977"
66,0.263021,"Apr 03, 2018",0.266513,0.241389,"5,794,570",0.249946,"21,987"
67,0.249756,"Apr 02, 2018",0.252630,0.223044,"5,209,920",0.224728,"22,618"
68,0.223983,"Apr 01, 2018",0.242793,0.217127,"5,546,840",0.239260,"7,502"
69,0.239266,"Mar 31, 2018",0.247203,0.226665,"5,293,500",0.228333,"16,639"
70,0.228345,"Mar 30, 2018",0.244147,0.224275,"5,555,880",0.239650,"8,696"
71,0.240620,"Mar 29, 2018",0.268474,0.236956,"6,167,900",0.266050,"26,813"
72,0.266179,"Mar 28, 2018",0.277527,0.263162,"6,229,670",0.268714,"6,223"
73,0.268739,"Mar 27, 2018",0.287257,0.261970,"6,538,790",0.282048,"24,134"
74,0.282509,"Mar 26, 2018",0.308952,0.271827,"6,919,010",0.298448,"17,536"
75,0.298668,"Mar 25, 2018",0.304213,0.291982,"6,838,000",0.294954,"14,183"
76,0.298966,"Mar 24, 2018",0.326227,0.296258,"7,205,340",0.310799,"7,435"
77,0.306509,"Mar 23, 2018",0.320651,0.291118,"7,386,690",0.318621,"10,875"
78,0.317791,"Mar 22, 2018",0.333220,0.304601,"7,466,670",0.322071,"6,623"
79,0.320670,"Mar 21, 2018",0.334281,0.311662,"7,320,660",0.315773,"25,387"
80,0.315329,"Mar 20, 2018",0.329604,0.299999,"7,270,070",0.313591,"35,472"
81,0.319178,"Mar 19, 2018",0.320935,0.280870,"6,591,500",0.284321,"16,859"
82,0.285284,"Mar 18, 2018",0.290430,0.256035,"6,692,260",0.288668,"48,871"
83,0.290063,"Mar 17, 2018",0.315958,0.286007,"7,273,700",0.313748,"15,627"
84,0.313237,"Mar 16, 2018",0.324514,0.296940,"7,204,910",0.310781,"31,526"
85,0.314870,"Mar 15, 2018",0.335536,0.297264,"7,691,100",0.331752,"60,425"
86,0.331906,"Mar 14, 2018",0.371814,0.296147,"8,285,350",0.357385,"79,639"
87,0.359951,"Mar 13, 2018",0.372449,0.339517,"7,939,470",0.342466,"25,249"
88,0.353119,"Mar 12, 2018",0.386180,0.334141,"8,441,110",0.364103,"24,819"
89,0.365087,"Mar 11, 2018",0.370393,0.333253,"8,024,950",0.346153,"15,014"
90,0.347097,"Mar 10, 2018",0.388870,0.340258,"8,833,120",0.381013,"37,453"
91,0.367349,"Mar 09, 2018",0.391282,0.334861,"8,696,300",0.375111,"94,230"
92,0.396184,"Mar 08, 2018",0.483075,0.380348,"9,289,200",0.400685,"201,670"
93,0.401265,"Mar 07, 2018",0.488473,0.395558,"11,217,600",0.483867,"88,359"
94,0.483952,"Mar 06, 2018",0.499927,0.472121,"11,556,700",0.498491,"20,597"
95,0.496319,"Mar 05, 2018",0.508061,0.488264,"11,628,700",0.501601,"41,283"
96,0.501807,"Mar 04, 2018",0.520272,0.485702,"11,988,200",0.517105,"38,035"
97,0.517820,"Mar 03, 2018",0.525162,0.482211,"11,179,200",0.482211,"56,988"
98,0.482463,"Mar 02, 2018",0.507438,0.470537,"10,995,400",0.474282,"52,989"
99,0.474456,"Mar 01, 2018",0.489926,0.447882,"10,483,100",0.452160,"30,445"
100,0.451664,"Feb 28, 2018",0.490483,0.450253,"10,784,700",0.465166,"43,337"
101,0.465549,"Feb 27, 2018",0.480855,0.455964,"10,982,600",0.473703,"53,035"
102,0.472192,"Feb 26, 2018",0.492245,0.454767,"10,642,700",0.459044,"49,329"
103,0.454322,"Feb 25, 2018",0.461714,0.431244,"10,270,300",0.442983,"47,010"
104,0.447328,"Feb 24, 2018",0.486223,0.434647,"10,622,100",0.458156,"37,831"
105,0.454376,"Feb 23, 2018",0.464400,0.432904,"10,686,300",0.460923,"46,223"
106,0.460933,"Feb 22, 2018",0.499041,0.436339,"11,426,000",0.492829,"52,201"
107,0.492382,"Feb 21, 2018",0.516271,0.461034,"11,967,600",0.516190,"48,693"
108,0.516779,"Feb 20, 2018",0.573099,0.508327,"12,988,000",0.560202,"103,875"
109,0.558396,"Feb 19, 2018",0.588278,0.544900,"13,101,700",0.565106,"116,542"
110,0.567009,"Feb 18, 2018",0.648706,0.566435,"14,885,300",0.642037,"49,240"
111,0.636168,"Feb 17, 2018",0.639479,0.588413,"13,996,700",0.603708,"72,914"
112,0.604228,"Feb 16, 2018",0.639000,0.575633,"14,137,200",0.609769,"144,679"
113,0.615908,"Feb 15, 2018",0.649720,0.551945,"13,302,900",0.573783,"185,963"
114,0.573481,"Feb 14, 2018",0.582056,0.502903,"11,908,200",0.513627,"154,711"
115,0.515044,"Feb 13, 2018",0.587932,0.508620,"13,445,800",0.579949,"220,731"
116,0.577086,"Feb 12, 2018",0.621664,0.453464,"10,651,600",0.459427,"456,614"
117,0.457122,"Feb 11, 2018",0.491774,0.441593,"11,370,100",0.490416,"50,809"
118,0.490633,"Feb 10, 2018",0.554321,0.481622,"12,101,200",0.521951,"88,695"
