,close,date,high,low,market_cap,open,volume
0,0.005143,"Jun 08, 2018",0.005628,0.005075,"979,178",0.005577,"5,609"
1,0.005572,"Jun 07, 2018",0.005646,0.005220,"936,308",0.005333,"5,548"
2,0.005328,"Jun 06, 2018",0.005612,0.005192,"984,616",0.005608,"3,314"
3,0.005609,"Jun 05, 2018",0.005787,0.005243,"948,223",0.005400,"4,041"
4,0.005398,"Jun 04, 2018",0.005580,0.005184,"925,827",0.005273,"4,757"
5,0.005574,"Jun 03, 2018",0.006009,0.005050,"1,033,600",0.005887,"12,347"
6,0.005885,"Jun 02, 2018",0.005967,0.005171,"940,736",0.005358,"4,499"
7,0.005360,"Jun 01, 2018",0.005464,0.004471,"851,772",0.004851,"6,543"
8,0.004848,"May 31, 2018",0.006001,0.004839,"1,021,180",0.005816,"8,967"
9,0.005817,"May 30, 2018",0.006447,0.005691,"1,096,780",0.006246,"10,444"
10,0.006305,"May 29, 2018",0.006943,0.006221,"1,202,930",0.006851,"13,192"
11,0.006853,"May 28, 2018",0.007451,0.006429,"1,181,210",0.006727,"10,471"
12,0.006726,"May 27, 2018",0.007518,0.006522,"1,314,480",0.007486,"5,219"
13,0.007483,"May 26, 2018",0.007483,0.006560,"1,255,520",0.007151,"10,204"
14,0.007159,"May 25, 2018",0.009389,0.007082,"1,513,380",0.008619,"21,823"
15,0.008353,"May 24, 2018",0.009565,0.006761,"1,187,040",0.006761,"48,558"
16,0.006778,"May 23, 2018",0.007326,0.006215,"1,163,730",0.006628,"19,595"
17,0.006635,"May 22, 2018",0.008032,0.006225,"1,409,490",0.008027,"25,527"
18,0.008029,"May 21, 2018",0.008213,0.007494,"1,373,460",0.007822,"14,297"
19,0.007812,"May 20, 2018",0.008254,0.007239,"1,277,950",0.007278,"14,379"
20,0.007273,"May 19, 2018",0.008057,0.007101,"1,284,030",0.007313,"14,993"
21,0.007310,"May 18, 2018",0.007310,0.006067,"1,162,440",0.006620,"12,241"
22,0.006618,"May 17, 2018",0.006912,0.005894,"1,036,980",0.005906,"13,695"
23,0.005902,"May 16, 2018",0.006493,0.005630,"1,050,470",0.005983,"14,937"
24,0.005986,"May 15, 2018",0.006614,0.005681,"1,038,450",0.005914,"8,669"
25,0.005924,"May 14, 2018",0.006762,0.005361,"1,089,040",0.006202,"9,352"
26,0.006204,"May 13, 2018",0.006887,0.005874,"1,179,830",0.006719,"20,502"
27,0.006724,"May 12, 2018",0.007595,0.006325,"1,117,040",0.006362,"13,353"
28,0.006855,"May 11, 2018",0.007751,0.006084,"1,275,420",0.007264,"11,081"
29,0.007255,"May 10, 2018",0.008074,0.005559,"1,020,950",0.005815,"15,673"
30,0.005816,"May 09, 2018",0.006535,0.005322,"1,146,780",0.006531,"12,428"
31,0.006541,"May 08, 2018",0.007887,0.006541,"1,337,490",0.007617,"11,492"
32,0.007601,"May 07, 2018",0.008548,0.006968,"1,426,290",0.008123,"37,167"
33,0.008117,"May 06, 2018",0.008973,0.007362,"1,518,830",0.008650,"36,726"
34,0.008644,"May 05, 2018",0.009519,0.007583,"1,388,290",0.007907,"37,138"
35,0.007911,"May 04, 2018",0.011136,0.005357,"1,866,420",0.010630,"110,032"
36,0.010821,"May 03, 2018",0.012293,0.006528,"1,172,850",0.006680,"195,434"
37,0.006765,"May 02, 2018",0.006928,0.004299,"776,290",0.004421,"33,768"
38,0.004428,"May 01, 2018",0.005595,0.004122,"975,281",0.005555,"18,197"
39,0.005608,"Apr 30, 2018",0.005978,0.003514,"630,851",0.003593,"24,140"
40,0.003594,"Apr 29, 2018",0.004140,0.003262,"572,716",0.003262,"11,148"
41,0.003263,"Apr 28, 2018",0.003681,0.002747,"521,571",0.002971,"7,563"
