,close,date,high,low,market_cap,open,volume
0,1404.52,"Jun 08, 2018",1437.98,1376.41,"270,565",1427.90,56
1,1422.73,"Jun 07, 2018",1461.69,1415.43,"268,810",1418.64,299
2,1419.43,"Jun 06, 2018",1494.31,1361.28,"282,417",1490.45,664
3,1487.36,"Jun 05, 2018",1495.53,1373.69,"277,582",1464.93,891
4,1463.89,"Jun 04, 2018",1530.46,1454.98,"285,613",1507.31,364
5,1507.37,"Jun 03, 2018",1630.02,1501.37,"292,648",1544.44,619
6,1543.52,"Jun 02, 2018",1585.04,1509.69,"290,090",1530.94,"2,421"
7,1531.79,"Jun 01, 2018",1560.02,1494.74,"283,231",1494.74,373
8,1493.49,"May 31, 2018",1556.73,1478.19,"289,011",1525.24,306
9,1523.92,"May 30, 2018",1584.75,1495.22,"290,042",1530.68,495
10,1532.00,"May 29, 2018",1601.23,1455.46,"275,788",1455.46,105
11,1454.54,"May 28, 2018",1559.04,1424.49,"289,167",1526.07,158
12,1525.80,"May 27, 2018",1582.17,1513.24,"293,908",1551.09,981
13,1543.48,"May 26, 2018",1633.17,1534.23,"301,254",1589.86,364
14,1582.49,"May 25, 2018",1618.19,1521.95,"306,622",1618.19,184
15,1621.14,"May 24, 2018",1686.52,1440.62,"284,175",1499.72,935
16,1494.93,"May 23, 2018",1571.35,1325.38,"272,464",1437.92,"3,488"
17,1438.56,"May 22, 2018",1509.66,1423.38,"286,059",1509.66,549
18,1510.03,"May 21, 2018",1537.58,1458.44,"288,870",1524.50,492
19,1544.84,"May 20, 2018",1563.32,1496.82,"290,452",1532.85,256
20,1531.87,"May 19, 2018",1596.14,1509.32,"294,451",1553.95,254
21,1555.52,"May 18, 2018",1562.05,1414.06,"272,230",1436.68,166
22,1430.53,"May 17, 2018",1578.18,1420.57,"289,832",1529.58,366
23,1528.51,"May 16, 2018",1538.30,1454.78,"291,484",1538.30,218
24,1541.41,"May 15, 2018",1628.27,1489.81,"282,297",1489.81,502
25,1488.67,"May 14, 2018",1614.38,1476.26,"305,900",1614.38,194
26,1616.45,"May 13, 2018",1638.00,1496.24,"288,174",1520.83,438
27,1509.49,"May 12, 2018",1592.09,1323.98,"275,959",1456.37,"1,209"
28,1462.94,"May 11, 2018",1606.52,1224.61,"272,991",1440.70,"8,120"
29,1445.39,"May 10, 2018",1592.89,1445.39,"301,828",1592.89,20
30,1628.87,"May 09, 2018",1707.44,1578.91,"316,103",1668.22,0
31,1669.29,"May 08, 2018",1669.29,1553.88,"298,210",1573.79,178
32,1572.84,"May 07, 2018",1676.31,1524.07,"316,404",1669.81,873
33,1669.57,"May 06, 2018",1686.25,1482.01,"299,245",1579.25,951
34,1580.79,"May 05, 2018",1660.41,1558.13,"295,721",1560.66,"3,583"
35,1562.42,"May 04, 2018",1628.62,1540.42,"299,254",1579.30,100
36,1579.04,"May 03, 2018",1736.27,1579.04,"313,387",1653.89,629
37,1654.46,"May 02, 2018",1772.53,1604.17,"335,434",1770.24,826
38,1766.91,"May 01, 2018",1836.61,1517.62,"321,247",1695.37,"1,817"
39,1687.41,"Apr 30, 2018",1809.13,1491.18,"304,353",1606.21,"11,818"
40,1599.62,"Apr 29, 2018",1822.75,1479.22,"298,470",1575.17,"6,152"
41,1574.56,"Apr 28, 2018",1577.60,1449.30,"277,062",1462.19,"1,135"
42,1465.72,"Apr 27, 2018",1614.67,1465.25,"305,956",1614.67,672
43,1613.10,"Apr 26, 2018",1637.17,1403.29,"265,902",1403.29,588
44,1409.41,"Apr 25, 2018",1578.69,1409.41,"297,794",1571.60,"1,853"
45,1572.36,"Apr 24, 2018",1610.07,1425.55,"270,120",1425.55,"7,234"
46,1422.32,"Apr 23, 2018",1615.35,1410.38,"298,933",1577.56,"1,304"
47,1576.35,"Apr 22, 2018",1657.80,1545.03,"301,845",1592.92,"1,526"
48,1586.67,"Apr 21, 2018",1651.50,1431.84,"299,471",1580.40,"1,536"
49,1577.83,"Apr 20, 2018",1606.11,1473.23,"297,922",1572.22,"1,869"
50,1570.57,"Apr 19, 2018",1607.05,1492.67,"304,043",1604.52,"2,027"
51,1605.27,"Apr 18, 2018",1616.77,1480.74,"280,586",1480.74,"1,213"
52,1480.81,"Apr 17, 2018",1649.17,1479.79,"290,366",1532.35,"1,119"
53,1530.75,"Apr 16, 2018",1598.17,1455.57,"302,291",1595.28,785
54,1591.75,"Apr 15, 2018",1730.65,1530.21,"293,136",1546.96,"1,529"
55,1550.66,"Apr 14, 2018",1583.61,1415.23,"275,922",1456.12,607
56,1461.81,"Apr 13, 2018",1589.81,1405.63,"284,296",1500.31,"1,061"
57,1496.76,"Apr 12, 2018",1544.27,1369.19,"287,292",1516.13,"2,027"
58,1513.79,"Apr 11, 2018",1526.58,1415.75,"269,401",1421.71,546
59,1424.65,"Apr 10, 2018",1456.55,1398.84,"265,068",1398.84,208
60,1396.85,"Apr 09, 2018",1480.80,1392.73,"277,402",1463.93,370
61,1410.36,"Apr 08, 2018",1445.59,1386.11,"269,504",1422.25,1
62,1420.59,"Apr 07, 2018",1464.01,1397.59,"265,546",1401.36,32
63,1401.35,"Apr 06, 2018",1485.23,1394.10,"272,388",1437.47,391
64,1437.29,"Apr 05, 2018",1518.59,1378.69,"271,065",1430.49,866
65,1430.48,"Apr 04, 2018",1486.28,1347.94,"280,637",1481.00,590
66,1479.67,"Apr 03, 2018",1561.10,1395.04,"273,921",1445.56,"1,005"
67,1445.26,"Apr 02, 2018",1532.42,1397.60,"272,012",1435.49,"1,753"
68,1434.56,"Apr 01, 2018",1467.49,1329.24,"265,056",1398.78,628
69,1397.99,"Mar 31, 2018",1486.73,1385.04,"266,535",1406.58,671
70,1408.80,"Mar 30, 2018",1451.25,1316.22,"259,993",1372.06,"2,144"
71,1373.96,"Mar 29, 2018",1416.39,1276.76,"266,706",1407.49,494
72,1411.12,"Mar 28, 2018",1487.52,1368.91,"259,939",1371.77,686
73,1374.60,"Mar 27, 2018",1547.58,1374.60,"282,712",1491.96,661
74,1494.88,"Mar 26, 2018",1539.98,1354.80,"283,964",1498.56,"1,142"
75,1494.45,"Mar 25, 2018",1536.84,1425.66,"280,845",1482.10,318
