,close,date,high,low,market_cap,open,volume
0,0.044487,"Jun 08, 2018",0.046747,0.043129,"38,358,700",0.045570,"765,717"
1,0.045517,"Jun 07, 2018",0.054874,0.043089,"41,426,900",0.049215,"671,491"
2,0.049223,"Jun 06, 2018",0.052544,0.038990,"35,165,500",0.041777,"535,339"
3,0.040352,"Jun 05, 2018",0.059284,0.028150,"24,105,100",0.028637,"661,958"
4,0.028658,"Jun 04, 2018",0.034841,0.028105,"29,002,200",0.034455,"208,471"
5,0.034537,"Jun 03, 2018",0.035370,0.030772,"29,206,600",0.034697,"165,851"
6,0.034734,"Jun 02, 2018",0.037764,0.034069,"30,068,600",0.035722,"370,945"
7,0.035523,"Jun 01, 2018",0.038334,0.034695,"31,380,300",0.037280,"193,292"
8,0.037216,"May 31, 2018",0.038925,0.036172,"30,778,600",0.036565,"207,296"
9,0.036582,"May 30, 2018",0.042567,0.035790,"31,257,600",0.037134,"356,889"
10,0.037116,"May 29, 2018",0.038460,0.034456,"30,983,900",0.036809,"361,212"
11,0.036582,"May 28, 2018",0.039638,0.035221,"33,135,000",0.039364,"227,922"
12,0.039327,"May 27, 2018",0.040162,0.037860,"33,806,600",0.040162,"243,161"
13,0.040107,"May 26, 2018",0.042071,0.039050,"33,059,300",0.039274,"377,876"
14,0.039259,"May 25, 2018",0.041740,0.038332,"34,824,600",0.041372,"381,033"
15,0.041280,"May 24, 2018",0.042068,0.033685,"31,515,900",0.037441,"397,741"
16,0.037743,"May 23, 2018",0.048494,0.036135,"40,553,800",0.048178,"325,517"
17,0.048395,"May 22, 2018",0.052123,0.047470,"43,046,800",0.051140,"409,792"
18,0.051341,"May 21, 2018",0.055209,0.048473,"46,446,500",0.055178,"674,036"
19,0.054998,"May 20, 2018",0.056527,0.051824,"44,715,500",0.053122,"543,161"
20,0.053098,"May 19, 2018",0.055240,0.046004,"40,643,700",0.048285,"546,860"
21,0.047895,"May 18, 2018",0.052533,0.046851,"42,022,800",0.049923,"358,430"
22,0.049942,"May 17, 2018",0.052424,0.047046,"41,674,400",0.049509,"482,248"
23,0.049511,"May 16, 2018",0.049574,0.045179,"41,601,200",0.049422,"831,950"
24,0.049384,"May 15, 2018",0.051058,0.043812,"41,691,600",0.049530,"549,910"
25,0.049566,"May 14, 2018",0.051196,0.048194,"42,766,900",0.050807,"780,680"
26,0.050688,"May 13, 2018",0.052012,0.047226,"40,753,900",0.048416,"943,035"
27,0.048972,"May 12, 2018",0.053723,0.045009,"44,149,900",0.052450,"538,763"
28,0.052609,"May 11, 2018",0.054638,0.048125,"43,822,300",0.052061,"786,982"
29,0.052019,"May 10, 2018",0.056590,0.051980,"46,818,300",0.055620,"1,086,840"
30,0.055574,"May 09, 2018",0.056128,0.046671,"46,397,300",0.055120,"1,049,730"
31,0.055188,"May 08, 2018",0.063752,0.051895,"52,352,000",0.062194,"1,122,760"
32,0.061795,"May 07, 2018",0.063614,0.054066,"53,309,000",0.063331,"1,279,490"
33,0.063297,"May 06, 2018",0.067421,0.060259,"55,529,800",0.065970,"1,156,600"
34,0.065992,"May 05, 2018",0.070650,0.060092,"57,567,800",0.068391,"606,820"
35,0.067808,"May 04, 2018",0.072402,0.060121,"54,701,000",0.064985,"696,752"
36,0.065193,"May 03, 2018",0.066590,0.061007,"52,527,000",0.062402,"451,082"
37,0.062225,"May 02, 2018",0.066634,0.060921,"55,104,200",0.065464,"515,828"
38,0.065862,"May 01, 2018",0.065862,0.058136,"51,824,600",0.061568,"503,522"
39,0.061386,"Apr 30, 2018",0.065564,0.061145,"54,523,500",0.064774,"536,425"
40,0.064829,"Apr 29, 2018",0.068001,0.062453,"53,124,100",0.063112,"615,448"
41,0.063104,"Apr 28, 2018",0.066583,0.058725,"53,927,700",0.064085,"518,606"
42,0.064602,"Apr 27, 2018",0.067460,0.060932,"54,738,700",0.065049,"427,194"
43,0.064913,"Apr 26, 2018",0.065560,0.058282,"52,127,200",0.061946,"328,378"
44,0.061400,"Apr 25, 2018",0.067145,0.056737,"56,471,900",0.067109,"512,419"
45,0.067286,"Apr 24, 2018",0.069540,0.060952,-,0.061060,"437,520"
46,0.061169,"Apr 23, 2018",0.065534,0.059967,-,0.061398,"696,887"
47,0.061554,"Apr 22, 2018",0.069396,0.061110,-,0.068722,"451,514"
48,0.068646,"Apr 21, 2018",0.074261,0.066279,-,0.072547,"518,635"
49,0.073073,"Apr 20, 2018",0.074228,0.066137,-,0.067638,"461,745"
50,0.063276,"Apr 19, 2018",0.065584,0.052029,-,0.058259,"448,557"
51,0.057477,"Apr 18, 2018",0.061487,0.053373,-,0.057340,"529,896"
52,0.058044,"Apr 17, 2018",0.065510,0.055125,-,0.064533,"400,305"
53,0.065570,"Apr 16, 2018",0.070150,0.062423,-,0.069812,"308,361"
54,0.069564,"Apr 15, 2018",0.071885,0.062605,-,0.067613,"656,811"
55,0.067657,"Apr 14, 2018",0.071397,0.063931,-,0.066345,"426,205"
56,0.066239,"Apr 13, 2018",0.073657,0.061203,-,0.070347,"116,678"
57,0.070226,"Apr 12, 2018",0.070414,0.060638,-,0.064599,"587,597"
58,0.063854,"Apr 11, 2018",0.063854,0.059496,-,0.059885,"573,018"
59,0.059746,"Apr 10, 2018",0.060006,0.044334,-,0.048804,"392,694"
60,0.048568,"Apr 09, 2018",0.051600,0.042687,-,0.048625,"535,105"
61,0.048066,"Apr 08, 2018",0.053310,0.042408,-,0.049496,"572,050"
