,close,date,high,low,market_cap,open,volume
0,0.464933,"Jun 08, 2018",0.467952,0.455607,"9,022,450",0.464929,"28,812"
1,0.464498,"Jun 07, 2018",0.479939,0.459185,"9,265,940",0.477751,"80,640"
2,0.477312,"Jun 06, 2018",0.500770,0.457604,"9,699,680",0.500383,"100,164"
3,0.500517,"Jun 05, 2018",0.515748,0.485833,"9,972,360",0.514748,"86,252"
4,0.514493,"Jun 04, 2018",0.534131,0.509290,"10,259,100",0.529841,"20,444"
5,0.529607,"Jun 03, 2018",0.540878,0.522728,"10,210,200",0.527631,"23,857"
6,0.527490,"Jun 02, 2018",0.540730,0.511954,"9,936,920",0.513786,"23,270"
7,0.514008,"Jun 01, 2018",0.537902,0.505758,"10,105,300",0.522781,"23,310"
8,0.522398,"May 31, 2018",0.538149,0.509049,"10,048,100",0.520113,"28,078"
9,0.520213,"May 30, 2018",0.532740,0.510072,"10,113,500",0.523787,"35,752"
10,0.523586,"May 29, 2018",0.529976,0.488399,"9,578,070",0.496329,"18,655"
11,0.496493,"May 28, 2018",0.526305,0.495723,"10,029,500",0.520008,"25,477"
12,0.519882,"May 27, 2018",0.537272,0.513641,"10,039,500",0.520818,"34,592"
13,0.520590,"May 26, 2018",0.537488,0.517811,"10,185,800",0.528693,"19,846"
14,0.529381,"May 25, 2018",0.532510,0.508272,"10,177,900",0.528588,"23,120"
15,0.527576,"May 24, 2018",0.539680,0.503756,"10,089,800",0.524309,"27,769"
16,0.525627,"May 23, 2018",0.579971,0.521362,"10,978,800",0.570803,"75,571"
17,0.571460,"May 22, 2018",0.608662,0.568292,"11,601,600",0.603516,"40,560"
18,0.603585,"May 21, 2018",0.621643,0.602105,"11,860,200",0.617310,"43,256"
19,0.616555,"May 20, 2018",0.628778,0.599070,"11,624,600",0.605385,"45,874"
20,0.604960,"May 19, 2018",0.619620,0.600790,"11,702,200",0.609783,"17,345"
21,0.612879,"May 18, 2018",0.634304,0.581908,"11,461,900",0.597607,"43,355"
22,0.592252,"May 17, 2018",0.653583,0.587562,"12,166,800",0.634688,"108,842"
23,0.634306,"May 16, 2018",0.650575,0.600915,"12,404,200",0.647431,"86,985"
24,0.647879,"May 15, 2018",0.670789,0.633960,"12,358,000",0.645367,"56,100"
25,0.646491,"May 14, 2018",0.672495,0.621818,"12,685,000",0.662809,"54,996"
26,0.658155,"May 13, 2018",0.664597,0.623731,"12,121,400",0.633701,"52,739"
27,0.629737,"May 12, 2018",0.646911,0.605398,"12,096,400",0.632743,"48,953"
28,0.634536,"May 11, 2018",0.709484,0.618237,"13,450,100",0.703929,"116,422"
29,0.702733,"May 10, 2018",0.777061,0.702230,"14,810,600",0.775577,"87,639"
30,0.770372,"May 09, 2018",0.776698,0.708207,"14,089,700",0.738226,"131,705"
