,close,date,high,low,market_cap,open,volume
0,0.213343,"Jun 08, 2018",0.221301,0.212332,"578,407,000",0.219814,"12,110,500"
1,0.218986,"Jun 07, 2018",0.225081,0.215705,"576,193,000",0.218996,"12,044,100"
2,0.218911,"Jun 06, 2018",0.228791,0.211922,"596,139,000",0.226601,"16,645,000"
3,0.226697,"Jun 05, 2018",0.228564,0.206821,"582,994,000",0.221651,"19,174,100"
4,0.221645,"Jun 04, 2018",0.235405,0.218602,"611,759,000",0.232590,"20,298,500"
5,0.233453,"Jun 03, 2018",0.245200,0.224614,"590,717,000",0.224614,"31,715,700"
6,0.224444,"Jun 02, 2018",0.225325,0.205721,"544,456,000",0.207046,"19,604,800"
7,0.206961,"Jun 01, 2018",0.208487,0.197507,"521,598,000",0.198376,"15,191,000"
8,0.198475,"May 31, 2018",0.204018,0.193698,"515,494,000",0.196075,"13,507,600"
9,0.196306,"May 30, 2018",0.206502,0.192680,"522,337,000",0.198700,"13,196,200"
10,0.198818,"May 29, 2018",0.204474,0.184134,"486,713,000",0.185169,"15,102,200"
11,0.185350,"May 28, 2018",0.206992,0.185348,"530,756,000",0.201947,"14,885,000"
12,0.201655,"May 27, 2018",0.205467,0.195286,"526,357,000",0.200296,"11,161,100"
13,0.199037,"May 26, 2018",0.203999,0.191835,"507,447,000",0.193121,"9,683,570"
14,0.192549,"May 25, 2018",0.207111,0.190557,"541,243,000",0.206005,"11,480,500"
15,0.206130,"May 24, 2018",0.212586,0.182927,"508,702,000",0.193641,"29,143,100"
16,0.193336,"May 23, 2018",0.232491,0.180958,"589,888,000",0.224569,"34,940,600"
17,0.224668,"May 22, 2018",0.252768,0.224668,"662,025,000",0.252059,"14,902,500"
18,0.252531,"May 21, 2018",0.265864,0.246250,"697,888,000",0.265742,"12,686,800"
19,0.265549,"May 20, 2018",0.270353,0.254544,"679,039,000",0.258594,"10,253,500"
20,0.258748,"May 19, 2018",0.271934,0.248056,"666,976,000",0.254027,"14,051,100"
21,0.254245,"May 18, 2018",0.255114,0.237546,"640,605,000",0.244010,"12,092,400"
22,0.243817,"May 17, 2018",0.265069,0.240952,"655,357,000",0.249656,"18,750,000"
23,0.249401,"May 16, 2018",0.250926,0.237046,"658,618,000",0.250926,"17,329,900"
24,0.251524,"May 15, 2018",0.269621,0.246903,"657,579,000",0.250558,"20,002,500"
25,0.250813,"May 14, 2018",0.258802,0.235031,"673,559,000",0.256675,"21,932,900"
26,0.257051,"May 13, 2018",0.259103,0.239062,"647,972,000",0.246951,"27,244,400"
27,0.243658,"May 12, 2018",0.251671,0.209314,"635,234,000",0.242123,"46,999,900"
28,0.242414,"May 11, 2018",0.277121,0.231164,"702,389,000",0.267749,"62,630,300"
29,0.266655,"May 10, 2018",0.308814,0.266439,"807,395,000",0.307811,"24,788,800"
30,0.307686,"May 09, 2018",0.316126,0.285480,"818,674,000",0.312146,"20,039,300"
31,0.312382,"May 08, 2018",0.325804,0.303653,"814,888,000",0.310782,"19,518,600"
32,0.310259,"May 07, 2018",0.330963,0.302137,"865,113,000",0.329936,"39,018,700"
33,0.329621,"May 06, 2018",0.351031,0.308171,"917,937,000",0.350109,"48,422,600"
34,0.350051,"May 05, 2018",0.369179,0.348387,"918,370,000",0.350313,"22,650,200"
35,0.350707,"May 04, 2018",0.366776,0.345148,"939,637,000",0.358465,"26,268,100"
36,0.358263,"May 03, 2018",0.381967,0.357572,"984,224,000",0.375516,"33,289,900"
37,0.376826,"May 02, 2018",0.377890,0.357059,"958,634,000",0.365793,"24,063,400"
38,0.365282,"May 01, 2018",0.381462,0.328014,"942,269,000",0.359588,"49,946,600"
39,0.358752,"Apr 30, 2018",0.405159,0.327887,"899,984,000",0.343490,"101,784,000"
40,0.342130,"Apr 29, 2018",0.353691,0.278240,"735,206,000",0.280632,"63,487,900"
41,0.280736,"Apr 28, 2018",0.284304,0.257697,"683,560,000",0.260948,"17,853,400"
42,0.261717,"Apr 27, 2018",0.280470,0.261717,"720,428,000",0.275054,"19,520,200"
43,0.274371,"Apr 26, 2018",0.274379,0.235871,"645,797,000",0.246589,"27,042,700"
44,0.245942,"Apr 25, 2018",0.295727,0.245942,"774,397,000",0.295727,"52,750,000"
45,0.298161,"Apr 24, 2018",0.303503,0.269260,"705,010,000",0.269260,"36,385,500"
