,close,date,high,low,market_cap,open,volume
0,0.000763,"Jun 08, 2018",0.000924,0.000763,"15,293",0.000922,12
1,0.000921,"Jun 07, 2018",0.000930,0.000918,"15,241",0.000919,3
2,0.000918,"Jun 06, 2018",0.001068,0.000900,"17,705",0.001067,17
3,0.001068,"Jun 05, 2018",0.001068,0.000740,"12,445",0.000750,75
4,0.000750,"Jun 04, 2018",0.000773,0.000747,"12,788",0.000771,16
5,0.000771,"Jun 03, 2018",0.000995,0.000760,"16,464",0.000993,18
6,0.000992,"Jun 02, 2018",0.000996,0.000747,"12,469",0.000752,72
7,0.000752,"Jun 01, 2018",0.000835,0.000745,"13,670",0.000824,32
8,0.000823,"May 31, 2018",0.000959,0.000661,"13,471",0.000812,113
9,0.000812,"May 30, 2018",0.000829,0.000671,"11,144",0.000672,10
10,0.000671,"May 29, 2018",0.001044,0.000669,"11,808",0.000712,90
11,0.000712,"May 28, 2018",0.000741,0.000710,"12,185",0.000735,19
12,0.000734,"May 27, 2018",0.000736,0.000729,"12,163",0.000733,9
13,0.000981,"May 26, 2018",0.000991,0.000961,"16,104",0.000971,5
14,0.000972,"May 25, 2018",0.000972,0.000739,"15,054",0.000908,15
15,0.000906,"May 24, 2018",0.000927,0.000675,"12,473",0.000752,154
16,0.000754,"May 23, 2018",0.001114,0.000672,"14,604",0.000880,146
17,0.000881,"May 22, 2018",0.001150,0.000817,"18,131",0.001093,93
18,0.001093,"May 21, 2018",0.001107,0.000765,"12,731",0.000767,44
19,0.000767,"May 20, 2018",0.000937,0.000764,"15,045",0.000907,27
20,0.000906,"May 19, 2018",0.000991,0.000899,"16,400",0.000989,36
21,0.000989,"May 18, 2018",0.001058,0.000972,"17,420",0.001050,1
22,0.001049,"May 17, 2018",0.001083,0.000904,"15,233",0.000918,46
23,0.000918,"May 16, 2018",0.001000,0.000743,"15,485",0.000933,21
24,0.000934,"May 15, 2018",0.001058,0.000844,"17,267",0.001041,149
25,0.001043,"May 14, 2018",0.001063,0.000833,"15,857",0.000956,153
26,0.000956,"May 13, 2018",0.001023,0.000927,"16,856",0.001016,30
27,0.001016,"May 12, 2018",0.001180,0.000991,"18,103",0.001091,121
28,0.001095,"May 11, 2018",0.001170,0.000938,"16,491",0.000994,23
29,0.000993,"May 10, 2018",0.001033,0.000992,"16,995",0.001025,19
30,0.001025,"May 09, 2018",0.001122,0.001016,"18,138",0.001093,119
31,0.001108,"May 08, 2018",0.001134,0.001089,"18,645",0.001124,2
