,close,date,high,low,market_cap,open,volume
0,0.000499,"Jun 08, 2018",0.000605,0.000498,"360,529",0.000592,42
1,0.000594,"Jun 07, 2018",0.000612,0.000547,"334,524",0.000550,110
2,0.000546,"Jun 06, 2018",0.000608,0.000468,"325,345",0.000535,565
3,0.000535,"Jun 05, 2018",0.000611,0.000518,"319,755",0.000525,414
4,0.000525,"Jun 04, 2018",0.000603,0.000524,"355,218",0.000584,291
5,0.000575,"Jun 03, 2018",0.000593,0.000533,"325,967",0.000536,31
6,0.000536,"Jun 02, 2018",0.000540,0.000523,"320,137",0.000526,155
7,0.000601,"Jun 01, 2018",0.000602,0.000506,"352,883",0.000580,132
8,0.000579,"May 31, 2018",0.000606,0.000517,"315,271",0.000518,680
9,0.000518,"May 30, 2018",0.000586,0.000514,"319,435",0.000525,264
10,0.000525,"May 29, 2018",0.000527,0.000496,"303,384",0.000499,375
11,0.000499,"May 28, 2018",0.000596,0.000498,"359,223",0.000590,688
12,0.000590,"May 27, 2018",0.000664,0.000582,"358,859",0.000590,414
13,0.000589,"May 26, 2018",0.000679,0.000522,"407,765",0.000670,"2,588"
14,0.000671,"May 25, 2018",0.000908,0.000522,"411,239",0.000676,"8,428"
15,0.000675,"May 24, 2018",0.000682,0.000528,"321,877",0.000529,277
16,0.000530,"May 23, 2018",0.000755,0.000526,"431,817",0.000710,"1,410"
17,0.000710,"May 22, 2018",0.000756,0.000666,"459,981",0.000756,219
18,0.000756,"May 21, 2018",0.000764,0.000680,"427,813",0.000703,129
19,0.000761,"May 20, 2018",0.000770,0.000671,"454,180",0.000746,305
20,0.000747,"May 19, 2018",0.000759,0.000567,"430,910",0.000708,669
21,0.000718,"May 18, 2018",0.000735,0.000564,"393,696",0.000647,"1,857"
22,0.000647,"May 17, 2018",0.000675,0.000502,"406,406",0.000668,"2,159"
23,0.000667,"May 16, 2018",0.000842,0.000578,"469,029",0.000771,"1,764"
24,0.000771,"May 15, 2018",0.000875,0.000767,"527,056",0.000866,49
25,0.000867,"May 14, 2018",0.000955,0.000756,"477,951",0.000785,87
26,0.000788,"May 13, 2018",0.000945,0.000773,"521,011",0.000856,674
27,0.000847,"May 12, 2018",0.000864,0.000645,"462,118",0.000759,193
28,0.000761,"May 11, 2018",0.000911,0.000749,"552,073",0.000907,71
29,0.000906,"May 10, 2018",0.000925,0.000812,"509,350",0.000837,171
30,0.000837,"May 09, 2018",0.000923,0.000801,"492,808",0.000810,681
31,0.000811,"May 08, 2018",0.000933,0.000801,"513,025",0.000843,131
32,0.000841,"May 07, 2018",0.000957,0.000829,"582,015",0.000956,144
33,0.000956,"May 06, 2018",0.001367,0.000866,"538,662",0.000885,"4,321"
34,0.000885,"May 05, 2018",0.000894,0.000689,"419,648",0.000690,857
35,0.000689,"May 04, 2018",0.000866,0.000670,"415,799",0.000683,82
36,0.000683,"May 03, 2018",0.000842,0.000672,"506,053",0.000832,754
37,0.000831,"May 02, 2018",0.001001,0.000640,"517,853",0.000851,"2,287"
38,0.000853,"May 01, 2018",0.000910,0.000840,"553,376",0.000909,40
39,0.000910,"Apr 30, 2018",0.000941,0.000831,"571,501",0.000939,"1,032"
40,0.000939,"Apr 29, 2018",0.001048,0.000924,"625,597",0.001028,202
41,0.001028,"Apr 28, 2018",0.001037,0.000927,"602,538",0.000990,497
42,0.000993,"Apr 27, 2018",0.001137,0.000973,"620,891",0.001020,182
43,0.001020,"Apr 26, 2018",0.001021,0.000948,"597,240",0.000981,160
44,0.000974,"Apr 25, 2018",0.001163,0.000961,"656,266",0.001078,299
45,0.001085,"Apr 24, 2018",0.001094,0.000875,"532,624",0.000875,487
46,0.000877,"Apr 23, 2018",0.000887,0.000849,"517,777",0.000851,150
47,0.000851,"Apr 22, 2018",0.001091,0.000849,"597,196",0.000981,960
48,0.000981,"Apr 21, 2018",0.000985,0.000876,"537,594",0.000883,443
