,close,date,high,low,market_cap,open,volume
0,0.073527,"Jun 08, 2018",0.084137,0.054403,"5,546,300",0.081050,"49,917"
1,0.078734,"Jun 07, 2018",0.095972,0.078287,"5,859,310",0.085624,"19,430"
2,0.085613,"Jun 06, 2018",0.091026,0.083514,"6,141,120",0.089742,"11,155"
3,0.088456,"Jun 05, 2018",0.101684,0.083887,"6,922,910",0.101167,"29,286"
4,0.103590,"Jun 04, 2018",0.108291,0.089362,"7,410,460",0.108291,"16,772"
5,0.108308,"Jun 03, 2018",0.112569,0.093829,"6,423,250",0.093865,"23,169"
6,0.094715,"Jun 02, 2018",0.102460,0.083550,"5,992,930",0.087577,"23,160"
7,0.088445,"Jun 01, 2018",0.091694,0.080928,"5,872,710",0.085820,"14,005"
8,0.084678,"May 31, 2018",0.092041,0.075293,"5,452,870",0.079685,"20,740"
9,0.078134,"May 30, 2018",0.092172,0.072799,"5,745,700",0.083964,"32,896"
10,0.083909,"May 29, 2018",0.087370,0.074638,"5,537,910",0.080927,"39,996"
11,0.079281,"May 28, 2018",0.088065,0.077401,"5,867,940",0.085750,"14,579"
12,0.086327,"May 27, 2018",0.104201,0.086258,"6,607,010",0.096550,"16,061"
13,0.096476,"May 26, 2018",0.099750,0.092337,"6,478,650",0.094674,"8,754"
14,0.094738,"May 25, 2018",0.118905,0.089574,"7,391,270",0.108011,"186,279"
15,0.107889,"May 24, 2018",0.108734,0.086590,"6,711,630",0.098079,"57,954"
16,0.099252,"May 23, 2018",0.116108,0.091376,"7,891,800",0.115325,"40,065"
17,0.115444,"May 22, 2018",0.135719,0.114632,"9,070,120",0.132545,"60,288"
18,0.132265,"May 21, 2018",0.153100,0.130162,"10,446,800",0.152662,"57,718"
19,0.149122,"May 20, 2018",0.153951,0.141182,"10,496,600",0.153391,"53,808"
20,0.155719,"May 19, 2018",0.161185,0.139491,"10,054,100",0.146924,"49,720"
21,0.146931,"May 18, 2018",0.148213,0.130210,"9,422,740",0.137697,"53,076"
22,0.137738,"May 17, 2018",0.163827,0.137367,"11,020,700",0.161048,"28,515"
23,0.158270,"May 16, 2018",0.158341,0.133530,"10,619,400",0.155184,"98,398"
24,0.155232,"May 15, 2018",0.188354,0.143341,"10,586,300",0.154701,"84,408"
25,0.152986,"May 14, 2018",0.169492,0.145832,"11,316,800",0.165376,"58,371"
26,0.162195,"May 13, 2018",0.190869,0.153240,"12,178,400",0.177966,"164,689"
27,0.179125,"May 12, 2018",0.208273,0.175304,"13,788,500",0.201495,"120,796"
28,0.202383,"May 11, 2018",0.221855,0.167032,"14,676,700",0.214475,"181,752"
29,0.215730,"May 10, 2018",0.241358,0.210142,"15,876,000",0.232001,"392,464"
30,0.231977,"May 09, 2018",0.231977,0.162194,"11,930,400",0.174343,"248,731"
31,0.174583,"May 08, 2018",0.189926,0.150516,"10,299,900",0.150516,"89,438"
32,0.147769,"May 07, 2018",0.176610,0.139595,"12,046,800",0.176043,"180,180"
33,0.175964,"May 06, 2018",0.176818,0.150789,"11,393,000",0.166489,"224,266"
34,0.166955,"May 05, 2018",0.174389,0.154342,"11,826,100",0.172819,"60,927"
35,0.169133,"May 04, 2018",0.189470,0.147175,"11,344,900",0.165786,"87,348"
36,0.164423,"May 03, 2018",0.197770,0.164423,"12,894,500",0.188431,"198,302"
37,0.183843,"May 02, 2018",0.194277,0.170618,"13,100,900",0.191447,"97,114"
38,0.184014,"May 01, 2018",0.205404,0.166093,"11,882,900",0.173649,"123,624"
39,0.169451,"Apr 30, 2018",0.220423,0.165863,"14,063,400",0.205512,"108,724"
40,0.205588,"Apr 29, 2018",0.218542,0.181451,"14,517,900",0.212155,"115,154"
41,0.213027,"Apr 28, 2018",0.238689,0.206243,"15,061,800",0.220103,"85,267"
42,0.220892,"Apr 27, 2018",0.259018,0.212110,"17,059,200",0.249292,"109,389"
43,0.248852,"Apr 26, 2018",0.253481,0.225565,"15,627,500",0.228370,"84,511"
44,0.230939,"Apr 25, 2018",0.280616,0.201288,"18,721,200",0.273579,"164,201"
45,0.247184,"Apr 24, 2018",0.293747,0.206354,"14,457,100",0.211266,"396,559"
46,0.210010,"Apr 23, 2018",0.218865,0.196048,"14,001,100",0.204602,"163,930"
47,0.205193,"Apr 22, 2018",0.211658,0.160246,"11,313,000",0.165321,"207,883"
48,0.169025,"Apr 21, 2018",0.183648,0.162226,"12,340,600",0.180338,"83,788"
49,0.181946,"Apr 20, 2018",0.189021,0.163625,"12,673,000",0.185195,"156,528"
50,0.185362,"Apr 19, 2018",0.185362,0.148165,"10,139,000",0.148165,"487,624"
51,0.148360,"Apr 18, 2018",0.151673,0.134318,"9,647,890",0.140988,"211,252"
52,0.140910,"Apr 17, 2018",0.149528,0.103945,"8,521,840",0.124532,"404,807"
53,0.124577,"Apr 16, 2018",0.133259,0.118756,"8,844,180",0.129243,"21,420"
54,0.134174,"Apr 15, 2018",0.138113,0.121772,"8,767,250",0.128119,"73,438"
55,0.128066,"Apr 14, 2018",0.135556,0.116700,"8,389,250",0.122595,"59,737"
56,0.130417,"Apr 13, 2018",0.140947,0.119713,"9,107,680",0.133093,"73,285"
57,0.132894,"Apr 12, 2018",0.134429,0.113525,"8,020,210",0.117202,"44,395"
58,0.117698,"Apr 11, 2018",0.122419,0.101766,"6,963,900",0.101766,"77,977"
59,0.098149,"Apr 10, 2018",0.101302,0.085504,"6,304,830",0.092134,"27,138"
60,0.091760,"Apr 09, 2018",0.099299,0.088686,"6,473,900",0.094605,"9,600"
61,0.094423,"Apr 08, 2018",0.100548,0.090270,"6,403,420",0.093575,"16,658"
62,0.089697,"Apr 07, 2018",0.092947,0.082222,"5,667,860",0.082826,"10,932"
