,close,date,high,low,market_cap,open,volume
0,0.388200,"Jun 08, 2018",0.401803,0.378224,"18,867,600",0.395643,"77,751"
1,0.395301,"Jun 07, 2018",0.414420,0.389817,"19,712,900",0.413368,"150,405"
2,0.413147,"Jun 06, 2018",0.421961,0.401013,"19,766,700",0.414495,"158,081"
3,0.414644,"Jun 05, 2018",0.434714,0.401873,"20,730,900",0.434714,"222,587"
4,0.434539,"Jun 04, 2018",0.475792,0.376060,"21,044,500",0.440793,"374,281"
5,0.451237,"Jun 03, 2018",0.481883,0.425837,"21,001,900",0.439899,"247,299"
6,0.437808,"Jun 02, 2018",0.457920,0.403570,"20,573,900",0.430934,"345,449"
7,0.432525,"Jun 01, 2018",0.457897,0.378049,"21,719,500",0.454930,"368,521"
8,0.452041,"May 31, 2018",0.505590,0.442439,"21,849,300",0.457650,"1,370,270"
9,0.433121,"May 30, 2018",0.586971,0.398555,"19,028,000",0.398555,"4,607,770"
10,0.398270,"May 29, 2018",0.413826,0.364094,"18,351,600",0.384388,"583,929"
11,0.384568,"May 28, 2018",0.475618,0.382625,"22,439,200",0.470005,"810,115"
12,0.482677,"May 27, 2018",0.529574,0.468737,"25,283,100",0.529574,"965,637"
13,0.526845,"May 26, 2018",0.714675,0.500733,"29,469,400",0.617258,"6,864,430"
14,0.604136,"May 25, 2018",0.628682,0.445544,"21,907,100",0.458860,"2,558,560"
15,0.454148,"May 24, 2018",0.483490,0.401424,"20,125,600",0.421546,"436,899"
16,0.423689,"May 23, 2018",0.492739,0.412093,"23,048,900",0.482776,"201,692"
17,0.483319,"May 22, 2018",0.563414,0.483319,"26,819,000",0.561744,"188,025"
18,0.560619,"May 21, 2018",0.585511,0.552064,"27,666,000",0.579484,"298,982"
19,0.573564,"May 20, 2018",0.592428,0.541568,"25,942,500",0.543385,"280,935"
20,0.542656,"May 19, 2018",0.594646,0.537623,"26,724,900",0.560947,"416,356"
21,0.561005,"May 18, 2018",0.565341,0.507075,"26,328,100",0.552618,"374,270"
22,0.552201,"May 17, 2018",0.635204,0.546520,"29,500,100",0.619197,"375,177"
23,0.618555,"May 16, 2018",0.712221,0.582898,"30,170,100",0.633262,"448,152"
24,0.626831,"May 15, 2018",0.699386,0.617652,"31,854,400",0.668613,"747,289"
25,0.667618,"May 14, 2018",0.741469,0.642729,"35,139,600",0.737570,"1,233,150"
26,0.737662,"May 13, 2018",0.786706,0.641281,"37,184,200",0.780486,"1,500,720"
27,0.765615,"May 12, 2018",0.826681,0.688896,"37,643,600",0.790127,"1,082,800"
28,0.787568,"May 11, 2018",1.16,0.687355,"55,138,200",1.16,"6,450,590"
29,1.19,"May 10, 2018",1.46,0.960534,"48,263,200",1.01,"12,822,400"
30,1.02,"May 09, 2018",1.03,0.903361,"45,786,300",0.961040,"513,755"
31,0.937922,"May 08, 2018",0.974571,0.815084,"42,106,800",0.883208,"305,585"
32,0.894194,"May 07, 2018",0.898171,0.770429,"41,988,000",0.880718,"240,627"
33,0.880480,"May 06, 2018",0.982105,0.767882,"46,588,600",0.977217,"313,867"
34,0.976828,"May 05, 2018",0.976828,0.743874,"35,670,200",0.748198,"282,030"
35,0.749117,"May 04, 2018",1.47,0.711361,"35,842,100",0.751804,"1,331,680"
36,0.750484,"May 03, 2018",0.759115,0.513083,"25,093,300",0.526342,"210,845"
37,0.526358,"May 02, 2018",0.535161,0.478877,"23,648,200",0.496032,"60,819"
38,0.496300,"May 01, 2018",0.519108,0.451642,"23,492,000",0.492756,"81,201"
39,0.493241,"Apr 30, 2018",0.561746,0.491440,"24,377,800",0.511336,"119,145"
40,0.512098,"Apr 29, 2018",0.543571,0.485109,"23,127,500",0.485109,"31,335"
41,0.486986,"Apr 28, 2018",0.505893,0.450158,"21,491,200",0.450787,"27,026"
42,0.453235,"Apr 27, 2018",0.475589,0.427317,"20,901,000",0.438409,"57,600"
43,0.435265,"Apr 26, 2018",0.438181,0.406270,"19,831,000",0.415964,"116,424"
44,0.412384,"Apr 25, 2018",0.488945,0.412384,"22,728,700",0.476745,"38,822"
45,0.478847,"Apr 24, 2018",0.506358,0.464202,"22,145,300",0.464507,"34,832"
46,0.465829,"Apr 23, 2018",0.487046,0.431694,"21,294,500",0.446661,"77,389"
47,0.448141,"Apr 22, 2018",0.467905,0.428186,"21,080,500",0.442172,"14,679"
48,0.444122,"Apr 21, 2018",0.480853,0.429124,"22,924,600",0.480853,"27,665"
49,0.480903,"Apr 20, 2018",0.489262,0.408794,"20,212,200",0.423961,"27,042"
50,0.418681,"Apr 19, 2018",0.419732,0.388298,"18,608,000",0.390311,"37,931"
51,0.394211,"Apr 18, 2018",0.412762,0.378858,"18,132,600",0.380338,"20,208"
52,0.380436,"Apr 17, 2018",0.435178,0.379377,"18,604,800",0.390245,"27,993"
53,0.390551,"Apr 16, 2018",0.422333,0.385279,"19,978,000",0.419048,"9,536"
54,0.418168,"Apr 15, 2018",0.418758,0.371385,"17,705,700",0.371385,"16,179"
55,0.371317,"Apr 14, 2018",0.399873,0.334943,"16,679,200",0.349853,"14,021"
56,0.350395,"Apr 13, 2018",0.405709,0.343362,"18,728,400",0.392836,"29,062"
57,0.392695,"Apr 12, 2018",0.395788,0.296639,"16,179,500",0.339372,"52,530"
