,close,date,high,low,market_cap,open,volume
0,0.038349,"Jun 08, 2018",0.039745,0.037461,"25,323,300",0.038255,"452,908"
1,0.038266,"Jun 07, 2018",0.040878,0.038049,"25,517,100",0.038548,"670,420"
2,0.038604,"Jun 06, 2018",0.041478,0.037540,"27,295,600",0.041235,"744,580"
3,0.041204,"Jun 05, 2018",0.041774,0.038911,"27,245,200",0.041159,"594,205"
4,0.041281,"Jun 04, 2018",0.045997,0.040768,"30,293,000",0.045763,"774,334"
5,0.046299,"Jun 03, 2018",0.046610,0.044071,"29,777,400",0.044984,"598,864"
6,0.044918,"Jun 02, 2018",0.046199,0.041192,"27,724,900",0.041883,"684,142"
7,0.041847,"Jun 01, 2018",0.043833,0.041144,"27,896,800",0.042143,"813,325"
8,0.042136,"May 31, 2018",0.043371,0.038094,"25,352,900",0.038300,"1,666,170"
9,0.038479,"May 30, 2018",0.040947,0.037489,"26,689,800",0.040320,"789,340"
10,0.040197,"May 29, 2018",0.040856,0.035185,"23,552,300",0.035580,"1,223,440"
11,0.035595,"May 28, 2018",0.039184,0.035189,"25,548,900",0.038596,"467,533"
12,0.038614,"May 27, 2018",0.040203,0.038433,"26,249,400",0.039952,"274,542"
13,0.039908,"May 26, 2018",0.044702,0.039571,"26,935,300",0.040996,"1,040,310"
14,0.041250,"May 25, 2018",0.043673,0.039659,"26,493,700",0.040324,"973,265"
15,0.040260,"May 24, 2018",0.041342,0.036580,"25,855,900",0.039353,"613,714"
16,0.039086,"May 23, 2018",0.046556,0.036961,"30,448,700",0.046344,"1,549,170"
17,0.046355,"May 22, 2018",0.052030,0.046088,"33,769,600",0.051398,"779,607"
18,0.051513,"May 21, 2018",0.054580,0.051246,"35,793,100",0.054478,"792,233"
19,0.054279,"May 20, 2018",0.054920,0.049856,"33,025,200",0.050265,"897,876"
20,0.050199,"May 19, 2018",0.052080,0.048927,"32,971,600",0.050183,"525,171"
21,0.050137,"May 18, 2018",0.051317,0.048787,"33,398,200",0.050833,"683,839"
22,0.050884,"May 17, 2018",0.053884,0.050322,"34,304,000",0.052211,"805,905"
23,0.052252,"May 16, 2018",0.055169,0.050935,"35,956,800",0.054727,"979,711"
24,0.054674,"May 15, 2018",0.063947,0.054674,"39,379,500",0.059936,"2,521,490"
25,0.060462,"May 14, 2018",0.065224,0.052875,"37,960,500",0.057777,"3,932,770"
26,0.057195,"May 13, 2018",0.057873,0.048210,"32,234,100",0.049061,"3,416,750"
27,0.049090,"May 12, 2018",0.062661,0.044730,"32,433,300",0.049364,"6,287,000"
28,0.049701,"May 11, 2018",0.060302,0.048923,"38,584,700",0.058727,"1,871,940"
29,0.058628,"May 10, 2018",0.061987,0.058309,"39,840,300",0.060638,"1,713,010"
30,0.060608,"May 09, 2018",0.063695,0.058122,"41,532,700",0.063213,"1,863,610"
31,0.063291,"May 08, 2018",0.066995,0.059529,"41,891,800",0.063760,"2,160,520"
32,0.063414,"May 07, 2018",0.067631,0.060280,"44,201,500",0.067275,"1,902,890"
33,0.067144,"May 06, 2018",0.075805,0.064054,"49,316,400",0.075060,"2,432,940"
34,0.075188,"May 05, 2018",0.076196,0.070037,"46,971,200",0.071491,"2,591,270"
35,0.071516,"May 04, 2018",0.075956,0.070824,"49,904,900",0.075956,"2,901,150"
36,0.075840,"May 03, 2018",0.078360,0.074259,"51,484,500",0.078360,"3,414,520"
37,0.078165,"May 02, 2018",0.080670,0.067811,"46,009,400",0.070027,"9,851,920"
38,0.070106,"May 01, 2018",0.070626,0.060369,"42,165,400",0.064176,"4,324,560"
39,0.063986,"Apr 30, 2018",0.068068,0.062020,"43,083,800",0.065574,"3,638,860"
40,0.065823,"Apr 29, 2018",0.071675,0.059825,"40,533,200",0.061692,"7,721,960"
41,0.061764,"Apr 28, 2018",0.062165,0.057037,"37,597,400",0.057224,"2,565,600"
42,0.057476,"Apr 27, 2018",0.062955,0.057476,"39,575,200",0.060234,"2,204,140"
43,0.060383,"Apr 26, 2018",0.060510,0.054130,"36,431,300",0.055449,"2,140,370"
44,0.055025,"Apr 25, 2018",0.067966,0.053427,"44,655,600",0.067966,"2,649,030"
45,0.068227,"Apr 24, 2018",0.068420,0.060674,"39,941,800",0.060792,"2,961,950"
46,0.060652,"Apr 23, 2018",0.063027,0.058576,"38,943,900",0.059273,"3,512,030"
47,0.059092,"Apr 22, 2018",0.069143,0.052630,"35,087,200",0.053403,"8,298,410"
48,0.053304,"Apr 21, 2018",0.058996,0.050725,"37,487,100",0.057056,"2,117,220"
49,0.056942,"Apr 20, 2018",0.057283,0.052109,"35,512,000",0.054050,"2,425,690"
50,0.053961,"Apr 19, 2018",0.055046,0.049858,"32,827,500",0.049964,"2,232,810"
51,0.049944,"Apr 18, 2018",0.050546,0.047021,"30,941,000",0.047093,"1,962,200"
52,0.046524,"Apr 17, 2018",0.048331,0.046104,"30,803,400",0.046883,"1,538,880"
53,0.046821,"Apr 16, 2018",0.051035,0.045550,"33,478,200",0.050954,"1,963,200"
54,0.050921,"Apr 15, 2018",0.051899,0.046691,"30,676,700",0.046691,"1,790,150"
55,0.046622,"Apr 14, 2018",0.049676,0.043992,"29,669,200",0.045157,"2,992,620"
56,0.045764,"Apr 13, 2018",0.051458,0.041291,"27,221,600",0.041432,"4,354,900"
57,0.041491,"Apr 12, 2018",0.041659,0.035819,"24,235,500",0.036887,"1,405,340"
58,0.037014,"Apr 11, 2018",0.037647,0.034713,"22,879,400",0.034823,"1,315,760"
59,0.034690,"Apr 10, 2018",0.035350,0.033204,"22,083,900",0.033612,"789,916"
60,0.033537,"Apr 09, 2018",0.036265,0.033101,"22,999,300",0.035005,"596,768"
61,0.034944,"Apr 08, 2018",0.035888,0.034266,"22,513,400",0.034266,"524,217"
62,0.034330,"Apr 07, 2018",0.034905,0.032964,"21,657,900",0.032964,"616,999"
63,0.033006,"Apr 06, 2018",0.035665,0.032738,"22,576,700",0.034362,"450,969"
64,0.034521,"Apr 05, 2018",0.036528,0.032124,"21,520,400",0.032754,"1,295,440"
65,0.032763,"Apr 04, 2018",0.037222,0.032162,"24,412,000",0.037155,"1,118,550"
66,0.037205,"Apr 03, 2018",0.037293,0.034137,"22,879,900",0.034829,"548,801"
67,0.034848,"Apr 02, 2018",0.036070,0.033469,"22,147,200",0.033714,"446,394"
68,0.033497,"Apr 01, 2018",0.036665,0.032393,"23,647,000",0.035997,"510,199"
69,0.035925,"Mar 31, 2018",0.038403,0.035254,"23,162,900",0.035260,"394,155"
70,0.035465,"Mar 30, 2018",0.037366,0.033412,"23,464,800",0.035719,"394,624"
71,0.036118,"Mar 29, 2018",0.042257,0.034781,"27,378,200",0.041676,"716,841"
72,0.041696,"Mar 28, 2018",0.043786,0.041125,"27,778,700",0.042286,"744,675"
73,0.042464,"Mar 27, 2018",0.044899,0.041463,"29,033,300",0.044196,"609,141"
74,0.043746,"Mar 26, 2018",0.053789,0.040511,"31,938,400",0.048618,"2,131,880"
75,0.049044,"Mar 25, 2018",0.057141,0.043576,"29,291,200",0.044589,"6,685,950"
76,0.044775,"Mar 24, 2018",0.049027,0.041803,"27,582,500",0.041987,"1,292,740"
77,0.041490,"Mar 23, 2018",0.047230,0.037662,"26,772,700",0.040755,"2,403,020"
78,0.040491,"Mar 22, 2018",0.045359,0.037644,"27,641,200",0.042077,"776,578"
79,0.041987,"Mar 21, 2018",0.045652,0.039846,"27,521,700",0.041895,"960,857"
80,0.041809,"Mar 20, 2018",0.042853,0.035889,"26,031,900",0.039627,"481,010"
81,0.038984,"Mar 19, 2018",0.039117,0.034724,"23,985,900",0.036513,"413,967"
82,0.036559,"Mar 18, 2018",0.037560,0.029781,"24,674,200",0.037560,"401,635"
83,0.037625,"Mar 17, 2018",0.040319,0.036949,"26,188,300",0.039911,"195,934"
84,0.039939,"Mar 16, 2018",0.042536,0.038696,"26,375,300",0.040196,"410,129"
85,0.040144,"Mar 15, 2018",0.046031,0.037720,"26,670,800",0.040646,"2,166,070"
86,0.040830,"Mar 14, 2018",0.046206,0.039038,"29,461,300",0.044899,"422,081"
87,0.044636,"Mar 13, 2018",0.047535,0.042747,"29,955,900",0.045652,"531,556"
88,0.045995,"Mar 12, 2018",0.051376,0.044535,"32,060,000",0.048859,"410,213"
89,0.049186,"Mar 11, 2018",0.050195,0.043203,"29,230,800",0.044547,"380,168"
90,0.044299,"Mar 10, 2018",0.051798,0.044124,"31,218,100",0.047576,"644,098"
91,0.047514,"Mar 09, 2018",0.048764,0.041539,"31,422,900",0.047888,"520,653"
92,0.048078,"Mar 08, 2018",0.054472,0.047390,"34,512,700",0.052597,"722,693"
93,0.052688,"Mar 07, 2018",0.064053,0.049347,"41,383,700",0.063068,"1,441,530"
94,0.063069,"Mar 06, 2018",0.071003,0.062227,"46,423,500",0.070749,"884,349"
95,0.071077,"Mar 05, 2018",0.075351,0.070537,"49,443,600",0.075351,"966,029"
96,0.075026,"Mar 04, 2018",0.076679,0.070698,"48,292,900",0.073598,"1,099,750"
97,0.073622,"Mar 03, 2018",0.080198,0.070955,"52,231,100",0.079600,"1,994,420"
98,0.079765,"Mar 02, 2018",0.087713,0.077327,"56,980,600",0.086838,"1,833,870"
99,0.087477,"Mar 01, 2018",0.089034,0.080356,"53,247,700",0.081149,"1,566,350"
100,0.081081,"Feb 28, 2018",0.094710,0.080997,"61,500,700",0.093726,"3,276,970"
101,0.094156,"Feb 27, 2018",0.108257,0.092567,"67,529,000",0.102913,"6,569,110"
102,0.102465,"Feb 26, 2018",0.114297,0.092872,"62,153,600",0.094721,"11,983,600"
103,0.094828,"Feb 25, 2018",0.102138,0.084451,"57,525,400",0.087668,"4,173,300"
104,0.088164,"Feb 24, 2018",0.096706,0.084356,"59,345,800",0.090442,"2,065,080"
105,0.090230,"Feb 23, 2018",0.098925,0.078570,"52,146,100",0.079470,"5,705,540"
106,0.079476,"Feb 22, 2018",0.089983,0.078437,"55,801,200",0.085040,"1,830,650"
107,0.085495,"Feb 21, 2018",0.102338,0.083327,"64,991,100",0.099046,"10,530,600"
108,0.102419,"Feb 20, 2018",0.113265,0.088080,"59,457,700",0.090613,"13,737,900"
109,0.090477,"Feb 19, 2018",0.099532,0.086418,"56,847,800",0.087291,"2,321,290"
110,0.087226,"Feb 18, 2018",0.104666,0.083822,"66,759,300",0.102510,"2,248,650"
111,0.103130,"Feb 17, 2018",0.104124,0.090315,"58,817,900",0.090316,"2,131,370"
112,0.090026,"Feb 16, 2018",0.094479,0.087635,"58,976,300",0.090559,"1,404,900"
113,0.090997,"Feb 15, 2018",0.095036,0.084304,"58,129,600",0.089259,"2,220,490"
114,0.088915,"Feb 14, 2018",0.089669,0.081692,"54,022,400",0.082952,"1,535,720"
115,0.082635,"Feb 13, 2018",0.092414,0.079928,"60,184,500",0.092414,"1,245,520"
116,0.091467,"Feb 12, 2018",0.092067,0.084163,"54,810,600",0.084163,"1,697,400"
117,0.084576,"Feb 11, 2018",0.096922,0.080722,"61,668,100",0.094692,"7,330,570"
118,0.093702,"Feb 10, 2018",0.098142,0.081391,"55,813,600",0.085703,"5,876,260"
119,0.085512,"Feb 09, 2018",0.085671,0.070298,"48,240,900",0.074075,"157,820"
120,0.073888,"Feb 08, 2018",0.076936,0.068417,"44,556,600",0.068417,"1,292,910"
121,0.068393,"Feb 07, 2018",0.081015,0.063020,"48,036,300",0.073761,"1,297,120"
122,0.073984,"Feb 06, 2018",0.076158,0.051030,"39,416,700",0.060525,"1,179,030"
123,0.060462,"Feb 05, 2018",0.083224,0.055787,"52,202,900",0.080158,"1,171,820"
124,0.080963,"Feb 04, 2018",0.099263,0.075624,"63,543,900",0.097573,"973,207"
125,0.097533,"Feb 03, 2018",0.100772,0.080918,"58,916,600",0.090468,"1,580,270"
126,0.090250,"Feb 02, 2018",0.099019,0.072179,"62,394,000",0.095807,"1,867,200"
127,0.096095,"Feb 01, 2018",0.125452,0.089914,"75,481,100",0.115903,"2,136,000"
128,0.115841,"Jan 31, 2018",0.121710,0.111466,"79,263,000",0.121710,"2,065,560"
129,0.121273,"Jan 30, 2018",0.144762,0.115189,"93,632,400",0.143774,"1,930,500"
130,0.143657,"Jan 29, 2018",0.160343,0.139225,"102,243,000",0.156996,"3,521,300"
131,0.156540,"Jan 28, 2018",0.170339,0.143517,"95,228,700",0.146225,"10,192,300"
132,0.145660,"Jan 27, 2018",0.155908,0.136147,"89,906,000",0.138052,"8,310,350"
133,0.138983,"Jan 26, 2018",0.145286,0.115270,"85,572,400",0.131398,"5,704,630"
134,0.131979,"Jan 25, 2018",0.138922,0.123551,"84,020,900",0.129015,"3,568,090"
135,0.127676,"Jan 24, 2018",0.151756,0.124887,"83,399,500",0.128061,"16,120,400"
136,0.127117,"Jan 23, 2018",0.137698,0.111934,"78,810,000",0.121014,"6,242,710"
137,0.122775,"Jan 22, 2018",0.151111,0.108318,"83,777,300",0.128641,"5,273,350"
138,0.127079,"Jan 21, 2018",0.160319,0.118322,"103,432,000",0.158821,"4,991,470"
139,0.158714,"Jan 20, 2018",0.177155,0.145716,"102,431,000",0.157285,"11,690,300"
140,0.156734,"Jan 19, 2018",0.177056,0.118676,"77,287,200",0.118676,"37,212,000"
141,0.117004,"Jan 18, 2018",0.117670,0.093120,"66,303,100",0.101809,"5,031,410"
142,0.100609,"Jan 17, 2018",0.108125,0.075500,"64,946,300",0.099726,"4,495,800"
143,0.101165,"Jan 16, 2018",0.153212,0.087547,"99,778,500",0.153212,"5,711,180"
144,0.153661,"Jan 15, 2018",0.190567,0.153352,"101,575,000",0.181174,"4,255,020"
145,0.180128,"Jan 14, 2018",0.242110,0.167599,"114,965,000",0.205057,"12,390,600"
146,0.207121,"Jan 13, 2018",0.230586,0.182970,"106,620,000",0.190171,"10,925,800"
147,0.191567,"Jan 12, 2018",0.219572,0.153343,"90,599,800",0.161598,"10,302,700"
148,0.161729,"Jan 11, 2018",0.207507,0.158347,"115,939,000",0.206794,"6,587,210"
149,0.211403,"Jan 10, 2018",0.245068,0.182717,"133,951,000",0.238921,"8,582,450"
150,0.241668,"Jan 09, 2018",0.258753,0.215876,"124,108,000",0.221365,"12,718,600"
151,0.222645,"Jan 08, 2018",0.245221,0.186970,"134,472,000",0.239850,"10,325,800"
152,0.241915,"Jan 07, 2018",0.283033,0.224866,"154,542,000",0.275649,"12,280,400"
153,0.276800,"Jan 06, 2018",0.285900,0.224082,"127,587,000",0.227570,"16,668,700"
154,0.229423,"Jan 05, 2018",0.286772,0.197692,"119,422,000",0.213007,"20,563,000"
155,0.222580,"Jan 04, 2018",0.239674,0.174122,"97,621,600",0.174122,"22,340,400"
156,0.171498,"Jan 03, 2018",0.182741,0.142080,"81,063,700",0.144589,"13,261,800"
157,0.144391,"Jan 02, 2018",0.168587,0.133750,"91,821,300",0.163776,"10,515,700"
158,0.163427,"Jan 01, 2018",0.191058,0.144547,"101,289,000",0.180664,"9,885,840"
159,0.179098,"Dec 31, 2017",0.189436,0.114156,"64,774,700",0.115535,"19,007,100"
160,0.116690,"Dec 30, 2017",0.135713,0.102767,"74,857,300",0.133519,"6,242,140"
161,0.133696,"Dec 29, 2017",0.148193,0.102088,"57,235,600",0.102088,"12,020,600"
162,0.101990,"Dec 28, 2017",0.104595,0.085436,"55,298,800",0.098633,"3,724,980"
163,0.098676,"Dec 27, 2017",0.102872,0.092850,"54,506,700",0.097221,"3,195,590"
164,0.096994,"Dec 26, 2017",0.107928,0.092371,"59,031,500",0.105291,"3,450,150"
165,0.108506,"Dec 25, 2017",0.109039,0.085391,"49,061,700",0.087509,"3,787,470"
166,0.086430,"Dec 24, 2017",0.098198,0.076453,"55,054,900",0.098198,"2,695,090"
167,0.096058,"Dec 23, 2017",0.103435,0.082632,"49,662,700",0.088581,"3,647,740"
168,0.086679,"Dec 22, 2017",0.101774,0.063123,"56,131,600",0.100119,"3,881,200"
169,0.099978,"Dec 21, 2017",0.116624,0.095597,"58,583,800",0.104493,"4,433,720"
170,0.104088,"Dec 20, 2017",0.112968,0.092106,"56,903,900",0.101496,"5,953,830"
171,0.101588,"Dec 19, 2017",0.124758,0.098149,"60,860,300",0.108553,"5,815,290"
172,0.107755,"Dec 18, 2017",0.110572,0.093552,"61,052,300",0.108896,"5,479,350"
