,close,date,high,low,market_cap,open,volume
0,0.698296,"Jun 08, 2018",0.747305,0.660832,"29,157,500",0.728938,"6,450,210"
1,0.728296,"Jun 07, 2018",0.787400,0.715891,"30,725,400",0.768136,"7,418,240"
2,0.768103,"Jun 06, 2018",0.774942,0.738963,"30,997,700",0.774942,"5,209,960"
3,0.776289,"Jun 05, 2018",0.781247,0.716595,"30,901,400",0.772535,"1,782,780"
4,0.772870,"Jun 04, 2018",0.839221,0.750575,"33,549,500",0.838738,"2,223,220"
5,0.834341,"Jun 03, 2018",0.897378,0.789699,"31,904,900",0.797621,"5,025,900"
6,0.795703,"Jun 02, 2018",0.860279,0.772550,"34,227,800",0.855695,"5,278,100"
7,0.854989,"Jun 01, 2018",1.01,0.818308,"40,280,000",1.01,"8,661,820"
8,0.998355,"May 31, 2018",1.26,0.918932,"48,941,000",1.22,"6,767,780"
9,1.23,"May 30, 2018",1.28,1.16,"49,543,300",1.24,"5,862,880"
10,1.24,"May 29, 2018",1.26,1.15,"48,129,000",1.20,"5,656,420"
11,1.20,"May 28, 2018",1.36,1.17,"51,376,800",1.28,"7,079,580"
12,1.29,"May 27, 2018",1.29,1.23,"51,054,300",1.28,"5,643,170"
13,1.27,"May 26, 2018",1.35,1.15,"46,081,900",1.15,"7,755,680"
14,1.15,"May 25, 2018",1.18,1.12,"45,829,100",1.15,"5,072,910"
15,1.15,"May 24, 2018",1.17,1.03,"41,266,500",1.03,"5,947,090"
16,1.03,"May 23, 2018",1.15,0.965497,"44,296,000",1.11,"5,139,360"
17,1.12,"May 22, 2018",1.22,1.10,"48,798,300",1.22,"4,595,490"
18,1.22,"May 21, 2018",1.29,1.16,"50,057,400",1.25,"5,507,250"
19,1.25,"May 20, 2018",1.37,1.20,"51,074,500",1.28,"8,003,560"
20,1.28,"May 19, 2018",1.29,0.998921,"40,692,200",1.02,"7,081,860"
21,1.02,"May 18, 2018",1.02,0.957190,"38,856,400",0.971411,"3,135,580"
22,0.969491,"May 17, 2018",1.10,0.950331,"39,609,000",0.990224,"3,511,340"
23,0.986923,"May 16, 2018",1.01,0.946652,"39,413,900",0.985348,"3,130,110"
24,0.981468,"May 15, 2018",1.13,0.951114,"41,978,000",1.05,"3,841,540"
25,1.06,"May 14, 2018",1.15,0.982315,"41,870,500",1.05,"4,167,220"
26,1.04,"May 13, 2018",1.07,0.990005,"41,891,700",1.05,"4,264,020"
27,1.05,"May 12, 2018",1.05,0.863802,"37,776,500",0.944413,"6,970,850"
28,0.945499,"May 11, 2018",1.15,0.889019,"44,668,100",1.12,"8,397,880"
29,1.11,"May 10, 2018",1.25,1.11,"49,971,100",1.25,"19,947,200"
30,1.24,"May 09, 2018",1.29,1.09,"48,143,600",1.20,"24,277,200"
31,1.20,"May 08, 2018",1.27,1.14,"50,178,400",1.25,"26,049,600"
32,1.26,"May 07, 2018",1.52,1.12,"60,720,400",1.52,"37,140,800"
33,1.53,"May 06, 2018",1.55,0.812101,"33,121,600",0.828040,"43,126,800"
34,0.847550,"May 05, 2018",0.902885,0.693309,"28,517,800",0.712946,"18,692,800"
35,0.711722,"May 04, 2018",0.831779,0.640954,"26,284,600",0.657115,"15,464,400"
36,0.660112,"May 03, 2018",0.726944,0.606820,"25,794,000",0.644850,"14,318,000"
37,0.646989,"May 02, 2018",0.708574,0.560270,"22,955,000",0.573874,"14,790,800"
38,0.577058,"May 01, 2018",0.647110,0.539725,"23,359,400",0.583984,"12,817,100"
