,close,date,high,low,market_cap,open,volume
0,0.005799,"Jun 08, 2018",0.005825,0.004966,"49,936",0.004994,14
1,0.004990,"Jun 07, 2018",0.006586,0.004976,"65,079",0.006508,"1,423"
2,0.006502,"Jun 06, 2018",0.006536,0.004952,"57,179",0.005718,311
3,0.005719,"Jun 05, 2018",0.007514,0.005600,"60,018",0.006002,766
4,0.005999,"Jun 04, 2018",0.006032,0.005005,"50,879",0.005088,23
5,0.005086,"Jun 03, 2018",0.006026,0.005064,"59,623",0.005962,42
6,0.005116,"Jun 02, 2018",0.005139,0.005008,"50,361",0.005036,4
7,0.005038,"Jun 01, 2018",0.005050,0.004957,"49,587",0.004959,4
8,0.004980,"May 31, 2018",0.005009,0.004849,"48,726",0.004873,144
9,0.004873,"May 30, 2018",0.004999,0.004839,"49,801",0.004980,144
10,0.005822,"May 28, 2018",0.005929,0.005751,"58,763",0.005876,47
11,0.005875,"May 27, 2018",0.005892,0.004625,"46,908",0.004691,85
12,0.004686,"May 26, 2018",0.005974,0.004672,"59,744",0.005974,12
13,0.005982,"May 25, 2018",0.006275,0.004897,"62,015",0.006201,42
14,0.006190,"May 24, 2018",0.006233,0.004802,"52,637",0.005264,259
15,0.006408,"May 23, 2018",0.006750,0.005041,"50,533",0.005053,150
16,0.005060,"May 22, 2018",0.008853,0.005030,"88,417",0.008842,"1,031"
17,0.008849,"May 21, 2018",0.009263,0.007904,"79,077",0.007908,"2,799"
18,0.007898,"May 20, 2018",0.007901,0.004937,"49,480",0.004948,138
19,0.004944,"May 19, 2018",0.008399,0.004932,"83,763",0.008376,481
20,0.008377,"May 18, 2018",0.008378,0.005406,"72,506",0.007251,820
21,0.007245,"May 17, 2018",0.007375,0.005148,"58,438",0.005844,6
22,0.005840,"May 16, 2018",0.007576,0.005800,"61,100",0.006110,205
23,0.006114,"May 15, 2018",0.006350,0.005192,"58,111",0.005811,79
24,0.005821,"May 14, 2018",0.008794,0.005408,"72,310",0.007231,772
25,0.007233,"May 13, 2018",0.009539,0.003111,"83,645",0.008365,970
26,0.008368,"May 12, 2018",0.008419,0.005891,"61,301",0.006130,46
27,0.008867,"May 11, 2018",0.009309,0.008780,"93,091",0.009309,29
28,0.009298,"May 10, 2018",0.009406,0.009077,"93,000",0.009300,32
29,0.009303,"May 09, 2018",0.009792,0.005108,"52,236",0.005224,245
30,0.005230,"May 08, 2018",0.005272,0.003653,"36,531",0.003653,150
31,0.003645,"May 07, 2018",0.008884,0.003622,"69,264",0.006926,248
32,0.006921,"May 06, 2018",0.008665,0.006825,"84,552",0.008455,85
33,0.008454,"May 05, 2018",0.010168,0.008012,"89,981",0.008998,267
34,0.008988,"May 04, 2018",0.009092,0.008404,"87,558",0.008756,34
35,0.010344,"May 03, 2018",0.010359,0.007474,"74,821",0.007482,1
36,0.007483,"May 02, 2018",0.007513,0.006798,"68,605",0.006861,10
37,0.006880,"May 01, 2018",0.006891,0.006540,"68,576",0.006858,5
38,0.006841,"Apr 30, 2018",0.008275,0.006809,"70,825",0.007083,152
39,0.007085,"Apr 29, 2018",0.007156,0.006781,"67,815",0.006781,289
40,0.006784,"Apr 28, 2018",0.010087,0.006680,"98,155",0.009815,423
41,0.009871,"Apr 27, 2018",0.010304,0.008433,"85,623",0.008562,379
42,0.008550,"Apr 26, 2018",0.008956,0.008000,"89,560",0.008956,949
43,0.008880,"Apr 25, 2018",0.010782,0.008871,"107,822",0.010782,35
44,0.010816,"Apr 24, 2018",0.014818,0.008386,"83,894",0.008389,109
45,0.008382,"Apr 23, 2018",0.012053,0.008125,"119,424",0.011942,273
46,0.011966,"Apr 22, 2018",0.012215,0.008916,"90,432",0.009043,176
47,0.009043,"Apr 21, 2018",0.009043,0.008083,"81,791",0.008179,316
48,0.009423,"Apr 20, 2018",0.010660,0.009351,"100,346",0.010035,12
