,close,date,high,low,market_cap,open,volume
0,0.029473,"Jun 08, 2018",0.030221,0.025628,"17,831,700",0.028795,"16,556"
1,0.028746,"Jun 07, 2018",0.030023,0.025354,"16,734,300",0.027023,"17,485"
2,0.027031,"Jun 06, 2018",0.030379,0.026307,"17,517,800",0.028288,"19,331"
3,0.028345,"Jun 05, 2018",0.029173,0.023094,"14,620,400",0.023609,"17,626"
4,0.023611,"Jun 04, 2018",0.027744,0.022314,"14,723,100",0.023775,"13,158"
5,0.023811,"Jun 03, 2018",0.029347,0.017951,"15,018,800",0.024253,"32,650"
6,0.024284,"Jun 02, 2018",0.028260,0.024284,"16,246,300",0.026235,"13,122"
7,0.026240,"Jun 01, 2018",0.032654,0.025610,"17,256,400",0.027866,"16,934"
8,0.027806,"May 31, 2018",0.029008,0.026218,"17,006,800",0.027463,"20,296"
9,0.027489,"May 30, 2018",0.033841,0.023443,"20,831,800",0.033640,"20,617"
10,0.033619,"May 29, 2018",0.035223,0.030167,-,0.032794,"23,793"
11,0.032889,"May 28, 2018",0.037023,0.032052,-,0.035375,"19,443"
12,0.035377,"May 27, 2018",0.040065,0.034826,-,0.039635,"32,710"
13,0.039558,"May 26, 2018",0.041819,0.036281,-,0.040354,"24,716"
14,0.040348,"May 25, 2018",0.047120,0.035874,-,0.038524,"44,461"
15,0.038483,"May 24, 2018",0.043625,0.035920,-,0.041155,"39,613"
16,0.041341,"May 23, 2018",0.047756,0.039365,-,0.045151,"41,275"
17,0.045241,"May 22, 2018",0.053643,0.044622,-,0.052285,"39,241"
18,0.052395,"May 21, 2018",0.058987,0.052297,-,0.056824,"31,483"
19,0.056751,"May 20, 2018",0.059901,0.052037,-,0.059268,"33,483"
20,0.059218,"May 19, 2018",0.085693,0.044435,-,0.049714,"60,815"
21,0.049713,"May 18, 2018",0.049928,0.043993,-,0.048608,"29,716"
22,0.048656,"May 17, 2018",0.051280,0.047925,-,0.048519,"34,002"
23,0.048461,"May 16, 2018",0.051536,0.041369,-,0.046077,"39,337"
24,0.046055,"May 15, 2018",0.054599,0.045066,-,0.052094,"98,805"
25,0.052167,"May 14, 2018",0.058140,0.044372,-,0.058032,"104,847"
26,0.058056,"May 13, 2018",0.059990,0.045103,-,0.049381,"124,409"
27,0.049480,"May 12, 2018",0.079861,0.042390,-,0.060423,"124,243"
28,0.060531,"May 11, 2018",0.069267,0.044112,-,0.044972,"132,487"
29,0.044939,"May 10, 2018",0.049751,0.037844,-,0.049751,"93,513"
30,0.049704,"May 09, 2018",0.050282,0.042342,-,0.049008,"99,644"
31,0.049069,"May 08, 2018",0.055911,0.038174,-,0.054579,"45,450"
32,0.054226,"May 07, 2018",0.067208,0.047895,-,0.055397,"33,893"
33,0.055366,"May 06, 2018",0.070712,0.046296,-,0.060701,"49,155"
34,0.060075,"May 05, 2018",0.077510,0.058339,-,0.073002,"113,829"
35,0.072929,"May 04, 2018",0.078974,0.031574,-,0.078974,"133,517"
36,0.079231,"May 03, 2018",0.083978,0.063521,-,0.081822,"142,925"
37,0.081830,"May 02, 2018",0.086037,0.079814,-,0.085656,"24,086"
38,0.085904,"May 01, 2018",0.099556,0.076862,-,0.089255,"73,573"
39,0.088963,"Apr 30, 2018",0.104266,0.081732,-,0.094760,"43,695"
40,0.094749,"Apr 29, 2018",0.099118,0.074723,-,0.077120,"77,114"
41,0.077111,"Apr 28, 2018",0.099139,0.074482,-,0.095336,"125,332"
42,0.096162,"Apr 27, 2018",0.102833,0.084116,-,0.089880,"176,562"
43,0.092055,"Apr 26, 2018",0.103848,0.077242,-,0.081499,"179,405"
44,0.080726,"Apr 25, 2018",0.085592,0.071281,-,0.085592,"123,802"
45,0.085622,"Apr 24, 2018",0.110568,0.059492,-,0.105997,"77,994"
46,0.105994,"Apr 23, 2018",0.132647,0.076681,-,0.117544,"338,396"
47,0.117982,"Apr 22, 2018",0.186201,0.086704,-,0.087243,"47,385"
48,0.087243,"Apr 21, 2018",0.087951,0.045766,-,0.046893,"202,625"
49,0.046923,"Apr 20, 2018",0.063884,0.046702,-,0.057703,"153,905"
