,close,date,high,low,market_cap,open,volume
0,0.549898,"Jun 08, 2018",0.556987,0.536315,"48,546,900",0.549031,"4,705,340"
1,0.548700,"Jun 07, 2018",0.578782,0.543270,"49,696,600",0.562032,"5,075,160"
2,0.561993,"Jun 06, 2018",0.595493,0.554578,"50,043,800",0.565960,"4,659,410"
3,0.565317,"Jun 05, 2018",0.566790,0.538746,"48,526,800",0.548803,"4,588,730"
4,0.548542,"Jun 04, 2018",0.587559,0.541611,"51,755,400",0.585318,"5,117,670"
5,0.585820,"Jun 03, 2018",0.590222,0.570043,"51,111,200",0.578033,"5,467,690"
6,0.577886,"Jun 02, 2018",0.594521,0.562308,"50,094,000",0.566528,"5,648,560"
7,0.565949,"Jun 01, 2018",0.568846,0.520240,"48,086,700",0.543827,"5,514,830"
8,0.541817,"May 31, 2018",0.591003,0.483901,"43,051,100",0.486878,"6,420,520"
9,0.487187,"May 30, 2018",0.496249,0.473091,"42,877,800",0.488009,"4,443,460"
10,0.485694,"May 29, 2018",0.498108,0.438018,"38,807,900",0.441688,"4,353,450"
11,0.439455,"May 28, 2018",0.474315,0.435836,"40,835,500",0.464765,"3,917,360"
12,0.465819,"May 27, 2018",0.480538,0.461312,"42,221,300",0.480538,"4,418,330"
13,0.479806,"May 26, 2018",0.503951,0.477638,"43,334,000",0.493201,"4,327,000"
14,0.493985,"May 25, 2018",0.527818,0.487523,"45,836,600",0.521684,"4,389,000"
15,0.520824,"May 24, 2018",0.525323,0.468984,"42,635,700",0.479793,"4,593,310"
16,0.481311,"May 23, 2018",0.541102,0.477322,"47,476,200",0.534264,"4,243,570"
17,0.536849,"May 22, 2018",0.608482,0.533797,"53,845,300",0.605938,"5,484,300"
18,0.607172,"May 21, 2018",0.664175,0.604493,"57,386,300",0.645786,"7,178,610"
19,0.644812,"May 20, 2018",0.647449,0.619909,"55,988,100",0.630052,"5,644,720"
20,0.629557,"May 19, 2018",0.651871,0.608625,"54,902,400",0.617834,"6,060,080"
21,0.617944,"May 18, 2018",0.617944,0.579913,"52,843,000",0.594658,"4,938,030"
22,0.595907,"May 17, 2018",0.641998,0.593517,"54,975,700",0.618659,"5,548,900"
23,0.617047,"May 16, 2018",0.669970,0.598235,"59,528,200",0.669889,"5,231,760"
