,close,date,high,low,market_cap,open,volume
0,0.663327,"Jun 08, 2018",0.678387,0.657826,"4,161,670",0.663946,699
1,0.663430,"Jun 07, 2018",0.712291,0.631626,"4,412,030",0.703888,"2,906"
2,0.703241,"Jun 06, 2018",0.732217,0.703241,"4,511,880",0.719818,"2,723"
3,0.719791,"Jun 05, 2018",0.729258,0.696265,"4,432,470",0.707149,673
4,0.706838,"Jun 04, 2018",0.728556,0.704796,"4,555,070",0.726708,734
5,0.737419,"Jun 03, 2018",0.778513,0.724254,"4,640,910",0.740403,"8,144"
6,0.740322,"Jun 02, 2018",0.751011,0.727296,"4,625,430",0.737933,854
7,0.738298,"Jun 01, 2018",0.819394,0.719884,"4,900,560",0.781827,"2,029"
8,0.781258,"May 31, 2018",0.781258,0.700454,"4,574,290",0.729775,"1,776"
9,0.729951,"May 30, 2018",0.760461,0.720841,"4,616,650",0.736533,"4,798"
10,0.736051,"May 29, 2018",0.755418,0.697188,"4,391,080",0.700546,"4,379"
11,0.700909,"May 28, 2018",0.744617,0.699123,"4,647,960",0.741527,"3,403"
12,0.741082,"May 27, 2018",0.752717,0.735337,"4,696,970",0.749347,"2,237"
13,0.749111,"May 26, 2018",0.784816,0.745758,"4,831,870",0.770868,"3,019"
14,0.771754,"May 25, 2018",0.800699,0.754916,"4,949,330",0.789608,"2,121"
15,0.771070,"May 24, 2018",0.854295,0.756565,"5,304,980",0.846348,"10,746"
16,0.848400,"May 23, 2018",0.949516,0.841621,"5,730,980",0.914312,"2,889"
17,0.915256,"May 22, 2018",0.990544,0.914217,"6,191,930",0.987850,"1,068"
18,0.987782,"May 21, 2018",1.10,0.984286,"6,578,250",1.05,"5,068"
19,1.05,"May 20, 2018",1.09,0.948274,"6,081,020",0.970157,"3,082"
20,0.969532,"May 19, 2018",1.04,0.953553,"5,976,950",0.953553,"4,352"
21,1.01,"May 18, 2018",1.01,0.932249,"5,938,810",0.947468,"1,407"
22,0.947414,"May 17, 2018",1.02,0.941527,"6,254,730",0.997869,"2,285"
23,0.997288,"May 16, 2018",1.01,0.939381,"6,301,940",1.01,"9,238"
24,1.01,"May 15, 2018",1.04,0.944125,"6,227,980",0.993601,"12,178"
25,0.995766,"May 14, 2018",1.05,0.901845,"6,544,160",1.04,"7,321"
26,1.04,"May 13, 2018",1.10,0.940524,"5,983,960",0.954672,"8,706"
27,0.954722,"May 12, 2018",0.993366,0.915872,"5,850,720",0.933414,"3,640"
28,0.934774,"May 11, 2018",1.14,0.903061,"6,962,040",1.11,"6,960"
29,1.11,"May 10, 2018",1.24,1.10,"7,025,030",1.12,"10,459"
30,1.12,"May 09, 2018",1.18,1.08,"7,391,440",1.18,"4,075"
31,1.18,"May 08, 2018",1.28,1.10,"7,754,410",1.24,"26,179"
32,1.23,"May 07, 2018",1.43,1.13,"8,944,020",1.43,"28,029"
33,1.43,"May 06, 2018",1.43,1.34,"8,775,370",1.40,"3,006"
34,1.40,"May 05, 2018",1.45,1.38,"8,698,770",1.39,"5,806"
35,1.39,"May 04, 2018",1.45,1.38,"9,078,630",1.45,"5,291"
36,1.45,"May 03, 2018",1.46,1.25,"8,123,490",1.30,"25,107"
37,1.30,"May 02, 2018",1.33,1.27,"8,129,340",1.30,"7,135"
38,1.30,"May 01, 2018",1.32,1.21,"7,860,280",1.25,"18,905"
39,1.25,"Apr 30, 2018",1.38,1.23,"8,647,740",1.38,"17,173"
40,1.38,"Apr 29, 2018",1.43,1.18,"7,691,180",1.23,"38,281"
41,1.22,"Apr 28, 2018",1.29,1.12,"7,061,110",1.13,"24,928"
42,1.13,"Apr 27, 2018",1.31,1.13,"7,492,760",1.20,"9,285"
43,1.19,"Apr 26, 2018",1.23,1.07,"6,845,330",1.09,"12,711"
44,1.08,"Apr 25, 2018",1.36,1.06,"8,391,570",1.34,"25,223"
45,1.35,"Apr 24, 2018",1.36,1.26,"7,903,510",1.26,"3,879"
46,1.26,"Apr 23, 2018",1.30,1.20,"7,640,040",1.22,"17,534"
47,1.22,"Apr 22, 2018",1.28,1.14,"7,237,780",1.15,"21,952"
48,1.15,"Apr 21, 2018",1.28,1.12,"8,010,510",1.28,"8,917"
49,1.28,"Apr 20, 2018",1.28,1.14,"7,242,960",1.16,"22,388"
50,1.15,"Apr 19, 2018",1.24,1.12,"7,544,810",1.20,"31,318"
51,1.20,"Apr 18, 2018",1.31,1.07,"6,701,640",1.07,"53,776"
52,1.07,"Apr 17, 2018",1.15,0.972229,"6,842,650",1.09,"75,951"
53,1.05,"Apr 16, 2018",1.13,0.852676,"5,790,690",0.923837,"107,815"
54,0.924428,"Apr 15, 2018",0.980019,0.873560,"5,825,740",0.929430,"10,196"
55,0.928435,"Apr 14, 2018",0.952841,0.842496,"5,683,380",0.906717,"6,967"
56,0.907224,"Apr 13, 2018",0.937371,0.774707,"5,046,380",0.805092,"14,227"
57,0.798387,"Apr 12, 2018",0.858817,0.711648,"4,485,400",0.715594,"13,165"
58,0.717323,"Apr 11, 2018",0.724257,0.650980,"4,080,400",0.650980,"7,296"
59,0.650168,"Apr 10, 2018",0.679564,0.626879,"4,152,540",0.662489,"3,300"
60,0.661973,"Apr 09, 2018",0.661973,0.610757,"4,051,170",0.646317,"3,838"
61,0.645272,"Apr 08, 2018",0.653881,0.630140,"3,949,770",0.630140,"2,761"
62,0.629670,"Apr 07, 2018",0.643955,0.606664,"3,832,810",0.611480,"1,100"
63,0.611137,"Apr 06, 2018",0.690298,0.595630,"4,282,650",0.683247,"5,066"
