,close,date,high,low,market_cap,open,volume
0,0.370900,"Jun 08, 2018",0.459600,0.300400,"223,327",0.300400,"2,595"
1,0.300400,"Jun 07, 2018",0.400000,0.300400,"297,372",0.400000,426
2,0.400000,"Jun 06, 2018",0.400000,0.380000,"297,372",0.400000,292
3,0.400000,"Jun 05, 2018",0.400000,0.397800,"296,926",0.399400,"3,704"
4,0.399400,"Jun 04, 2018",0.410000,0.300000,"304,807",0.410000,718
5,0.410000,"Jun 03, 2018",0.420000,0.409900,"312,167",0.419900,167
6,0.419900,"Jun 02, 2018",0.420700,0.419900,"312,761",0.420700,470
7,0.420700,"Jun 01, 2018",0.429900,0.420700,"319,601",0.429900,523
8,0.429900,"May 31, 2018",0.448900,0.300000,"333,726",0.448900,"1,718"
9,0.448900,"May 30, 2018",0.459500,0.391000,"298,116",0.401000,"1,144"
10,0.401000,"May 29, 2018",0.479900,0.401000,"356,772",0.479900,442
11,0.479900,"May 28, 2018",0.496700,0.400000,"369,262",0.496700,"1,789"
12,0.496700,"May 27, 2018",0.500000,0.400500,"371,715",0.500000,"1,917"
13,0.500000,"May 26, 2018",0.554100,0.400000,"411,935",0.554100,"2,094"
14,0.554100,"May 25, 2018",0.569100,0.380200,"423,086",0.569100,457
15,0.569100,"May 24, 2018",0.598900,0.411100,"379,150",0.510000,"2,333"
16,0.510000,"May 23, 2018",0.660000,0.510000,"423,756",0.570000,"1,822"
17,0.570000,"May 22, 2018",0.600000,0.450000,"446,058",0.600000,"16,918"
18,0.600000,"May 21, 2018",1.00,0.410000,"743,431",1.00,"11,721"
19,1.00,"May 20, 2018",1.00,0.355000,"297,372",0.400000,"19,237"
20,0.385000,"May 19, 2018",0.400000,0.380000,"293,506",0.394800,"5,631"
21,0.394800,"May 18, 2018",0.397600,0.353200,"295,588",0.397600,675
22,0.397600,"May 17, 2018",0.397800,0.353300,"295,737",0.397800,638
23,0.397800,"May 16, 2018",0.399700,0.395100,"297,149",0.399700,726
24,0.399700,"May 15, 2018",0.399700,0.390100,"297,001",0.399500,"5,293"
