,close,date,high,low,market_cap,open,volume
0,0.814791,"Jun 08, 2018",0.819453,0.789818,"1,605,720",0.806879,"23,688"
1,0.806248,"Jun 07, 2018",0.818259,0.777878,"1,588,590",0.798267,"37,300"
2,0.797576,"Jun 06, 2018",0.830564,0.789583,"1,624,120",0.816123,"64,213"
3,0.816366,"Jun 05, 2018",0.824286,0.770638,"1,570,590",0.789224,"52,021"
4,0.788845,"Jun 04, 2018",0.805809,0.785319,"1,593,290",0.800633,"46,646"
5,0.800280,"Jun 03, 2018",0.818129,0.791420,"1,602,510",0.805264,"34,547"
6,0.805131,"Jun 02, 2018",0.840680,0.774660,"1,541,610",0.774660,"19,916"
7,0.774995,"Jun 01, 2018",0.797228,0.760239,"1,581,970",0.794943,"45,979"
8,0.794131,"May 31, 2018",0.818134,0.752559,"1,520,120",0.763861,"31,131"
9,0.764061,"May 30, 2018",0.865639,0.752273,"1,497,060",0.752273,"57,594"
10,0.751769,"May 29, 2018",0.793310,0.699236,"1,454,060",0.730669,"45,306"
11,0.731006,"May 28, 2018",0.830183,0.712383,"1,497,170",0.752331,"30,570"
12,0.752173,"May 27, 2018",0.876851,0.740499,"1,622,770",0.815446,"51,390"
13,0.807401,"May 26, 2018",0.853407,0.728673,"1,499,590",0.753546,"71,821"
14,0.754429,"May 25, 2018",0.755258,0.684503,"1,459,630",0.733466,"25,624"
15,0.732103,"May 24, 2018",0.732103,0.633651,"1,381,500",0.694204,"50,834"
16,0.696264,"May 23, 2018",0.742770,0.667426,"1,461,770",0.734541,"88,343"
17,0.735328,"May 22, 2018",0.815615,0.731158,"1,589,870",0.798912,"18,408"
18,0.799091,"May 21, 2018",0.865090,0.785278,"1,711,640",0.860104,"16,940"
19,0.859028,"May 20, 2018",0.868477,0.830395,"1,685,060",0.846743,"38,124"
20,0.846110,"May 19, 2018",0.882501,0.837121,"1,700,990",0.854748,"33,146"
21,0.854856,"May 18, 2018",0.871945,0.836061,"1,704,290",0.856410,"38,568"
22,0.855692,"May 17, 2018",0.906793,0.850738,"1,725,920",0.867275,"50,257"
23,0.879521,"May 16, 2018",0.895338,0.842529,"1,781,760",0.895338,"9,487"
24,0.895823,"May 15, 2018",0.959000,0.865942,"1,742,540",0.875626,"48,690"
25,0.877129,"May 14, 2018",0.894378,0.807232,"1,723,780",0.866199,"22,235"
26,0.866371,"May 13, 2018",0.882987,0.805240,"1,660,010",0.834158,"52,100"
27,0.834460,"May 12, 2018",0.834761,0.672292,"1,410,100",0.708578,"49,041"
28,0.710576,"May 11, 2018",0.831002,0.617683,"1,636,870",0.822529,"93,704"
29,0.821573,"May 10, 2018",1.03,0.820770,"1,911,380",0.960470,"73,851"
30,0.960664,"May 09, 2018",1.06,0.912598,"2,092,860",1.05,"120,391"
31,1.05,"May 08, 2018",1.13,1.01,"2,196,230",1.10,"46,189"
32,1.10,"May 07, 2018",1.15,1.08,"2,294,720",1.15,"118,510"
33,1.15,"May 06, 2018",1.21,1.10,"2,381,440",1.20,"60,169"
34,1.20,"May 05, 2018",1.23,1.05,"2,217,610",1.11,"279,316"
35,1.11,"May 04, 2018",1.22,1.04,"2,262,890",1.14,"166,005"
36,1.14,"May 03, 2018",1.18,1.07,"2,317,580",1.16,"150,433"
37,1.16,"May 02, 2018",1.18,1.01,"2,274,080",1.14,"96,539"
38,1.14,"May 01, 2018",1.20,1.12,"2,388,750",1.20,"36,032"
39,1.20,"Apr 30, 2018",1.23,1.16,"2,452,600",1.23,"56,776"
40,1.23,"Apr 29, 2018",1.31,1.16,"2,419,110",1.22,"198,085"
41,1.22,"Apr 28, 2018",1.26,1.18,"2,445,610",1.23,"35,908"
42,1.23,"Apr 27, 2018",1.32,1.15,"2,535,820",1.27,"155,937"
43,1.29,"Apr 26, 2018",1.32,1.22,"2,537,610",1.28,"68,655"
44,1.26,"Apr 25, 2018",1.38,1.20,"2,743,890",1.38,"92,679"
45,1.39,"Apr 24, 2018",1.43,1.26,"2,676,010",1.34,"149,537"
46,1.34,"Apr 23, 2018",1.41,1.25,"2,697,380",1.36,"110,368"
47,1.36,"Apr 22, 2018",1.42,1.23,"2,751,130",1.38,"168,162"
48,1.38,"Apr 21, 2018",1.39,1.21,"2,756,630",1.39,"137,077"
49,1.36,"Apr 20, 2018",1.36,1.02,"2,469,930",1.24,"319,661"
50,1.24,"Apr 19, 2018",1.33,1.17,"2,620,910",1.32,"110,436"
51,1.32,"Apr 18, 2018",1.33,1.24,"2,566,570",1.29,"122,238"
52,1.29,"Apr 17, 2018",1.37,1.23,"2,450,420",1.23,"136,527"
53,1.23,"Apr 16, 2018",1.40,1.20,"2,722,840",1.37,"162,903"
54,1.37,"Apr 15, 2018",1.41,1.23,"2,654,550",1.33,"342,414"
55,1.33,"Apr 14, 2018",1.42,1.30,"2,680,450",1.35,"273,643"
56,1.35,"Apr 13, 2018",1.45,1.21,"2,573,570",1.29,"248,240"
57,1.29,"Apr 12, 2018",1.32,1.12,"2,322,590",1.17,"195,978"
58,1.17,"Apr 11, 2018",1.20,0.972520,"1,936,810",0.973249,"377,844"
59,0.972259,"Apr 10, 2018",1.03,0.955946,"1,944,520",0.977121,"91,387"
60,0.976292,"Apr 09, 2018",1.03,0.749869,"1,985,420",0.997674,"191,618"
61,0.996057,"Apr 08, 2018",1.04,0.780094,"1,981,610",0.995763,"100,708"
62,0.994878,"Apr 07, 2018",1.05,0.955603,"1,987,140",0.998538,"97,154"
63,0.997355,"Apr 06, 2018",1.00,0.848501,"1,910,080",0.959818,"108,315"
64,0.964699,"Apr 05, 2018",1.09,0.750768,"1,797,730",0.903362,"453,496"
