,close,date,high,low,market_cap,open,volume
0,0.020144,"Jun 08, 2018",0.020235,0.014186,"97,911",0.015058,809
1,0.015046,"Jun 07, 2018",0.016658,0.015013,"103,993",0.016003,235
2,0.015988,"Jun 06, 2018",0.016804,0.015302,"108,452",0.016696,34
3,0.016701,"Jun 05, 2018",0.017005,0.014690,"107,450",0.016580,98
4,0.016647,"Jun 04, 2018",0.019229,0.016536,"119,901",0.018501,89
5,0.017722,"Jun 03, 2018",0.021348,0.017587,"138,046",0.021301,238
6,0.021295,"Jun 02, 2018",0.021464,0.017565,"114,475",0.017664,356
7,0.017672,"Jun 01, 2018",0.021103,0.017364,"114,551",0.017680,120
8,0.017667,"May 31, 2018",0.017842,0.017265,"112,406",0.017349,105
9,0.017352,"May 30, 2018",0.017743,0.017167,"113,618",0.017542,51
10,0.017530,"May 29, 2018",0.017963,0.013946,"114,723",0.017725,113
11,0.017731,"May 28, 2018",0.021776,0.014364,"134,033",0.020714,"1,909"
12,0.020709,"May 27, 2018",0.022044,0.018287,"122,394",0.018925,202
13,0.018916,"May 26, 2018",0.021525,0.016406,"137,135",0.021209,"1,414"
14,0.021237,"May 25, 2018",0.022521,0.020228,"141,686",0.021932,128
15,0.021891,"May 24, 2018",0.021977,0.020810,"137,873",0.021355,56
16,0.021410,"May 23, 2018",0.023763,0.021235,"148,296",0.022970,86
17,0.022994,"May 22, 2018",0.027767,0.022864,"179,074",0.027745,129
18,0.027750,"May 21, 2018",0.027848,0.023939,"158,473",0.024559,125
19,0.024528,"May 20, 2018",0.028181,0.024459,"161,705",0.025066,45
20,0.025047,"May 19, 2018",0.027947,0.024804,"164,734",0.025541,99
21,0.025545,"May 18, 2018",0.026978,0.024764,"170,832",0.026496,97
22,0.026473,"May 17, 2018",0.027018,0.024083,"172,198",0.026715,475
23,0.026698,"May 16, 2018",0.026698,0.023417,"157,484",0.024440,585
24,0.024454,"May 15, 2018",0.027516,0.024313,"174,344",0.027064,486
25,0.027111,"May 14, 2018",0.032849,0.026948,"211,444",0.032849,267
26,0.032855,"May 13, 2018",0.033098,0.029094,"196,694",0.030568,445
27,0.030579,"May 12, 2018",0.032550,0.029814,"196,021",0.030474,395
28,0.030563,"May 11, 2018",0.033531,0.030362,"215,616",0.033531,503
29,0.033491,"May 10, 2018",0.036698,0.033458,"220,911",0.034368,278
30,0.034378,"May 09, 2018",0.035153,0.033363,"225,712",0.035140,332
31,0.035194,"May 08, 2018",0.044800,0.034747,"285,554",0.044493,548
32,0.044399,"May 07, 2018",0.044825,0.035317,"235,577",0.036724,897
33,0.036698,"May 06, 2018",0.037435,0.036078,"234,538",0.036563,30
34,0.036538,"May 05, 2018",0.037414,0.035669,"228,778",0.035669,111
35,0.035686,"May 04, 2018",0.039091,0.035097,"229,430",0.035774,428
36,0.035788,"May 03, 2018",0.037700,0.030847,"200,415",0.031253,"1,081"
37,0.031252,"May 02, 2018",0.031252,0.028099,"186,928",0.029157,370
38,0.029201,"May 01, 2018",0.029663,0.027852,"190,093",0.029663,450
39,0.029637,"Apr 30, 2018",0.030205,0.029278,"192,764",0.030085,41
40,0.030095,"Apr 29, 2018",0.030291,0.028676,"190,979",0.029812,112
41,0.029824,"Apr 28, 2018",0.030100,0.027123,"173,451",0.027193,61
42,0.027286,"Apr 27, 2018",0.029988,0.027286,"181,466",0.028449,119
43,0.028410,"Apr 26, 2018",0.029081,0.026800,"175,819",0.027564,128
44,0.027337,"Apr 25, 2018",0.030209,0.026916,"191,766",0.030064,137
45,0.030367,"Apr 24, 2018",0.032007,0.026852,"171,355",0.026864,160
46,0.026841,"Apr 23, 2018",0.029027,0.026322,"168,035",0.026343,227
47,0.026397,"Apr 22, 2018",0.028021,0.026261,"172,558",0.027053,131
48,0.027053,"Apr 21, 2018",0.028471,0.026589,"181,605",0.028471,99
49,0.028461,"Apr 20, 2018",0.030188,0.026472,"190,931",0.029933,62
50,0.029913,"Apr 19, 2018",0.031140,0.024372,"174,979",0.027432,503
51,0.027412,"Apr 18, 2018",0.027584,0.022954,"146,565",0.022978,82
52,0.022956,"Apr 17, 2018",0.026608,0.022766,"146,332",0.022941,48
53,0.022929,"Apr 16, 2018",0.027694,0.022566,"175,663",0.027539,43
54,0.027551,"Apr 15, 2018",0.027623,0.026404,"168,385",0.026404,196
55,0.026376,"Apr 14, 2018",0.026985,0.021599,"139,954",0.021949,122
56,0.021949,"Apr 13, 2018",0.026676,0.021949,"151,435",0.023755,241
57,0.023725,"Apr 12, 2018",0.023837,0.019273,"126,605",0.019867,137
58,0.019915,"Apr 11, 2018",0.021469,0.019437,"124,452",0.019537,177
59,0.019518,"Apr 10, 2018",0.021146,0.018962,"126,528",0.019876,98
60,0.019859,"Apr 09, 2018",0.022268,0.019524,"138,639",0.021778,89
61,0.021743,"Apr 08, 2018",0.024578,0.021709,"153,374",0.024096,171
62,0.024074,"Apr 07, 2018",0.024347,0.022545,"143,662",0.022579,42
63,0.022552,"Apr 06, 2018",0.023319,0.022249,"146,028",0.022972,104
64,0.023089,"Apr 05, 2018",0.025349,0.021023,"148,950",0.023432,302
65,0.023422,"Apr 04, 2018",0.040408,0.020366,"229,960",0.036192,"1,396"
66,0.033397,"Apr 03, 2018",0.033397,0.019620,"155,700",0.024531,"7,603"
67,0.024514,"Apr 02, 2018",0.044715,0.018439,"118,263",0.018633,"7,736"
68,0.018541,"Apr 01, 2018",0.019780,0.017604,"120,515",0.018988,86
69,0.018988,"Mar 31, 2018",0.022026,0.018929,"124,546",0.019623,112
70,0.019620,"Mar 30, 2018",0.021454,0.018652,"129,905",0.020472,43
71,0.020523,"Mar 29, 2018",0.025295,0.019926,"160,201",0.025253,161
72,0.025224,"Mar 28, 2018",0.026661,0.023597,"153,082",0.024139,224
73,0.024145,"Mar 27, 2018",0.028025,0.024052,"167,729",0.026468,294
74,0.026508,"Mar 26, 2018",0.027665,0.025441,"174,359",0.027514,176
75,0.027535,"Mar 25, 2018",0.029386,0.027411,"184,282",0.029080,15
76,0.029486,"Mar 24, 2018",0.033545,0.028735,"183,504",0.028964,452
77,0.028548,"Mar 23, 2018",0.032543,0.028006,"206,142",0.032543,131
78,0.032544,"Mar 22, 2018",0.032696,0.027696,"182,528",0.028821,395
79,0.028874,"Mar 21, 2018",0.033828,0.027919,"176,987",0.027960,578
80,0.027909,"Mar 20, 2018",0.028293,0.026208,"171,400",0.027077,688
81,0.026778,"Mar 19, 2018",0.027167,0.025478,"162,751",0.025718,131
82,0.025826,"Mar 18, 2018",0.026351,0.023361,"160,672",0.025395,766
83,0.025457,"Mar 17, 2018",0.027893,0.025024,"176,476",0.027893,294
84,0.027847,"Mar 16, 2018",0.035662,0.027240,"188,052",0.029738,"4,607"
85,0.029755,"Mar 15, 2018",0.029926,0.027254,"186,834",0.029545,"1,811"
86,0.029559,"Mar 14, 2018",0.037053,0.028785,"203,656",0.032206,353
87,0.032201,"Mar 13, 2018",0.034612,0.032201,"208,560",0.032992,276
88,0.033183,"Mar 12, 2018",0.037479,0.031988,"233,970",0.037032,291
89,0.037149,"Mar 11, 2018",0.037149,0.031210,"212,899",0.033697,392
90,0.033814,"Mar 10, 2018",0.037134,0.032792,"210,583",0.033335,370
91,0.033321,"Mar 09, 2018",0.038082,0.026591,"237,761",0.037638,"2,760"
92,0.033576,"Mar 08, 2018",0.076666,0.029800,"209,282",0.033133,"2,352"
93,0.033181,"Mar 07, 2018",0.082409,0.031159,"207,825",0.032907,"4,369"
94,0.032950,"Mar 06, 2018",0.077858,0.029234,"255,000",0.040384,"4,640"
95,0.040495,"Mar 05, 2018",0.049096,0.040480,"288,895",0.045760,166
96,0.045794,"Mar 04, 2018",0.060297,0.043424,"353,072",0.055941,655
97,0.056037,"Mar 03, 2018",0.056263,0.049918,"314,961",0.049918,134
98,0.049979,"Mar 02, 2018",0.050621,0.048946,"312,341",0.049502,224
99,0.049630,"Mar 01, 2018",0.050117,0.046510,"295,699",0.046875,131
100,0.046807,"Feb 28, 2018",0.054270,0.046765,"332,953",0.052789,140
101,0.052851,"Feb 27, 2018",0.053440,0.046071,"294,546",0.046712,274
102,0.046577,"Feb 26, 2018",0.047178,0.042625,"273,829",0.043427,684
103,0.043371,"Feb 25, 2018",0.046398,0.042366,"281,174",0.044602,117
104,0.044669,"Feb 24, 2018",0.052401,0.042566,"289,679",0.045964,"1,885"
105,0.046023,"Feb 23, 2018",0.051000,0.043497,"281,035",0.044597,"1,193"
106,0.044639,"Feb 22, 2018",0.054755,0.044563,"330,347",0.052437,"1,507"
107,0.052490,"Feb 21, 2018",0.068101,0.047256,"331,319",0.052605,"4,771"
108,0.052671,"Feb 20, 2018",0.060339,0.052108,"365,065",0.057980,418
109,0.057927,"Feb 19, 2018",0.061127,0.054641,"348,556",0.055366,364
110,0.055622,"Feb 18, 2018",0.064877,0.053208,"401,454",0.063788,"1,168"
111,0.063593,"Feb 17, 2018",0.064211,0.059468,"379,068",0.060244,556
112,0.060257,"Feb 16, 2018",0.060819,0.057931,"375,867",0.059735,45
113,0.059992,"Feb 15, 2018",0.061215,0.055933,"363,672",0.057797,"1,066"
114,0.057766,"Feb 14, 2018",0.060812,0.055484,"349,117",0.055484,306
115,0.055650,"Feb 13, 2018",0.059259,0.047549,"371,181",0.058991,272
116,0.058884,"Feb 12, 2018",0.070027,0.047503,"298,900",0.047503,825
117,0.047202,"Feb 11, 2018",0.055385,0.046629,"300,723",0.047793,340
118,0.047834,"Feb 10, 2018",0.058396,0.045727,"319,832",0.050830,758
119,0.050359,"Feb 09, 2018",0.051841,0.043690,"326,191",0.051841,254
120,0.051682,"Feb 08, 2018",0.065841,0.042723,"268,821",0.042723,869
121,0.042895,"Feb 07, 2018",0.050555,0.040210,"268,211",0.042627,181
122,0.043057,"Feb 06, 2018",0.046236,0.035151,"254,155",0.040393,435
123,0.040342,"Feb 05, 2018",0.054470,0.038193,"287,310",0.045662,48
124,0.046109,"Feb 04, 2018",0.058129,0.044068,"317,587",0.050474,226
125,0.050448,"Feb 03, 2018",0.060773,0.040925,"345,743",0.054949,"2,034"
126,0.054762,"Feb 02, 2018",0.055131,0.038944,"328,560",0.052218,"1,603"
127,0.052326,"Feb 01, 2018",0.070479,0.045976,"441,445",0.070176,556
128,0.070013,"Jan 31, 2018",0.073456,0.053212,"438,425",0.069717,"1,705"
129,0.069608,"Jan 30, 2018",0.083173,0.067032,"492,952",0.078398,836
130,0.078484,"Jan 29, 2018",0.089793,0.077425,"555,780",0.088391,"2,330"
131,0.088475,"Jan 28, 2018",0.094829,0.080044,"536,144",0.085286,"1,298"
132,0.084852,"Jan 27, 2018",0.094045,0.077179,"524,528",0.083443,"1,338"
133,0.083498,"Jan 26, 2018",0.091782,0.074736,"553,444",0.088055,"5,145"
134,0.088290,"Jan 25, 2018",0.091717,0.082529,"561,410",0.089355,"3,283"
135,0.087909,"Jan 24, 2018",0.089644,0.073169,"518,901",0.082599,"2,245"
136,0.082646,"Jan 23, 2018",0.094455,0.074139,"541,956",0.086302,"3,095"
137,0.086531,"Jan 22, 2018",0.111507,0.082989,"600,403",0.095650,"2,394"
138,0.101231,"Jan 21, 2018",0.112632,0.083113,"620,594",0.098878,"4,900"
139,0.098649,"Jan 20, 2018",0.146962,0.080987,"607,245",0.096751,"10,308"
140,0.103524,"Jan 19, 2018",0.108494,0.078006,"631,250",0.100590,"3,307"
141,0.093111,"Jan 18, 2018",0.103587,0.072838,"464,761",0.074076,"2,877"
142,0.073791,"Jan 17, 2018",0.087502,0.061336,"535,310",0.085323,"1,529"
143,0.085759,"Jan 16, 2018",0.108888,0.064073,"600,849",0.095793,"6,996"
144,0.095673,"Jan 15, 2018",0.113000,0.093694,"692,799",0.110471,"4,130"
145,0.111278,"Jan 14, 2018",0.134366,0.102261,"729,488",0.116324,"5,690"
146,0.116248,"Jan 13, 2018",0.148893,0.103894,"780,735",0.124528,"11,712"
147,0.124670,"Jan 12, 2018",0.166188,0.119655,"824,711",0.131578,"20,595"
148,0.130715,"Jan 11, 2018",0.144985,0.101848,"797,000",0.127193,"11,047"
149,0.127336,"Jan 10, 2018",0.155093,0.107488,"806,120",0.128665,"9,812"
150,0.145999,"Jan 09, 2018",0.157993,0.104557,"867,868",0.138551,"8,516"
151,0.138929,"Jan 08, 2018",0.162643,0.100803,"958,693",0.153079,"9,896"
152,0.153293,"Jan 07, 2018",0.187535,0.101543,"647,266",0.103387,"26,639"
153,0.103463,"Jan 06, 2018",0.103512,0.082787,"530,438",0.084750,"6,633"
154,0.084683,"Jan 05, 2018",0.157421,0.084661,"570,849",0.091239,"8,224"
155,0.091221,"Jan 04, 2018",0.098242,0.073967,"580,463",0.092786,"4,402"
156,0.092280,"Jan 03, 2018",0.104429,0.069057,"572,447",0.091537,"19,049"
157,0.091863,"Jan 02, 2018",0.138090,0.060450,"515,779",0.082494,"5,824"
158,0.082500,"Jan 01, 2018",0.114234,0.065119,"418,673",0.066971,"1,524"
159,0.066712,"Dec 31, 2017",0.141816,0.066712,"619,095",0.099046,"8,694"
160,0.100127,"Dec 30, 2017",0.100127,0.055632,"527,259",0.084365,"14,083"
161,0.084578,"Dec 29, 2017",0.086948,0.043694,"320,862",0.051360,"14,352"
162,0.050833,"Dec 28, 2017",0.073096,0.042850,"339,139",0.054306,"2,446"
163,0.054575,"Dec 27, 2017",0.079841,0.047534,"339,234",0.054321,"1,484"
164,0.054282,"Dec 26, 2017",0.066333,0.054022,"391,452",0.062683,"1,007"
165,0.062747,"Dec 25, 2017",0.073355,0.052886,"373,818",0.059869,"1,272"
166,0.059254,"Dec 24, 2017",0.073032,0.053130,"455,899",0.073032,603
167,0.072234,"Dec 23, 2017",0.081135,0.057257,"365,684",0.058606,426
168,0.058058,"Dec 22, 2017",0.088837,0.048376,"495,931",0.079508,"1,847"
169,0.079233,"Dec 21, 2017",0.094235,0.070496,"462,545",0.074175,"8,592"
170,0.073981,"Dec 20, 2017",0.130555,0.060671,"813,846",0.130555,"13,385"
171,0.130684,"Dec 19, 2017",0.182239,0.107879,"1,100,560",0.176603,"41,423"
172,0.176453,"Dec 18, 2017",0.243212,0.040568,"264,542",0.042473,"121,612"
173,0.042345,"Dec 17, 2017",0.063440,0.041888,"314,091",0.050445,"1,749"
174,0.050438,"Dec 16, 2017",0.052024,0.044605,"307,525",0.049411,200
175,0.049342,"Dec 15, 2017",0.050786,0.040964,"254,863",0.040972,309
176,0.040910,"Dec 14, 2017",0.053239,0.040769,"279,979",0.045033,203
177,0.045178,"Dec 13, 2017",0.052761,0.040012,"260,918",0.041981,"3,245"
178,0.041946,"Dec 12, 2017",0.052763,0.040283,"323,207",0.052025,257
179,0.051859,"Dec 11, 2017",0.055685,0.037344,"232,950",0.037508,649
180,0.037780,"Dec 10, 2017",0.054215,0.035226,"274,451",0.044210,275
181,0.044032,"Dec 09, 2017",0.056446,0.032371,"345,139",0.055622,392
182,0.051120,"Dec 08, 2017",0.063297,0.046906,"366,082",0.059008,"5,660"
183,0.058870,"Dec 07, 2017",0.061262,0.035188,"269,217",0.043405,"4,187"
184,0.043480,"Dec 06, 2017",0.044024,0.024320,"224,223",0.036155,"1,090"
185,0.036236,"Dec 05, 2017",0.046986,0.033216,"285,427",0.046042,"1,764"
186,0.045952,"Dec 04, 2017",0.045952,0.021485,"146,303",0.023608,966
187,0.023530,"Dec 03, 2017",0.045964,0.011235,"92,766",0.014976,"3,990"
188,0.014962,"Dec 02, 2017",0.021464,0.013654,"87,607",0.014150,55
189,0.014162,"Dec 01, 2017",0.014244,0.012299,"83,501",0.013491,18
190,0.013558,"Nov 30, 2017",0.016460,0.011711,"79,045",0.012777,65
191,0.012584,"Nov 29, 2017",0.014909,0.011639,"78,577",0.012708,54
192,0.012720,"Nov 28, 2017",0.013735,0.012622,"82,606",0.013365,72
193,0.013330,"Nov 27, 2017",0.015566,0.012206,"75,419",0.012206,60
194,0.012204,"Nov 26, 2017",0.014406,0.011747,"83,119",0.013469,144
195,0.013474,"Nov 25, 2017",0.015441,0.011909,"82,075",0.013300,"1,033"
196,0.013327,"Nov 24, 2017",0.014510,0.011640,"86,754",0.014065,180
197,0.014084,"Nov 23, 2017",0.015291,0.012696,"93,811",0.015217,48
198,0.015221,"Nov 22, 2017",0.015260,0.011234,"91,495",0.014849,188
199,0.014813,"Nov 21, 2017",0.017484,0.014266,"107,613",0.017472,185
200,0.017469,"Nov 20, 2017",0.017738,0.012021,"82,198",0.013352,473
201,0.013358,"Nov 19, 2017",0.015211,0.011261,"93,412",0.015185,189
202,0.015213,"Nov 18, 2017",0.016456,0.013728,"85,090",0.013836,215
203,0.013889,"Nov 17, 2017",0.016461,0.012941,"95,472",0.015532,165
204,0.015558,"Nov 16, 2017",0.015845,0.012576,"87,533",0.014241,117
205,0.014167,"Nov 15, 2017",0.015096,0.011901,"73,133",0.011901,71
206,0.011893,"Nov 14, 2017",0.013874,0.010323,"80,629",0.013127,"1,358"
207,0.013099,"Nov 13, 2017",0.013895,0.011068,"68,849",0.011213,184
208,0.011197,"Nov 12, 2017",0.012566,0.010251,"69,079",0.011259,79
209,0.011268,"Nov 11, 2017",0.011971,0.010718,"69,348",0.011309,15
210,0.011349,"Nov 10, 2017",0.013344,0.011161,"78,656",0.012832,58
211,0.012794,"Nov 09, 2017",0.014068,0.012476,"86,012",0.014039,21
212,0.014053,"Nov 08, 2017",0.014823,0.013369,"82,359",0.013449,111
213,0.013492,"Nov 07, 2017",0.014225,0.013207,"84,767",0.013848,55
214,0.013871,"Nov 06, 2017",0.015421,0.013286,"85,934",0.014047,63
215,0.014016,"Nov 05, 2017",0.016356,0.013861,"96,109",0.015713,192
216,0.015742,"Nov 04, 2017",0.016609,0.013165,"82,386",0.013474,227
217,0.013509,"Nov 03, 2017",0.015058,0.010330,"63,521",0.010394,301
218,0.010408,"Nov 02, 2017",0.013277,0.009146,"63,699",0.010429,90
219,0.010418,"Nov 01, 2017",0.011406,0.009650,"69,537",0.011406,148
220,0.011414,"Oct 31, 2017",0.012613,0.010962,"69,861",0.011459,41
221,0.011498,"Oct 30, 2017",0.012655,0.010059,"67,941",0.011144,93
222,0.011209,"Oct 29, 2017",0.011980,0.010118,"61,773",0.010138,83
223,0.010152,"Oct 28, 2017",0.012211,0.007688,"72,989",0.011988,359
224,0.011955,"Oct 27, 2017",0.012472,0.011854,"74,511",0.012245,37
225,0.012242,"Oct 26, 2017",0.012448,0.011859,"72,509",0.011928,19
226,0.011929,"Oct 25, 2017",0.012425,0.011250,"70,768",0.011644,336
227,0.011639,"Oct 24, 2017",0.012770,0.011186,"77,324",0.012728,389
228,0.012756,"Oct 23, 2017",0.013863,0.012494,"79,140",0.013035,450
229,0.013056,"Oct 22, 2017",0.015535,0.012580,"89,400",0.014734,41
230,0.014729,"Oct 21, 2017",0.016386,0.013154,"84,488",0.013932,108
231,0.013961,"Oct 20, 2017",0.019869,0.010081,"67,077",0.011067,222
232,0.011064,"Oct 19, 2017",0.018020,0.009854,"61,952",0.010225,71
233,0.010219,"Oct 18, 2017",0.010268,0.009140,"60,707",0.010025,60
234,0.010025,"Oct 17, 2017",0.010114,0.009411,"60,161",0.009940,395
235,0.009938,"Oct 16, 2017",0.012529,0.007065,"75,392",0.012465,815
236,0.012464,"Oct 15, 2017",0.015332,0.011947,"77,448",0.012814,158
237,0.012791,"Oct 14, 2017",0.013022,0.012250,"78,216",0.012951,45
238,0.012948,"Oct 13, 2017",0.014751,0.012684,"82,422",0.013656,41
239,0.013614,"Oct 12, 2017",0.013864,0.012083,"73,079",0.012114,15
240,0.012104,"Oct 11, 2017",0.012468,0.011897,"74,933",0.012431,183
241,0.012433,"Oct 10, 2017",0.012880,0.012295,"76,437",0.012683,70
242,0.012684,"Oct 09, 2017",0.016921,0.011942,"73,456",0.012197,68
243,0.012194,"Oct 08, 2017",0.014892,0.011647,"70,333",0.011687,50
244,0.011718,"Oct 07, 2017",0.012051,0.011377,"69,172",0.011503,23
245,0.011499,"Oct 06, 2017",0.011834,0.011390,"69,418",0.011544,5
