,close,date,high,low,market_cap,open,volume
0,0.071401,"Jun 08, 2018",0.074968,0.070022,-,0.074615,"1,264,710"
1,0.074508,"Jun 07, 2018",0.078007,0.074014,-,0.076620,"1,035,260"
2,0.076623,"Jun 06, 2018",0.079565,0.075053,-,0.079000,"887,106"
3,0.078350,"Jun 05, 2018",0.078485,0.072918,-,0.077699,"1,489,050"
4,0.077584,"Jun 04, 2018",0.085357,0.076127,-,0.084908,"1,426,330"
5,0.084774,"Jun 03, 2018",0.085444,0.081930,-,0.082408,"1,782,000"
6,0.082433,"Jun 02, 2018",0.084599,0.079394,-,0.080872,"1,609,150"
7,0.081050,"Jun 01, 2018",0.081409,0.078020,-,0.080455,"1,658,180"
8,0.080560,"May 31, 2018",0.082498,0.077374,-,0.078404,"1,631,880"
9,0.078305,"May 30, 2018",0.084782,0.077024,-,0.082181,"1,830,470"
10,0.082247,"May 29, 2018",0.082983,0.075645,-,0.076678,"1,842,690"
11,0.076863,"May 28, 2018",0.088129,0.076854,-,0.088129,"1,922,060"
12,0.087840,"May 27, 2018",0.090955,0.083306,-,0.086273,"2,401,910"
13,0.086007,"May 26, 2018",0.090371,0.077301,-,0.078235,"5,278,620"
14,0.078049,"May 25, 2018",0.080542,0.076349,-,0.079625,"1,011,980"
15,0.079874,"May 24, 2018",0.080393,0.072603,-,0.075250,"1,367,070"
16,0.075613,"May 23, 2018",0.089136,0.074190,-,0.087913,"1,646,910"
17,0.088216,"May 22, 2018",0.098741,0.088148,-,0.098400,"1,360,500"
18,0.098868,"May 21, 2018",0.103305,0.096944,-,0.103253,"1,751,480"
19,0.103121,"May 20, 2018",0.104030,0.097448,-,0.101018,"2,309,510"
20,0.101033,"May 19, 2018",0.104517,0.100509,-,0.104113,"1,668,600"
21,0.104432,"May 18, 2018",0.104949,0.096387,-,0.100513,"2,224,850"
22,0.100231,"May 17, 2018",0.111104,0.098759,-,0.100345,"3,608,240"
23,0.100271,"May 16, 2018",0.105097,0.096489,-,0.105097,"1,827,110"
24,0.104841,"May 15, 2018",0.113547,0.104169,-,0.105909,"3,119,190"
25,0.106172,"May 14, 2018",0.109611,0.099295,-,0.109204,"3,588,300"
26,0.109290,"May 13, 2018",0.111152,0.099976,-,0.102874,"2,161,080"
27,0.103006,"May 12, 2018",0.104274,0.089139,-,0.102268,"3,267,070"
28,0.102886,"May 11, 2018",0.119548,0.099238,-,0.118730,"3,426,190"
29,0.119632,"May 10, 2018",0.133026,0.119632,-,0.128449,"3,329,110"
30,0.128669,"May 09, 2018",0.136451,0.124108,-,0.135776,"3,947,970"
31,0.135388,"May 08, 2018",0.144961,0.130170,-,0.139094,"4,194,440"
32,0.138428,"May 07, 2018",0.147139,0.130428,-,0.147139,"5,807,430"
33,0.146901,"May 06, 2018",0.164189,0.140788,-,0.163030,"10,634,600"
34,0.162457,"May 05, 2018",0.182332,0.157697,-,0.161846,"23,920,200"
35,0.165793,"May 04, 2018",0.168045,0.135360,-,0.138416,"20,873,700"
36,0.138209,"May 03, 2018",0.141641,0.132985,-,0.140111,"6,569,370"
37,0.140145,"May 02, 2018",0.140764,0.129445,-,0.131537,"5,704,110"
38,0.131784,"May 01, 2018",0.137130,0.117588,-,0.127397,"6,779,630"
39,0.127974,"Apr 30, 2018",0.140952,0.127162,-,0.138668,"6,169,340"
40,0.138800,"Apr 29, 2018",0.144680,0.126900,-,0.129503,"8,393,210"
41,0.129342,"Apr 28, 2018",0.134980,0.117220,-,0.118286,"4,869,240"
42,0.118845,"Apr 27, 2018",0.128681,0.118845,-,0.126235,"3,971,200"
43,0.126323,"Apr 26, 2018",0.127795,0.113813,-,0.116988,"4,509,750"
44,0.116384,"Apr 25, 2018",0.141573,0.112707,-,0.141458,"6,378,090"
45,0.141932,"Apr 24, 2018",0.148710,0.138921,-,0.144587,"10,473,800"
46,0.144089,"Apr 23, 2018",0.159310,0.136677,-,0.141141,"10,547,800"
47,0.141030,"Apr 22, 2018",0.164767,0.112464,-,0.117610,"24,709,900"
48,0.117519,"Apr 21, 2018",0.126447,0.105223,-,0.122656,"5,770,960"
49,0.123376,"Apr 20, 2018",0.124059,0.110471,-,0.119419,"8,031,600"
50,0.116326,"Apr 19, 2018",0.121866,0.095541,-,0.096156,"15,483,000"
51,0.096072,"Apr 18, 2018",0.097367,0.088180,-,0.088183,"3,432,700"
52,0.088161,"Apr 17, 2018",0.094417,0.087170,-,0.088207,"3,848,710"
53,0.088077,"Apr 16, 2018",0.092186,0.083013,-,0.091774,"4,503,460"
54,0.091598,"Apr 15, 2018",0.092484,0.085351,-,0.085351,"3,897,110"
55,0.085387,"Apr 14, 2018",0.086581,0.080720,-,0.083829,"2,608,140"
56,0.084261,"Apr 13, 2018",0.090982,0.081209,-,0.081981,"4,551,720"
57,0.081541,"Apr 12, 2018",0.081541,0.069862,-,0.071543,"4,902,960"
58,0.071679,"Apr 11, 2018",0.073897,0.069648,-,0.069876,"2,978,920"
59,0.069733,"Apr 10, 2018",0.071689,0.068552,-,0.068643,"2,987,180"
60,0.068571,"Apr 09, 2018",0.073052,0.067411,-,0.071165,"1,855,850"
61,0.070911,"Apr 08, 2018",0.072650,0.069659,-,0.069697,"2,067,220"
62,0.069713,"Apr 07, 2018",0.071070,0.066922,-,0.067157,"2,192,550"
63,0.067151,"Apr 06, 2018",0.070342,0.066142,-,0.069748,"2,393,250"
64,0.070024,"Apr 05, 2018",0.072525,0.069416,-,0.071736,"2,067,960"
65,0.071631,"Apr 04, 2018",0.080586,0.071015,-,0.079239,"2,171,500"
66,0.079063,"Apr 03, 2018",0.085940,0.077505,-,0.078165,"4,813,840"
67,0.077978,"Apr 02, 2018",0.079127,0.076060,-,0.076631,"1,610,010"
68,0.076243,"Apr 01, 2018",0.083405,0.072322,-,0.082253,"1,823,080"
69,0.082582,"Mar 31, 2018",0.089082,0.080260,-,0.087045,"2,886,130"
70,0.087232,"Mar 30, 2018",0.090863,0.076835,-,0.080073,"5,181,380"
71,0.080792,"Mar 29, 2018",0.099159,0.079291,-,0.089175,"4,471,720"
72,0.088761,"Mar 28, 2018",0.095330,0.081265,-,0.082020,"4,534,130"
73,0.082151,"Mar 27, 2018",0.086940,0.077639,-,0.082556,"2,285,170"
74,0.082736,"Mar 26, 2018",0.092428,0.080409,-,0.091908,"3,191,880"
75,0.092134,"Mar 25, 2018",0.098474,0.088289,-,0.089958,"2,835,100"
76,0.091151,"Mar 24, 2018",0.096911,0.089352,-,0.090623,"2,797,830"
77,0.089353,"Mar 23, 2018",0.095509,0.084198,-,0.095509,"4,360,240"
78,0.095383,"Mar 22, 2018",0.099379,0.079713,-,0.087818,"7,180,000"
79,0.087688,"Mar 21, 2018",0.091528,0.085972,-,0.087291,"2,543,570"
80,0.087285,"Mar 20, 2018",0.090271,0.083100,-,0.085511,"2,163,600"
81,0.084731,"Mar 19, 2018",0.087792,0.079066,-,0.079915,"2,853,390"
82,0.079960,"Mar 18, 2018",0.088237,0.068831,-,0.088237,"4,037,700"
83,0.088295,"Mar 17, 2018",0.100534,0.086956,-,0.099874,"5,498,220"
84,0.099763,"Mar 16, 2018",0.120724,0.087856,-,0.120724,"17,078,500"
85,0.121857,"Mar 15, 2018",0.154244,0.072867,-,0.092136,"26,192,900"
86,0.092184,"Mar 14, 2018",0.107338,0.089681,-,0.105487,"2,721,140"
87,0.105410,"Mar 13, 2018",0.110427,0.102855,-,0.105159,"1,943,260"
88,0.105362,"Mar 12, 2018",0.117134,0.101981,-,0.113431,"2,402,680"
89,0.112412,"Mar 11, 2018",0.119064,0.100548,-,0.104669,"4,362,510"
90,0.104933,"Mar 10, 2018",0.117925,0.102963,-,0.112316,"3,085,420"
91,0.112350,"Mar 09, 2018",0.117775,0.101322,-,0.116740,"3,394,250"
92,0.117148,"Mar 08, 2018",0.135569,0.114805,-,0.127170,"4,028,190"
93,0.127385,"Mar 07, 2018",0.162579,0.121724,-,0.160896,"4,405,330"
94,0.160052,"Mar 06, 2018",0.181451,0.158830,-,0.181451,"3,684,890"
95,0.181185,"Mar 05, 2018",0.209685,0.181185,-,0.186778,"8,133,510"
96,0.186669,"Mar 04, 2018",0.189132,0.177115,-,0.182770,"2,277,460"
97,0.182835,"Mar 03, 2018",0.192302,0.180484,-,0.191799,"3,154,490"
98,0.192041,"Mar 02, 2018",0.198621,0.189626,-,0.195835,"2,535,220"
99,0.196064,"Mar 01, 2018",0.200075,0.188927,-,0.192552,"3,027,900"
100,0.192522,"Feb 28, 2018",0.213574,0.192522,-,0.204525,"3,125,040"
101,0.204642,"Feb 27, 2018",0.227922,0.195609,-,0.199409,"6,609,080"
102,0.199012,"Feb 26, 2018",0.202498,0.188376,-,0.197802,"2,594,740"
103,0.197935,"Feb 25, 2018",0.203229,0.190832,-,0.199649,"2,156,340"
104,0.200657,"Feb 24, 2018",0.238193,0.192692,-,0.216378,"5,816,340"
105,0.215942,"Feb 23, 2018",0.269101,0.192374,-,0.195599,"9,390,990"
106,0.196091,"Feb 22, 2018",0.220865,0.190429,-,0.212172,"3,331,550"
107,0.212010,"Feb 21, 2018",0.232656,0.209196,-,0.220509,"9,434,190"
108,0.220677,"Feb 20, 2018",0.242275,0.219287,-,0.239128,"6,727,080"
109,0.238956,"Feb 19, 2018",0.253679,0.235916,-,0.238192,"7,740,630"
110,0.239506,"Feb 18, 2018",0.269356,0.233991,-,0.268655,"8,030,540"
111,0.268545,"Feb 17, 2018",0.268545,0.251492,-,0.255762,"9,652,950"
112,0.256383,"Feb 16, 2018",0.261021,0.242415,-,0.261021,"8,571,750"
113,0.261743,"Feb 15, 2018",0.283255,0.232889,-,0.236154,"20,339,700"
