,close,date,high,low,market_cap,open,volume
0,0.002520,"Jun 08, 2018",0.003464,0.002520,"3,215,130",0.003457,112
1,0.003455,"Jun 07, 2018",0.005495,0.003068,"5,071,870",0.005454,12
2,0.005449,"Jun 06, 2018",0.005639,0.004910,"5,194,850",0.005586,"67,863"
3,0.005587,"Jun 05, 2018",0.008722,0.004017,"4,651,160",0.005001,"66,334"
4,0.004999,"Jun 04, 2018",0.005664,0.004215,"4,701,940",0.005056,"3,403"
5,0.005054,"Jun 03, 2018",0.007120,0.004867,"5,441,850",0.005851,"6,413"
6,0.005850,"Jun 02, 2018",0.010193,0.003984,"3,704,740",0.003984,"14,969"
7,0.003985,"Jun 01, 2018",0.004838,0.003643,"4,179,460",0.004494,"4,528"
8,0.004491,"May 31, 2018",0.004602,0.002408,"3,084,460",0.003317,"4,617"
9,0.003318,"May 30, 2018",0.004178,0.003024,"3,632,350",0.003906,"1,938"
10,0.003904,"May 29, 2018",0.005216,0.003580,"4,273,020",0.004595,"19,413"
11,0.004527,"May 28, 2018",0.006121,0.002735,"3,290,290",0.003538,"25,893"
12,0.003537,"May 27, 2018",0.005220,0.003048,"4,851,970",0.005217,"25,060"
13,0.005214,"May 26, 2018",0.007577,0.005074,"5,845,970",0.007307,"14,311"
14,0.007317,"May 25, 2018",0.007597,0.006467,"5,868,700",0.007336,"4,351"
15,0.007322,"May 24, 2018",0.007373,0.006701,"5,722,320",0.007153,"2,053"
16,0.007171,"May 23, 2018",0.007574,0.006967,"5,949,200",0.007437,"1,393"
17,0.007444,"May 22, 2018",0.008093,0.007402,"6,206,840",0.007759,"4,733"
18,0.007761,"May 21, 2018",0.008282,0.007720,"6,621,010",0.008276,"3,653"
19,0.008266,"May 20, 2018",0.008314,0.007637,"6,148,880",0.007686,"7,433"
20,0.007680,"May 19, 2018",0.008030,0.007502,"6,106,960",0.007634,"1,539"
21,0.007635,"May 18, 2018",0.007687,0.007249,"5,886,630",0.007358,"6,164"
22,0.007352,"May 17, 2018",0.009432,0.007352,"6,461,800",0.008077,"31,805"
23,0.008072,"May 16, 2018",0.008126,0.007222,"6,456,970",0.008071,"6,950"
24,0.008076,"May 15, 2018",0.008626,0.007554,"6,042,800",0.007554,"6,176"
25,0.007567,"May 14, 2018",0.008675,0.007522,"6,779,040",0.008474,"6,090"
26,0.008475,"May 13, 2018",0.008837,0.007431,"6,735,060",0.008419,"8,027"
27,0.008422,"May 12, 2018",0.009085,0.008059,"7,157,000",0.008946,"3,361"
28,0.008973,"May 11, 2018",0.010025,0.008303,"7,390,510",0.009238,"2,492"
29,0.009228,"May 10, 2018",0.010112,0.008957,"7,436,540",0.009296,"2,316"
30,0.009299,"May 09, 2018",0.009793,0.008282,"7,008,750",0.008761,"6,068"
31,0.008686,"May 08, 2018",0.010437,0.007551,"7,396,520",0.009246,"13,682"
32,0.009227,"May 07, 2018",0.011014,0.007355,"8,701,250",0.010877,"23,481"
33,0.009655,"May 06, 2018",0.011644,0.008285,"7,755,330",0.009694,"21,933"
34,0.009688,"May 05, 2018",0.012227,0.009010,"8,794,800",0.010993,"18,432"
35,0.010996,"May 04, 2018",0.012030,0.010865,"9,470,110",0.011838,"5,347"
36,0.011843,"May 03, 2018",0.013222,0.011696,"9,619,890",0.012025,"16,382"
37,0.012025,"May 02, 2018",0.012181,0.011149,"9,405,930",0.011757,"10,345"
38,0.011776,"May 01, 2018",0.012280,0.010876,"9,750,910",0.012189,"4,967"
39,0.012168,"Apr 30, 2018",0.012737,0.010563,"10,119,400",0.012649,"10,598"
40,0.012653,"Apr 29, 2018",0.012776,0.011374,"9,719,270",0.012149,"7,697"
41,0.012154,"Apr 28, 2018",0.012987,0.011282,"9,539,220",0.011924,"9,943"
42,0.011963,"Apr 27, 2018",0.012462,0.010889,"9,783,930",0.012230,"12,785"
43,0.012213,"Apr 26, 2018",0.012372,0.011135,"9,889,740",0.012362,"4,170"
44,0.012260,"Apr 25, 2018",0.013153,0.010844,"9,862,250",0.012328,"14,290"
45,0.012410,"Apr 24, 2018",0.013238,0.011581,"10,291,300",0.012864,"21,386"
46,0.012853,"Apr 23, 2018",0.013679,0.011087,"9,882,300",0.012353,"12,553"
47,0.012378,"Apr 22, 2018",0.014349,0.010829,"10,453,100",0.013066,"13,684"
48,0.013066,"Apr 21, 2018",0.013755,0.011785,"10,383,100",0.012979,"13,121"
49,0.012975,"Apr 20, 2018",0.014931,0.010598,"11,448,400",0.014311,"38,057"
50,0.014255,"Apr 19, 2018",0.014332,0.012684,"10,612,700",0.013266,"10,789"
51,0.013256,"Apr 18, 2018",0.014175,0.012292,"9,948,290",0.012435,"22,019"
52,0.012424,"Apr 17, 2018",0.014463,0.012047,"11,067,500",0.013834,"22,461"
53,0.013827,"Apr 16, 2018",0.016377,0.012288,"11,824,400",0.014781,"25,950"
54,0.014786,"Apr 15, 2018",0.022132,0.012631,"11,093,600",0.013867,"116,939"
55,0.013855,"Apr 14, 2018",0.017422,0.011988,"9,894,860",0.012369,"42,210"
56,0.012729,"Apr 13, 2018",0.014414,0.008831,"8,171,640",0.010215,"22,010"
57,0.010202,"Apr 12, 2018",0.013498,0.007435,"6,628,050",0.008285,"29,127"
58,0.008305,"Apr 11, 2018",0.010076,0.006992,"5,801,220",0.007252,"19,282"
59,0.007245,"Apr 10, 2018",0.008955,0.006283,"5,943,430",0.007429,"29,370"
60,0.007422,"Apr 09, 2018",0.008891,0.006859,"6,678,340",0.008348,"23,626"
61,0.008229,"Apr 08, 2018",0.011851,0.007361,"6,514,630",0.008143,"63,040"
62,0.008133,"Apr 07, 2018",0.008791,0.007211,"6,404,250",0.008005,"10,239"
63,0.007996,"Apr 06, 2018",0.009647,0.007483,"7,112,020",0.008890,"15,358"
64,0.008934,"Apr 05, 2018",0.011796,0.006450,"9,436,970",0.011796,"28,127"
65,0.011106,"Apr 04, 2018",0.015488,0.010107,"12,365,200",0.015456,"38,821"
66,0.015466,"Apr 03, 2018",0.018866,0.013496,-,0.015526,"76,667"
67,0.015515,"Apr 02, 2018",0.015515,0.012776,-,0.012776,"93,524"
