,close,date,high,low,market_cap,open,volume
0,0.351990,"Jun 08, 2018",0.375195,0.330338,-,0.334266,"3,235"
1,0.334013,"Jun 07, 2018",0.383698,0.333058,-,0.346009,"2,582"
2,0.345691,"Jun 06, 2018",0.380599,0.326207,-,0.379670,"3,992"
3,0.379772,"Jun 05, 2018",0.380457,0.285905,-,0.326200,"6,614"
4,0.326043,"Jun 04, 2018",0.365267,0.284641,-,0.346901,"11,282"
5,0.352441,"Jun 03, 2018",0.428256,0.352110,-,0.360518,"11,820"
6,0.360420,"Jun 02, 2018",0.383315,0.351300,-,0.369292,"3,341"
7,0.369451,"Jun 01, 2018",0.385280,0.362426,-,0.369712,"4,620"
8,0.369443,"May 31, 2018",0.387040,0.360940,-,0.362711,"2,264"
9,0.362778,"May 30, 2018",0.387460,0.358990,-,0.373603,"4,642"
10,0.373352,"May 29, 2018",0.383381,0.348871,-,0.350800,558
11,0.350914,"May 28, 2018",0.380051,0.349850,-,0.376672,"2,948"
12,0.376584,"May 27, 2018",0.377519,0.357195,-,0.371229,"2,991"
13,0.371064,"May 26, 2018",0.389086,0.368144,-,0.370410,"7,560"
14,0.370897,"May 25, 2018",0.391265,0.366173,-,0.388272,"3,629"
15,0.387544,"May 24, 2018",0.390225,0.358287,-,0.375375,"3,489"
16,0.376325,"May 23, 2018",0.412892,0.367073,-,0.411697,"3,424"
17,0.412124,"May 22, 2018",0.425355,0.397233,-,0.421981,"2,664"
18,0.422057,"May 21, 2018",0.441492,0.408493,-,0.439332,"4,408"
19,0.438784,"May 20, 2018",0.460022,0.425872,-,0.457621,"7,683"
20,0.457279,"May 19, 2018",0.508874,0.450825,-,0.453224,"1,137"
21,0.453293,"May 18, 2018",0.463115,0.397917,-,0.403902,"7,512"
22,0.403548,"May 17, 2018",0.501372,0.379853,-,0.451562,"10,014"
23,0.451286,"May 16, 2018",0.527252,0.396884,-,0.414040,"9,893"
24,0.414279,"May 15, 2018",0.476239,0.411892,-,0.468421,929
25,0.469226,"May 14, 2018",0.477788,0.406504,-,0.470579,547
26,0.470664,"May 13, 2018",0.474146,0.400951,-,0.414326,449
27,0.414469,"May 12, 2018",0.479820,0.408004,-,0.461721,389
28,0.463082,"May 11, 2018",0.515163,0.371191,-,0.515163,"2,399"
29,0.481327,"May 10, 2018",0.542312,0.456855,-,0.493447,"6,845"
30,0.493586,"May 09, 2018",0.498900,0.427833,-,0.429960,"6,573"
31,0.430617,"May 08, 2018",0.526217,0.415483,-,0.459071,"6,298"
32,0.458099,"May 07, 2018",0.543275,0.426829,-,0.451939,"4,974"
33,0.451615,"May 06, 2018",0.567557,0.445460,-,0.508240,"15,260"
34,0.540310,"May 05, 2018",0.592163,0.491991,-,0.539879,"15,491"
35,0.543723,"May 04, 2018",0.628968,0.484045,-,0.494303,"13,568"
36,0.494496,"May 03, 2018",0.609669,0.461503,-,0.488617,"7,761"
37,0.488600,"May 02, 2018",0.622622,0.453381,-,0.522653,"7,381"
38,0.523441,"May 01, 2018",0.617039,0.440852,-,0.510093,"7,074"
39,0.509648,"Apr 30, 2018",0.567283,0.464597,-,0.531186,"5,607"
40,0.531363,"Apr 29, 2018",0.632193,0.427782,-,0.474367,"6,723"
41,0.473569,"Apr 28, 2018",0.476734,0.449707,-,0.450863,"8,831"
42,0.452415,"Apr 27, 2018",0.553845,0.452415,-,0.539418,"8,437"
43,0.538673,"Apr 26, 2018",0.621619,0.356844,-,0.365775,"11,161"
44,0.362768,"Apr 25, 2018",0.487419,0.362261,-,0.450862,"3,032"
45,0.453946,"Apr 24, 2018",0.475841,0.435441,-,0.447853,"3,204"
46,0.447472,"Apr 23, 2018",0.571457,0.362889,-,0.464085,"7,006"
47,0.465023,"Apr 22, 2018",0.642184,0.445459,-,0.595249,"10,381"
48,0.595249,"Apr 21, 2018",0.681810,0.544544,-,0.614335,"4,769"
49,0.614124,"Apr 20, 2018",0.684349,0.497129,-,0.497452,"5,071"
50,0.497125,"Apr 19, 2018",0.756446,0.441014,-,0.601058,"11,264"
