,close,date,high,low,market_cap,open,volume
0,0.039760,"Jun 08, 2018",0.040547,0.038300,"6,925,090",0.040251,"18,271"
1,0.040230,"Jun 07, 2018",0.041606,0.039801,"7,041,920",0.040930,"38,387"
2,0.040928,"Jun 06, 2018",0.042297,0.040473,"7,140,940",0.041559,"48,135"
3,0.041571,"Jun 05, 2018",0.042596,0.039879,"7,131,040",0.041501,"59,911"
4,0.041696,"Jun 04, 2018",0.045146,0.040543,"7,584,190",0.044138,"68,323"
5,0.044142,"Jun 03, 2018",0.047504,0.043264,"7,821,860",0.044960,"79,866"
6,0.044969,"Jun 02, 2018",0.046051,0.040935,"8,009,510",0.046039,"67,027"
7,0.046041,"Jun 01, 2018",0.048138,0.041620,"7,341,670",0.042200,"101,024"
8,0.042171,"May 31, 2018",0.043634,0.040962,"7,195,060",0.041362,"44,749"
9,0.041404,"May 30, 2018",0.044771,0.040129,"7,364,130",0.042334,"60,205"
10,0.042325,"May 29, 2018",0.044107,0.039739,"7,036,320",0.040449,"51,326"
11,0.040469,"May 28, 2018",0.045058,0.039705,"7,837,970",0.045057,"78,074"
12,0.044916,"May 27, 2018",0.047344,0.042974,"8,113,170",0.046639,"105,907"
13,0.047033,"May 26, 2018",0.049864,0.045984,"8,604,680",0.049465,"63,683"
14,0.048739,"May 25, 2018",0.052989,0.046864,"8,695,640",0.049988,"107,407"
15,0.049970,"May 24, 2018",0.054704,0.047056,"8,906,400",0.051199,"141,293"
16,0.051217,"May 23, 2018",0.059597,0.048274,"10,244,500",0.058891,"166,883"
17,0.058906,"May 22, 2018",0.065748,0.057637,"10,783,300",0.062028,"211,078"
18,0.062038,"May 21, 2018",0.065402,0.057350,"10,197,000",0.058655,"340,661"
19,0.058646,"May 20, 2018",0.059213,0.055491,"10,042,900",0.057769,"117,214"
20,0.057761,"May 19, 2018",0.059809,0.055762,"10,095,500",0.058071,"116,104"
21,0.058772,"May 18, 2018",0.059288,0.054620,"10,232,900",0.058834,"234,909"
22,0.058321,"May 17, 2018",0.068304,0.056904,"11,757,200",0.067559,"303,451"
23,0.068552,"May 16, 2018",0.068606,0.060708,"11,387,400",0.065397,"181,778"
24,0.068029,"May 15, 2018",0.075401,0.067159,"11,979,800",0.068806,"287,171"
25,0.069385,"May 14, 2018",0.072907,0.062121,"11,941,400",0.068585,"251,366"
26,0.068668,"May 13, 2018",0.074299,0.065983,"11,488,300",0.065983,"242,318"
27,0.065217,"May 12, 2018",0.072657,0.062590,"11,679,600",0.067082,"324,347"
28,0.067517,"May 11, 2018",0.083788,0.066103,"14,141,500",0.081222,"540,119"
29,0.081067,"May 10, 2018",0.091492,0.081067,"14,497,200",0.083265,"1,127,970"
30,0.083499,"May 09, 2018",0.084297,0.070853,"13,542,800",0.077783,"578,556"
31,0.078130,"May 08, 2018",0.086963,0.076869,"14,296,000",0.082109,"539,688"
32,0.082491,"May 07, 2018",0.096543,0.075972,"16,099,600",0.093271,"2,168,770"
33,0.096412,"May 06, 2018",0.097912,0.064199,"11,150,400",0.064711,"3,060,030"
34,0.064705,"May 05, 2018",0.068165,0.062539,"11,022,300",0.063967,"240,922"
35,0.063963,"May 04, 2018",0.068189,0.062429,"11,049,600",0.064126,"225,847"
36,0.064175,"May 03, 2018",0.070144,0.061423,"10,801,400",0.062686,"345,907"
37,0.062521,"May 02, 2018",0.064300,0.057763,"10,291,700",0.059727,"176,372"
38,0.059716,"May 01, 2018",0.062456,0.056881,"10,476,800",0.060801,"152,959"
39,0.060746,"Apr 30, 2018",0.064214,0.055090,"9,824,630",0.057022,"202,200"
40,0.057385,"Apr 29, 2018",0.065536,0.053432,"10,354,100",0.060095,"231,714"
41,0.060738,"Apr 28, 2018",0.061859,0.058564,"10,164,800",0.058997,"123,880"
42,0.059616,"Apr 27, 2018",0.064325,0.058256,"10,703,200",0.062122,"118,280"
43,0.062095,"Apr 26, 2018",0.066161,0.056528,"9,999,000",0.058034,"117,504"
44,0.057460,"Apr 25, 2018",0.076013,0.055956,"12,485,100",0.072465,"288,288"
45,0.072174,"Apr 24, 2018",0.079340,0.067761,"11,755,300",0.068229,"201,287"
46,0.068209,"Apr 23, 2018",0.070929,0.066310,"11,981,600",0.069543,"224,969"
47,0.069659,"Apr 22, 2018",0.072572,0.063431,"11,152,700",0.064732,"417,792"
48,0.064321,"Apr 21, 2018",0.074151,0.059415,"11,753,600",0.068935,"444,560"
49,0.069108,"Apr 20, 2018",0.069108,0.054629,"9,421,980",0.055260,"274,107"
50,0.057654,"Apr 19, 2018",0.059562,0.041643,"7,794,110",0.045713,"356,458"
51,0.045896,"Apr 18, 2018",0.046600,0.044413,"7,829,020",0.045917,"62,621"
52,0.045909,"Apr 17, 2018",0.047817,0.044359,"7,682,960",0.045061,"50,620"
53,0.045061,"Apr 16, 2018",0.048982,0.044179,"7,857,560",0.046093,"72,594"
54,0.045753,"Apr 15, 2018",0.050722,0.038732,"6,602,720",0.038732,"128,745"
55,0.038617,"Apr 14, 2018",0.042449,0.037985,"7,083,350",0.041552,"28,488"
56,0.040246,"Apr 13, 2018",0.043783,0.039825,"7,297,110",0.042806,"108,146"
57,0.042159,"Apr 12, 2018",0.042159,0.036732,"6,389,280",0.037480,"65,878"
58,0.037805,"Apr 11, 2018",0.040114,0.036625,"6,772,920",0.039731,"39,718"
59,0.039678,"Apr 10, 2018",0.040052,0.036296,"6,633,620",0.038914,"28,520"
60,0.038859,"Apr 09, 2018",0.043617,0.037496,"6,955,560",0.040802,"37,533"
61,0.040912,"Apr 08, 2018",0.044427,0.039782,"7,339,720",0.043056,"82,871"
62,0.043333,"Apr 07, 2018",0.045773,0.039061,"7,501,850",0.044007,"107,156"
63,0.043995,"Apr 06, 2018",0.048725,0.042438,"8,239,840",0.048336,"50,077"
64,0.047924,"Apr 05, 2018",0.049460,0.045162,"8,274,900",0.048542,"43,921"
65,0.048562,"Apr 04, 2018",0.054496,0.045702,"9,168,600",0.053784,"83,072"
66,0.052763,"Apr 03, 2018",0.054240,0.048685,"8,673,010",0.050877,"55,710"
67,0.050822,"Apr 02, 2018",0.051799,0.046270,"8,097,300",0.047500,"43,634"
68,0.046383,"Apr 01, 2018",0.051738,0.042478,"8,717,620",0.051139,"38,261"
69,0.051130,"Mar 31, 2018",0.051616,0.046157,"7,884,550",0.046252,"30,029"
70,0.046279,"Mar 30, 2018",0.050998,0.044149,"8,152,330",0.047822,"46,305"
71,0.047943,"Mar 29, 2018",0.057750,0.047455,"9,824,820",0.057633,"61,196"
72,0.057698,"Mar 28, 2018",0.060250,0.051973,"9,659,420",0.056663,"59,128"
73,0.056664,"Mar 27, 2018",0.062908,0.053608,"10,672,700",0.062607,"40,114"
74,0.059369,"Mar 26, 2018",0.069831,0.053561,"11,854,200",0.069538,"108,593"
75,0.069671,"Mar 25, 2018",0.088791,0.055917,"10,174,000",0.059682,"138,251"
76,0.060340,"Mar 24, 2018",0.061494,0.056113,"9,713,080",0.056978,"39,743"
77,0.056364,"Mar 23, 2018",0.061914,0.054315,"10,484,700",0.061505,"68,886"
78,0.061497,"Mar 22, 2018",0.063033,0.055389,"10,334,100",0.060621,"56,564"
79,0.060534,"Mar 21, 2018",0.075352,0.059051,"10,965,100",0.064323,"168,435"
80,0.064006,"Mar 20, 2018",0.067853,0.054264,"10,190,200",0.059777,"66,976"
81,0.059241,"Mar 19, 2018",0.060163,0.049781,"9,327,880",0.054718,"76,221"
82,0.054937,"Mar 18, 2018",0.056900,0.046226,"9,123,500",0.053519,"75,221"
83,0.053600,"Mar 17, 2018",0.064568,0.051797,"10,602,700",0.062197,"47,707"
84,0.062139,"Mar 16, 2018",0.065105,0.049765,"9,654,170",0.056633,"67,513"
85,0.056642,"Mar 15, 2018",0.058318,0.051124,"9,636,800",0.056531,"56,074"
86,0.056917,"Mar 14, 2018",0.075358,0.056237,"12,554,300",0.073645,"49,523"
87,0.073351,"Mar 13, 2018",0.076199,0.064608,"11,013,700",0.064608,"123,354"
88,0.064744,"Mar 12, 2018",0.068844,0.059033,"10,858,100",0.063695,"57,800"
89,0.063725,"Mar 11, 2018",0.064315,0.055242,"9,762,040",0.057265,"25,566"
90,0.057568,"Mar 10, 2018",0.065100,0.056720,"9,706,610",0.056940,"35,607"
91,0.056946,"Mar 09, 2018",0.057114,0.048934,"9,536,790",0.055944,"58,196"
92,0.056097,"Mar 08, 2018",0.065781,0.054498,"10,526,400",0.061749,"74,518"
93,0.062845,"Mar 07, 2018",0.075781,0.056274,"12,015,900",0.070486,"160,525"
94,0.070853,"Mar 06, 2018",0.077297,0.070035,"12,552,900",0.073636,"129,361"
95,0.073404,"Mar 05, 2018",0.075266,0.071459,"12,608,300",0.073961,"58,665"
96,0.073495,"Mar 04, 2018",0.078352,0.072755,"13,352,500",0.078327,"54,010"
97,0.078377,"Mar 03, 2018",0.082723,0.077557,"13,948,400",0.081823,"103,815"
98,0.081896,"Mar 02, 2018",0.089234,0.079233,"14,985,400",0.087906,"73,644"
99,0.087963,"Mar 01, 2018",0.089247,0.076197,"14,195,200",0.083271,"205,849"
100,0.083231,"Feb 28, 2018",0.092969,0.082729,"14,763,900",0.086607,"162,280"
101,0.086619,"Feb 27, 2018",0.091740,0.083402,-,0.087694,"82,632"
102,0.087454,"Feb 26, 2018",0.094468,0.084316,-,0.085810,"198,624"
103,0.085774,"Feb 25, 2018",0.089700,0.082446,-,0.087317,"78,393"
104,0.087495,"Feb 24, 2018",0.093049,0.084018,-,0.090131,"83,527"
105,0.090233,"Feb 23, 2018",0.094451,0.084101,-,0.085723,"144,456"
106,0.085278,"Feb 22, 2018",0.102044,0.083588,-,0.095107,"104,736"
107,0.095224,"Feb 21, 2018",0.102060,0.085926,-,0.101571,"149,568"
108,0.101633,"Feb 20, 2018",0.141283,0.100961,-,0.112290,"389,935"
109,0.112703,"Feb 19, 2018",0.118782,0.100511,-,0.102280,"313,187"
110,0.102620,"Feb 18, 2018",0.117237,0.100046,-,0.113469,"233,274"
111,0.112896,"Feb 17, 2018",0.118570,0.107703,-,0.113177,"418,224"
112,0.113138,"Feb 16, 2018",0.116969,0.102516,-,0.107744,"480,287"
113,0.107218,"Feb 15, 2018",0.112904,0.099742,-,0.099977,"359,941"
114,0.100229,"Feb 14, 2018",0.100229,0.089927,-,0.090726,"278,696"
115,0.090810,"Feb 13, 2018",0.105874,0.088702,-,0.095881,"584,058"
116,0.095481,"Feb 12, 2018",0.100654,0.088849,-,0.089359,"276,825"
117,0.088976,"Feb 11, 2018",0.097400,0.080547,-,0.092575,"256,071"
118,0.092646,"Feb 10, 2018",0.113441,0.082992,-,0.096588,"734,917"
119,0.090579,"Feb 09, 2018",0.115840,0.090579,-,0.112757,"468,293"
120,0.114386,"Feb 08, 2018",0.124563,0.107345,-,0.112844,"270,889"
121,0.113234,"Feb 07, 2018",0.147848,0.112409,-,0.140155,"442,823"
122,0.140855,"Feb 06, 2018",0.143555,0.080325,-,0.106099,"626,433"
123,0.105862,"Feb 05, 2018",0.144733,0.093639,-,0.141061,"473,789"
124,0.145307,"Feb 04, 2018",0.185387,0.130701,-,0.182773,"755,233"
125,0.182747,"Feb 03, 2018",0.192144,0.165408,-,0.175150,"732,244"
126,0.175029,"Feb 02, 2018",0.178437,0.133803,-,0.176093,"4,347,710"
127,0.178521,"Feb 01, 2018",0.241140,0.149894,-,0.204897,"3,880,870"
128,0.204504,"Jan 31, 2018",0.240718,0.187689,-,0.240718,"4,470,640"
129,0.239227,"Jan 30, 2018",0.354476,0.233135,-,0.354476,"9,140,370"
130,0.357603,"Jan 29, 2018",0.360843,0.248407,-,0.264667,"21,603,900"
