,close,date,high,low,market_cap,open,volume
0,0.027305,"Jun 08, 2018",0.030266,0.024771,"1,847,780",0.026148,"7,154"
1,0.026132,"Jun 07, 2018",0.029020,0.025839,"1,997,840",0.028271,"6,517"
2,0.028247,"Jun 06, 2018",0.029124,0.025065,"1,945,340",0.027528,"8,066"
3,0.027536,"Jun 05, 2018",0.028840,0.026334,"1,925,590",0.027249,"12,128"
4,0.027237,"Jun 04, 2018",0.031070,0.026912,"2,130,910",0.030154,"13,256"
5,0.030154,"Jun 03, 2018",0.099323,0.027597,"2,077,390",0.029397,"55,056"
6,0.028923,"Jun 02, 2018",0.030263,0.023745,"1,724,640",0.024405,"18,960"
7,0.024406,"Jun 01, 2018",0.027418,0.024048,"1,802,880",0.025512,"7,970"
8,0.027760,"May 31, 2018",0.030033,0.024767,"1,894,360",0.026807,"9,896"
9,0.026635,"May 30, 2018",0.029056,0.025217,"1,943,690",0.027505,"6,087"
10,0.027489,"May 29, 2018",0.027500,0.023815,"1,795,940",0.025414,"13,569"
11,0.025431,"May 28, 2018",0.027016,0.023108,"1,830,210",0.025899,"20,263"
12,0.025892,"May 27, 2018",0.029858,0.022899,"1,863,560",0.026371,"20,388"
13,0.026360,"May 26, 2018",0.033321,0.023487,"1,695,930",0.023999,"10,228"
14,0.024028,"May 25, 2018",0.029129,0.021749,"1,638,490",0.023186,"13,728"
15,0.023150,"May 24, 2018",0.028300,0.022021,"1,561,430",0.022096,"15,165"
16,0.022151,"May 23, 2018",0.080027,0.019889,"1,547,730",0.021902,"35,543"
17,0.021923,"May 22, 2018",0.025933,0.021624,"1,826,400",0.025845,"9,545"
18,0.025850,"May 21, 2018",0.025899,0.022142,"1,658,100",0.023464,"9,769"
19,0.023438,"May 20, 2018",0.025637,0.023237,"1,651,270",0.023367,"8,326"
20,0.023352,"May 19, 2018",0.024739,0.020693,"1,492,170",0.021116,"12,134"
21,0.021536,"May 18, 2018",0.023091,0.019561,"1,581,870",0.022385,"10,227"
22,0.022302,"May 17, 2018",0.027357,0.022204,"1,894,240",0.026805,"5,734"
23,0.026790,"May 16, 2018",0.026790,0.022031,"1,700,350",0.024061,"8,131"
24,0.024072,"May 15, 2018",0.025418,0.022606,"1,655,950",0.023433,"2,944"
25,0.023392,"May 14, 2018",0.025257,0.022608,"1,663,060",0.023534,"8,374"
26,0.024699,"May 13, 2018",0.025354,0.022193,"1,592,560",0.022536,"7,227"
27,0.022475,"May 12, 2018",0.023502,0.021573,"1,629,460",0.023058,"6,180"
28,0.022690,"May 11, 2018",0.025194,0.020006,"1,746,710",0.024718,"7,504"
29,0.024755,"May 10, 2018",0.027175,0.022794,"1,732,840",0.024521,"12,316"
30,0.024971,"May 09, 2018",0.026606,0.022451,"1,639,500",0.023200,"6,112"
31,0.023218,"May 08, 2018",0.027155,0.022274,"1,855,890",0.026263,"6,886"
32,0.026203,"May 07, 2018",0.030772,0.024426,"1,967,230",0.027838,"5,738"
33,0.027819,"May 06, 2018",0.045942,0.023755,"1,882,170",0.026634,"54,269"
34,0.026625,"May 05, 2018",0.029329,0.025771,"2,070,020",0.029293,"4,162"
35,0.029304,"May 04, 2018",0.029585,0.024760,"1,823,020",0.025797,"5,613"
36,0.025805,"May 03, 2018",0.026862,0.023867,"1,696,780",0.024011,"5,181"
37,0.023384,"May 02, 2018",0.028403,0.023012,"1,826,350",0.025845,"6,087"
38,0.025875,"May 01, 2018",0.038819,0.024134,"1,920,580",0.027178,"9,676"
39,0.027158,"Apr 30, 2018",0.028397,0.025088,"1,955,240",0.027668,"4,455"
40,0.027671,"Apr 29, 2018",0.029964,0.025594,"1,959,900",0.027734,"4,963"
41,0.027739,"Apr 28, 2018",0.029338,0.026307,"2,046,840",0.028965,"6,104"
42,0.029048,"Apr 27, 2018",0.029897,0.026636,"1,912,520",0.027064,"4,911"
43,0.027040,"Apr 26, 2018",0.029621,0.025215,"1,977,790",0.027988,"8,444"
44,0.027878,"Apr 25, 2018",0.031271,0.024196,"2,088,440",0.029553,"20,667"
45,0.029631,"Apr 24, 2018",0.030116,0.025787,"1,884,870",0.026673,"23,107"
46,0.026663,"Apr 23, 2018",0.029364,0.025834,"1,943,250",0.027499,"14,654"
47,0.027539,"Apr 22, 2018",0.041147,0.026655,"2,176,880",0.030805,"3,505"
48,0.031078,"Apr 21, 2018",0.177316,0.026836,"2,059,710",0.029147,"30,011"
49,0.029142,"Apr 20, 2018",0.030641,0.021032,"1,486,270",0.021032,"3,934"
50,0.021026,"Apr 19, 2018",0.035416,0.018585,"1,962,760",0.027775,"2,034"
51,0.032564,"Apr 18, 2018",0.035956,0.025583,"1,955,010",0.027665,"8,501"
52,0.031017,"Apr 17, 2018",0.041106,0.025580,"1,927,680",0.027279,"9,936"
53,0.028547,"Apr 16, 2018",0.032807,0.025432,"2,275,680",0.032203,"8,542"
54,0.028920,"Apr 15, 2018",0.032371,0.025941,"2,100,080",0.029718,"9,322"
55,0.029625,"Apr 14, 2018",0.032978,0.025618,"2,223,010",0.031458,"8,910"
56,0.028915,"Apr 13, 2018",0.035982,0.025772,"1,931,260",0.027329,"11,078"
57,0.027308,"Apr 12, 2018",0.029416,0.023929,"1,917,000",0.027127,"10,924"
58,0.027197,"Apr 11, 2018",0.035362,0.022603,"2,252,130",0.031870,"8,867"
59,0.026906,"Apr 10, 2018",0.033894,0.022109,"1,840,970",0.026051,"4,903"
60,0.026021,"Apr 09, 2018",0.027291,0.022752,"1,771,200",0.025064,"5,618"
61,0.024323,"Apr 08, 2018",0.027442,0.022022,"1,598,050",0.022614,"6,436"
62,0.023358,"Apr 07, 2018",0.026412,0.021915,"1,584,050",0.022416,"7,851"
63,0.022418,"Apr 06, 2018",0.027468,0.021246,"1,843,850",0.026092,"6,562"
64,0.026219,"Apr 05, 2018",0.032261,0.024850,"1,893,270",0.026791,"3,929"
65,0.032374,"Apr 04, 2018",0.035189,0.024643,"2,132,020",0.030170,"9,974"
66,0.033523,"Apr 03, 2018",0.039701,0.027016,"2,233,510",0.031606,"12,340"
67,0.033256,"Apr 02, 2018",0.035463,0.026124,"2,418,210",0.034220,"10,405"
68,0.026592,"Apr 01, 2018",0.035205,0.025050,"1,956,690",0.027689,"8,464"
69,0.027493,"Mar 31, 2018",0.035772,0.026888,"1,939,980",0.027453,"14,427"
70,0.028007,"Mar 30, 2018",0.035190,0.026230,"2,399,990",0.033962,"22,779"
71,0.033423,"Mar 29, 2018",0.036909,0.025159,"2,254,630",0.031905,"29,550"
72,0.031879,"Mar 28, 2018",0.036244,0.027297,"2,398,310",0.033938,"95,911"
73,0.033940,"Mar 27, 2018",0.039543,0.031320,"2,349,390",0.033246,"23,357"
74,0.033279,"Mar 26, 2018",0.041871,0.031441,"2,513,840",0.035573,"13,476"
75,0.035603,"Mar 25, 2018",0.041998,0.033341,"2,419,680",0.034241,"4,375"
76,0.034638,"Mar 24, 2018",0.043490,0.034638,"2,537,690",0.035911,"3,744"
77,0.035584,"Mar 23, 2018",0.041316,0.033317,"2,444,660",0.034594,"9,959"
78,0.034595,"Mar 22, 2018",0.034795,0.026758,"2,026,540",0.028677,"26,742"
79,0.028666,"Mar 21, 2018",0.035844,0.028125,"2,517,380",0.035623,"7,533"
80,0.035552,"Mar 20, 2018",0.037805,0.028431,"2,458,670",0.034792,"15,076"
81,0.034506,"Mar 19, 2018",0.038565,0.029519,"2,300,640",0.032556,"7,028"
82,0.031746,"Mar 18, 2018",0.035480,0.026009,"2,398,430",0.033940,"20,434"
83,0.033977,"Mar 17, 2018",0.039009,0.033678,"2,678,430",0.037902,"11,505"
84,0.036297,"Mar 16, 2018",0.040355,0.032311,"2,422,770",0.034285,"53,947"
85,0.034305,"Mar 15, 2018",0.041067,0.032758,"2,698,050",0.038180,"23,935"
86,0.038194,"Mar 14, 2018",0.052880,0.038141,"3,448,260",0.048796,"41,411"
87,0.047539,"Mar 13, 2018",0.054128,0.040629,"3,230,600",0.045716,"27,700"
88,0.045849,"Mar 12, 2018",0.052515,0.043066,"3,244,670",0.045915,"10,559"
89,0.045945,"Mar 11, 2018",0.048355,0.040342,"3,304,220",0.046758,"11,603"
90,0.046850,"Mar 10, 2018",0.054647,0.041732,"3,469,270",0.049093,"24,351"
91,0.049092,"Mar 09, 2018",0.056878,0.041918,"3,293,380",0.046604,"37,517"
92,0.046620,"Mar 08, 2018",0.049058,0.036865,"2,605,380",0.036869,"25,972"
93,0.036890,"Mar 07, 2018",0.050972,0.036851,"3,391,000",0.047986,"29,225"
94,0.047986,"Mar 06, 2018",0.056021,0.047559,"3,958,840",0.056021,"6,857"
