,close,date,high,low,market_cap,open,volume
0,0.002135,"Jun 08, 2018",0.002141,0.001827,"21,015,000",0.001925,"107,723"
1,0.001924,"Jun 07, 2018",0.002006,0.001769,"19,310,000",0.001769,"49,663"
2,0.001768,"Jun 06, 2018",0.001929,0.001739,"21,035,700",0.001928,"61,000"
3,0.001924,"Jun 05, 2018",0.001994,0.001788,"20,530,200",0.001882,"31,614"
4,0.001881,"Jun 04, 2018",0.002076,0.001807,"22,575,600",0.002069,"31,564"
5,0.002005,"Jun 03, 2018",0.002073,0.001842,"21,552,300",0.001976,"40,214"
6,0.001975,"Jun 02, 2018",0.002019,0.001836,"20,530,300",0.001882,"38,257"
7,0.001883,"Jun 01, 2018",0.002002,0.001847,"21,283,800",0.001952,"68,557"
8,0.001950,"May 31, 2018",0.002107,0.001801,"20,098,700",0.001843,"72,010"
9,0.001844,"May 30, 2018",0.001956,0.001802,"21,122,900",0.001937,"77,841"
10,0.001936,"May 29, 2018",0.001942,0.001586,"20,168,600",0.001850,"107,420"
11,0.001851,"May 28, 2018",0.002076,0.001719,"22,446,200",0.002059,"88,368"
12,0.002059,"May 27, 2018",0.002208,0.001974,"23,194,500",0.002128,"66,638"
13,0.002127,"May 26, 2018",0.002331,0.002000,"21,984,900",0.002017,"92,808"
14,0.002020,"May 25, 2018",0.002098,0.001929,"22,214,000",0.002039,"41,451"
15,0.002035,"May 24, 2018",0.002082,0.001838,"22,166,500",0.002035,"82,877"
16,0.002040,"May 23, 2018",0.002382,0.001889,"23,517,700",0.002159,"111,509"
17,0.002163,"May 22, 2018",0.002525,0.002004,"27,485,800",0.002523,"161,205"
18,0.002524,"May 21, 2018",0.002968,0.002358,"30,633,000",0.002817,"101,056"
19,0.002813,"May 20, 2018",0.002978,0.002503,"29,601,700",0.002722,"160,513"
20,0.002721,"May 19, 2018",0.003008,0.002710,"31,338,900",0.002882,"52,887"
21,0.002883,"May 18, 2018",0.002961,0.002709,"30,809,500",0.002833,"95,855"
22,0.002907,"May 17, 2018",0.003252,0.002526,"28,279,400",0.002601,"185,841"
23,0.002600,"May 16, 2018",0.002972,0.002590,"32,316,500",0.002972,"139,373"
24,0.002974,"May 15, 2018",0.003414,0.002806,"34,910,800",0.003211,"241,610"
25,0.003216,"May 14, 2018",0.003525,0.003120,"36,884,700",0.003392,"201,171"
26,0.003395,"May 13, 2018",0.003504,0.002944,"34,066,900",0.003133,"155,554"
27,0.003132,"May 12, 2018",0.003361,0.002861,"32,949,400",0.003030,"206,762"
28,0.003115,"May 11, 2018",0.004010,0.002936,"43,248,600",0.003977,"499,510"
29,0.003976,"May 10, 2018",0.004805,0.002898,"33,208,300",0.003054,"1,480,970"
30,0.003055,"May 09, 2018",0.003133,0.002456,"28,024,800",0.002577,"297,237"
31,0.002581,"May 08, 2018",0.002594,0.002315,"26,585,300",0.002445,"111,985"
32,0.002440,"May 07, 2018",0.002878,0.002333,"30,277,200",0.002787,"182,347"
33,0.002785,"May 06, 2018",0.002878,0.002277,"25,628,800",0.002359,"316,972"
34,0.002358,"May 05, 2018",0.002448,0.001992,"24,274,400",0.002234,"210,785"
35,0.002235,"May 04, 2018",0.002337,0.001925,"23,236,800",0.002139,"166,499"
36,0.002140,"May 03, 2018",0.002148,0.001841,"21,023,500",0.001935,"192,911"
37,0.001935,"May 02, 2018",0.002018,0.001808,"20,773,300",0.001912,"99,056"
38,0.001915,"May 01, 2018",0.002071,0.001685,"19,088,700",0.001757,"205,503"
39,0.001756,"Apr 30, 2018",0.001881,0.001684,"20,376,000",0.001876,"157,450"
