,close,date,high,low,market_cap,open,volume
0,0.022786,"Jun 08, 2018",0.022894,0.020299,-,0.022133,"82,653"
1,0.022095,"Jun 07, 2018",0.023051,0.020665,-,0.022701,"12,536"
2,0.022708,"Jun 06, 2018",0.023777,0.020294,-,0.023659,"29,388"
3,0.023707,"Jun 05, 2018",0.023707,0.019963,-,0.021118,"73,973"
4,0.021119,"Jun 04, 2018",0.023088,0.020131,-,0.022828,"30,588"
5,0.022858,"Jun 03, 2018",0.023159,0.021439,-,0.022653,"20,474"
6,0.022672,"Jun 02, 2018",0.023005,0.019913,-,0.021443,"45,014"
7,0.021449,"Jun 01, 2018",0.023680,0.019471,-,0.021434,"51,864"
8,0.021388,"May 31, 2018",0.025059,0.021309,-,0.021802,"33,468"
9,0.021822,"May 30, 2018",0.022998,0.019172,-,0.022043,"66,716"
10,0.022029,"May 29, 2018",0.022559,0.019878,-,0.020411,"32,238"
11,0.020771,"May 28, 2018",0.023724,0.019997,-,0.023686,"18,585"
12,0.023687,"May 27, 2018",0.025127,0.021595,-,0.024624,"19,904"
13,0.024577,"May 26, 2018",0.026098,0.023445,-,0.024305,"17,953"
14,0.024302,"May 25, 2018",0.026299,0.022612,-,0.025973,"40,653"
15,0.025943,"May 24, 2018",0.026089,0.021384,-,0.024079,"31,588"
16,0.024184,"May 23, 2018",0.028843,0.022759,-,0.026569,"65,360"
17,0.026621,"May 22, 2018",0.030263,0.024033,-,0.030137,"100,258"
18,0.029552,"May 21, 2018",0.032962,0.028630,-,0.032043,"82,071"
19,0.032002,"May 20, 2018",0.034442,0.031354,-,0.033432,"128,296"
20,0.033404,"May 19, 2018",0.035070,0.030733,-,0.034377,"122,869"
21,0.034377,"May 18, 2018",0.034382,0.029017,-,0.029875,"139,974"
22,0.030764,"May 17, 2018",0.032011,0.028807,-,0.029884,"81,576"
23,0.029850,"May 16, 2018",0.031681,0.026935,-,0.029601,"168,280"
24,0.029633,"May 15, 2018",0.032449,0.028138,-,0.028922,"116,233"
25,0.028962,"May 14, 2018",0.032512,0.027263,-,0.029119,"89,162"
26,0.029130,"May 13, 2018",0.032925,0.027160,-,0.029602,"113,279"
27,0.029660,"May 12, 2018",0.029889,0.022328,-,0.026905,"67,308"
28,0.026956,"May 11, 2018",0.032032,0.025668,-,0.031574,"67,799"
29,0.031551,"May 10, 2018",0.039132,0.028590,-,0.033779,"250,977"
30,0.033753,"May 09, 2018",0.038883,0.028517,-,0.030145,"82,503"
31,0.030184,"May 08, 2018",0.047612,0.026423,-,0.031557,"47,004"
32,0.031386,"May 07, 2018",0.036093,0.029201,-,0.034900,"41,036"
33,0.034878,"May 06, 2018",0.045124,0.031058,-,0.044740,"41,382"
34,0.044739,"May 05, 2018",0.056923,0.037430,-,0.037962,"23,812"
35,0.037927,"May 04, 2018",0.038871,0.033974,-,0.037344,"73,206"
36,0.037458,"May 03, 2018",0.037691,0.028553,-,0.029692,"198,292"
37,0.029695,"May 02, 2018",0.029804,0.022777,-,0.026586,"98,890"
38,0.026663,"May 01, 2018",0.027451,0.023476,-,0.027451,"50,972"
39,0.027476,"Apr 30, 2018",0.027815,0.022988,-,0.022988,"163,106"
40,0.022985,"Apr 29, 2018",0.026854,0.021614,-,0.025472,"116,015"
41,0.025494,"Apr 28, 2018",0.031876,0.021884,-,0.025728,"11,357"
42,0.025947,"Apr 27, 2018",0.029132,0.024293,-,0.027184,"91,215"
43,0.027137,"Apr 26, 2018",0.028129,0.022934,-,0.023501,"58,892"
44,0.023272,"Apr 25, 2018",0.028735,0.022073,-,0.028735,"115,567"
45,0.028748,"Apr 24, 2018",0.029845,0.022045,-,0.027339,"111,804"
46,0.027338,"Apr 23, 2018",0.027878,0.024692,-,0.026977,"59,929"
47,0.027078,"Apr 22, 2018",0.028108,0.023013,-,0.025069,"82,661"
48,0.025446,"Apr 21, 2018",0.030328,0.010241,-,0.022608,"196,869"
49,0.022622,"Apr 20, 2018",0.024998,0.021563,-,0.022585,"51,333"
50,0.022614,"Apr 19, 2018",0.022614,0.018518,-,0.018592,"52,723"
51,0.020318,"Apr 18, 2018",0.179742,0.017493,-,0.017964,"16,139"
52,0.017955,"Apr 17, 2018",0.020656,0.017170,-,0.018388,"41,826"
53,0.018391,"Apr 16, 2018",0.018595,0.015276,-,0.016939,"31,647"
54,0.016917,"Apr 15, 2018",0.016917,0.015095,-,0.016000,"15,341"
55,0.016010,"Apr 14, 2018",0.017313,0.013965,-,0.014552,"32,616"
56,0.014552,"Apr 13, 2018",0.017536,0.012596,-,0.013543,"56,180"
57,0.013519,"Apr 12, 2018",0.013556,0.010586,-,0.011535,"25,353"
58,0.011591,"Apr 11, 2018",0.013418,0.011018,-,0.013418,"16,085"
59,0.013387,"Apr 10, 2018",0.013394,0.010343,-,0.011068,"25,220"
60,0.011017,"Apr 09, 2018",0.012066,0.009608,-,0.009608,"4,992"
61,0.009585,"Apr 08, 2018",0.011158,0.008932,-,0.008947,"14,815"
62,0.008951,"Apr 07, 2018",0.010170,0.008612,-,0.010167,"11,808"
63,0.010169,"Apr 06, 2018",0.010184,0.008583,-,0.008830,"20,391"
64,0.008864,"Apr 05, 2018",0.009777,0.007346,-,0.008569,"103,191"
65,0.008579,"Apr 04, 2018",0.010582,0.007414,-,0.009641,"86,739"
66,0.009622,"Apr 03, 2018",0.011757,0.008553,-,0.010139,"65,975"
67,0.010128,"Apr 02, 2018",0.010882,0.009461,-,0.009988,"42,296"
