,close,date,high,low,market_cap,open,volume
0,0.002231,"May 25, 2018",0.002296,0.002219,"35,727",0.002269,8
1,0.002265,"May 24, 2018",0.002471,0.001674,"29,602",0.001880,371
2,0.001885,"May 23, 2018",0.004655,0.001869,"73,096",0.004642,954
3,0.004647,"May 22, 2018",0.005467,0.002084,"86,055",0.005465,"1,497"
4,0.005466,"May 21, 2018",0.006476,0.003112,"100,709",0.006396,"1,235"
5,0.006388,"May 20, 2018",0.006437,0.003359,"53,234",0.003381,284
6,0.003378,"May 19, 2018",0.003431,0.001721,"27,245",0.001730,343
7,0.001730,"May 18, 2018",0.004314,0.001702,"63,601",0.004039,304
8,0.004035,"May 17, 2018",0.011652,0.004012,"181,413",0.011521,171
9,0.011514,"May 16, 2018",0.014778,0.001888,"232,514",0.014766,897
10,0.014774,"May 15, 2018",0.014794,0.005889,"92,884",0.005899,534
11,0.005909,"May 14, 2018",0.037961,0.005459,"596,487",0.037880,"2,277"
12,0.037887,"May 13, 2018",0.042246,0.030814,"641,358",0.040730,"4,739"
13,0.040744,"May 12, 2018",0.050760,0.033139,"604,146",0.038367,"5,742"
14,0.038480,"May 11, 2018",0.051652,0.029235,"687,885",0.043685,"12,069"
15,0.043632,"May 10, 2018",0.060252,0.039244,"658,512",0.041819,"5,470"
16,0.041831,"May 09, 2018",0.041831,0.034102,"549,261",0.034881,865
17,0.034934,"May 08, 2018",0.045264,0.026305,"707,882",0.044954,"2,169"
18,0.044859,"May 07, 2018",0.045122,0.031640,"606,241",0.038500,"5,447"
19,0.038472,"May 06, 2018",0.044544,0.033460,"694,912",0.044131,"7,290"
20,0.044101,"May 05, 2018",0.044945,0.032768,"516,792",0.032819,"4,609"
21,0.032978,"May 04, 2018",0.039493,0.031152,"621,886",0.039493,"2,922"
22,0.043974,"May 03, 2018",0.044471,0.031766,"501,407",0.031842,"4,007"
23,0.031841,"May 02, 2018",0.037123,0.030167,"512,952",0.032575,"1,559"
24,0.032624,"May 01, 2018",0.035485,0.032263,"558,767",0.035485,509
25,0.035454,"Apr 30, 2018",0.040553,0.035256,"555,160",0.035256,"5,378"
26,0.035173,"Apr 29, 2018",0.035434,0.033301,"545,963",0.034672,"3,097"
27,0.034685,"Apr 28, 2018",0.039535,0.033433,"575,604",0.036554,"2,486"
28,0.036680,"Apr 27, 2018",0.038078,0.034835,"553,386",0.035143,"1,303"
29,0.035095,"Apr 26, 2018",0.036421,0.031835,"520,141",0.033032,"1,954"
30,0.032760,"Apr 25, 2018",0.043852,0.032760,"685,676",0.043544,"4,468"
31,0.043842,"Apr 24, 2018",0.043842,0.035864,"611,341",0.038823,"7,476"
32,0.038790,"Apr 23, 2018",0.038904,0.029736,"468,637",0.029761,"2,976"
33,0.029821,"Apr 22, 2018",0.031571,0.024613,"414,722",0.026337,956
34,0.026337,"Apr 21, 2018",0.032182,0.025386,"505,317",0.032090,"3,099"
35,0.032079,"Apr 20, 2018",0.032363,0.029853,"489,455",0.031083,"1,195"
36,0.030991,"Apr 19, 2018",0.033676,0.026831,"463,340",0.029425,"3,056"
37,0.029451,"Apr 18, 2018",0.032428,0.028373,"472,482",0.030005,"3,546"
38,0.029977,"Apr 17, 2018",0.030468,0.029329,"476,590",0.030266,"1,343"
39,0.030251,"Apr 16, 2018",0.031712,0.029692,"499,360",0.031712,"1,343"
40,0.031725,"Apr 15, 2018",0.033287,0.030005,"472,473",0.030005,"1,112"
41,0.029972,"Apr 14, 2018",0.032958,0.029559,"515,390",0.032730,856
42,0.032723,"Apr 13, 2018",0.034555,0.029933,"512,839",0.032568,"2,096"
43,0.032527,"Apr 12, 2018",0.035049,0.029813,"479,113",0.030426,"1,283"
44,0.030500,"Apr 11, 2018",0.031251,0.025050,"430,158",0.027317,"1,584"
45,0.027291,"Apr 10, 2018",0.029120,0.024240,"425,816",0.027042,957
46,0.027020,"Apr 09, 2018",0.028805,0.024355,"421,329",0.026757,853
47,0.026713,"Apr 08, 2018",0.027329,0.024076,"379,118",0.024076,868
48,0.024054,"Apr 07, 2018",0.025411,0.023956,"381,647",0.024237,"2,285"
49,0.024208,"Apr 06, 2018",0.026459,0.023623,"411,905",0.026158,635
50,0.026292,"Apr 05, 2018",0.028173,0.025819,"436,348",0.027710,"1,495"
51,0.027699,"Apr 04, 2018",0.030254,0.027447,"476,399",0.030254,365
52,0.030275,"Apr 03, 2018",0.031110,0.027266,"430,732",0.027354,"1,562"
53,0.027334,"Apr 02, 2018",0.029566,0.023813,"415,946",0.026415,"1,352"
54,0.026285,"Apr 01, 2018",0.029038,0.023381,"374,850",0.023805,"1,089"
55,0.023806,"Mar 31, 2018",0.028744,0.023767,"414,501",0.026323,983
56,0.026319,"Mar 30, 2018",0.028441,0.023232,"433,298",0.027517,327
57,0.027585,"Mar 29, 2018",0.031817,0.022757,"500,192",0.031765,"1,598"
58,0.031728,"Mar 28, 2018",0.031950,0.026763,"467,972",0.029719,"1,422"
59,0.029726,"Mar 27, 2018",0.032363,0.025383,"438,441",0.027843,"1,168"
60,0.027886,"Mar 26, 2018",0.029984,0.026558,"433,254",0.027514,734
61,0.027535,"Mar 25, 2018",0.030371,0.027168,"441,924",0.028065,713
62,0.028456,"Mar 24, 2018",0.030917,0.028380,"472,920",0.030033,241
63,0.027146,"Mar 23, 2018",0.033592,0.026521,"526,145",0.033413,"3,400"
64,0.033414,"Mar 22, 2018",0.034814,0.032724,"535,040",0.033978,376
65,0.034129,"Mar 21, 2018",0.034962,0.026823,"519,794",0.033010,"5,034"
66,0.032950,"Mar 20, 2018",0.035997,0.029000,"488,477",0.031021,"2,959"
67,0.030679,"Mar 19, 2018",0.036084,0.030075,"478,581",0.030392,717
68,0.030521,"Mar 18, 2018",0.031603,0.027278,"452,894",0.028761,980
69,0.028831,"Mar 17, 2018",0.039504,0.024074,"571,344",0.036284,"11,787"
70,0.036224,"Mar 16, 2018",0.051498,0.034149,"614,335",0.039014,"5,670"
71,0.039036,"Mar 15, 2018",0.048280,0.035654,"755,505",0.047979,"8,885"
72,0.048000,"Mar 14, 2018",0.052816,0.046743,"788,184",0.050054,540
73,0.050047,"Mar 13, 2018",0.054369,0.048405,"793,159",0.050370,"3,429"
74,0.050661,"Mar 12, 2018",0.061531,0.048888,"933,311",0.059270,539
75,0.059458,"Mar 11, 2018",0.060364,0.052573,"858,458",0.054517,283
76,0.054740,"Mar 10, 2018",0.071919,0.046710,"874,853",0.055558,"4,719"
77,0.055534,"Mar 09, 2018",0.064642,0.044918,"1,001,330",0.063590,"2,715"
78,0.063995,"Mar 08, 2018",0.076960,0.063995,"1,196,000",0.075952,"1,274"
79,0.076060,"Mar 07, 2018",0.083013,0.048881,"769,712",0.048881,"8,360"
80,0.048945,"Mar 06, 2018",0.088253,0.048455,"1,389,700",0.088253,"4,105"
81,0.088498,"Mar 05, 2018",0.089031,0.059575,"1,267,070",0.080466,"11,379"
82,0.080525,"Mar 04, 2018",0.087353,0.074885,"1,374,410",0.087283,"1,525"
83,0.087433,"Mar 03, 2018",0.096783,0.081408,"1,388,120",0.088153,"2,903"
84,0.088261,"Mar 02, 2018",0.098135,0.086650,"1,522,050",0.096658,"7,192"
85,0.096908,"Mar 01, 2018",0.117599,0.078406,"1,244,350",0.079023,"14,965"
86,0.078907,"Feb 28, 2018",0.107990,0.078907,"1,700,480",0.107990,"7,384"
87,0.108117,"Feb 27, 2018",0.111989,0.100341,"1,607,110",0.102060,"2,971"
88,0.101766,"Feb 26, 2018",0.129697,0.084626,"1,916,330",0.121698,"20,970"
89,0.121542,"Feb 25, 2018",0.137811,0.119649,"2,170,060",0.137811,"2,789"
90,0.138020,"Feb 24, 2018",0.138287,0.124118,"2,122,300",0.134777,"3,597"
