,close,date,high,low,market_cap,open,volume
0,0.039721,"Jun 08, 2018",0.039951,0.026666,"14,744,400",0.026813,"1,608"
1,0.026792,"Jun 07, 2018",0.037026,0.026700,"19,662,800",0.035758,"1,254"
2,0.035725,"Jun 06, 2018",0.039288,0.034562,"20,436,700",0.037165,889
3,0.037223,"Jun 05, 2018",0.039955,0.025301,"21,850,500",0.039736,"2,560"
4,0.039730,"Jun 04, 2018",0.042499,0.029534,"20,730,100",0.037699,"1,402"
5,0.037752,"Jun 03, 2018",0.049636,0.036105,"23,619,400",0.042953,944
6,0.043004,"Jun 02, 2018",0.043638,0.037102,"20,516,800",0.037311,"3,810"
7,0.037327,"Jun 01, 2018",0.045519,0.026268,"22,135,300",0.040254,"1,107"
8,0.040190,"May 31, 2018",0.040699,0.026206,"16,880,100",0.030697,"1,062"
9,0.030720,"May 30, 2018",0.034671,0.030019,"16,935,800",0.030798,"1,071"
10,0.030779,"May 29, 2018",0.030796,0.023063,"12,714,400",0.023122,"8,848"
11,0.023188,"May 28, 2018",0.026818,0.018902,"12,928,800",0.023512,"2,962"
12,0.023512,"May 27, 2018",0.027636,0.022923,"15,196,600",0.027636,586
13,0.027595,"May 26, 2018",0.030304,0.025024,"15,114,100",0.027486,"5,179"
14,0.027482,"May 25, 2018",0.027482,0.021704,"11,934,900",0.021704,"2,616"
15,0.021680,"May 24, 2018",0.027424,0.018600,"13,218,400",0.024038,"2,190"
16,0.024147,"May 23, 2018",0.024368,0.017947,"12,385,800",0.022524,"1,317"
17,0.022569,"May 22, 2018",0.023637,0.019979,"12,953,200",0.023556,152
18,0.023606,"May 21, 2018",0.023667,0.015687,"12,290,900",0.022351,"3,916"
19,0.022323,"May 20, 2018",0.027508,0.017239,"10,380,600",0.018877,"2,241"
20,0.018862,"May 19, 2018",0.021044,0.017082,"10,685,600",0.019432,"3,745"
21,0.019434,"May 18, 2018",0.023124,0.018006,"12,453,100",0.022646,"2,236"
