,close,date,high,low,market_cap,open,volume
0,0.053413,"Jun 08, 2018",0.059751,0.039535,"56,569",0.040717,524
1,0.040686,"Jun 07, 2018",0.049791,0.028866,"40,104",0.028866,872
2,0.028840,"Jun 06, 2018",0.060918,0.020894,"41,520",0.029886,444
3,0.029894,"Jun 05, 2018",0.070937,0.029894,"69,834",0.050265,262
4,0.050241,"Jun 04, 2018",0.081713,0.047801,"67,687",0.048720,442
5,0.048544,"Jun 03, 2018",0.091465,0.048544,"93,342",0.067187,708
6,0.067169,"Jun 02, 2018",0.105858,0.063751,"104,428",0.075166,746
7,0.075199,"Jun 01, 2018",0.107641,0.042035,"86,388",0.062181,"1,414"
8,0.062135,"May 31, 2018",0.082031,0.015831,"31,899",0.022960,869
9,0.022964,"May 30, 2018",0.045112,0.021821,"57,142",0.041130,892
10,0.041102,"May 29, 2018",0.110844,0.019319,"121,085",0.087155,"1,434"
11,0.087215,"May 28, 2018",0.137083,0.087213,"173,789",0.125091,"5,561"
12,0.125062,"May 27, 2018",0.149702,0.124725,"204,984",0.147545,"4,269"
13,0.147407,"May 26, 2018",0.167902,0.146352,"232,112",0.167071,"3,250"
14,0.167290,"May 25, 2018",0.190047,0.126137,"226,037",0.162699,"22,076"
15,0.166914,"May 24, 2018",0.222176,0.157811,"294,217",0.211774,"11,466"
16,0.212309,"May 23, 2018",0.236834,0.200368,"316,738",0.227984,"4,681"
17,0.224619,"May 22, 2018",0.250467,0.222238,"342,784",0.246732,"3,863"
18,0.246779,"May 21, 2018",0.271819,0.234348,"361,830",0.260440,"5,920"
19,0.257945,"May 20, 2018",0.325371,0.223949,"319,723",0.230132,"17,794"
20,0.229960,"May 19, 2018",0.236127,0.208484,"303,896",0.218741,"5,493"
21,0.218774,"May 18, 2018",0.230199,0.203144,"306,731",0.220781,"5,856"
22,0.220587,"May 17, 2018",0.267985,0.219322,"355,510",0.255891,"6,939"
23,0.255736,"May 16, 2018",0.273505,0.246306,"379,981",0.273505,"5,315"
24,0.273748,"May 15, 2018",0.325168,0.269104,"447,717",0.322261,"5,894"
25,0.313569,"May 14, 2018",0.352201,0.294002,"425,794",0.306481,"10,659"
26,0.308353,"May 13, 2018",0.369517,0.300279,"422,340",0.303995,"10,020"
27,0.304097,"May 12, 2018",0.325311,0.294136,"446,715",0.321539,"5,995"
28,0.322487,"May 11, 2018",0.407809,0.308751,"499,117",0.359258,"10,429"
29,0.358829,"May 10, 2018",0.391564,0.346282,"530,770",0.382041,"12,259"
30,0.382149,"May 09, 2018",0.405529,0.380269,"545,566",0.392691,"5,631"
31,0.393293,"May 08, 2018",0.490189,0.391736,"592,860",0.426733,"11,838"
32,0.425922,"May 07, 2018",0.428681,0.390551,"562,112",0.404601,"25,252"
33,0.404311,"May 06, 2018",0.521481,0.390430,"628,520",0.452400,"6,979"
34,0.460642,"May 05, 2018",0.517381,0.458311,"711,087",0.511831,"7,107"
35,0.506647,"May 04, 2018",0.550367,0.482962,"752,288",0.541487,"11,041"
36,0.541698,"May 03, 2018",0.571852,0.522073,"749,385",0.539398,"9,550"
37,0.539378,"May 02, 2018",0.582144,0.530216,"761,703",0.548264,"7,001"
38,0.551454,"May 01, 2018",0.592944,0.523447,"823,778",0.592944,"11,191"
39,0.582272,"Apr 30, 2018",0.750476,0.545677,"996,495",0.717264,"18,123"
40,0.717432,"Apr 29, 2018",0.799130,0.681670,"1,001,950",0.721194,"5,972"
41,0.721475,"Apr 28, 2018",0.783996,0.646859,"908,049",0.653602,"8,134"
42,0.655851,"Apr 27, 2018",0.764900,0.653484,"924,102",0.665157,"9,057"
43,0.664237,"Apr 26, 2018",0.744829,0.575971,"841,544",0.605732,"16,792"
44,0.600753,"Apr 25, 2018",0.710785,0.569235,"942,533",0.678423,"11,346"
45,0.683064,"Apr 24, 2018",0.754805,0.653103,"948,971",0.683057,"16,337"
46,0.682479,"Apr 23, 2018",0.749227,0.640925,"920,978",0.662908,"20,270"
47,0.664247,"Apr 22, 2018",0.708059,0.531658,"775,161",0.557951,"27,114"
48,0.557950,"Apr 21, 2018",0.615483,0.433303,"608,642",0.438092,"37,654"
49,0.458046,"Apr 20, 2018",0.458046,0.332204,"465,027",0.334720,"18,115"
50,0.345656,"Apr 19, 2018",0.361316,0.297827,"480,331",0.345736,"8,629"
51,0.345480,"Apr 18, 2018",0.376419,0.320377,"490,115",0.352778,"7,550"
52,0.352452,"Apr 17, 2018",0.372190,0.329136,"497,961",0.358426,"7,758"
53,0.358326,"Apr 16, 2018",0.429140,0.330586,"518,456",0.373178,"7,938"
54,0.373335,"Apr 15, 2018",0.457357,0.356761,"589,346",0.424204,"9,678"
55,0.423749,"Apr 14, 2018",0.447326,0.415449,"577,874",0.415946,"5,163"
56,0.415946,"Apr 13, 2018",0.463095,0.397072,"559,365",0.402624,"9,084"
57,0.402117,"Apr 12, 2018",0.476966,0.385082,"613,489",0.441581,"11,702"
58,0.442650,"Apr 11, 2018",0.457111,0.432304,"611,629",0.440243,"9,023"
59,0.439818,"Apr 10, 2018",0.495156,0.430347,"661,538",0.476166,"9,639"
60,0.475778,"Apr 09, 2018",0.566661,0.466146,"745,828",0.536837,"9,307"
61,0.535969,"Apr 08, 2018",0.676737,0.522892,"930,645",0.669866,"17,216"
62,0.669260,"Apr 07, 2018",0.688768,0.627447,"878,504",0.632336,"7,287"
63,0.631581,"Apr 06, 2018",0.750660,0.626035,"1,014,500",0.730225,"16,528"
64,0.733970,"Apr 05, 2018",0.774673,0.711049,"1,020,310",0.734405,"10,018"
65,0.733963,"Apr 04, 2018",0.800496,0.726609,"1,112,130",0.800496,"13,655"
66,0.801049,"Apr 03, 2018",0.832283,0.757857,"1,056,740",0.760627,"34,250"
67,0.760085,"Apr 02, 2018",0.784193,0.724475,"1,013,100",0.729217,"9,673"
68,0.725783,"Apr 01, 2018",0.761802,0.694153,"1,028,100",0.740015,"6,932"
69,0.740037,"Mar 31, 2018",0.778080,0.724691,"1,039,180",0.747990,"7,191"
70,0.747876,"Mar 30, 2018",0.816077,0.698645,"1,088,990",0.783844,"19,957"
71,0.785808,"Mar 29, 2018",0.918936,0.763100,"1,263,180",0.909219,"9,631"
72,0.908155,"Mar 28, 2018",1.04,0.905758,"1,332,430",0.959063,"15,033"
73,0.959282,"Mar 27, 2018",1.23,0.814016,"1,180,220",0.849508,"59,899"
74,0.850795,"Mar 26, 2018",1.00,0.798910,"1,322,020",0.951570,"14,248"
75,0.952301,"Mar 25, 2018",1.04,0.948026,"1,379,770",0.993142,"13,135"
76,1.01,"Mar 24, 2018",1.15,1.01,"1,461,240",1.05,"12,825"
77,1.04,"Mar 23, 2018",1.05,0.981199,"1,445,000",1.04,"11,966"
78,1.04,"Mar 22, 2018",1.13,0.992608,"1,442,030",1.04,"19,217"
79,1.04,"Mar 21, 2018",1.14,1.02,"1,428,820",1.03,"12,379"
80,1.03,"Mar 20, 2018",1.13,0.906481,"1,428,930",1.03,"34,323"
81,1.03,"Mar 19, 2018",1.03,0.933656,"1,323,460",0.952606,"15,414"
82,0.956636,"Mar 18, 2018",0.973251,0.868212,"1,266,410",0.911542,"15,260"
83,0.913771,"Mar 17, 2018",1.00,0.887759,"1,387,600",0.998779,"9,890"
84,0.997114,"Mar 16, 2018",1.05,0.905876,"1,294,380",0.931680,"17,138"
85,0.932205,"Mar 15, 2018",0.999476,0.875779,"1,316,580",0.947658,"20,387"
86,0.948084,"Mar 14, 2018",1.20,0.923259,"1,453,480",1.05,"23,671"
87,1.05,"Mar 13, 2018",1.24,1.03,"1,494,000",1.08,"21,380"
88,1.07,"Mar 12, 2018",1.27,1.06,"1,497,870",1.08,"32,406"
89,1.06,"Mar 11, 2018",1.23,1.04,"1,707,550",1.23,"15,276"
90,1.21,"Mar 10, 2018",1.26,0.931092,"1,447,560",1.04,"26,116"
91,1.04,"Mar 09, 2018",1.45,0.849858,"1,442,470",1.04,"16,433"
92,1.04,"Mar 08, 2018",1.87,0.843818,"1,298,390",0.934561,"38,682"
93,1.06,"Mar 07, 2018",1.33,0.869614,"1,753,000",1.26,"26,212"
94,1.31,"Mar 06, 2018",1.52,1.13,"2,053,090",1.50,"24,643"
95,1.50,"Mar 05, 2018",1.70,1.48,"2,270,990",1.67,"58,753"
96,1.67,"Mar 04, 2018",2.22,1.61,"2,922,060",2.17,"43,848"
97,2.18,"Mar 03, 2018",2.28,2.11,"2,819,150",2.12,"27,161"
98,2.12,"Mar 02, 2018",2.41,2.12,"3,030,900",2.30,"32,275"
99,2.27,"Mar 01, 2018",2.45,1.94,"2,687,410",2.06,"49,122"
100,2.06,"Feb 28, 2018",2.31,1.95,"2,740,560",2.12,"59,881"
101,2.13,"Feb 27, 2018",2.54,1.88,"3,239,460",2.54,"51,831"
102,2.48,"Feb 26, 2018",2.78,2.27,"2,965,930",2.35,"41,182"
103,2.34,"Feb 25, 2018",2.91,2.32,"3,603,960",2.88,"39,859"
104,2.89,"Feb 24, 2018",2.92,2.38,"3,131,110",2.53,"71,247"
105,2.54,"Feb 23, 2018",2.62,2.36,"2,956,260",2.42,"40,083"
106,2.42,"Feb 22, 2018",2.86,2.41,"3,023,900",2.50,"55,341"
107,2.50,"Feb 21, 2018",3.30,2.50,"3,445,360",2.88,"69,811"
108,2.89,"Feb 20, 2018",4.08,2.88,"4,294,740",3.64,"64,927"
109,3.63,"Feb 19, 2018",3.96,3.27,"3,824,620",3.28,"83,127"
110,3.29,"Feb 18, 2018",4.06,3.07,"4,603,480",3.99,"93,941"
111,3.68,"Feb 17, 2018",5.16,2.65,"5,051,010",4.43,"153,884"
112,4.43,"Feb 16, 2018",4.84,4.11,"5,423,500",4.81,"72,569"
113,4.69,"Feb 15, 2018",5.19,4.00,"4,635,160",4.17,"122,075"
114,4.15,"Feb 14, 2018",5.70,3.64,"5,892,350",5.36,"156,924"
115,5.38,"Feb 13, 2018",6.66,5.00,"7,165,720",6.60,"110,652"
116,6.59,"Feb 12, 2018",6.67,5.00,"5,580,040",5.20,"100,225"
117,5.24,"Feb 11, 2018",6.08,4.58,"6,430,920",6.08,"121,956"
118,6.08,"Feb 10, 2018",6.86,5.68,"6,753,020",6.46,"146,813"
119,6.46,"Feb 09, 2018",6.70,5.79,"6,454,130",6.26,"155,600"
120,6.24,"Feb 08, 2018",7.85,5.74,"7,157,960",7.03,"275,675"
121,7.08,"Feb 07, 2018",8.35,7.08,"8,233,510",8.20,"141,605"
122,8.00,"Feb 06, 2018",9.11,6.08,"6,983,280",7.05,"199,010"
123,7.09,"Feb 05, 2018",9.57,6.81,"9,051,710",9.27,"149,693"
124,9.36,"Feb 04, 2018",11.61,9.17,"11,066,700",11.49,"118,292"
125,11.47,"Feb 03, 2018",12.82,9.53,"10,096,500",10.64,"231,539"
126,10.47,"Feb 02, 2018",12.95,8.69,"10,863,500",11.62,"339,178"
127,10.89,"Feb 01, 2018",13.02,8.85,"11,195,500",12.15,"419,229"
128,12.11,"Jan 31, 2018",17.47,11.74,"15,035,300",16.56,"304,894"
129,16.53,"Jan 30, 2018",19.31,14.26,"15,369,900",17.19,"187,930"
130,17.18,"Jan 29, 2018",17.18,13.73,"12,773,200",14.51,"352,117"
131,14.53,"Jan 28, 2018",16.21,14.42,"13,311,200",15.36,"341,018"
132,15.28,"Jan 27, 2018",16.18,12.42,"13,515,900",15.84,"462,991"
133,15.71,"Jan 26, 2018",19.94,11.90,"15,463,100",18.42,"471,754"
134,18.47,"Jan 25, 2018",20.18,18.23,"15,654,100",18.96,"248,942"
135,18.85,"Jan 24, 2018",20.15,17.51,"14,525,700",17.89,"397,361"
136,17.90,"Jan 23, 2018",18.95,16.62,"13,842,700",17.33,"379,100"
137,17.38,"Jan 22, 2018",20.76,16.58,"14,945,500",19.05,"356,591"
138,18.79,"Jan 21, 2018",21.90,18.53,"15,410,600",20.50,"308,538"
139,20.45,"Jan 20, 2018",23.56,18.96,"14,642,900",19.48,"402,707"
140,19.30,"Jan 19, 2018",23.05,17.75,"14,405,400",19.39,"402,191"
141,19.59,"Jan 18, 2018",23.19,18.73,"14,882,300",20.38,"388,096"
142,20.42,"Jan 17, 2018",21.46,15.65,"13,892,000",19.40,"309,235"
143,19.50,"Jan 16, 2018",23.28,17.04,"14,272,000",20.31,"384,579"
144,20.28,"Jan 15, 2018",24.78,17.67,"16,057,100",23.30,"433,564"
145,22.29,"Jan 14, 2018",27.59,21.15,"17,673,900",25.96,"484,491"
146,25.92,"Jan 13, 2018",32.86,24.81,"19,758,700",27.50,"509,148"
147,27.53,"Jan 12, 2018",32.29,25.01,"20,635,100",29.29,"640,191"
148,29.09,"Jan 11, 2018",33.21,27.69,"22,862,900",33.09,"360,118"
149,33.13,"Jan 10, 2018",35.97,29.03,"20,854,300",30.79,"671,418"
150,30.75,"Jan 09, 2018",39.12,27.92,"20,979,200",31.62,"567,757"
151,27.54,"Jan 08, 2018",33.54,25.77,"19,048,400",29.32,"465,972"
152,29.36,"Jan 07, 2018",43.34,21.87,"18,001,100",28.30,"577,634"
153,23.75,"Jan 06, 2018",26.85,17.51,"11,025,500",17.72,"542,449"
154,17.71,"Jan 05, 2018",21.30,16.51,"11,142,400",18.31,"361,354"
155,18.30,"Jan 04, 2018",20.73,12.73,"10,596,400",17.81,"541,058"
156,14.80,"Jan 03, 2018",20.56,9.71,"5,786,450",9.96,"466,040"
157,9.99,"Jan 02, 2018",11.38,8.15,"5,392,110",9.50,"181,030"
158,9.50,"Jan 01, 2018",10.99,7.42,"4,397,190",7.94,"258,230"
159,8.02,"Dec 31, 2017",9.67,6.83,"3,781,150",8.27,"294,997"
160,7.77,"Dec 30, 2017",10.47,7.77,"4,216,060",9.50,"252,727"
161,8.42,"Dec 29, 2017",11.47,5.38,"2,517,200",5.79,"246,701"
162,5.73,"Dec 28, 2017",6.00,5.25,"2,643,010",5.97,86
163,5.99,"Dec 27, 2017",8.16,4.86,"2,615,460",6.10,"234,586"
164,7.23,"Dec 26, 2017",8.68,4.71,"2,990,210",7.20,"280,430"
165,7.46,"Dec 25, 2017",8.99,6.60,"1,852,730",7.89,"164,729"
166,7.81,"Dec 24, 2017",8.56,5.82,"1,533,420",6.53,"173,270"
167,6.46,"Dec 23, 2017",47.00,4.15,"1,360,260",5.79,"130,366"
168,5.74,"Dec 22, 2017",6.81,4.18,"1,583,170",6.74,"181,763"
169,6.34,"Dec 21, 2017",6.85,4.61,"1,362,390",5.80,"304,076"
170,5.75,"Dec 20, 2017",5.89,3.39,"1,036,280",4.41,"158,862"
171,4.42,"Dec 19, 2017",5.37,3.98,"1,077,140",4.59,"111,253"
172,4.58,"Dec 18, 2017",5.53,3.76,"1,054,940",4.49,"112,544"
173,4.48,"Dec 17, 2017",5.64,2.78,"1,220,920",5.20,"88,142"
174,5.21,"Dec 16, 2017",6.00,3.00,"1,200,410",5.11,"189,186"
175,5.11,"Dec 15, 2017",7.66,4.47,"1,263,670",5.38,"161,246"
176,5.38,"Dec 14, 2017",7.41,3.98,"1,111,120",4.73,"121,819"
177,4.58,"Dec 13, 2017",5.20,3.28,"811,273",3.45,"74,461"
178,3.45,"Dec 12, 2017",3.45,2.95,"719,483",3.06,"50,903"
