,close,date,high,low,market_cap,open,volume
0,0.241441,"Jun 08, 2018",0.262880,0.185685,"1,175,940",0.258356,"1,663"
1,0.258180,"Jun 07, 2018",0.309214,0.186380,"1,210,830",0.266020,"2,651"
2,0.265837,"Jun 06, 2018",0.316040,0.261667,"1,260,560",0.276947,914
3,0.277014,"Jun 05, 2018",0.302493,0.258822,"1,357,340",0.298210,898
4,0.298107,"Jun 04, 2018",0.372363,0.275777,"1,358,600",0.298485,"5,245"
5,0.298512,"Jun 03, 2018",0.338112,0.277543,"1,392,520",0.305938,"2,256"
6,0.306053,"Jun 02, 2018",0.315863,0.263897,"1,414,670",0.310805,"1,861"
7,0.310898,"Jun 01, 2018",0.406539,0.306877,"1,579,080",0.346926,"3,683"
8,0.346406,"May 31, 2018",0.395780,0.307993,"1,407,510",0.309231,349
9,0.309365,"May 30, 2018",0.366265,0.276532,"1,348,660",0.296302,"5,232"
10,0.296115,"May 29, 2018",0.317441,0.282090,"1,399,570",0.307488,"4,052"
11,0.308157,"May 28, 2018",0.365033,0.294223,"1,544,660",0.339364,"4,399"
12,0.339340,"May 27, 2018",0.354614,0.318968,"1,614,070",0.354614,"2,165"
13,0.354142,"May 26, 2018",0.455341,0.302716,"1,436,210",0.315536,"7,899"
14,0.315837,"May 25, 2018",0.378971,0.302202,"1,722,110",0.378349,"2,399"
15,0.377758,"May 24, 2018",0.399182,0.346881,"1,788,300",0.392892,"2,116"
16,0.393932,"May 23, 2018",0.432304,0.321211,"1,960,110",0.430638,"3,931"
17,0.431125,"May 22, 2018",0.493069,0.431125,"2,214,760",0.486587,642
18,0.487084,"May 21, 2018",0.525543,0.432138,"2,383,120",0.523574,"1,524"
19,0.522892,"May 20, 2018",0.552528,0.391022,"1,796,810",0.394760,"3,007"
20,0.394473,"May 19, 2018",0.636567,0.392888,"2,453,510",0.539038,265
21,0.539065,"May 18, 2018",0.542962,0.443767,"2,190,710",0.481385,"1,086"
22,0.481330,"May 17, 2018",0.540026,0.467426,"2,197,900",0.482967,"3,198"
23,0.512993,"May 16, 2018",0.579651,0.476979,"2,634,830",0.578977,897
24,0.579144,"May 15, 2018",0.599590,0.495888,"2,399,660",0.527300,"12,193"
25,0.522926,"May 14, 2018",0.546134,0.463980,"2,246,570",0.493877,"5,722"
26,0.493998,"May 13, 2018",0.525438,0.441849,"2,167,550",0.476506,"3,489"
27,0.476999,"May 12, 2018",0.537944,0.464702,"2,318,230",0.509630,"4,537"
28,0.510980,"May 11, 2018",0.528000,0.465340,"2,199,980",0.484701,"3,047"
29,0.484235,"May 10, 2018",0.575902,0.483750,"2,295,770",0.505805,"3,233"
30,0.505847,"May 09, 2018",0.549111,0.496768,"2,315,150",0.510075,438
31,0.510815,"May 08, 2018",0.604307,0.473824,"2,169,800",0.478053,"2,048"
32,0.476395,"May 07, 2018",0.561816,0.446016,"2,549,990",0.561816,"2,550"
33,0.561428,"May 06, 2018",0.569918,0.535122,"2,520,160",0.555244,"2,066"
34,0.555099,"May 05, 2018",0.581640,0.531661,"2,509,980",0.553000,"5,101"
35,0.553055,"May 04, 2018",0.628520,0.464090,"2,671,950",0.588685,"4,560"
36,0.589725,"May 03, 2018",0.638074,0.563194,"2,737,300",0.603085,"4,601"
37,0.603110,"May 02, 2018",0.717692,0.602287,"2,868,210",0.633321,"7,376"
38,0.634497,"May 01, 2018",0.634497,0.578994,"2,843,140",0.627787,"3,283"
39,0.627084,"Apr 30, 2018",0.734567,0.592058,"3,317,680",0.732650,"10,615"
40,0.732815,"Apr 29, 2018",0.766265,0.634201,"2,882,650",0.636580,"18,036"
41,0.636620,"Apr 28, 2018",0.662744,0.521069,"2,362,690",0.521756,"3,255"
42,0.524504,"Apr 27, 2018",0.644650,0.473631,"2,178,420",0.481375,"14,400"
43,0.480888,"Apr 26, 2018",0.575192,0.456150,"2,447,920",0.540927,"8,702"
44,0.536548,"Apr 25, 2018",0.639753,0.536239,"2,791,030",0.616745,"20,394"
45,0.618917,"Apr 24, 2018",0.741467,0.421151,-,0.468473,"107,777"
46,0.468255,"Apr 23, 2018",0.491061,0.468255,-,0.476431,"50,581"
