,close,date,high,low,market_cap,open,volume
0,1.00,"Jun 08, 2018",1.01,0.989618,"42,200,500",0.999343,"470,171"
1,0.998675,"Jun 07, 2018",1.01,0.991385,"41,962,400",0.997804,"480,717"
2,0.998017,"Jun 06, 2018",1.01,0.989670,"41,834,700",1.01,"711,251"
3,1.01,"Jun 05, 2018",1.01,0.991933,"41,525,500",1.00,"756,689"
4,0.999737,"Jun 04, 2018",1.01,0.986050,"41,398,100",1.00,"578,640"
5,1.00,"Jun 03, 2018",1.01,0.984840,"40,882,900",0.991955,"755,658"
6,0.992967,"Jun 02, 2018",1.01,0.975513,"40,962,400",1.00,"756,070"
7,1.00,"Jun 01, 2018",1.01,0.992774,"41,115,200",1.00,"606,901"
8,1.00,"May 31, 2018",1.00,0.987157,"40,532,600",1.00,"1,519,950"
9,1.00,"May 30, 2018",1.01,0.977017,"40,100,400",0.994176,"2,796,250"
10,0.994412,"May 29, 2018",1.01,0.978239,"37,501,400",0.990455,"2,364,730"
11,0.992289,"May 28, 2018",1.01,0.976353,"37,582,400",1.01,"2,120,820"
12,1.01,"May 27, 2018",1.01,0.977811,"36,678,000",0.989358,"686,620"
13,0.986146,"May 26, 2018",1.02,0.984022,"37,016,500",1.00,"777,202"
14,1.00,"May 25, 2018",1.03,0.977456,"36,901,200",1.01,"1,342,460"
15,1.01,"May 24, 2018",1.06,0.976402,"37,767,900",1.04,"1,721,690"
16,1.04,"May 23, 2018",1.05,0.980438,"37,774,800",0.995570,"2,368,530"
17,0.997668,"May 22, 2018",1.02,0.987927,"38,276,800",1.01,"1,037,470"
18,1.02,"May 21, 2018",1.02,0.995850,"37,626,600",1.00,"1,084,900"
19,0.999266,"May 20, 2018",1.01,0.992718,"37,649,200",1.00,"579,318"
20,1.00,"May 19, 2018",1.01,0.975452,"37,220,700",0.999524,"652,745"
21,0.999485,"May 18, 2018",1.01,0.986106,"37,141,400",1.00,"1,064,750"
22,1.00,"May 17, 2018",1.01,0.985931,"35,853,400",0.996523,"828,320"
23,0.995739,"May 16, 2018",1.01,0.988008,"35,827,400",0.999842,"1,145,130"
24,1.00,"May 15, 2018",1.01,0.983358,"35,411,300",0.994231,"461,766"
25,0.995898,"May 14, 2018",1.04,0.985888,"35,315,100",0.988935,"1,282,940"
26,0.989473,"May 13, 2018",1.02,0.979833,"35,640,000",1.01,"1,051,360"
27,1.00,"May 12, 2018",1.04,0.985929,"35,590,000",1.02,"1,810,540"
28,1.02,"May 11, 2018",1.04,0.989494,"34,313,400",0.994763,"2,111,880"
29,0.993957,"May 10, 2018",1.01,0.987357,"33,662,200",0.994020,"1,117,250"
30,0.993661,"May 09, 2018",1.01,0.990576,"33,077,400",0.995124,"1,275,110"
31,0.995922,"May 08, 2018",1.01,0.982001,"32,857,300",1.00,"1,023,560"
32,1.00,"May 07, 2018",1.01,0.989946,"32,294,000",1.00,"1,887,200"
33,1.00,"May 06, 2018",1.02,0.995848,"32,218,400",1.01,"1,517,250"
34,1.01,"May 05, 2018",1.01,0.992013,"31,486,700",0.994632,"1,906,500"
35,0.993640,"May 04, 2018",1.01,0.988436,"31,101,400",0.998196,"2,058,060"
36,1.00,"May 03, 2018",1.02,0.989340,"30,451,900",0.996717,"3,367,890"
37,0.996797,"May 02, 2018",1.01,0.988163,"30,192,100",0.994045,"667,532"
38,0.995504,"May 01, 2018",1.01,0.990668,"30,303,400",1.00,"1,998,170"
39,1.00,"Apr 30, 2018",1.01,0.988970,"30,351,000",1.00,"1,488,330"
40,1.00,"Apr 29, 2018",1.06,0.981706,"29,957,400",0.994321,"1,246,490"
41,0.994263,"Apr 28, 2018",1.02,0.974882,"29,872,200",0.997942,"1,611,920"
42,0.999905,"Apr 27, 2018",1.02,0.983124,"28,773,900",0.991394,"1,538,080"
43,0.989518,"Apr 26, 2018",1.02,0.984644,"27,913,300",0.991144,"2,782,320"
44,0.984276,"Apr 25, 2018",1.03,0.975528,"27,575,300",1.00,"2,967,660"
