,close,date,high,low,market_cap,open,volume
0,0.029384,"Jun 08, 2018",0.032592,0.027728,"4,746,860",0.028378,"4,663"
1,0.028330,"Jun 07, 2018",0.031387,0.027189,"5,169,910",0.030907,"4,863"
2,0.030917,"Jun 06, 2018",0.030919,0.026089,"4,672,840",0.027936,"4,633"
3,0.027992,"Jun 05, 2018",0.030529,0.025260,"4,556,310",0.027239,"7,625"
4,0.027241,"Jun 04, 2018",0.030331,0.026753,"4,752,810",0.028414,"2,093"
5,0.028457,"Jun 03, 2018",0.036825,0.025928,"4,748,200",0.028386,"154,666"
6,0.028423,"Jun 02, 2018",0.033933,0.027628,"4,940,470",0.029536,"18,212"
7,0.029542,"Jun 01, 2018",0.035031,0.025732,"4,443,770",0.026566,"78,210"
8,0.026509,"May 31, 2018",0.029458,0.025129,"4,670,300",0.027921,"1,939"
9,0.028506,"May 30, 2018",0.031694,0.026293,"4,915,980",0.029389,"1,742"
10,0.029371,"May 29, 2018",0.029371,0.024920,"4,378,010",0.026173,"5,045"
11,0.026249,"May 28, 2018",0.031034,0.024778,"4,962,790",0.029669,"2,104"
12,0.029671,"May 27, 2018",0.040967,0.025580,"5,402,800",0.032300,"298,859"
13,0.031651,"May 26, 2018",0.032829,0.027368,"4,696,370",0.028076,"31,019"
14,0.028072,"May 25, 2018",0.033927,0.025633,"5,437,120",0.032505,"6,621"
15,0.032470,"May 24, 2018",0.049488,0.028187,"5,623,610",0.033620,"64,913"
16,0.034354,"May 23, 2018",0.062310,0.030134,"10,334,000",0.061780,"33,743"
17,0.061903,"May 22, 2018",0.069750,0.047317,"8,862,290",0.052982,"99,392"
18,0.053094,"May 21, 2018",0.065209,0.037266,"7,056,710",0.042187,"137,745"
19,0.042133,"May 20, 2018",0.042408,0.029068,"6,169,920",0.036886,"15,071"
20,0.036855,"May 19, 2018",0.055713,0.030229,"5,682,980",0.033975,"61,532"
21,0.042294,"May 18, 2018",0.070809,0.022107,"4,037,280",0.024136,"61,216"
22,0.024160,"May 17, 2018",0.029159,0.023276,"4,255,900",0.025443,"1,623"
23,0.025413,"May 16, 2018",0.026188,0.022472,"3,899,790",0.023314,543
24,0.023303,"May 15, 2018",0.032128,0.022973,"4,013,350",0.023993,"1,894"
25,0.024026,"May 14, 2018",0.028013,0.021355,"3,782,770",0.022615,426
26,0.022624,"May 13, 2018",0.024338,0.020994,"3,542,590",0.021179,74
27,0.021221,"May 12, 2018",0.026824,0.018243,"3,508,570",0.020975,"4,991"
28,0.021013,"May 11, 2018",0.029439,0.019674,"4,853,180",0.029014,"6,407"
29,0.028993,"May 10, 2018",0.029703,0.024103,"4,267,620",0.025513,"3,084"
30,0.025489,"May 09, 2018",0.025827,0.022073,"4,130,120",0.024691,"2,598"
31,0.024722,"May 08, 2018",0.031851,0.023403,"4,038,500",0.024143,"5,531"
32,0.023987,"May 07, 2018",0.025927,0.021824,"4,101,900",0.024522,934
33,0.024509,"May 06, 2018",0.026666,0.023770,"4,367,680",0.026111,"1,838"
34,0.026116,"May 05, 2018",0.026445,0.025526,"4,319,030",0.025821,"3,558"
35,0.025792,"May 04, 2018",0.027287,0.025213,"4,549,350",0.027197,387
36,0.027286,"May 03, 2018",0.032396,0.023401,"4,023,400",0.024053,"5,040"
37,0.024056,"May 02, 2018",0.027309,0.023538,"4,491,460",0.026851,"1,830"
38,0.026929,"May 01, 2018",0.026929,0.021345,"4,147,800",0.024797,"1,246"
39,0.024716,"Apr 30, 2018",0.025297,0.022401,"3,919,420",0.023432,"1,334"
40,0.023429,"Apr 29, 2018",0.025825,0.021315,"4,225,360",0.025261,"4,628"
41,0.024575,"Apr 28, 2018",0.028921,0.020972,"3,969,500",0.023731,"14,738"
42,0.023937,"Apr 27, 2018",0.030835,0.023778,"4,548,480",0.027192,"12,024"
43,0.027145,"Apr 26, 2018",0.028100,0.025711,"4,442,530",0.026559,74
44,0.026301,"Apr 25, 2018",0.031035,0.023891,"5,074,890",0.030339,"17,483"
45,0.030350,"Apr 24, 2018",0.031157,0.027284,"4,835,530",0.028908,461
46,0.028908,"Apr 23, 2018",0.031145,0.024117,"4,035,820",0.024127,"6,490"
47,0.024217,"Apr 22, 2018",0.026944,0.023710,"4,038,230",0.024142,542
48,0.024142,"Apr 21, 2018",0.027142,0.023087,"4,533,400",0.027102,48
49,0.027120,"Apr 20, 2018",0.027156,0.021938,"4,083,610",0.024413,"3,374"
50,0.024442,"Apr 19, 2018",0.025772,0.022698,"4,215,250",0.025200,"2,036"
51,0.025186,"Apr 18, 2018",0.026896,0.024028,"4,211,120",0.025175,"2,927"
52,0.025163,"Apr 17, 2018",0.029170,0.025108,"4,874,620",0.029142,"1,085"
53,0.029147,"Apr 16, 2018",0.031133,0.027651,"5,178,420",0.030958,"3,170"
54,0.030918,"Apr 15, 2018",0.030918,0.029118,"4,870,660",0.029118,950
55,0.029137,"Apr 14, 2018",0.029802,0.028326,"4,778,750",0.028569,155
56,0.028569,"Apr 13, 2018",0.032444,0.028159,"4,964,280",0.029678,"1,005"
57,0.029627,"Apr 12, 2018",0.029706,0.025163,"4,249,180",0.025403,141
58,0.025531,"Apr 11, 2018",0.026849,0.024281,"4,450,650",0.026607,103
59,0.026545,"Apr 10, 2018",0.026752,0.022818,"4,065,020",0.024302,404
60,0.024190,"Apr 09, 2018",0.026235,0.022409,"3,748,430",0.022409,496
61,0.022357,"Apr 08, 2018",0.023374,0.022199,"3,735,450",0.022332,850
62,0.022342,"Apr 07, 2018",0.024036,0.021803,"3,651,200",0.021828,162
63,0.021834,"Apr 06, 2018",0.023091,0.020450,"3,513,760",0.021006,803
64,0.021087,"Apr 05, 2018",0.023398,0.020649,"3,712,930",0.022197,"2,046"
65,0.022224,"Apr 04, 2018",0.025830,0.021980,"3,984,480",0.023821,"1,253"
66,0.023774,"Apr 03, 2018",0.024137,0.022800,"3,841,460",0.022965,666
67,0.022941,"Apr 02, 2018",0.023249,0.021765,"3,704,330",0.022146,"2,787"
68,0.022075,"Apr 01, 2018",0.026140,0.021306,"4,321,110",0.025833,"1,300"
69,0.025825,"Mar 31, 2018",0.026433,0.022763,"4,164,690",0.024898,"2,266"
70,0.024921,"Mar 30, 2018",0.026700,0.023194,"4,074,610",0.024359,373
71,0.024430,"Mar 29, 2018",0.028847,0.024078,"4,783,780",0.028599,578
72,0.028548,"Mar 28, 2018",0.029496,0.026838,"4,655,350",0.027831,145
73,0.027822,"Mar 27, 2018",0.033936,0.027762,"5,635,060",0.033688,997
74,0.033709,"Mar 26, 2018",0.036582,0.029865,"5,855,210",0.035004,"3,334"
75,0.035082,"Mar 25, 2018",0.036144,0.030118,"5,653,680",0.033800,"1,773"
76,0.034209,"Mar 24, 2018",0.035051,0.031638,"5,624,150",0.033623,"1,428"
77,0.033316,"Mar 23, 2018",0.034524,0.032138,"5,671,920",0.033909,"1,372"
78,0.033914,"Mar 22, 2018",0.039647,0.032601,"5,712,720",0.034153,925
79,0.034069,"Mar 21, 2018",0.040017,0.033275,"5,782,290",0.034569,473
80,0.034357,"Mar 20, 2018",0.042564,0.031254,"6,226,850",0.037226,"6,596"
81,0.036931,"Mar 19, 2018",0.036978,0.031464,"5,844,840",0.034942,"1,198"
82,0.035083,"Mar 18, 2018",0.037893,0.029234,"6,177,270",0.036930,"3,655"
83,0.036963,"Mar 17, 2018",0.045204,0.036577,"7,544,570",0.045104,342
84,0.045075,"Mar 16, 2018",0.045832,0.039073,"7,145,600",0.042719,"6,811"
85,0.042768,"Mar 15, 2018",0.052566,0.037692,"8,562,210",0.051188,"32,241"
86,0.051152,"Mar 14, 2018",0.066095,0.036785,"6,464,320",0.038646,"81,461"
87,0.038631,"Mar 13, 2018",0.045159,0.038593,"7,265,430",0.043435,"17,853"
88,0.043480,"Mar 12, 2018",0.050194,0.040114,"6,771,950",0.040485,"19,527"
89,0.040535,"Mar 11, 2018",0.040595,0.037071,"6,664,380",0.039842,720
90,0.039961,"Mar 10, 2018",0.047388,0.038496,"7,066,810",0.042248,"8,889"
91,0.042269,"Mar 09, 2018",0.042614,0.033848,"6,692,560",0.040010,"1,216"
92,0.040084,"Mar 08, 2018",0.046786,0.037510,"6,396,380",0.038240,"3,489"
93,0.038300,"Mar 07, 2018",0.046772,0.037649,"7,799,930",0.046630,"2,947"
94,0.046585,"Mar 06, 2018",0.056228,0.043537,"9,405,360",0.056228,"1,805"
95,0.056240,"Mar 05, 2018",0.057673,0.044816,"7,507,680",0.044883,"5,782"
96,0.050048,"Mar 04, 2018",0.050955,0.038851,"6,577,670",0.039323,"2,378"
97,0.039329,"Mar 03, 2018",0.043717,0.039241,"7,292,840",0.043599,669
98,0.043633,"Mar 02, 2018",0.044072,0.039912,"6,688,200",0.039984,"3,317"
99,0.039996,"Mar 01, 2018",0.044808,0.036766,"6,149,910",0.036766,"3,310"
100,0.036755,"Feb 28, 2018",0.043400,0.036753,"6,743,190",0.040313,"2,512"
101,0.040299,"Feb 27, 2018",0.045281,0.039242,"6,962,090",0.041622,"2,420"
102,0.041508,"Feb 26, 2018",0.046293,0.039423,"6,733,280",0.040254,"4,297"
103,0.040227,"Feb 25, 2018",0.044113,0.040126,"7,378,790",0.044113,352
104,0.044216,"Feb 24, 2018",0.048541,0.039349,"7,873,990",0.047073,"3,411"
105,0.047113,"Feb 23, 2018",0.047383,0.040290,"6,867,380",0.041055,774
106,0.041106,"Feb 22, 2018",0.052690,0.039072,"8,005,760",0.047861,"50,349"
107,0.050464,"Feb 21, 2018",0.050532,0.040709,"6,968,270",0.041659,"33,911"
108,0.041710,"Feb 20, 2018",0.045939,0.040627,"7,366,320",0.044038,"8,675"
109,0.044029,"Feb 19, 2018",0.048963,0.041263,"7,043,860",0.042111,"37,942"
110,0.042252,"Feb 18, 2018",0.047982,0.038187,"7,980,710",0.047711,"11,713"
111,0.047692,"Feb 17, 2018",0.055978,0.046432,"8,628,700",0.051585,"19,382"
112,0.051555,"Feb 16, 2018",0.055766,0.047022,"9,327,950",0.055766,"60,570"
113,0.055805,"Feb 15, 2018",0.062630,0.041225,"6,933,780",0.041452,"20,266"
114,0.041431,"Feb 14, 2018",0.044479,0.036278,"6,195,140",0.037037,"2,367"
115,0.037053,"Feb 13, 2018",0.038217,0.034105,"6,375,800",0.038117,337
116,0.038063,"Feb 12, 2018",0.038503,0.034161,"5,714,050",0.034161,686
117,0.034014,"Feb 11, 2018",0.041576,0.033141,"6,549,840",0.039157,"4,359"
118,0.039221,"Feb 10, 2018",0.042721,0.033080,"6,164,220",0.036852,"7,918"
119,0.041253,"Feb 09, 2018",0.047853,0.034704,"7,764,870",0.046421,"17,760"
120,0.046363,"Feb 08, 2018",0.051428,0.041197,"7,657,320",0.045778,950
121,0.045895,"Feb 07, 2018",0.051429,0.043765,"7,804,980",0.046661,"3,706"
122,0.046710,"Feb 06, 2018",0.051964,0.027890,"5,844,480",0.034940,"30,072"
123,0.034816,"Feb 05, 2018",0.047988,0.032810,"6,598,610",0.039449,"38,075"
124,0.039835,"Feb 04, 2018",0.062954,0.038338,"9,926,670",0.059345,"19,336"
125,0.059363,"Feb 03, 2018",0.066549,0.038147,"10,423,100",0.062312,"34,921"
126,0.060192,"Feb 02, 2018",0.065782,0.045720,"11,003,500",0.065782,"58,934"
127,0.064984,"Feb 01, 2018",0.071944,0.055712,"10,488,200",0.062702,"48,460"
128,0.062583,"Jan 31, 2018",0.073639,0.049060,"11,364,700",0.067942,"23,391"
129,0.067708,"Jan 30, 2018",0.089611,0.058415,"14,960,200",0.089437,"23,462"
130,0.089397,"Jan 29, 2018",0.096726,0.077272,"15,053,900",0.089997,"10,805"
131,0.090130,"Jan 28, 2018",0.110250,0.079894,"16,577,800",0.099108,"21,478"
132,0.095111,"Jan 27, 2018",0.114070,0.094596,"17,063,800",0.102013,"158,784"
133,0.103057,"Jan 26, 2018",0.103057,0.087043,"15,759,500",0.094215,"24,944"
134,0.094544,"Jan 25, 2018",0.106281,0.092150,"17,226,500",0.102986,"27,309"
135,0.094856,"Jan 24, 2018",0.102374,0.087584,"15,297,800",0.091455,"53,157"
136,0.091428,"Jan 23, 2018",0.100181,0.086067,"16,394,300",0.098010,"72,731"
137,0.098189,"Jan 22, 2018",0.105699,0.084480,"16,124,600",0.096398,"73,614"
138,0.095944,"Jan 21, 2018",0.134779,0.095944,"22,542,500",0.134766,"190,125"
139,0.132215,"Jan 20, 2018",0.140527,0.111804,"19,135,500",0.114398,"107,139"
140,0.113665,"Jan 19, 2018",0.129993,0.110813,"20,639,000",0.123387,"18,358"
141,0.125326,"Jan 18, 2018",0.134607,0.115589,"20,942,500",0.125201,"68,658"
142,0.123807,"Jan 17, 2018",0.134805,0.079972,"17,651,800",0.105528,"61,524"
143,0.105918,"Jan 16, 2018",0.159043,0.082162,"25,483,100",0.152346,"305,407"
144,0.153303,"Jan 15, 2018",0.205718,0.153303,"30,534,500",0.182545,"298,636"
145,0.182586,"Jan 14, 2018",0.217871,0.173823,"36,443,500",0.217871,"247,605"
146,0.217667,"Jan 13, 2018",0.220230,0.188113,"31,465,800",0.188113,"44,515"
147,0.188137,"Jan 12, 2018",0.193084,0.163765,"28,225,200",0.168740,"20,936"
148,0.166820,"Jan 11, 2018",0.202912,0.166820,"30,491,500",0.182288,"56,955"
149,0.180600,"Jan 10, 2018",0.212509,0.170310,"35,058,600",0.209592,"90,846"
150,0.210676,"Jan 09, 2018",0.210874,0.160104,"27,374,700",0.163655,"110,899"
151,0.168645,"Jan 08, 2018",0.178460,0.127774,"26,122,400",0.156168,"66,446"
152,0.154764,"Jan 07, 2018",0.168242,0.143866,"24,356,900",0.145614,"83,162"
153,0.145670,"Jan 06, 2018",0.174629,0.119032,"20,252,400",0.121076,"101,970"
154,0.118563,"Jan 05, 2018",0.150087,0.110244,"21,758,000",0.130076,"48,137"
155,0.130623,"Jan 04, 2018",0.155119,0.130025,"25,868,100",0.154648,"56,172"
156,0.152525,"Jan 03, 2018",0.159861,0.099237,"16,604,000",0.099264,"87,149"
157,0.099597,"Jan 02, 2018",0.143664,0.086948,"16,756,300",0.100175,"70,062"
158,0.099932,"Jan 01, 2018",0.099932,0.075075,"13,051,300",0.078025,"14,426"
159,0.077409,"Dec 31, 2017",0.095307,0.068028,"11,611,000",0.069415,"29,537"
160,0.070026,"Dec 30, 2017",0.073583,0.063622,"11,552,400",0.069064,"20,941"
161,0.071289,"Dec 29, 2017",0.086448,0.068837,"14,008,000",0.083745,"42,385"
162,0.083243,"Dec 28, 2017",0.083243,0.069738,"13,124,500",0.078463,"9,156"
163,0.078593,"Dec 27, 2017",0.083074,0.068102,"12,895,600",0.077094,"14,702"
164,0.076919,"Dec 26, 2017",0.088245,0.069191,"11,615,500",0.069442,"28,744"
165,0.069416,"Dec 25, 2017",0.076006,0.063367,"10,711,700",0.064038,"21,565"
166,0.063724,"Dec 24, 2017",0.070527,0.051960,"10,323,400",0.061717,"16,967"
167,0.060995,"Dec 23, 2017",0.071862,0.060558,"10,147,700",0.060666,"26,891"
168,0.060170,"Dec 22, 2017",0.094634,0.045236,"15,757,100",0.094201,"14,731"
169,0.093845,"Dec 21, 2017",0.101858,0.071917,"14,979,100",0.089550,"98,392"
170,0.089454,"Dec 20, 2017",0.097489,0.072198,"13,632,200",0.081498,"71,560"
171,0.081585,"Dec 19, 2017",0.083841,0.051873,"12,720,500",0.076047,"54,164"
172,0.076957,"Dec 18, 2017",0.078382,0.059654,"11,232,700",0.067153,"43,440"
173,0.066545,"Dec 17, 2017",0.072210,0.057691,"9,665,990",0.057786,"74,245"
174,0.057625,"Dec 16, 2017",0.061421,0.054360,"9,164,950",0.054791,"9,619"
175,0.054689,"Dec 15, 2017",0.057783,0.050291,"9,304,540",0.055626,"19,387"
176,0.055573,"Dec 14, 2017",0.064252,0.047800,"9,380,590",0.056080,"18,138"
177,0.056194,"Dec 13, 2017",0.066396,0.052982,"10,396,700",0.062155,"28,426"
178,0.057625,"Dec 12, 2017",0.060003,0.050281,"9,162,970",0.054779,"20,646"
179,0.055133,"Dec 11, 2017",0.055133,0.047377,"8,102,110",0.048437,"14,270"
180,0.048383,"Dec 10, 2017",0.051380,0.045764,"8,364,760",0.050007,"16,927"
181,0.049847,"Dec 09, 2017",0.054936,0.046105,"7,889,730",0.047167,"29,189"
182,0.047169,"Dec 08, 2017",0.048584,0.041798,"7,207,770",0.043090,"23,924"
183,0.043028,"Dec 07, 2017",0.045598,0.039827,"7,054,100",0.042172,"28,270"
184,0.042049,"Dec 06, 2017",0.052098,0.041200,"7,511,090",0.044904,"15,268"
185,0.045846,"Dec 05, 2017",0.053654,0.042065,"8,347,390",0.049904,"26,403"
186,0.049878,"Dec 04, 2017",0.050542,0.042490,"8,033,780",0.048029,"22,643"
187,0.047940,"Dec 03, 2017",0.049832,0.042907,"7,471,290",0.044666,"15,074"
188,0.044655,"Dec 02, 2017",0.050458,0.043202,"8,227,940",0.049189,"9,852"
189,0.049635,"Dec 01, 2017",0.049635,0.040292,"7,117,900",0.042553,"11,100"
190,0.042658,"Nov 30, 2017",0.048463,0.037315,"7,267,180",0.043446,"18,847"
191,0.042069,"Nov 29, 2017",0.054140,0.039745,"7,509,650",0.044895,"28,491"
192,0.044859,"Nov 28, 2017",0.055166,0.044822,"8,602,420",0.051428,"30,040"
193,0.051499,"Nov 27, 2017",0.063529,0.047529,"9,564,890",0.057182,"36,592"
194,0.057196,"Nov 26, 2017",0.069204,0.055864,"10,513,000",0.062850,"21,118"
195,0.063255,"Nov 25, 2017",0.080155,0.059708,"9,987,460",0.059708,"34,796"
196,0.059718,"Nov 24, 2017",0.063967,0.050820,"9,137,010",0.054624,"36,441"
197,0.054490,"Nov 23, 2017",0.059845,0.052857,"9,851,030",0.058893,"23,604"
198,0.060815,"Nov 22, 2017",0.066271,0.053437,"9,166,810",0.054802,"27,495"
199,0.055798,"Nov 21, 2017",0.060566,0.054242,"10,121,700",0.060511,"25,565"
200,0.060246,"Nov 20, 2017",0.061870,0.056899,"10,013,500",0.059864,"41,275"
