,close,date,high,low,market_cap,open,volume
0,0.008775,"Jun 08, 2018",0.009949,0.008466,"204,545",0.009757,398
1,0.009749,"Jun 07, 2018",0.009918,0.009716,"203,658",0.009801,71
2,0.009868,"Jun 06, 2018",0.011440,0.009676,"237,446",0.011434,238
3,0.010124,"Jun 05, 2018",0.010214,0.010058,"211,649",0.010203,5
4,0.010198,"Jun 04, 2018",0.010667,0.010160,"220,514",0.010638,6
5,0.010633,"Jun 03, 2018",0.010789,0.009766,"202,457",0.009773,561
6,0.009770,"Jun 02, 2018",0.013106,0.009770,"248,947",0.012027,401
7,0.012032,"Jun 01, 2018",0.012103,0.011216,"232,424",0.011237,25
8,0.011229,"May 31, 2018",0.012753,0.010314,"236,566",0.011443,195
9,0.011445,"May 30, 2018",0.011450,0.009766,"202,006",0.009779,524
10,0.009772,"May 29, 2018",0.010846,0.009331,"193,948",0.009396,98
11,0.009399,"May 28, 2018",0.010598,0.009371,"197,000",0.009549,26
12,0.009547,"May 27, 2018",0.011052,0.009478,"210,167",0.010196,253
13,0.010191,"May 26, 2018",0.011907,0.009239,"192,206",0.009335,"1,952"
14,0.009347,"May 25, 2018",0.011186,0.008097,"192,888",0.009378,"10,483"
15,0.009360,"May 24, 2018",0.009425,0.007422,"157,675",0.007670,224
16,0.007689,"May 23, 2018",0.008508,0.007627,"174,212",0.008484,56
17,0.008492,"May 22, 2018",0.009106,0.008445,"186,606",0.009092,22
18,0.009608,"May 21, 2018",0.009780,0.009504,"199,357",0.009721,46
19,0.009709,"May 20, 2018",0.009787,0.009339,"192,587",0.009400,60
20,0.009393,"May 19, 2018",0.010459,0.008338,"178,788",0.008733,63
21,0.008735,"May 18, 2018",0.009441,0.008591,"191,697",0.009371,20
22,0.009362,"May 17, 2018",0.010512,0.008716,"203,018",0.009935,148
23,0.009928,"May 16, 2018",0.010616,0.007565,"216,687",0.010608,958
24,0.010614,"May 15, 2018",0.010657,0.009741,"203,642",0.009976,67
25,0.009993,"May 14, 2018",0.011160,0.009933,"214,481",0.010515,153
26,0.010517,"May 13, 2018",0.012019,0.010179,"243,427",0.011940,11
27,0.011944,"May 12, 2018",0.012054,0.009497,"241,139",0.011837,282
28,0.011872,"May 11, 2018",0.012222,0.009462,"239,135",0.011749,671
29,0.011735,"May 10, 2018",0.014485,0.011724,"245,706",0.012108,78
30,0.012111,"May 09, 2018",0.014957,0.011870,"244,537",0.012143,522
31,0.012161,"May 08, 2018",0.014417,0.011794,"243,391",0.012177,314
32,0.011777,"May 07, 2018",0.013627,0.011603,"238,501",0.012010,152
33,0.014356,"May 06, 2018",0.014881,0.014167,"290,346",0.014743,10
34,0.014733,"May 05, 2018",0.015337,0.012387,"242,547",0.012407,41
35,0.012412,"May 04, 2018",0.013189,0.012349,"257,171",0.013159,10
